Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er_trans[1]	er_trans[2]	er_trans[3]	er_trans[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
110	-3547633	-3547659	26.76879	0.00216194	0.00196059	0.0206153	0.0044401	0.097903	0.034293	0.0113349	0.0886834	0.0503901	0.0084712	0.161293	0.00385759	0.00183244	0.0174592	0.641658	0.0154021	0.00679794	0.0276543	0.00619982	1.05408e-05	0.0131197	0.00966464	0.00530243	0.112142	0.0192825	0.00775904	0.00814729	0.00593558	0.00533619	0.271382	0	0.232179	0.228844	0	0.267595	0.271382	0.232179	0.228844	0.267595	0.282249	0.214681	0.220605	0.282466	1.389108
120	-3547632	-3547658	26.77304	0.00216194	0.00196059	0.0206153	0.00448725	0.097903	0.034293	0.0111457	0.0886834	0.0507928	0.0084712	0.161293	0.00385759	0.00180302	0.0175404	0.641658	0.0152289	0.00679794	0.0277989	0.00564605	9.21044e-06	0.0130627	0.00966464	0.00514282	0.112142	0.0192825	0.0078112	0.00814729	0.00593558	0.0053462	0.271382	0	0.232179	0.228844	0	0.267595	0.271382	0.232179	0.228844	0.267595	0.282249	0.214681	0.220605	0.282466	1.388682
130	-3547634	-3547661	26.7754	0.0023018	0.00193299	0.0206153	0.00456082	0.097903	0.034293	0.0111457	0.0886834	0.0507928	0.0084712	0.161293	0.00385759	0.00180302	0.0175404	0.641658	0.0152289	0.0065161	0.0277989	0.00564605	3.47872e-06	0.0130627	0.00966464	0.00514282	0.112142	0.0192825	0.0078112	0.00814729	0.00593558	0.00521172	0.271382	0	0.232179	0.228844	0	0.267595	0.271382	0.232179	0.228844	0.267595	0.28226	0.21465	0.220613	0.282477	1.388446
140	-3547630	-3547657	26.77224	0.00206486	0.00189003	0.0206153	0.00456082	0.097903	0.033956	0.0111457	0.0886834	0.0507928	0.0084712	0.161293	0.00385759	0.00180302	0.0175404	0.641658	0.0152289	0.00677581	0.0277989	0.00601429	1.18333e-05	0.0130627	0.00966464	0.00514282	0.112142	0.0192825	0.00768214	0.00832774	0.00602832	0.00536459	0.271224	0	0.232044	0.229294	0	0.267438	0.271224	0.232044	0.229294	0.267438	0.28226	0.21465	0.220613	0.282477	1.388762
150	-3547634	-3547660	26.77011	0.00206486	0.00189003	0.0206153	0.00470745	0.097903	0.033956	0.0112213	0.088538	0.0507928	0.0084712	0.161293	0.00385759	0.00182762	0.0175404	0.641658	0.0152289	0.00677581	0.0277989	0.00601429	2.04014e-05	0.0131335	0.00966464	0.00514282	0.112142	0.0192825	0.00784064	0.00832774	0.00607948	0.00518728	0.271224	0	0.232044	0.229294	0	0.267438	0.271224	0.232044	0.229294	0.267438	0.28226	0.21465	0.220613	0.282477	1.388975
160	-3547593	-3547619	26.76745	0.00208802	0.00189003	0.0206153	0.00470745	0.0987921	0.033956	0.0112213	0.088538	0.0507928	0.00873658	0.161293	0.00384947	0.00180395	0.0175404	0.641658	0.0152289	0.00677581	0.0273714	0.0058147	1.87657e-05	0.0131335	0.00987765	0.00514282	0.112142	0.0192122	0.00784064	0.00832774	0.00587147	0.00500155	0.271487	0	0.227934	0.229516	0	0.271064	0.271487	0.227934	0.229516	0.271064	0.282966	0.215186	0.218664	0.283184	1.389241
170	-3547592	-3547619	26.76588	0.00208802	0.00189003	0.0209336	0.00476549	0.0988511	0.033956	0.0112213	0.088538	0.0500915	0.00873658	0.161293	0.00384947	0.00180395	0.0175404	0.641658	0.0153623	0.00682782	0.0273714	0.0058147	1.97835e-05	0.0131335	0.00987765	0.00514282	0.112142	0.0192122	0.00781807	0.00832774	0.00610792	0.00502363	0.271487	0	0.227934	0.229516	0	0.271064	0.271487	0.227934	0.229516	0.271064	0.282966	0.215186	0.218664	0.283184	1.389398
180	-3547590	-3547617	26.76813	0.00217886	0.00186392	0.0209336	0.00476549	0.0988511	0.033956	0.0114017	0.088538	0.0500915	0.00852989	0.161293	0.00384947	0.00180395	0.0175404	0.641658	0.0153623	0.00682782	0.0273714	0.00615078	9.64237e-06	0.0128566	0.00987765	0.00514282	0.112142	0.0191689	0.00767457	0.00825428	0.00605659	0.00502363	0.271487	0	0.227934	0.229516	0	0.271064	0.271487	0.227934	0.229516	0.271064	0.282966	0.215186	0.218664	0.283184	1.389174
190	-3547570	-3547597	26.75655	0.00218163	0.00185601	0.0211928	0.00455492	0.0988511	0.033956	0.0114358	0.088538	0.0500915	0.00852989	0.161593	0.00378382	0.00187136	0.0175404	0.641658	0.0156708	0.00661426	0.0273714	0.00604274	7.18595e-06	0.0132177	0.00987765	0.00502396	0.112142	0.0191689	0.00767457	0.00825428	0.00605659	0.00557504	0.271474	0	0.227923	0.229552	0	0.271051	0.271474	0.227923	0.229552	0.271051	0.283725	0.215764	0.216567	0.283944	1.390331
200	-3547582	-3547609	26.76452	0.00218163	0.00185601	0.0211928	0.00451361	0.0988511	0.0337858	0.0108446	0.088538	0.0500915	0.00839127	0.161593	0.00378382	0.00173299	0.0175404	0.642187	0.0156708	0.0065083	0.0273714	0.00586397	6.91769e-06	0.0132177	0.00995316	0.00502396	0.112142	0.0191689	0.00767457	0.00825428	0.00598086	0.0056135	0.272008	0	0.227756	0.229384	0	0.270852	0.272008	0.227756	0.229384	0.270852	0.283725	0.215764	0.216567	0.283944	1.389534
