Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er_trans[1]	er_trans[2]	er_trans[3]	er_trans[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-6848663	-6848676	12.42494	0.0269015	0.081585	0.0710712	0.0476598	0.033549	0.468301	0.0398367	0.219214	0.0246495	0.0476564	0.133416	0.0366621	0.127861	0.0795657	0.0913129	0.387219	0.0617704	0.216727	0.0298195	0.0475964	0.190614	0.050344	0.00369977	0.0478782	0.0989905	0.0608286	0.00113893	0.0954074	0.00221644	0.179957	0	0.339193	0.373983	0	0.106867	0.179957	0.339193	0.373983	0.106867	0.0145464	0.123335	0.382026	0.480092	2.823492
10	-3933501	-3933527	25.49163	0.00989322	0.00923645	0.0166049	0.00633819	0.119269	0.0875099	0.0118743	0.0887302	0.0816487	0.027392	0.151881	0.0340446	0.107277	0.0343741	0.387354	0.0949636	0.00862533	0.0375859	0.0175593	0.0242308	0.0800387	0.00606568	0.00104911	0.0208126	0.00913325	0.0255315	0.000805329	0.0153605	0.00163506	0.300006	0	0.195862	0.254752	0	0.24938	0.300006	0.195862	0.254752	0.24938	0.294527	0.17982	0.230398	0.295254	1.516824
20	-3698271	-3698298	27.0219	0.00649939	0.00444488	0.023135	0.0039332	0.103531	0.0274393	0.0117917	0.0887302	0.0581259	0.00862903	0.151881	0.0138164	0.0650634	0.019964	0.576168	0.0604151	0.0160034	0.0218113	0.00761622	0.012663	0.0283366	0.0103699	0.00164256	0.00526748	0.00476221	0.0156674	0.0043285	0.011103	0.000656888	0.302527	0	0.221117	0.224881	0	0.251475	0.302527	0.221117	0.224881	0.251475	0.283674	0.221804	0.198211	0.296311	1.363796
30	-3556557	-3556582	25.81138	0.00237705	0.00201186	0.023135	0.0046606	0.0991076	0.0274393	0.0111899	0.0887302	0.0493785	0.00862903	0.169901	0.00814405	0.0125211	0.0175085	0.701294	0.0149839	0.0144508	0.00573892	0.00549928	0.00770519	0.0270002	0.127488	0.00949667	0.00562407	0.00698632	0.0174725	0.00920954	0.00701389	0.000151282	0.28416	0	0.218686	0.217419	0	0.279735	0.28416	0.218686	0.217419	0.279735	0.284624	0.222547	0.198875	0.293954	1.484848
40	-3549634	-3549660	26.24577	0.00218398	0.00201186	0.0222677	0.00462299	0.0991076	0.0336578	0.0110525	0.0887302	0.0508744	0.00862903	0.169901	0.00617204	0.00379664	0.0175085	0.691398	0.0149839	0.0127209	0.00493326	0.00524182	0.00770519	0.0270002	0.102232	0.00783723	0.0059761	0.00698632	0.0183073	0.00889775	0.00661218	6.01306e-05	0.276012	0	0.239306	0.212968	0	0.271714	0.276012	0.239306	0.212968	0.271714	0.27522	0.215194	0.225344	0.284242	1.441409
50	-3548685	-3548712	27.03185	0.00218398	0.00188278	0.0206015	0.00462299	0.0991076	0.0339456	0.0118066	0.0887302	0.050084	0.00854269	0.169901	0.00363445	0.00172277	0.0175085	0.617824	0.0153259	0.0127209	0.00566658	0.00521974	0.00770519	0.0269969	0.102232	0.00783723	0.0059761	0.00642471	0.0186358	0.00904448	0.00685681	5.91459e-05	0.276012	0	0.239306	0.212968	0	0.271714	0.276012	0.239306	0.212968	0.271714	0.27522	0.215194	0.225344	0.284242	1.362801
60	-3548269	-3548296	26.86782	0.00215969	0.00188278	0.0213526	0.00457553	0.0991076	0.0339456	0.0118066	0.0887302	0.050084	0.00850091	0.169901	0.00385901	0.0017412	0.0176929	0.633322	0.0153259	0.0127209	0.00539583	0.00550015	0.00770519	0.0269969	0.10248	0.00783723	0.0058815	0.00640464	0.018585	0.00880032	0.00685681	5.1992e-05	0.27018	0	0.23425	0.229597	0	0.265973	0.27018	0.23425	0.229597	0.265973	0.27522	0.215194	0.225344	0.284242	1.379204
70	-3547793	-3547820	26.78562	0.00215969	0.00188278	0.0209825	0.00457553	0.0991076	0.0339456	0.0118373	0.0887302	0.050084	0.0083309	0.169901	0.00385901	0.00174397	0.0176929	0.633322	0.0153259	0.0132727	0.00541255	0.00550015	0.00822351	0.0271259	0.110027	0.00783723	0.00588155	0.00640464	0.018585	0.00880032	0.00685681	1.5094e-05	0.27018	0	0.23425	0.229597	0	0.265973	0.27018	0.23425	0.229597	0.265973	0.281759	0.220307	0.215932	0.282001	1.387424
80	-3547722	-3547749	26.90432	0.00215969	0.00188278	0.0209825	0.00431269	0.0991076	0.0339203	0.0118373	0.0887302	0.050084	0.00856629	0.15767	0.00385901	0.00187739	0.0176929	0.633322	0.0153259	0.0132727	0.00541255	0.00511913	0.00822351	0.0272829	0.110027	0.00782214	0.00583942	0.00670235	0.0187581	0.00880032	0.0069381	2.49325e-05	0.27002	0	0.234301	0.229648	0	0.266032	0.27002	0.234301	0.229648	0.266032	0.281759	0.220307	0.215932	0.282001	1.375554
90	-3547670	-3547697	26.86057	0.00215969	0.00188278	0.0209825	0.00431269	0.0989109	0.0339203	0.0116854	0.0887302	0.0508118	0.00856629	0.160503	0.00385901	0.00176436	0.0176929	0.633322	0.0154689	0.0130354	0.00541255	0.00511913	0.00822351	0.0272829	0.111543	0.00758392	0.00594912	0.00670235	0.0187581	0.00880032	0.0069381	8.67857e-06	0.271169	0	0.235299	0.226368	0	0.267164	0.271169	0.235299	0.226368	0.267164	0.280469	0.219299	0.219521	0.280711	1.379929
