
RevBayes version (1.1.1)
Build from development (rapture-649-g20534c) on Sun Apr 18 13:22:17 CDT 2021

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/combined_evidence_fbd_clean.Rev")
   Processing file "scripts/combined_evidence_fbd_clean.Rev"
   Successfully read one character matrix from file 'data/nuclear.nex'
   Successfully read one character matrix from file 'data/morpho_clean.nex'
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   WARNING: There are 18 characters incompatible with the specified coding bias. These characters will be excluded.
   Could not compute lnProb for node fbd_tree.
   ((Urocyon_minicephalus[&index=23]:6.491439,Urocyon_...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   ((Urocyon_cinereoargenteus[&index=23]:9.153915,Uroc...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   (Urocyon_webbi[&index=23]:18.355508,((Urocyon_minic...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   ((Urocyon_webbi[&index=23]:5.030323,Urocyon_cinereo...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   ((Urocyon_cinereoargenteus[&index=23]:15.518183,Uro...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   ((Urocyon_minicephalus[&index=23]:13.556674,Urocyon...

   Drawing new initial states ...

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 296 different moves in a random move schedule with 346.767 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |   divtime_di..   |   divtime_ja..   |      root_time   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
0           |   -5.09223e+06   |   -5.09201e+06   |       -214.837   |       20.93218   |       20.93218   |       23.64815   |   00:00:00   |   --:--:--   |
1000        |   -2.55914e+06   |   -2.55922e+06   |        86.4272   |       20.35428   |       20.35428   |       29.56602   |   00:09:31   |   --:--:--   |
2000        |    -2.5591e+06   |    -2.5592e+06   |        96.7817   |       20.37822   |       20.37822   |        29.0513   |   00:18:53   |   46:53:37   |
3000        |   -2.55908e+06   |   -2.55918e+06   |        100.547   |        20.7819   |        20.7819   |       26.75381   |   00:28:20   |   46:45:00   |
4000        |   -2.55908e+06   |   -2.55919e+06   |        105.607   |       20.80517   |       20.80517   |        25.1671   |   00:37:38   |   46:24:52   |
5000        |   -2.55904e+06   |   -2.55917e+06   |        128.823   |       20.67923   |       20.67923   |       29.80855   |   00:46:54   |   46:07:06   |
6000        |   -2.55904e+06   |   -2.55916e+06   |        120.289   |       20.49294   |       20.49294   |       28.50861   |   00:55:53   |   45:38:17   |
7000        |   -2.55904e+06   |   -2.55916e+06   |        118.781   |       20.38039   |       20.38039   |       27.60783   |   01:05:00   |   45:20:42   |
8000        |   -2.55903e+06   |   -2.55917e+06   |        137.731   |       20.43816   |       20.43816   |       29.94487   |   01:14:05   |   45:04:02   |
9000        |   -2.55904e+06   |   -2.55917e+06   |        130.616   |       20.45466   |       20.45466   |        29.7574   |   01:22:57   |   44:42:03   |
10000       |   -2.55907e+06   |   -2.55917e+06   |        103.449   |       20.65033   |       20.65033   |       26.71488   |   01:31:48   |   44:22:12   |
11000       |   -2.55906e+06   |   -2.55917e+06   |        109.263   |       20.83423   |       20.83423   |       29.69397   |   01:40:39   |   44:04:21   |
12000       |   -2.55903e+06   |   -2.55915e+06   |        123.688   |       20.87682   |       20.87682   |       28.59221   |   01:49:40   |   43:52:00   |
13000       |   -2.55587e+06   |   -2.55599e+06   |        118.115   |        21.1801   |        21.1801   |       28.95152   |   01:58:38   |   43:39:03   |
14000       |   -2.55587e+06   |   -2.55599e+06   |        115.614   |       20.93462   |       20.93462   |        26.9509   |   02:07:34   |   43:26:00   |
15000       |   -2.54834e+06   |   -2.54848e+06   |        141.524   |       23.12066   |       23.12066   |       28.45275   |   02:16:25   |   43:11:55   |
