
RevBayes version (1.1.1)
Build from development (rapture-649-g20534c) on Sun Apr 18 13:22:17 CDT 2021

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/combined_evidence_fbd_clean.Rev")
   Processing file "scripts/combined_evidence_fbd_clean.Rev"
   Successfully read one character matrix from file 'data/nuclear.nex'
   Successfully read one character matrix from file 'data/morpho_clean.nex'
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   WARNING: There are 18 characters incompatible with the specified coding bias. These characters will be excluded.
   Could not compute lnProb for node fbd_tree.
   (((((Canis_arnensis[&index=23]:11.734823,Canis_latr...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   (Urocyon_cinereoargenteus[&index=23]:23.310167,((Ur...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   (((Canis_mosbachensis[&index=23]:2.209081,Lycaon_pi...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   (Urocyon_cinereoargenteus[&index=23]:23.310167,((Ur...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   ((((((Canis_variabilis[&index=23]:4.165806,Lycaon_p...

   Drawing new initial states ...

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 296 different moves in a random move schedule with 346.767 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |   divtime_di..   |   divtime_ja..   |      root_time   |    elapsed   |        ETA   |
32000       |   -2.54573e+06   |   -2.54584e+06   |        110.068   |       15.65815   |       15.65815   |       29.14346   |   05:05:04   |   42:34:56   |
33000       |   -2.54574e+06   |   -2.54584e+06   |         98.087   |       15.66126   |       15.66126   |       23.74913   |   05:14:18   |   42:22:58   |
34000       |   -2.54572e+06   |   -2.54584e+06   |        111.605   |       15.50464   |       15.50464   |       27.63278   |   05:23:34   |   42:11:26   |
35000       |   -2.54572e+06   |   -2.54584e+06   |         123.49   |       15.49854   |       15.49854   |       26.31664   |   05:32:32   |   41:57:45   |
36000       |    -2.5457e+06   |   -2.54583e+06   |        129.071   |       15.50414   |       15.50414   |       29.11002   |   05:41:52   |   41:47:01   |
37000       |   -2.54571e+06   |   -2.54583e+06   |        120.217   |       15.47746   |       15.47746   |       28.52861   |   05:51:09   |   41:36:00   |
38000       |   -2.54571e+06   |   -2.54582e+06   |        110.566   |       15.81921   |       15.81921   |       26.61621   |   06:00:26   |   41:25:05   |
39000       |   -2.54571e+06   |   -2.54583e+06   |        118.535   |       15.72041   |       15.72041   |       27.93756   |   06:09:42   |   41:14:08   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   divtime_di..   |   divtime_ja..   |      root_time   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
40000       |    -2.5457e+06   |   -2.54582e+06   |        121.746   |       15.72175   |       15.72175   |       25.05513   |   06:19:02   |   41:03:43   |
41000       |   -2.54574e+06   |   -2.54583e+06   |        85.7491   |       15.73932   |       15.73932   |       25.47209   |   06:28:19   |   40:53:01   |
42000       |   -2.54571e+06   |   -2.54582e+06   |        110.384   |       15.77573   |       15.77573   |       25.20359   |   06:37:43   |   40:43:06   |
43000       |   -2.54572e+06   |   -2.54583e+06   |        107.363   |        15.7486   |        15.7486   |        28.4117   |   06:47:11   |   40:33:37   |
44000       |   -2.54571e+06   |   -2.54582e+06   |        110.495   |       15.70246   |       15.70246   |       26.57159   |   06:56:37   |   40:23:57   |
45000       |   -2.54573e+06   |   -2.54583e+06   |        97.6866   |       15.63447   |       15.63447   |       29.92757   |   07:06:00   |   40:14:00   |
46000       |    -2.5457e+06   |   -2.54582e+06   |        120.056   |       15.53083   |       15.53083   |        26.9005   |   07:15:12   |   40:03:03   |
47000       |   -2.54469e+06   |   -2.54478e+06   |        92.1776   |       16.21294   |       15.36853   |       25.60928   |   07:24:20   |   39:51:50   |
48000       |   -2.54465e+06   |   -2.54477e+06   |        121.548   |       16.19483   |       15.44563   |       24.18346   |   07:33:41   |   39:41:50   |
49000       |   -2.54466e+06   |   -2.54477e+06   |        109.174   |       16.18651   |       15.35338   |       28.03227   |   07:43:04   |   39:32:02   |
50000       |   -2.54466e+06   |   -2.54477e+06   |        109.917   |        16.1532   |       15.33687   |       29.37947   |   07:52:26   |   39:22:10   |
51000       |   -2.54466e+06   |   -2.54477e+06   |        116.848   |       16.10001   |       15.21815   |       26.13888   |   08:01:46   |   39:12:09   |
52000       |   -2.54469e+06   |   -2.54478e+06   |        95.8503   |       16.45729   |       15.33679   |       28.25063   |   08:11:08   |   39:02:19   |
53000       |   -2.54468e+06   |   -2.54478e+06   |         97.127   |       16.60091   |       15.43956   |       26.68425   |   08:20:30   |   38:52:31   |
54000       |   -2.54466e+06   |   -2.54478e+06   |        114.617   |       16.81733   |       15.27871   |       27.48633   |   08:29:43   |   38:42:02   |
55000       |   -2.54467e+06   |   -2.54478e+06   |        109.345   |       16.62376   |       15.38885   |       27.95799   |   08:39:06   |   38:32:21   |
56000       |   -2.54466e+06   |   -2.54477e+06   |        107.018   |       16.69398   |       15.12904   |       29.88502   |   08:48:30   |   38:22:45   |
57000       |   -2.54468e+06   |   -2.54477e+06   |         89.016   |       17.04296   |       15.20741   |       28.62382   |   08:57:54   |   38:13:09   |
58000       |   -2.54466e+06   |   -2.54478e+06   |        121.627   |       17.27616   |       15.39176   |       26.43764   |   09:07:25   |   38:04:02   |
59000       |   -2.54467e+06   |   -2.54478e+06   |        115.101   |       17.06006   |        15.3378   |       26.99973   |   09:16:46   |   37:54:15   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   divtime_di..   |   divtime_ja..   |      root_time   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
60000       |   -2.54466e+06   |   -2.54477e+06   |        108.064   |       17.31097   |       15.13705   |       28.62382   |   09:26:05   |   37:44:20   |
61000       |   -2.54467e+06   |   -2.54478e+06   |         104.51   |       17.93718   |       14.67921   |       27.81608   |   09:35:26   |   37:34:34   |
62000       |   -2.54465e+06   |   -2.54477e+06   |        116.951   |       17.73984   |       14.56476   |       27.22642   |   09:44:46   |   37:24:44   |
63000       |   -2.54468e+06   |   -2.54477e+06   |        93.2801   |       17.81629   |       14.42847   |       26.72592   |   09:54:17   |   37:15:38   |
64000       |   -2.54469e+06   |   -2.54479e+06   |        102.194   |       17.44583   |       14.49182   |       28.07614   |   10:03:53   |   37:06:49   |
65000       |   -2.54466e+06   |   -2.54478e+06   |        122.859   |       17.58933   |       14.56136   |       28.20929   |   10:13:07   |   36:56:39   |
66000       |   -2.54467e+06   |   -2.54479e+06   |        117.477   |       17.49895   |       14.66842   |       28.23866   |   10:22:33   |   36:47:13   |
67000       |    -2.5447e+06   |   -2.54479e+06   |        86.6275   |       18.02438   |        14.5458   |       28.65532   |   10:31:55   |   36:37:33   |
68000       |    -2.5447e+06   |   -2.54479e+06   |        96.5988   |       17.77602   |       14.46356   |       27.10121   |   10:41:15   |   36:27:47   |
69000       |   -2.54467e+06   |   -2.54478e+06   |        117.468   |       17.80043   |       14.49053   |        28.3916   |   10:50:33   |   36:17:55   |
70000       |   -2.54468e+06   |   -2.54478e+06   |        95.8708   |       17.08279   |         14.481   |       29.54252   |   11:00:02   |   36:08:40   |
71000       |   -2.54469e+06   |   -2.54478e+06   |        95.7792   |       17.56335   |       14.66686   |       29.25938   |   11:09:24   |   35:59:03   |
72000       |   -2.54466e+06   |   -2.54478e+06   |        127.051   |       17.83274   |       14.64554   |       27.51295   |   11:18:54   |   35:49:51   |
73000       |   -2.54467e+06   |   -2.54478e+06   |         111.84   |       16.93256   |       14.65464   |       27.31573   |   11:28:04   |   35:39:36   |
74000       |   -2.54467e+06   |   -2.54478e+06   |        112.594   |       16.67497   |       14.86654   |       28.01825   |   11:37:14   |   35:29:23   |
75000       |   -2.54471e+06   |   -2.54478e+06   |        69.5197   |       16.75225   |       14.67761   |       27.02659   |   11:46:31   |   35:19:33   |
76000       |   -2.54467e+06   |   -2.54478e+06   |        104.609   |       16.77071   |       14.74426   |       29.10643   |   11:55:45   |   35:09:34   |
77000       |   -2.54467e+06   |   -2.54478e+06   |         107.18   |       16.74047   |       14.83592   |       27.38623   |   12:05:04   |   34:59:52   |
78000       |   -2.54469e+06   |   -2.54477e+06   |          84.53   |       16.46144   |       14.67184   |        26.6808   |   12:14:38   |   34:50:52   |
79000       |   -2.54466e+06   |   -2.54478e+06   |        122.923   |       16.22435   |       14.49707   |       26.39058   |   12:24:21   |   34:42:17   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   divtime_di..   |   divtime_ja..   |      root_time   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
80000       |   -2.54464e+06   |   -2.54478e+06   |        140.076   |       16.74987   |       14.28785   |       28.08512   |   12:33:47   |   34:32:54   |
81000       |   -2.54465e+06   |   -2.54477e+06   |        118.468   |       16.85255   |       14.22159   |       29.20041   |   12:43:05   |   34:23:09   |
82000       |   -2.54468e+06   |   -2.54478e+06   |        99.5572   |        17.0154   |       14.49182   |       29.26934   |   12:52:39   |   34:14:07   |
83000       |    -2.5447e+06   |   -2.54478e+06   |        76.4786   |       17.37943   |       14.17306   |       26.02475   |   13:02:00   |   34:04:30   |
84000       |   -2.54468e+06   |   -2.54477e+06   |        99.2539   |       17.67696   |       13.83614   |       29.40329   |   13:11:07   |   33:54:17   |
85000       |   -2.54468e+06   |   -2.54478e+06   |        94.8719   |       17.39795   |       13.65448   |       27.55531   |   13:20:12   |   33:44:02   |
86000       |    -2.5447e+06   |   -2.54478e+06   |        84.3432   |       17.31807   |       13.77406   |       25.73782   |   13:29:12   |   33:33:35   |
87000       |   -2.54469e+06   |   -2.54479e+06   |        101.717   |       17.26544   |       14.20696   |       25.95289   |   13:38:15   |   33:23:18   |
88000       |   -2.54467e+06   |   -2.54478e+06   |        119.569   |       17.28453   |        13.8628   |       29.69415   |   13:47:05   |   33:12:31   |
89000       |   -2.54468e+06   |   -2.54479e+06   |        117.811   |        17.1828   |        13.9312   |       25.16628   |   13:55:56   |   33:01:49   |
90000       |   -2.54468e+06   |   -2.54478e+06   |        103.343   |       16.99485   |       13.42816   |       28.52788   |   14:04:44   |   32:51:02   |
91000       |   -2.54468e+06   |   -2.54478e+06   |        105.169   |       16.93343   |       13.60487   |        27.1118   |   14:13:29   |   32:40:11   |
92000       |    -2.5447e+06   |   -2.54479e+06   |        80.8929   |        16.8602   |       13.41222   |       26.53279   |   14:22:19   |   32:29:35   |
93000       |    -2.5447e+06   |   -2.54479e+06   |        92.7633   |       16.75242   |       13.24201   |       29.65261   |   14:31:16   |   32:19:16   |
94000       |   -2.54466e+06   |   -2.54478e+06   |        120.117   |        16.8265   |       13.25973   |       24.68643   |   14:40:14   |   32:09:01   |
95000       |   -2.54468e+06   |   -2.54479e+06   |        108.722   |       16.82639   |        13.2834   |       29.37888   |   14:49:07   |   31:58:37   |
96000       |   -2.54466e+06   |   -2.54478e+06   |        115.728   |       16.49263   |          13.37   |       25.58766   |   14:58:07   |   31:48:29   |
97000       |   -2.54467e+06   |   -2.54478e+06   |        113.399   |       16.27737   |       13.38181   |        26.5405   |   15:07:03   |   31:38:15   |
98000       |   -2.54466e+06   |   -2.54478e+06   |         114.48   |       16.51756   |       13.14625   |       28.37421   |   15:15:59   |   31:28:02   |
99000       |   -2.54467e+06   |   -2.54478e+06   |        108.327   |       16.11768   |        13.3064   |       26.08708   |   15:25:00   |   31:18:01   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   divtime_di..   |   divtime_ja..   |      root_time   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
100000      |   -2.54467e+06   |   -2.54478e+06   |        107.345   |       15.95418   |       13.24524   |       28.04168   |   15:33:58   |   31:07:56   |
101000      |   -2.54469e+06   |   -2.54477e+06   |        79.6423   |       15.98562   |       13.04992   |       25.25813   |   15:42:59   |   30:57:57   |
102000      |   -2.54466e+06   |   -2.54478e+06   |        116.021   |       16.04783   |       12.99425   |        27.7428   |   15:52:06   |   30:48:11   |
103000      |   -2.54467e+06   |   -2.54478e+06   |        113.901   |       16.05767   |       12.90778   |        24.7857   |   16:01:21   |   30:38:41   |
104000      |   -2.54469e+06   |   -2.54479e+06   |        99.2668   |       16.08323   |       12.90695   |       24.58781   |   16:10:27   |   30:28:55   |
105000      |   -2.54468e+06   |   -2.54478e+06   |        102.964   |       16.32265   |        12.9092   |       26.72788   |   16:19:30   |   30:19:04   |
106000      |   -2.54469e+06   |   -2.54478e+06   |        95.6582   |       16.37763   |       12.90592   |        25.6736   |   16:28:39   |   30:09:24   |
107000      |   -2.54467e+06   |   -2.54478e+06   |        108.334   |       16.41532   |       12.93055   |       27.85106   |   16:37:44   |   29:59:38   |
108000      |   -2.54467e+06   |   -2.54479e+06   |        120.658   |       16.38275   |       12.90727   |       29.45357   |   16:47:01   |   29:50:15   |
109000      |   -2.54438e+06   |    -2.5445e+06   |         113.34   |       16.19553   |       13.00521   |       28.08398   |   16:56:10   |   29:40:37   |
110000      |   -2.54439e+06   |    -2.5445e+06   |        111.388   |       16.06857   |        13.0066   |       25.87921   |   17:05:26   |   29:31:12   |
111000      |   -2.54438e+06   |    -2.5445e+06   |        125.862   |       16.11483   |       12.98844   |       24.69284   |   17:14:20   |   29:21:09   |
112000      |   -2.54442e+06   |   -2.54452e+06   |        98.7506   |       16.15566   |       13.01502   |       29.52396   |   17:23:08   |   29:10:58   |
113000      |   -2.54438e+06   |    -2.5445e+06   |        120.656   |       15.96507   |       13.00163   |       27.63824   |   17:32:07   |   29:01:06   |
114000      |   -2.54438e+06   |    -2.5445e+06   |        126.215   |       15.98969   |       12.98957   |       25.72567   |   17:40:57   |   28:51:01   |
115000      |   -2.54439e+06   |    -2.5445e+06   |        109.805   |       16.18123   |       13.10283   |       29.72534   |   17:49:45   |   28:40:54   |
116000      |   -2.54439e+06   |    -2.5445e+06   |         109.32   |       16.37221   |       13.16664   |       28.05078   |   17:58:33   |   28:30:48   |
117000      |   -2.54437e+06   |    -2.5445e+06   |        129.246   |       16.39091   |       13.13601   |       25.04299   |   18:07:23   |   28:20:46   |
118000      |    -2.5444e+06   |   -2.54451e+06   |        109.698   |        16.4619   |       13.19913   |       28.08763   |   18:16:13   |   28:10:46   |
119000      |   -2.54439e+06   |   -2.54451e+06   |        118.291   |       16.35252   |       13.20823   |       26.80726   |   18:25:02   |   28:00:45   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   divtime_di..   |   divtime_ja..   |      root_time   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
120000      |   -2.54441e+06   |    -2.5445e+06   |        89.5021   |       16.20182   |       13.34022   |       27.21133   |   18:33:57   |   27:50:55   |
121000      |    -2.5444e+06   |   -2.54451e+06   |        108.198   |       16.21553   |       13.42182   |       25.48113   |   18:42:47   |   27:40:58   |
122000      |   -2.54437e+06   |   -2.54451e+06   |         138.07   |       16.13633   |        13.3887   |        29.0049   |   18:51:33   |   27:30:57   |
123000      |   -2.54437e+06   |    -2.5445e+06   |        128.879   |       16.30285   |       13.40307   |       29.39702   |   19:00:18   |   27:20:55   |
124000      |    -2.5444e+06   |   -2.54451e+06   |        111.216   |       16.30114   |       13.46169   |       26.75223   |   19:08:58   |   27:10:47   |
125000      |   -2.54438e+06   |    -2.5445e+06   |          116.8   |       16.27914   |       13.51997   |       28.68051   |   19:17:35   |   27:00:37   |
126000      |   -2.54443e+06   |   -2.54451e+06   |        86.8784   |       16.24077   |       13.38988   |       29.34585   |   19:26:13   |   26:50:29   |
127000      |    -2.5444e+06   |   -2.54452e+06   |        119.633   |       16.14165   |       13.42373   |       26.58232   |   19:34:54   |   26:40:27   |
128000      |    -2.5444e+06   |   -2.54451e+06   |        108.656   |       16.24213   |       13.35197   |       25.48753   |   19:43:18   |   26:30:03   |
129000      |   -2.54438e+06   |    -2.5445e+06   |        118.683   |       16.29439   |       13.20785   |       28.90652   |   19:51:55   |   26:19:58   |
130000      |   -2.54441e+06   |   -2.54451e+06   |        99.4076   |       16.42274   |       13.14081   |       29.20415   |   20:00:36   |   26:10:00   |
131000      |   -2.54439e+06   |    -2.5445e+06   |        116.691   |       16.53259   |       13.30016   |       25.84854   |   20:09:18   |   26:00:05   |
132000      |   -2.54438e+06   |    -2.5445e+06   |        118.026   |       16.51851   |        13.3044   |       25.22498   |   20:18:11   |   25:50:24   |
133000      |    -2.5444e+06   |   -2.54451e+06   |        112.501   |       16.74714   |       13.28726   |       26.19353   |   20:27:25   |   25:41:11   |
134000      |   -2.54439e+06   |   -2.54451e+06   |        116.483   |       16.34298   |       13.25555   |       26.25971   |   20:36:35   |   25:31:53   |
135000      |   -2.54439e+06   |   -2.54451e+06   |        112.084   |        16.3502   |       13.27619   |       25.67214   |   20:45:39   |   25:22:27   |
136000      |   -2.54438e+06   |    -2.5445e+06   |        111.957   |       16.55409   |       13.17197   |       27.39396   |   20:54:35   |   25:12:52   |
137000      |   -2.54438e+06   |   -2.54451e+06   |        129.389   |       16.59308   |        13.1271   |       29.57018   |   21:03:24   |   25:03:10   |
138000      |   -2.54441e+06   |   -2.54451e+06   |        99.8212   |       16.61336   |        13.0874   |       28.99267   |   21:12:20   |   24:53:36   |
139000      |   -2.54439e+06   |   -2.54451e+06   |        125.343   |       16.64053   |       13.10723   |       28.32389   |   21:21:08   |   24:43:54   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   divtime_di..   |   divtime_ja..   |      root_time   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
140000      |   -2.54442e+06   |   -2.54451e+06   |        92.1599   |       16.72676   |        13.3349   |       26.08744   |   21:29:54   |   24:34:10   |
141000      |    -2.5444e+06   |   -2.54451e+06   |         109.74   |       16.68483   |       13.40598   |       28.36419   |   21:38:43   |   24:24:30   |
142000      |   -2.54437e+06   |    -2.5445e+06   |        135.103   |        16.4385   |       13.38918   |       28.95234   |   21:47:26   |   24:14:44   |
143000      |   -2.54437e+06   |    -2.5445e+06   |        122.502   |        16.5168   |       13.29434   |       25.26238   |   21:56:10   |   24:05:01   |
144000      |   -2.54438e+06   |    -2.5445e+06   |        113.513   |       16.86342   |       13.32977   |       27.77596   |   22:04:55   |   23:55:19   |
145000      |   -2.54439e+06   |    -2.5445e+06   |        109.069   |       17.03699   |       13.46594   |        25.0962   |   22:13:40   |   23:45:38   |
146000      |   -2.54441e+06   |    -2.5445e+06   |        86.2831   |       17.07297   |       13.47504   |       27.90562   |   22:22:30   |   23:36:03   |
147000      |    -2.5444e+06   |   -2.54451e+06   |        110.432   |       17.11592   |       13.31434   |       26.76834   |   22:31:14   |   23:26:23   |
148000      |   -2.54441e+06   |    -2.5445e+06   |        95.1224   |       16.89327   |       13.93708   |       26.96648   |   22:39:59   |   23:16:44   |
149000      |    -2.5444e+06   |    -2.5445e+06   |        104.405   |       17.11019   |       14.11903   |       28.97804   |   22:48:42   |   23:07:04   |
150000      |   -2.54441e+06   |   -2.54451e+06   |        101.971   |       17.20962   |       14.21542   |       29.07716   |   22:57:29   |   22:57:29   |
151000      |   -2.54439e+06   |    -2.5445e+06   |        117.205   |       17.10771   |       14.15903   |       26.38255   |   23:06:11   |   22:47:49   |
152000      |   -2.54439e+06   |   -2.54451e+06   |         115.35   |       17.09791   |       14.05319   |       24.96768   |   23:14:48   |   22:38:05   |
153000      |   -2.54438e+06   |    -2.5445e+06   |        121.887   |       17.30595   |       14.19326   |       25.05811   |   23:23:32   |   22:28:29   |
154000      |   -2.54441e+06   |   -2.54451e+06   |        97.1121   |        17.3326   |        14.4121   |       26.06063   |   23:32:32   |   22:19:09   |
155000      |    -2.5444e+06   |   -2.54451e+06   |        112.298   |       17.10662   |       14.83428   |       27.11541   |   23:41:22   |   22:09:39   |
156000      |   -2.54441e+06   |   -2.54451e+06   |        105.634   |       17.19533   |       14.65565   |       27.06835   |   23:50:08   |   22:00:07   |
