
RevBayes version (1.1.1)
Build from development (rapture-649-g20534c) on Sun Apr 11 23:30:45 CDT 2021

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/combined_evidence_fbd_clean.Rev")
   Processing file "scripts/combined_evidence_fbd_clean.Rev"
   Successfully read one character matrix from file 'data/nuclear.nex'
   Successfully read one character matrix from file 'data/morpho_clean.nex'
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   Could not compute lnProb for node fbd_tree.
   (Canis_edwardii[&index=23]:23.646973,(Canis_etruscu...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   (((Urocyon_webbi[&index=23]:4.827300,Canis_armbrust...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   (Canis_edwardii[&index=23]:23.646973,((Canis_chihli...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   (Canis_ferox[&index=23]:22.146973,(((((((Canis_diru...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   (((Canis_mosbachensis[&index=23]:13.640306,Canis_me...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   ((Canis_variabilis[&index=23]:15.307172,(Canis_edwa...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   (Canis_simensis[&index=23]:23.946973,((Urocyon_cine...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   ((Canis_adustus[&index=23]:12.242876,((Canis_mosbac...

   Drawing new initial states ...

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 30 different moves in a random move schedule with 76 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |   divtime_di..   |   divtime_ja..   |      root_time   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
0           |    -7.0599e+06   |   -7.05869e+06   |       -1210.41   |       23.94697   |       23.94697   |       26.45987   |   00:00:00   |   --:--:--   |
1000        |   -2.60288e+06   |    -2.6021e+06   |       -773.301   |       5.948409   |       5.948409   |       29.98382   |   00:04:45   |   --:--:--   |
2000        |   -2.60287e+06   |    -2.6021e+06   |       -768.987   |       5.949394   |       5.949394   |       29.92072   |   00:09:27   |   11:39:18   |
3000        |   -2.60287e+06   |    -2.6021e+06   |        -771.39   |       5.844042   |       5.844042   |       29.64766   |   00:14:08   |   11:32:32   |
4000        |   -2.60287e+06   |    -2.6021e+06   |       -768.306   |       5.838845   |       5.838845   |       29.49524   |   00:18:48   |   11:26:12   |
5000        |   -2.60288e+06   |   -2.60211e+06   |       -767.742   |        5.78973   |        5.78973   |       29.46217   |   00:23:32   |   11:22:28   |
6000        |   -2.60288e+06   |   -2.60211e+06   |       -775.733   |       5.715537   |       5.715537   |       29.76145   |   00:28:16   |   11:18:24   |
7000        |   -2.60288e+06   |   -2.60211e+06   |       -774.932   |       5.738603   |       5.738603   |       29.34321   |   00:32:57   |   11:13:07   |
8000        |   -2.60288e+06   |    -2.6021e+06   |       -779.812   |       5.653967   |       5.653967   |       28.69078   |   00:37:40   |   11:08:35   |
9000        |   -2.60289e+06   |   -2.60211e+06   |       -781.366   |       5.616319   |       5.616319   |       29.67346   |   00:42:21   |   11:03:29   |
10000       |   -2.60288e+06   |    -2.6021e+06   |       -775.402   |       5.581887   |       5.581887   |       28.25872   |   00:47:03   |   10:58:42   |
11000       |   -2.60288e+06   |   -2.60211e+06   |       -773.676   |       5.552115   |       5.552115   |       29.10154   |   00:51:43   |   10:53:30   |
12000       |   -2.60288e+06   |   -2.60211e+06   |       -771.899   |       5.594158   |       5.594158   |       29.64087   |   00:56:21   |   10:48:01   |
13000       |   -2.60288e+06   |    -2.6021e+06   |       -773.474   |       5.509691   |       5.509691   |       29.09742   |   01:01:07   |   10:44:04   |
14000       |   -2.60288e+06   |    -2.6021e+06   |       -773.694   |       5.482665   |       5.482665   |       28.10795   |   01:05:47   |   10:39:02   |
15000       |   -2.60288e+06   |    -2.6021e+06   |       -776.655   |       5.533311   |       5.533311   |       29.56653   |   01:10:29   |   10:34:21   |
16000       |   -2.60287e+06   |   -2.60211e+06   |       -761.909   |       5.402022   |       5.402022   |       29.62363   |   01:15:10   |   10:29:31   |
17000       |   -2.60287e+06   |   -2.60211e+06   |       -763.822   |       5.392239   |       5.392239   |       28.24703   |   01:19:54   |   10:25:06   |
18000       |   -2.60288e+06   |   -2.60211e+06   |       -770.584   |       5.398314   |       5.398314   |       27.15651   |   01:24:36   |   10:20:24   |
19000       |   -2.60287e+06   |    -2.6021e+06   |       -769.329   |       5.378061   |       5.378061   |       28.26738   |   01:29:14   |   10:15:14   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   divtime_di..   |   divtime_ja..   |      root_time   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
20000       |   -2.60287e+06   |    -2.6021e+06   |       -768.186   |       5.257959   |       5.257959   |       29.05568   |   01:33:54   |   10:10:21   |
21000       |   -2.60288e+06   |   -2.60211e+06   |       -769.136   |        5.27832   |        5.27832   |       29.20796   |   01:38:35   |   10:05:34   |
22000       |   -2.60287e+06   |    -2.6021e+06   |       -763.762   |       5.273762   |       5.273762   |       26.85991   |   01:43:14   |   10:00:37   |
23000       |   -2.60287e+06   |    -2.6021e+06   |       -770.763   |       5.251964   |       5.251964   |       28.63823   |   01:47:55   |   09:55:53   |
24000       |   -2.60287e+06   |   -2.60211e+06   |       -762.547   |       5.248478   |       5.248478   |       29.07238   |   01:52:40   |   09:51:30   |
25000       |   -2.60287e+06   |    -2.6021e+06   |       -769.236   |       5.204458   |       5.204458   |       29.74747   |   01:57:21   |   09:46:45   |
26000       |   -2.60287e+06   |    -2.6021e+06   |       -761.437   |       5.193343   |       5.193343   |       28.82648   |   02:01:59   |   09:41:46   |
27000       |   -2.60287e+06   |   -2.60211e+06   |       -769.145   |       5.276483   |       5.276483   |       29.20562   |   02:06:40   |   09:37:02   |
28000       |   -2.60287e+06   |   -2.60211e+06   |       -767.093   |       5.405694   |       5.405694   |       27.21481   |   02:11:20   |   09:32:14   |
29000       |   -2.60287e+06   |    -2.6021e+06   |       -769.238   |       5.399647   |       5.399647   |         29.536   |   02:15:57   |   09:27:14   |
30000       |   -2.60287e+06   |   -2.60211e+06   |        -764.56   |       5.344502   |       5.344502   |       29.20594   |   02:20:40   |   09:22:40   |
31000       |   -2.60288e+06   |   -2.60211e+06   |       -773.356   |        5.29048   |        5.29048   |       28.39113   |   02:25:21   |   09:17:57   |
32000       |   -2.60288e+06   |   -2.60211e+06   |        -771.68   |        5.19303   |        5.19303   |       26.81667   |   02:29:59   |   09:13:03   |
33000       |   -2.60287e+06   |    -2.6021e+06   |        -766.58   |       5.164746   |       5.164746   |       29.87299   |   02:34:43   |   09:08:32   |
34000       |   -2.60287e+06   |    -2.6021e+06   |       -764.602   |       5.192863   |       5.192863   |       27.96987   |   02:39:22   |   09:03:43   |
35000       |   -2.60287e+06   |   -2.60211e+06   |       -765.892   |       5.233639   |       5.233639   |       26.86897   |   02:44:03   |   08:59:01   |
36000       |   -2.60287e+06   |   -2.60211e+06   |       -765.135   |       5.147123   |       5.147123   |        29.2913   |   02:48:41   |   08:54:09   |
37000       |   -2.60287e+06   |    -2.6021e+06   |       -771.233   |       5.176963   |       5.176963   |       27.62185   |   02:53:20   |   08:49:22   |
38000       |   -2.60288e+06   |   -2.60211e+06   |       -778.069   |       5.085528   |       5.085528   |       28.54263   |   02:58:00   |   08:44:37   |
39000       |   -2.60287e+06   |    -2.6021e+06   |       -767.167   |       5.059862   |       5.059862   |       25.44577   |   03:02:42   |   08:39:59   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   divtime_di..   |   divtime_ja..   |      root_time   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
40000       |   -2.60287e+06   |   -2.60211e+06   |       -765.629   |       5.053949   |       5.053949   |       25.55278   |   03:07:24   |   08:35:21   |
41000       |   -2.60288e+06   |    -2.6021e+06   |       -774.037   |       5.018709   |       5.018709   |       26.45125   |   03:12:03   |   08:30:34   |
42000       |   -2.60287e+06   |    -2.6021e+06   |       -767.565   |       5.097845   |       5.097845   |       29.51369   |   03:16:44   |   08:25:53   |
43000       |   -2.60288e+06   |   -2.60211e+06   |       -769.886   |       5.069999   |       5.069999   |        29.4572   |   03:21:23   |   08:21:07   |
44000       |   -2.60289e+06   |    -2.6021e+06   |       -780.809   |       5.067291   |       5.067291   |       28.28658   |   03:26:02   |   08:16:21   |
45000       |   -2.60286e+06   |   -2.60211e+06   |       -756.339   |       5.021244   |       5.021244   |       29.79701   |   03:30:45   |   08:11:45   |
