Iteration	Replicate_ID	Posterior	Likelihood	Prior	birth	clock_morpho	clock_nuclear	death	diversification	divtime_dirus	divtime_jackals	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er_transv[1]	er_transv[2]	er_transv[3]	er_transv[4]	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	pi[1]	pi[2]	pi[3]	pi[4]	pi_scale	psi	root_time	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	turnover
17	1	-2603041	-2602111	-930.4809	0.51229	3.462254	0.06004238	0.06823404	0.4440559	1.365541	1.365541	0.271698	0	0.229367	0.226219	0	0.272716	0.271698	0.229367	0.226219	0.272716	0	0	0	0	0	0	0	0	0	0	0	0	0	0.284356	0.216678	0.216274	0.282692	0.5444746	0.1952328	10.5459	1.38448	0.504103	10.2071	5.40279	5.21377	4.17087	1.00312	1.98554	1.45505	1.26179	2.81565	1.20607	1.648	0.1331942
18	0	-2603075	-2602107	-968.006	0.4814459	2.341131	0.04618023	0.07377925	0.4076666	1.778998	1.778998	0.271721	0	0.228978	0.226109	0	0.273191	0.271721	0.228978	0.226109	0.273191	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283242	0.21634	0.216195	0.284223	0.6960632	0.1143626	20.44817	2.73764	2.86902	8.20277	3.67872	1.15711	3.53373	1.32861	2.08669	1.51621	0.480073	4.02434	0.591846	1.89974	0.1532452
19	1	-2603039	-2602110	-929.2304	0.9922629	2.326855	0.06024309	0.3366008	0.6556621	1.360529	1.360529	0.272408	0	0.230906	0.224357	0	0.272329	0.272408	0.230906	0.224357	0.272329	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282138	0.217092	0.217537	0.283233	0.6097459	0.2871073	21.98789	1.70654	2.79697	8.21961	2.45887	3.3723	2.75715	0.940185	1.69403	0.63227	0.374547	4.20969	0.30332	0.884469	0.3392254
20	0	-2603066	-2602108	-958.5402	0.60188	2.129245	0.04589556	0.1210171	0.4808629	1.784095	1.784095	0.273285	0	0.228654	0.225565	0	0.272497	0.273285	0.228654	0.225565	0.272497	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28333	0.216362	0.21643	0.283877	0.773493	0.1395465	12.30605	0.339098	1.40961	5.65303	2.53216	1.37422	4.80375	1.32115	0.975723	2.00084	2.21356	3.55599	2.32714	0.749129	0.2010652
21	1	-2603050	-2602111	-939.1372	0.5460663	3.601903	0.06032811	0.4056953	0.1403709	1.358501	1.358501	0.272121	0	0.231392	0.224447	0	0.27204	0.272121	0.231392	0.224447	0.27204	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282247	0.216809	0.217128	0.283816	0.5450866	0.09536838	10.54161	0.633889	5.34049	9.82307	3.07661	1.5278	0.0413982	0.832327	1.61383	1.30096	0.334911	4.76546	0.145623	1.81739	0.7429416
22	0	-2603059	-2602102	-956.6904	0.6309523	3.238044	0.04596016	0.2651062	0.3658461	1.788256	1.788256	0.271485	0	0.228988	0.226445	0	0.273081	0.271485	0.228988	0.226445	0.273081	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283533	0.216333	0.216854	0.283279	0.593095	0.3001763	11.50818	0.0403269	0.213808	5.68087	4.18497	1.62487	2.68736	0.922743	1.81025	0.232971	0.656806	3.65547	4.29727	0.55263	0.4201684
23	1	-2603044	-2602103	-940.5605	0.6089866	3.047624	0.06064585	0.1844209	0.4245657	1.358501	1.358501	0.271648	0	0.229911	0.226619	0	0.271823	0.271648	0.229911	0.226619	0.271823	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283546	0.216117	0.216602	0.283735	0.5609845	0.2114821	29.38527	3.80567	1.99985	9.43486	3.22619	1.82038	0.614893	0.897212	2.08625	1.77174	0.736225	4.34059	0.105138	0.734021	0.3028324
24	0	-2603067	-2602108	-959.0101	0.4018291	2.033306	0.0458356	0.03614463	0.3656844	1.779018	1.779018	0.271728	0	0.230616	0.225399	0	0.272257	0.271728	0.230616	0.225399	0.272257	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283429	0.216013	0.217261	0.283297	0.7109657	0.1680842	11.53756	0.734269	0.416868	5.58166	5.18862	0.736507	4.34441	0.911277	1.46312	0.574478	0.458548	2.71998	1.04419	0.633413	0.08995027
25	1	-2603035	-2602107	-927.3888	0.5438306	2.917345	0.06067374	0.0854648	0.4583658	1.351582	1.351582	0.271533	0	0.227911	0.226982	0	0.273574	0.271533	0.227911	0.226982	0.273574	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283553	0.217168	0.215538	0.283741	0.5827889	0.2690841	18.5575	0.28111	0.0275022	10.1339	2.94034	0.782089	0.544681	0.978799	1.61025	1.14051	0.525707	3.46983	1.6976	0.466234	0.1571534
26	0	-2603069	-2602104	-965.3807	0.9020022	3.421113	0.04587826	0.6596339	0.2423683	1.791616	1.791616	0.272093	0	0.230159	0.226661	0	0.271087	0.272093	0.230159	0.226661	0.271087	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283419	0.216374	0.216653	0.283554	0.6675809	0.1351127	9.574066	0.516987	0.0810503	7.77015	2.57444	0.881167	4.03281	1.70456	1.29972	1.15868	1.31203	4.74068	0.904158	3.31506	0.7312997
27	1	-2603049	-2602106	-943.7291	0.6554829	7.2716	0.06066351	0.2836362	0.3718467	1.351774	1.351774	0.272719	0	0.22968	0.226283	0	0.271318	0.272719	0.22968	0.226283	0.271318	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282995	0.216741	0.217434	0.282829	0.5874847	0.4592898	25.14688	0.315385	2.79271	10.3	2.97232	0.228486	0.852787	1.27913	1.66297	1.81512	0.116477	3.14265	3.47567	0.577871	0.4327133
28	0	-2603075	-2602105	-969.8511	0.7733517	2.771177	0.0459127	0.1182841	0.6550676	1.786254	1.786254	0.272325	0	0.230587	0.225119	0	0.271969	0.272325	0.230587	0.225119	0.271969	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282827	0.216365	0.217409	0.283398	0.6546395	0.152652	9.857193	2.08706	5.06687	8.50694	2.72488	0.364344	1.66562	0.877624	1.98432	0.34364	1.69606	2.72518	0.314756	1.07578	0.15295
29	1	-2603034	-2602106	-928.0126	0.8108757	3.699714	0.06054808	0.17369	0.6371857	1.359837	1.359837	0.272712	0	0.229209	0.226777	0	0.271302	0.272712	0.229209	0.226777	0.271302	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283223	0.216867	0.216255	0.283655	0.606647	0.3005767	11.88723	0.601019	1.15408	10.2938	3.39246	0.12164	3.40245	0.670993	1.12868	0.786054	0.957377	4.53382	1.31502	1.1146	0.2142006
30	0	-2603064	-2602106	-958.829	0.4855006	2.709759	0.04591789	0.1557165	0.3297841	1.798487	1.798487	0.273455	0	0.228722	0.225529	0	0.272294	0.273455	0.228722	0.225529	0.272294	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283323	0.216166	0.216849	0.283662	0.6691297	0.1792363	15.23543	1.4682	1.0694	10.1567	2.36737	0.709706	1.05424	0.552292	1.55266	0.430613	2.12549	3.2681	1.67477	0.379096	0.3207339
