Iteration	Replicate_ID	Posterior	Likelihood	Prior	birth	clock_morpho	clock_nuclear	death	diversification	divtime_dirus	divtime_jackals	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er_transv[1]	er_transv[2]	er_transv[3]	er_transv[4]	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	pi[1]	pi[2]	pi[3]	pi[4]	pi_scale	psi	root_time	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	turnover
127	1	-2603036	-2602109	-926.2981	0.5848655	4.279547	0.05993431	0.05607407	0.5287914	1.370699	1.370699	0.272588	0	0.231031	0.224518	0	0.271863	0.272588	0.231031	0.224518	0.271863	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282808	0.217462	0.216483	0.283246	0.655954	0.284044	28.93578	1.70963	9.9496	5.77682	2.96978	1.81794	0.780784	0.89426	0.808632	1.29518	1.06976	4.22871	2.42743	14.2909	0.09587516
128	0	-2603072	-2602104	-967.7649	0.8155195	3.133753	0.04535248	0.3305461	0.4849734	1.807614	1.807614	0.271339	0	0.22956	0.226826	0	0.272275	0.271339	0.22956	0.226826	0.272275	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283768	0.216487	0.21632	0.283425	0.581532	0.1492529	27.72741	11.5701	0.608955	7.21114	4.73581	0.973691	0.31638	0.866604	2.02465	0.707131	2.81778	2.47436	2.63581	3.3118	0.4053197
129	1	-2603031	-2602104	-927.0173	0.6863774	3.318942	0.0596963	0.0586781	0.6276993	1.375393	1.375393	0.27217	0	0.228496	0.226915	0	0.272418	0.27217	0.228496	0.226915	0.272418	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283748	0.216915	0.216203	0.283134	0.5651586	0.1743904	27.9119	0.170807	8.84974	6.23834	2.30816	1.25494	3.73794	0.731946	1.05584	0.0597626	1.21563	1.9497	4.29597	19.4761	0.08548955
130	0	-2603061	-2602107	-953.7715	0.3670395	1.921392	0.04537062	0.00417908	0.3628604	1.800105	1.800105	0.272506	0	0.22922	0.22714	0	0.271134	0.272506	0.22922	0.22714	0.271134	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282522	0.215985	0.217322	0.284171	0.7929575	0.1521932	14.37914	11.5086	1.32399	5.18413	8.06462	0.815396	3.73623	0.421353	1.4549	0.147367	0.212234	2.83889	0.567641	0.915476	0.01138591
131	1	-2603026	-2602105	-920.3937	0.5008747	4.222645	0.05989844	0.09049388	0.4103808	1.375393	1.375393	0.272585	0	0.228431	0.226605	0	0.272378	0.272585	0.228431	0.226605	0.272378	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283071	0.216397	0.216823	0.283709	0.5582935	0.3629122	18.73579	0.996995	8.64222	6.57671	2.15441	0.286955	4.51995	0.659445	1.35648	0.035836	0.717699	3.57879	2.91973	12.1249	0.1806717
132	0	-2603054	-2602103	-950.5673	0.5517084	3.244337	0.04547411	0.0001180038	0.5515904	1.803332	1.803332	0.272342	0	0.229114	0.227347	0	0.271197	0.272342	0.229114	0.227347	0.271197	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283213	0.215863	0.217199	0.283725	0.5796563	0.2538606	27.64241	11.4361	0.148614	5.78123	8.66467	0.36034	1.38909	1.0642	0.908298	0.431261	0.245835	2.06719	1.532	0.341508	0.0002138881
133	1	-2603024	-2602107	-916.7706	0.4826886	3.866841	0.0599396	0.03955695	0.4431317	1.370585	1.370585	0.271513	0	0.230239	0.225945	0	0.272303	0.271513	0.230239	0.225945	0.272303	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283152	0.217284	0.217255	0.282309	0.6579913	0.6112658	14.70469	1.05821	7.3126	5.12996	5.54941	3.83743	4.07664	1.53194	2.52402	0.0738948	1.20325	3.5713	0.910809	9.91303	0.08195127
134	0	-2603066	-2602109	-957.0234	0.7220449	3.076677	0.045512	0.1082054	0.6138395	1.808949	1.808949	0.270324	0	0.22879	0.227565	0	0.273321	0.270324	0.22879	0.227565	0.273321	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283577	0.216447	0.216647	0.283329	0.6584032	0.1207801	20.19865	10.7381	1.78429	5.1503	2.1021	0.662581	3.58372	0.861748	2.5225	0.0824655	0.897621	2.69655	3.87888	2.91855	0.1498597
135	1	-2603034	-2602103	-930.6201	0.4845546	3.692676	0.06025516	0.1520584	0.3324962	1.361148	1.361148	0.272103	0	0.228376	0.226292	0	0.273229	0.272103	0.228376	0.226292	0.273229	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283513	0.216401	0.216376	0.28371	0.7392712	0.4046019	27.67073	0.587195	8.14389	5.23643	6.47322	3.35471	2.15348	0.844238	0.898282	0.0746814	1.1742	4.71897	0.691078	22.9593	0.3138107
136	0	-2603060	-2602105	-954.8904	0.4948521	2.540918	0.04548742	0.1307167	0.3641355	1.808949	1.808949	0.272085	0	0.229784	0.225146	0	0.272985	0.272085	0.229784	0.225146	0.272985	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282552	0.216568	0.217567	0.283312	0.5955947	0.3518546	24.32093	10.4204	2.94288	6.00847	7.80256	1.29939	3.29199	0.753146	1.97403	0.872835	0.481293	2.98862	3.9682	2.61705	0.264153
137	1	-2603027	-2602104	-922.6613	0.5368591	3.61843	0.06040668	0.2052016	0.3316575	1.351264	1.351264	0.271473	0	0.229923	0.226912	0	0.271693	0.271473	0.229923	0.226912	0.271693	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283642	0.216888	0.216033	0.283437	0.5989847	0.2417805	17.28095	1.02164	9.51394	5.99012	1.96805	1.60164	1.41157	1.60593	1.41636	0.0591172	1.83447	4.23234	0.815313	15.3946	0.3822262
138	0	-2603078	-2602110	-967.8593	0.2512406	3.006355	0.04542936	0.09280789	0.1584327	1.808294	1.808294	0.273274	0	0.229021	0.227316	0	0.270389	0.273274	0.229021	0.227316	0.270389	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283279	0.215529	0.217184	0.284008	0.6501456	0.08458257	21.13858	11.5818	1.01637	6.0171	4.73511	0.829173	1.7056	1.38024	0.876074	0.455943	1.58803	2.02051	0.527503	2.02485	0.3693985
139	1	-2603021	-2602102	-919.7034	0.4489304	2.69807	0.06033951	0.03376199	0.4151684	1.357442	1.357442	0.272361	0	0.229422	0.226235	0	0.271981	0.272361	0.229422	0.226235	0.271981	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283572	0.216488	0.216449	0.283491	0.6668005	0.4425239	26.15061	0.517065	9.07374	5.47424	4.02086	4.48833	3.09845	1.36344	1.44678	0.0725447	0.819963	3.76136	0.471303	10.4093	0.07520541
140	0	-2603063	-2602108	-955.3871	0.6027983	1.706803	0.04539845	0.1876729	0.4151254	1.80478	1.80478	0.272821	0	0.229558	0.226251	0	0.27137	0.272821	0.229558	0.226251	0.27137	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282832	0.21619	0.216419	0.284559	0.608301	0.2854857	17.82391	11.5769	1.27868	8.9635	3.63632	3.43719	2.56789	1.09536	0.916858	1.33522	2.65866	3.64703	0.81416	0.672207	0.3113361
141	1	-2603036	-2602111	-924.9916	0.4125846	3.468456	0.06048283	0.07749081	0.3350938	1.356176	1.356176	0.2715	0	0.228709	0.22723	0	0.272561	0.2715	0.228709	0.22723	0.272561	0	0	0	0	0	0	0	0	0	0	0	0	0	0.284003	0.216111	0.2158	0.284086	0.5276095	0.2912884	29.48825	0.115659	8.62366	5.78631	5.00183	2.53993	0.273647	1.31455	1.12881	0.0725447	2.05152	4.50076	0.890945	19.2784	0.187818
142	0	-2603071	-2602107	-964.1301	0.4015445	3.350505	0.04564755	0.05588042	0.3456641	1.8003	1.8003	0.27127	0	0.229646	0.226355	0	0.272729	0.27127	0.229646	0.226355	0.272729	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283701	0.216611	0.216594	0.283095	0.6552848	0.1834979	20.53903	11.5754	0.812281	6.27076	5.82193	3.83149	3.67733	0.643952	1.30206	1.26459	1.00586	3.8144	0.929592	1.00619	0.1391637
143	1	-2603030	-2602109	-921.0145	0.5052979	2.390833	0.06025562	0.07609489	0.4292031	1.350809	1.350809	0.271193	0	0.229904	0.227256	0	0.271647	0.271193	0.229904	0.227256	0.271647	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283638	0.215996	0.21701	0.283356	0.6576518	0.301335	13.52045	2.43833	8.07324	5.69224	2.28734	1.19608	3.95664	1.24353	2.55702	0.250013	1.85546	2.71987	0.464932	13.4576	0.1505941
144	0	-2603066	-2602107	-958.7313	0.4719971	4.840711	0.04568349	0.02121527	0.4507819	1.802019	1.802019	0.270864	0	0.230058	0.226216	0	0.272862	0.270864	0.230058	0.226216	0.272862	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28418	0.216324	0.216777	0.28272	0.6922485	0.3433162	27.93234	11.4759	0.336135	6.77333	1.85588	0.324332	1.80349	1.32568	1.59156	2.15471	0.314564	4.17988	0.830942	3.82625	0.04494787
145	1	-2603040	-2602105	-935.2735	0.3508721	2.877603	0.06047963	0.04355512	0.307317	1.36317	1.36317	0.271497	0	0.229906	0.226607	0	0.27199	0.271497	0.229906	0.226607	0.27199	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283415	0.216309	0.216654	0.283622	0.5634754	0.2609694	27.2654	1.89366	9.47278	5.10653	4.38313	3.13344	3.31743	0.874878	2.48294	2.1049	2.82418	4.76986	2.66092	15.4033	0.1241339
146	0	-2603069	-2602111	-957.5611	0.4276804	1.168808	0.04583447	0.05852633	0.369154	1.792649	1.792649	0.270971	0	0.229533	0.225775	0	0.273721	0.270971	0.229533	0.225775	0.273721	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282914	0.217583	0.216639	0.282864	0.6491165	0.2076544	12.7553	10.3611	1.40282	6.63216	2.23036	3.47465	0.618354	1.62641	1.708	1.28666	0.698965	3.801	1.52009	2.61653	0.136846
147	1	-2603041	-2602105	-935.1787	0.4053681	3.694709	0.0602255	0.1152012	0.2901669	1.36317	1.36317	0.272211	0	0.229777	0.225624	0	0.272388	0.272211	0.229777	0.225624	0.272388	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282435	0.216948	0.216323	0.284293	0.5787934	0.190083	26.5247	2.17977	7.34037	5.7213	4.1524	2.19696	1.64962	0.48756	1.79398	1.9052	1.40383	3.75056	4.2928	22.9584	0.284189
148	0	-2603068	-2602106	-962.488	0.4428821	3.121275	0.04560318	0.06242399	0.3804581	1.80439	1.80439	0.272243	0	0.229997	0.22453	0	0.27323	0.272243	0.229997	0.22453	0.27323	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283078	0.216584	0.216765	0.283573	0.6978798	0.2250826	18.20259	11.5553	4.9282	7.1641	4.28102	1.94939	0.854154	1.39929	1.82323	2.01707	1.85428	1.85609	0.470808	0.810395	0.1409495
149	1	-2603039	-2602106	-932.8751	0.178529	3.152876	0.06036212	0.02016675	0.1583623	1.358451	1.358451	0.271666	0	0.229801	0.226426	0	0.272106	0.271666	0.229801	0.226426	0.272106	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28373	0.21644	0.216433	0.283397	0.5652422	0.2547376	21.46752	0.418256	7.12802	6.20575	3.03058	4.11466	3.21558	1.00894	0.806722	1.94039	3.02239	2.39449	3.71085	20.2217	0.1129606
150	0	-2603065	-2602103	-962.2463	0.4251438	2.0674	0.04560892	0.08989126	0.3352525	1.8062	1.8062	0.27161	0	0.22994	0.2264	0	0.272051	0.27161	0.22994	0.2264	0.272051	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283625	0.216738	0.216677	0.28296	0.616985	0.2648825	14.47796	11.542	2.0419	6.04488	1.84472	5.17396	3.14111	0.960015	0.906418	0.767253	1.15394	2.40196	0.784297	2.71756	0.2114373
151	1	-2603022	-2602102	-919.8793	0.6159207	3.059408	0.0600825	0.0190113	0.5969094	1.365564	1.365564	0.272227	0	0.229235	0.226133	0	0.272405	0.272227	0.229235	0.226133	0.272405	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282952	0.216836	0.216598	0.283613	0.5554867	0.3722994	27.05685	0.163581	8.32448	6.54941	5.99306	0.976816	0.398654	1.15065	1.26482	2.24603	2.02732	2.22984	1.72471	10.2053	0.03086647
152	0	-2603067	-2602104	-962.6904	0.5460868	8.939289	0.04547642	0.1235268	0.42256	1.804194	1.804194	0.271566	0	0.228647	0.227289	0	0.272499	0.271566	0.228647	0.227289	0.272499	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283863	0.216662	0.216202	0.283272	0.7291019	0.2072103	18.01158	10.7573	0.0696605	5.3754	3.58766	3.44405	3.51063	0.461631	1.13999	1.45637	1.21521	3.059	1.07198	1.81782	0.2262037
153	1	-2603028	-2602109	-919.4267	0.4134641	4.584184	0.06004574	0.04933051	0.3641336	1.364454	1.364454	0.272508	0	0.229447	0.225852	0	0.272193	0.272508	0.229447	0.225852	0.272193	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283362	0.216527	0.216289	0.283823	0.601793	0.3578827	17.79387	0.667367	7.62997	5.02335	5.34793	0.347353	0.403238	0.58602	2.00548	0.356856	0.954156	4.09485	4.98163	10.6067	0.1193102
154	0	-2603058	-2602103	-955.6135	0.4054432	2.81723	0.04526206	0.1006989	0.3047443	1.815603	1.815603	0.271662	0	0.22882	0.226797	0	0.272721	0.271662	0.22882	0.226797	0.272721	0	0	0	0	0	0	0	0	0	0	0	0	0	0.284024	0.216582	0.216194	0.2832	0.6917849	0.1587344	18.09516	11.2336	0.103969	7.63805	2.65194	1.41475	1.73258	0.753348	2.32689	0.122042	0.734686	3.79828	4.20062	0.770888	0.2483675
155	1	-2603041	-2602113	-928.0528	0.5883917	4.191919	0.06026588	0.3365256	0.2518661	1.359917	1.359917	0.271459	0	0.229438	0.22661	0	0.272494	0.271459	0.229438	0.22661	0.272494	0	0	0	0	0	0	0	0	0	0	0	0	0	0.284028	0.216798	0.216542	0.282632	0.5716035	0.2575742	29.41173	0.979377	6.90742	5.20451	5.71805	0.813451	2.50563	0.939191	1.32299	0.369282	2.01895	4.00185	4.47197	12.8973	0.5719414
156	0	-2603062	-2602104	-958.2075	0.5593267	2.057764	0.04547599	0.3132139	0.2461127	1.812247	1.812247	0.272218	0	0.229725	0.226346	0	0.271711	0.272218	0.229725	0.226346	0.271711	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282784	0.216953	0.216922	0.283341	0.6098353	0.210304	23.20822	11.532	0.792502	8.0836	7.61681	5.02501	0.316372	1.42888	1.41421	0.161537	2.51004	1.98227	0.451832	3.40517	0.5599839
157	1	-2603040	-2602107	-933.5013	0.3663444	4.95366	0.0599291	0.01513409	0.3512103	1.376924	1.376924	0.271945	0	0.228268	0.227224	0	0.272563	0.271945	0.228268	0.227224	0.272563	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282519	0.216522	0.216899	0.28406	0.5827896	0.2379745	18.92359	0.0555698	9.07665	5.17914	3.39742	0.699552	4.13978	1.23259	1.00236	2.53341	2.43197	3.65894	2.02074	18.7804	0.04131111
158	0	-2603063	-2602107	-956.6361	0.4712153	1.550536	0.04525309	0.08304042	0.3881749	1.814901	1.814901	0.271884	0	0.23005	0.227379	0	0.270686	0.271884	0.23005	0.227379	0.270686	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283946	0.216087	0.216057	0.28391	0.6305414	0.1319171	23.03598	11.5689	3.85534	8.48576	5.82721	0.786617	0.457672	1.43547	2.01898	0.236403	0.569736	3.18621	4.91396	1.122	0.176226
159	1	-2603022	-2602105	-917.1737	0.4569749	3.129089	0.0598175	0.1181846	0.3387903	1.374278	1.374278	0.271242	0	0.229712	0.225633	0	0.273413	0.271242	0.229712	0.225633	0.273413	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283013	0.216636	0.216785	0.283566	0.5913119	0.4022096	22.71133	0.15747	8.98182	6.11978	4.15251	0.140879	2.92721	1.38464	1.11057	1.51604	0.312862	2.45832	0.121181	12.65	0.2586238
160	0	-2603061	-2602106	-955.2451	0.5051483	1.992911	0.04535772	0.05370243	0.4514459	1.816357	1.816357	0.273595	0	0.229112	0.225904	0	0.27139	0.273595	0.229112	0.225904	0.27139	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282982	0.216151	0.217035	0.283831	0.5994228	0.3867031	23.35918	11.5912	0.312963	7.17381	4.16804	1.31838	0.176147	1.28814	1.70838	1.62546	2.09389	3.56189	0.605352	0.462395	0.1063102
161	1	-2603035	-2602109	-925.5431	0.6500955	4.055235	0.05998989	0.3553685	0.294727	1.358444	1.358444	0.271418	0	0.229187	0.226938	0	0.272456	0.271418	0.229187	0.226938	0.272456	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2827	0.217039	0.2164	0.283861	0.5588005	0.347999	27.27385	1.55277	9.61756	6.79865	2.7342	0.160179	3.75015	1.2184	1.15775	1.68319	0.865983	1.82327	0.691013	13.9251	0.5466405
162	0	-2603060	-2602106	-953.1932	0.6750165	2.181646	0.04516521	0.07550096	0.5995156	1.81292	1.81292	0.272015	0	0.230178	0.226375	0	0.271431	0.272015	0.230178	0.226375	0.271431	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282362	0.216463	0.21778	0.283395	0.7236053	0.3446308	24.69769	11.597	0.241077	6.33758	6.95735	1.64823	0.599278	1.46758	2.37804	0.618185	1.00143	2.05167	1.00232	1.22346	0.1118505
163	1	-2603025	-2602103	-922.5377	0.452993	3.930868	0.06009204	0.08653932	0.3664537	1.358444	1.358444	0.271854	0	0.228864	0.226897	0	0.272385	0.271854	0.228864	0.226897	0.272385	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283167	0.216772	0.216586	0.283474	0.5569829	0.4205299	23.89082	0.980134	9.61756	5.75639	2.65593	1.56978	2.86684	1.32508	1.14963	1.26956	0.715376	3.5264	1.09513	14.437	0.191039
164	0	-2603059	-2602106	-952.2687	0.3738535	3.118263	0.04502126	0.01926687	0.3545866	1.816916	1.816916	0.273049	0	0.230591	0.225348	0	0.271012	0.273049	0.230591	0.225348	0.271012	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282867	0.216839	0.217034	0.28326	0.7869422	0.248396	15.55253	11.4686	0.281021	7.94703	1.99757	1.23066	1.00937	0.643593	1.92154	2.1595	0.295336	3.22873	0.865308	0.584004	0.05153589
165	1	-2603034	-2602104	-929.6718	0.3229027	6.286385	0.06053215	0.01748144	0.3054213	1.358949	1.358949	0.272509	0	0.229132	0.226245	0	0.272114	0.272509	0.229132	0.226245	0.272114	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282913	0.216382	0.216696	0.284009	0.5832941	0.2786209	22.99965	0.714985	9.7258	6.49004	4.79859	3.62268	0.610467	1.53606	0.947247	0.777066	0.426145	4.62559	0.742298	22.9906	0.05413841
166	0	-2603063	-2602104	-959.1624	0.7244386	3.505248	0.04519547	0.004591053	0.7198476	1.813972	1.813972	0.271442	0	0.229716	0.226142	0	0.2727	0.271442	0.229716	0.226142	0.2727	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283595	0.21631	0.21642	0.283674	0.6016732	0.3254383	29.75337	11.5635	0.372817	8.59931	8.14101	1.18381	0.0131068	0.621198	2.54113	2.26813	0.925928	3.18345	2.93644	1.94998	0.006337395
167	1	-2603044	-2602105	-938.1768	0.3616706	2.952068	0.06033994	0.02105489	0.3406157	1.361045	1.361045	0.273165	0	0.228932	0.224923	0	0.27298	0.273165	0.228932	0.224923	0.27298	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282697	0.216542	0.217245	0.283515	0.4388381	0.1886016	25.32461	0.157384	8.55054	5.70736	6.56568	4.21902	0.55182	0.79943	1.76209	2.14058	0.249787	2.2557	2.06003	22.8785	0.05821565
168	0	-2603065	-2602110	-955.0167	0.5287889	2.786224	0.04511625	0.120835	0.407954	1.816434	1.816434	0.269953	0	0.22898	0.228225	0	0.272842	0.269953	0.22898	0.228225	0.272842	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28335	0.216428	0.216406	0.283815	0.6752504	0.219487	21.81944	11.1447	0.622479	6.42541	6.67613	0.991997	1.39803	0.31279	0.860365	1.67978	1.46612	3.43049	1.23818	0.739232	0.2285127
169	1	-2603052	-2602106	-945.4157	0.4427714	6.3095	0.06042291	0.005599036	0.4371723	1.366087	1.366087	0.272687	0	0.228823	0.225216	0	0.273275	0.272687	0.228823	0.225216	0.273275	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283285	0.216733	0.216735	0.283248	0.5067871	0.1330795	26.86892	0.805399	8.5384	6.39591	6.54467	3.05517	1.09085	1.28773	1.31183	1.62324	0.629952	3.34504	1.77682	22.0489	0.01264543
170	0	-2603058	-2602107	-951.7951	0.4852383	2.864527	0.04511088	0.06883085	0.4164074	1.819957	1.819957	0.271535	0	0.229898	0.22657	0	0.271996	0.271535	0.229898	0.22657	0.271996	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283694	0.21669	0.215539	0.284077	0.6536644	0.1121944	16.00496	11.5946	0.505412	5.05969	4.03839	0.501055	1.39841	0.404601	1.33056	0.112579	1.37579	4.41584	1.24889	0.50527	0.1418496
171	1	-2603045	-2602106	-938.7933	0.4571963	2.788866	0.06048991	0.08446972	0.3727266	1.358511	1.358511	0.270685	0	0.230848	0.225892	0	0.272576	0.270685	0.230848	0.225892	0.272576	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282588	0.217714	0.216754	0.282943	0.5129371	0.1429468	26.81623	0.250438	9.48119	5.93093	7.05373	0.267886	0.366211	0.340427	1.64819	1.481	2.68659	4.15632	1.30779	16.079	0.1847559
172	0	-2603053	-2602102	-950.5019	0.7883748	2.661833	0.04502877	0.008025022	0.7803498	1.821086	1.821086	0.272028	0	0.228829	0.226768	0	0.272375	0.272028	0.228829	0.226768	0.272375	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282639	0.216618	0.216521	0.284222	0.7103276	0.1728919	12.08113	11.5995	0.12159	5.91522	5.95688	1.81569	0.445823	1.64884	0.882349	0.160657	0.626536	4.27461	0.912698	0.595993	0.0101792
173	1	-2603045	-2602106	-938.6231	0.3519507	2.764167	0.06050971	0.2525119	0.09943876	1.356033	1.356033	0.272004	0	0.228977	0.225916	0	0.273103	0.272004	0.228977	0.225916	0.273103	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2844	0.216001	0.216966	0.282633	0.714065	0.1332305	27.07615	10.8539	8.81826	6.25296	2.48441	2.74862	3.14235	1.43898	1.55468	0.116869	3.0191	3.13732	4.6103	22.8893	0.7174639
174	0	-2603062	-2602104	-958.8696	0.570473	2.092062	0.04497074	0.07248071	0.4979923	1.824953	1.824953	0.271515	0	0.229172	0.227004	0	0.272308	0.271515	0.229172	0.227004	0.272308	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283001	0.216714	0.216593	0.283692	0.6553694	0.1168519	27.4212	11.5876	0.261545	7.78234	1.94433	0.365955	1.33409	0.651628	0.98902	1.3321	1.06831	3.67502	0.52324	3.52645	0.1270537
175	1	-2603031	-2602103	-928.0066	0.4294049	3.323399	0.06049866	0.004406747	0.4249981	1.350876	1.350876	0.271256	0	0.229639	0.226128	0	0.272977	0.271256	0.229639	0.226128	0.272977	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283829	0.216662	0.216847	0.282662	0.7157174	0.263536	18.28514	9.39177	5.25136	6.68564	6.51198	4.95449	2.29135	0.629435	0.853389	1.23634	0.474994	3.39976	2.78336	12.4482	0.01026245
176	0	-2603064	-2602106	-957.9098	0.360071	1.852736	0.04518934	0.06558277	0.2944882	1.812117	1.812117	0.270862	0	0.230714	0.225521	0	0.272903	0.270862	0.230714	0.225521	0.272903	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282778	0.216703	0.217223	0.283297	0.6921656	0.2926112	12.77045	11.6011	5.369	8.34332	2.03774	0.528609	3.45859	0.957935	1.77452	0.50537	0.478466	2.89628	2.68761	0.681526	0.1821384
177	1	-2603029	-2602104	-925.4479	0.4188365	1.835664	0.06075001	0.05536549	0.363471	1.352984	1.352984	0.272175	0	0.229282	0.226029	0	0.272514	0.272175	0.229282	0.226029	0.272514	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282864	0.21726	0.217068	0.282808	0.577515	0.2522536	23.71657	10.0271	5.02019	5.6448	6.55259	1.03135	0.410573	0.594707	0.918354	0.679186	2.22417	3.23494	2.84976	13.6682	0.1321888
178	0	-2603060	-2602104	-955.8832	0.5426245	3.481758	0.04507657	0.137802	0.4048226	1.822886	1.822886	0.272521	0	0.228898	0.227007	0	0.271574	0.272521	0.228898	0.227007	0.271574	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283535	0.2163	0.216176	0.28399	0.6091589	0.3533576	15.77107	11.5451	9.93447	8.35228	8.04564	0.74807	1.4547	1.53191	1.93601	0.595235	0.429312	4.25792	1.41894	8.85906	0.2539545
179	1	-2603039	-2602109	-930.4016	0.3504634	3.862707	0.06050025	0.04734037	0.303123	1.347772	1.347772	0.271657	0	0.230438	0.225899	0	0.272006	0.271657	0.230438	0.225899	0.272006	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282941	0.216608	0.21699	0.283461	0.5486838	0.1834656	29.00274	9.98802	5.17767	4.95192	4.56362	1.43076	1.61264	0.462863	2.56917	1.08879	1.54851	3.37096	4.091	16.6127	0.1350794
180	0	-2603073	-2602105	-968.0987	0.5784377	3.97654	0.04513352	0.2220363	0.3564014	1.81998	1.81998	0.272502	0	0.229544	0.225688	0	0.272266	0.272502	0.229544	0.225688	0.272266	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283366	0.216966	0.216295	0.283373	0.6709012	0.1321562	26.99041	10.4668	4.17339	8.40024	8.20562	0.150686	0.965529	0.46491	0.963364	0.157841	1.88207	3.73459	5.23329	9.98618	0.3838552
181	1	-2603038	-2602111	-926.7697	0.4949592	6.975669	0.06069104	0.0329231	0.4620361	1.34269	1.34269	0.273262	0	0.228846	0.225986	0	0.271906	0.273262	0.228846	0.225986	0.271906	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282538	0.216773	0.217011	0.283677	0.6025632	0.2614946	18.40329	7.1974	5.44393	6.43119	2.63071	0.859324	0.140763	0.827437	2.08669	0.0531463	2.86687	1.85244	2.92607	15.3059	0.06651681
182	0	-2603061	-2602103	-957.8607	0.5548175	2.644412	0.04524255	0.1580093	0.3968082	1.819496	1.819496	0.271908	0	0.228446	0.227307	0	0.272339	0.271908	0.228446	0.227307	0.272339	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283535	0.216237	0.216105	0.284123	0.5926968	0.2916454	19.78872	9.42727	0.200804	8.54852	8.73535	5.0918	0.321324	0.71717	1.13161	0.387171	2.37251	4.48907	1.4126	9.08714	0.2847951
183	1	-2603032	-2602104	-927.5408	0.3146967	3.714328	0.06084298	0.004036399	0.3106603	1.354001	1.354001	0.272878	0	0.230241	0.225498	0	0.271383	0.272878	0.230241	0.225498	0.271383	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28265	0.216451	0.217016	0.283884	0.6450925	0.2779484	24.03971	8.64058	6.52722	5.47129	2.24664	1.0247	1.31871	1.32143	2.40402	0.0664512	2.80087	1.82289	3.11409	22.9972	0.01282632
