Iteration	Posterior	Likelihood	Prior	birth	clock_morpho	clock_nuclear	death	diversification	divtime_dirus	divtime_jackals	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er_transv[1]	er_transv[2]	er_transv[3]	er_transv[4]	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	pi[1]	pi[2]	pi[3]	pi[4]	pi_scale	psi	root_time	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	turnover
0	-8582109	-8581058	-1050.826	0.3654529	1.203587	2.44256	0.01734749	0.3481054	4.228757	6.272431	0.162469	0	0.230344	0.489979	0	0.117208	0.162469	0.230344	0.489979	0.117208	0	0	0	0	0	0	0	0	0	0	0	0	0	0.457821	0.0652084	0.288673	0.188297	0.7046791	1.223626	25.63468	0.0117	0.012	4.9	1.8	0.0117	0.0117	0.3	0.781	0.0117	0.001	1.8	0.0117	0.3	0.04746848
100	-2603814	-2602888	-925.4227	0.6131871	4.192697	0.06060557	0.03399235	0.5791947	1.354519	1.354519	0.267707	0	0.226913	0.227655	0	0.277726	0.267707	0.226913	0.227655	0.277726	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282631	0.217127	0.215226	0.285016	0.5241214	0.2050141	21.4003	1.18472	0.0513431	10.2528	2.87415	1.54848	2.24977	0.596127	1.04277	0.0428159	0.109062	2.11485	3.76054	1.78388	0.05543552
200	-2603045	-2602113	-932.2087	0.9051749	3.949188	0.06023054	0.3395984	0.5655764	1.358634	1.358634	0.271065	0	0.229389	0.227361	0	0.272186	0.271065	0.229389	0.227361	0.272186	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282833	0.217282	0.215333	0.284552	0.5585424	0.2469748	20.68595	3.80887	3.05848	9.24294	2.64548	4.31485	3.54961	0.333857	2.45464	0.0624537	0.0640911	4.73355	1.54878	2.30135	0.3751744
300	-2603041	-2602116	-924.9644	0.6422187	2.060062	0.06032259	0.07180666	0.570412	1.362817	1.362817	0.271135	0	0.229593	0.227724	0	0.271547	0.271135	0.229593	0.227724	0.271547	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283307	0.216272	0.215501	0.28492	0.6978444	0.2149541	22.74947	0.337888	4.1635	10.2514	4.67111	4.79166	3.2393	0.996148	1.04417	0.116266	0.285098	4.385	0.488129	2.22391	0.1118103
400	-2603038	-2602107	-931.1842	0.5765001	3.830919	0.06005536	0.2562953	0.3202048	1.361301	1.361301	0.271378	0	0.229517	0.227648	0	0.271457	0.271378	0.229517	0.227648	0.271457	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282571	0.216474	0.216398	0.284556	0.5889876	0.1807155	22.41457	0.794068	0.547494	6.92196	4.76067	4.12293	2.09862	0.330156	1.94838	0.198999	0.458688	4.51711	2.40336	0.646837	0.4445711
500	-2603040	-2602105	-934.7555	0.5516188	3.872963	0.06010949	0.1564105	0.3952082	1.369051	1.369051	0.271647	0	0.229098	0.226248	0	0.273007	0.271647	0.229098	0.226248	0.273007	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2828	0.216772	0.216665	0.283763	0.5908057	0.1928336	13.49886	2.4359	2.80478	8.97786	3.51531	1.28047	3.42253	0.748075	1.98107	0.451376	2.33765	2.90256	3.64112	5.58971	0.2835483
600	-2603042	-2602103	-938.9081	1.019861	3.606386	0.05995978	0.6306299	0.3892316	1.366681	1.366681	0.272622	0	0.229862	0.225697	0	0.27182	0.272622	0.229862	0.225697	0.27182	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282777	0.216365	0.216919	0.283939	0.6498145	0.2136379	17.67601	4.3708	2.25753	10.2294	3.52701	0.989882	2.50936	1.15856	1.8538	0.616849	1.95069	2.98263	4.75493	3.52697	0.6183486
700	-2603033	-2602105	-927.5354	0.5033475	3.546356	0.06003384	0.1229982	0.3803493	1.370174	1.370174	0.272102	0	0.230381	0.225945	0	0.271572	0.272102	0.230381	0.225945	0.271572	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282907	0.21649	0.217165	0.283438	0.7051257	0.1630185	14.89364	3.85843	0.696533	10.2327	5.85481	0.168915	2.95387	1.7064	1.9367	2.54722	0.373334	2.66892	2.19811	0.367852	0.2443604
800	-2603041	-2602111	-930.4809	0.51229	3.462254	0.06004238	0.06823404	0.4440559	1.365541	1.365541	0.271698	0	0.229367	0.226219	0	0.272716	0.271698	0.229367	0.226219	0.272716	0	0	0	0	0	0	0	0	0	0	0	0	0	0.284356	0.216678	0.216274	0.282692	0.5444746	0.1952328	10.5459	1.38448	0.504103	10.2071	5.40279	5.21377	4.17087	1.00312	1.98554	1.45505	1.26179	2.81565	1.20607	1.648	0.1331942
900	-2603039	-2602110	-929.2304	0.9922629	2.326855	0.06024309	0.3366008	0.6556621	1.360529	1.360529	0.272408	0	0.230906	0.224357	0	0.272329	0.272408	0.230906	0.224357	0.272329	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282138	0.217092	0.217537	0.283233	0.6097459	0.2871073	21.98789	1.70654	2.79697	8.21961	2.45887	3.3723	2.75715	0.940185	1.69403	0.63227	0.374547	4.20969	0.30332	0.884469	0.3392254
