Iteration	Posterior	Likelihood	Prior	birth	clock_morpho	clock_nuclear	death	diversification	divtime_dirus	divtime_jackals	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er_transv[1]	er_transv[2]	er_transv[3]	er_transv[4]	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	pi[1]	pi[2]	pi[3]	pi[4]	pi_scale	psi	root_time	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	turnover
1200	-2603067	-2602108	-959.0101	0.4018291	2.033306	0.0458356	0.03614463	0.3656844	1.779018	1.779018	0.271728	0	0.230616	0.225399	0	0.272257	0.271728	0.230616	0.225399	0.272257	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283429	0.216013	0.217261	0.283297	0.7109657	0.1680842	11.53756	0.734269	0.416868	5.58166	5.18862	0.736507	4.34441	0.911277	1.46312	0.574478	0.458548	2.71998	1.04419	0.633413	0.08995027
1300	-2603069	-2602104	-965.3807	0.9020022	3.421113	0.04587826	0.6596339	0.2423683	1.791616	1.791616	0.272093	0	0.230159	0.226661	0	0.271087	0.272093	0.230159	0.226661	0.271087	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283419	0.216374	0.216653	0.283554	0.6675809	0.1351127	9.574066	0.516987	0.0810503	7.77015	2.57444	0.881167	4.03281	1.70456	1.29972	1.15868	1.31203	4.74068	0.904158	3.31506	0.7312997
1400	-2603075	-2602105	-969.8511	0.7733517	2.771177	0.0459127	0.1182841	0.6550676	1.786254	1.786254	0.272325	0	0.230587	0.225119	0	0.271969	0.272325	0.230587	0.225119	0.271969	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282827	0.216365	0.217409	0.283398	0.6546395	0.152652	9.857193	2.08706	5.06687	8.50694	2.72488	0.364344	1.66562	0.877624	1.98432	0.34364	1.69606	2.72518	0.314756	1.07578	0.15295
1500	-2603064	-2602106	-958.829	0.4855006	2.709759	0.04591789	0.1557165	0.3297841	1.798487	1.798487	0.273455	0	0.228722	0.225529	0	0.272294	0.273455	0.228722	0.225529	0.272294	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283323	0.216166	0.216849	0.283662	0.6691297	0.1792363	15.23543	1.4682	1.0694	10.1567	2.36737	0.709706	1.05424	0.552292	1.55266	0.430613	2.12549	3.2681	1.67477	0.379096	0.3207339
1600	-2603073	-2602105	-968.0423	0.4943131	2.570917	0.04589698	0.03554575	0.4587674	1.785772	1.785772	0.271634	0	0.230383	0.226282	0	0.271701	0.271634	0.230383	0.226282	0.271701	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283281	0.216345	0.216847	0.283528	0.7271852	0.1777255	13.48045	2.60583	1.16319	10.2901	2.70093	0.763722	4.19006	1.58422	0.973718	0.851832	3.01146	3.19373	2.14102	0.775082	0.07190938
1700	-2603064	-2602112	-952.0211	0.3552899	1.64178	0.04590579	0.05449648	0.3007934	1.770319	1.770319	0.271299	0	0.229339	0.226513	0	0.272849	0.271299	0.229339	0.226513	0.272849	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282886	0.21667	0.216586	0.283858	0.7001268	0.3501176	20.64421	2.19893	0.855956	10.2697	2.4992	0.858481	4.17154	1.29974	1.12238	0.368129	1.56518	3.7899	3.98445	0.46432	0.153386
1800	-2603067	-2602110	-957.891	0.340067	2.858408	0.0460289	0.06797735	0.2720897	1.776901	1.776901	0.271404	0	0.229571	0.225318	0	0.273707	0.271404	0.229571	0.225318	0.273707	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28292	0.216895	0.216038	0.284147	0.6714865	0.1852792	15.62384	0.283857	1.04644	9.75928	4.99749	0.398195	0.660507	0.70997	1.52384	0.878983	1.20358	2.57866	3.16237	0.598936	0.199894
1900	-2603060	-2602101	-958.8145	0.4356227	1.713635	0.0459472	0.08779266	0.3478301	1.7867	1.7867	0.272131	0	0.229416	0.226458	0	0.271995	0.272131	0.229416	0.226458	0.271995	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282972	0.216698	0.216705	0.283625	0.6664457	0.3193188	14.33002	3.07531	0.166608	8.56124	2.761	2.51248	3.61879	1.04698	2.06408	1.01353	1.05245	4.57048	3.1468	0.364195	0.2015337
2000	-2603077	-2602103	-973.6916	0.5778046	4.197772	0.0457469	0.1101972	0.4676074	1.794019	1.794019	0.271898	0	0.228567	0.226166	0	0.273369	0.271898	0.228567	0.226166	0.273369	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28411	0.216454	0.216461	0.282976	0.5671714	0.1906842	9.244906	7.89458	0.11011	6.61607	2.47321	1.11613	1.029	0.337133	1.51745	0.884239	0.162665	2.39693	1.10596	6.27137	0.190717
2100	-2603062	-2602102	-960.5089	0.5496861	1.603842	0.04578867	0.2038428	0.3458433	1.79457	1.79457	0.271674	0	0.229049	0.226503	0	0.272774	0.271674	0.229049	0.226503	0.272774	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28295	0.216563	0.21667	0.283818	0.6459545	0.2095454	16.46021	4.48604	5.91421	6.94357	7.56782	1.84869	0.897631	0.342645	1.42002	1.97658	1.97713	2.37004	0.818271	6.2981	0.370835
