
RevBayes version (1.1.1)
Build from development (rapture-649-g20534c) on Sun Apr 11 23:30:45 CDT 2021

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/combined_evidence_fbd_clean.Rev")
   Processing file "scripts/combined_evidence_fbd_clean.Rev"
   Successfully read one character matrix from file 'data/nuclear.nex'
   Successfully read one character matrix from file 'data/morpho_clean.nex'
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   Could not compute lnProb for node fbd_tree.
   (Canis_edwardii[&index=23]:24.865707,((((((Canis_me...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   ((Canis_latrans[&index=23]:0.187010,Canis_mosbachen...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   ((((Canis_adustus[&index=23]:2.156601,Canis_edwardi...

   Drawing new initial states ...

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 30 different moves in a random move schedule with 73 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |   divtime_di..   |   divtime_ja..   |      root_time   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
0           |   -6.00368e+06   |   -6.00266e+06   |       -1024.46   |       6.877325   |       6.877325   |       25.20027   |   00:00:00   |   --:--:--   |
100         |    -2.6148e+06   |   -2.61383e+06   |       -963.696   |       1.672106   |       1.672106   |       27.27922   |   00:00:28   |   --:--:--   |
200         |   -2.60311e+06   |   -2.60215e+06   |        -962.88   |       1.784336   |       1.784336   |       28.09366   |   00:00:54   |   07:29:06   |
300         |   -2.60308e+06   |   -2.60212e+06   |       -963.644   |        1.78545   |        1.78545   |       22.01668   |   00:01:19   |   07:17:34   |
400         |   -2.60307e+06   |   -2.60211e+06   |       -963.303   |       1.780004   |       1.780004   |       17.91276   |   00:01:45   |   07:15:45   |
500         |   -2.60307e+06   |   -2.60211e+06   |       -960.426   |       1.780658   |       1.780658   |        22.1412   |   00:02:11   |   07:14:29   |
600         |   -2.60307e+06   |   -2.60211e+06   |       -960.898   |       1.785719   |       1.785719   |        19.7791   |   00:02:38   |   07:16:15   |
700         |   -2.60306e+06   |   -2.60211e+06   |       -957.485   |       1.775246   |       1.775246   |        21.6059   |   00:03:03   |   07:12:39   |
800         |   -2.60307e+06   |    -2.6021e+06   |       -966.808   |       1.779008   |       1.779008   |       13.00824   |   00:03:29   |   07:11:56   |
