Iteration	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er_trans[1]	er_trans[2]	er_trans[3]	er_trans[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
0	-5338465	-5338444	-21.11037	1	1	0.0667271	0.0213908	0.0776893	0.0979846	0.241585	0.129999	0.304103	0.0433833	0.0249925	8.61852e-05	0.252067	0.18973	0.0667976	0.728174	0.564144	0.168243	0.0450702	0.0653115	0.311519	0.0255516	0.0607754	0.0159502	0.0950038	0.00713316	0.0760392	0.182536	0.187239	0.0122657	0.0233809	0.402071	0	0.00952685	0.242811	0	0.345591	0.402071	0.00952685	0.242811	0.345591	0.19826	0.237131	0.522701	0.0551797	0.184989	1	0.136954	0.476752	1	2.38629	4.084871
10	-4235714	-4235696	-17.31258	1.495478	1	0.0638853	0.00837428	0.0440555	0.0676175	0.173918	0.0756332	0.242974	0.0704061	0.0936014	0.000131827	0.267442	0.0756871	0.0559898	0.340314	1.25628	0.112972	0.0154339	0.101438	0.21274	0.0226935	0.0607754	0.0120541	0.0425847	0.00645946	0.119403	0.0702313	0.0866406	0.00604114	0.0146602	0.297767	0	0.0145593	0.200056	0	0.487619	0.297767	0.0145593	0.200056	0.487619	0.04479745	0.196134	0.234424	0.470929	0.0985132	2	0.224623	0.587802	1.05016	2.13742	3.720438
20	-3963845	-3963830	-14.88409	1.75987	1	0.0229246	0.00485585	0.0347544	0.0423865	0.173936	0.0441757	0.177243	0.123645	0.0936014	0.000235981	0.267442	0.0551869	0.0449104	0.287228	1.55423	0.0654302	0.00805635	0.0772424	0.0865516	0.0203978	0.0152106	0.0121003	0.03186	0.00645946	0.154626	0.0390137	0.0150728	0.00663743	0.0165443	0.0439774	0	0.329345	0.108978	0	0.5177	0.0439774	0.329345	0.108978	0.5177	0.001106221	0.0393735	0.15471	0.295194	0.510723	2	0.262823	0.626781	1.06263	2.04777	3.481958
30	-3766444	-3766444	0.2393146	9932840	1	0.0172892	0.00344556	0.015597	0.0168743	0.110431	0.0319271	0.126667	0.116068	0.0609373	0.000746463	0.14385	0.02375	0.0202881	0.172243	0.763928	0.0467557	0.00805635	0.0207332	0.0557586	0.0123086	0.007718	0.00635518	0.0243885	0.00691991	0.103188	0.0249618	0.00755745	0.00443588	0.0165443	0.148962	0	0.698511	0.0152041	0	0.137323	0.148962	0.698511	0.0152041	0.137323	5.233322e-05	0.06648	0.105132	0.271781	0.556607	2	0.999597	0.999897	1.0001	1.0004	1.969723
40	-3722229	-3722231	2.078146	5.633281e+07	1	0.0116124	0.00162813	0.015597	0.00431429	0.0990132	0.0319271	0.126667	0.0837098	0.0481791	0.0013749	0.170267	0.02375	0.00425125	0.152816	0.711536	0.0212999	0.00805768	0.0170134	0.0557586	0.0123086	0.00430297	0.00514728	0.0117389	0.00619294	0.103188	0.0234272	0.00755745	0.00443588	0.0187726	0.491256	0	0.247203	0.046654	0	0.214887	0.491256	0.247203	0.046654	0.214887	9.127741e-06	0.363648	0.0142119	0.396043	0.226097	2	0.999831	0.999957	1.00004	1.00017	1.785844
50	-3627472	-3627495	22.67608	1e+08	0	0.00281132	0.00162813	0.0225682	0.00431429	0.0990132	0.0286706	0.0655035	0.0837098	0.0492554	0.0038857	0.170267	0.0151244	0.00124495	0.0523561	0.711536	0.012858	0.00805768	0.0143989	0.0307442	0.00789802	0.00489157	0.00514728	0.0117389	0.00674791	0.10567	0.0146516	0.00755745	0.00454547	0.0213233	0.812874	0	0.0841399	0.0831666	0	0.0198196	0.812874	0.0841399	0.0831666	0.0198196	8.976362e-06	0.545223	0.0360294	0.0667128	0.352034	2	0.999873	0.999968	1.00003	1.00013	1.568119
60	-3598436	-3598441	4.67109	7.410856e+07	1	0.00231292	0.00162813	0.0225682	0.00431429	0.0990132	0.0286706	0.0384647	0.0837098	0.0492554	0.00410265	0.1697	0.00710725	0.00168572	0.0159015	0.751171	0.0136857	0.00805768	0.00923205	0.0300063	0.00789802	0.00489157	0.00321315	0.0102794	0.00674791	0.10567	0.0146516	0.00676407	0.00452391	0.0213233	0.160386	0	0.330689	0.379958	0	0.128967	0.160386	0.330689	0.379958	0.128967	4.174972e-06	0.079251	0.0845342	0.267204	0.569011	2	0.999852	0.999962	1.00004	1.00015	1.52655
70	-3577872	-3577878	6.227958	2.864619e+07	1	0.00210807	0.00186112	0.0225682	0.00431429	0.103856	0.0290047	0.0148234	0.0837098	0.0492554	0.00671938	0.1697	0.00587033	0.00168572	0.0183503	0.627247	0.0136857	0.00805768	0.00814935	0.0300063	0.00789802	0.00567624	0.00429286	0.00518391	0.00498905	0.105763	0.0146516	0.00601047	0.00452391	0.0109014	0.24861	0	0.431142	0.181861	0	0.138387	0.24861	0.431142	0.181861	0.138387	2.648824e-06	0.0275784	0.346777	0.278268	0.347377	2	0.999763	0.999939	1.00006	1.00024	1.370864
80	-3571512	-3571537	24.60169	1e+08	0	0.00210807	0.00194349	0.0225682	0.00431429	0.100047	0.0290047	0.0122015	0.0837098	0.0492554	0.00999067	0.1697	0.00365378	0.00188786	0.0183503	0.627247	0.015268	0.00834853	0.00814935	0.0300063	0.0127881	0.00511518	0.00761553	0.00547375	0.00188702	0.111007	0.0101439	0.00602411	0.0068478	0.0109014	0.0150382	0	0.217654	0.296687	0	0.470621	0.0150382	0.217654	0.296687	0.470621	6.105797e-06	0.185699	0.267659	0.278293	0.268349	2	0.999873	0.999968	1.00003	1.00013	1.375558
90	-3568346	-3568370	24.56406	1e+08	0	0.00217583	0.00194349	0.0204045	0.00420625	0.100047	0.0294417	0.0122015	0.0863901	0.0492554	0.00811447	0.1697	0.00365378	0.00183107	0.0183503	0.635675	0.015268	0.00834853	0.00814935	0.0300063	0.0132519	0.00511518	0.00761553	0.00547375	0.00109098	0.111007	0.00696371	0.00589065	0.0068478	0.0109014	0.0352703	0	0.334985	0.387767	0	0.241977	0.0352703	0.334985	0.387767	0.241977	2.617783e-06	0.0884506	0.10499	0.79851	0.00804943	2	0.999873	0.999968	1.00003	1.00013	1.379321
