Iteration	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er_trans[1]	er_trans[2]	er_trans[3]	er_trans[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
100	-3566697	-3566721	24.64254	1e+08	0	0.00217583	0.00191064	0.0204045	0.00420625	0.100047	0.0294417	0.0122015	0.0863901	0.0505248	0.00811447	0.160921	0.00388727	0.00187807	0.0183503	0.635675	0.0156894	0.00834853	0.00814935	0.0275199	0.0130537	0.00511518	0.00674126	0.00547375	0.000326509	0.112917	0.00696371	0.00585699	0.00828787	0.0109014	0.0412569	0	0.538325	0.19133	0	0.229088	0.0412569	0.538325	0.19133	0.229088	4.732481e-06	0.0934336	0.675136	0.204658	0.0267717	2	0.999873	0.999968	1.00003	1.00013	1.371473
110	-3566693	-3566699	6.212866	3.699009e+07	1	0.00217583	0.00191064	0.0204045	0.00456506	0.100047	0.0294417	0.0122015	0.0863901	0.0505248	0.00861194	0.160921	0.00388727	0.00187807	0.0183503	0.635675	0.0155568	0.00834751	0.00814935	0.0275199	0.0130537	0.00511518	0.00674126	0.00547375	0.000133587	0.112917	0.00696371	0.00622666	0.00828787	0.0109013	0.0436508	0	0.678567	0.185524	0	0.0922584	0.0436508	0.678567	0.185524	0.0922584	5.007368e-06	0.14855	0.696765	0.110912	0.0437724	2	0.999791	0.999947	1.00005	1.00021	1.372372
120	-3562243	-3562267	24.54141	1e+08	0	0.00217583	0.00191064	0.0204045	0.00456506	0.0997252	0.0294417	0.0122015	0.0863901	0.0505248	0.0083358	0.160921	0.00388727	0.00178128	0.0183503	0.635675	0.0155568	0.00834751	0.00699059	0.0273156	0.0130537	0.0050619	0.00716191	0.00547375	9.54242e-05	0.112917	0.00696371	0.00622666	0.0214165	0.00871477	0.404151	0	0.344747	0.184352	0	0.0667496	0.404151	0.344747	0.184352	0.0667496	3.457307e-06	0.00230038	0.189118	0.136633	0.671949	2	0.999873	0.999968	1.00003	1.00013	1.381586
130	-3562221	-3562245	24.54524	1e+08	0	0.00217583	0.00191064	0.0209833	0.00453397	0.0997252	0.0294417	0.0119598	0.0863901	0.0505248	0.0083358	0.160921	0.00388727	0.00175636	0.0175574	0.635675	0.0155568	0.00834751	0.00699059	0.0273156	0.0130537	0.00512302	0.00693868	0.00547375	4.5787e-05	0.112917	0.00681974	0.00622666	0.0214165	0.00919982	0.529893	0	0.239841	0.18212	0	0.0481456	0.529893	0.239841	0.18212	0.0481456	2.039936e-06	0.0217564	0.275768	0.339181	0.363294	2	0.999873	0.999968	1.00003	1.00013	1.381203
140	-3562180	-3562186	6.100134	2.963736e+07	1	0.00217583	0.00191064	0.0209833	0.00453397	0.0997252	0.0294417	0.0117581	0.0863901	0.0505248	0.0083358	0.160921	0.0038622	0.00186171	0.0175574	0.635675	0.0155568	0.00834751	0.00699059	0.0273156	0.0130537	0.00512302	0.00693868	0.00546381	4.00608e-05	0.112917	0.00668806	0.00629606	0.0240584	0.00919982	0.0238179	0	0.512392	0.302994	0	0.160796	0.0238179	0.512392	0.302994	0.160796	2.01594e-06	0.10264	0.181426	0.147941	0.567994	2	0.999766	0.999941	1.00006	1.00023	1.383646
150	-3562162	-3562187	24.51635	1e+08	0	0.00223397	0.00191064	0.0209833	0.00455087	0.0997252	0.0294417	0.0117581	0.0863901	0.0505248	0.0083358	0.162433	0.00380984	0.00186171	0.017669	0.635675	0.0155568	0.00834751	0.00699059	0.0273156	0.0130537	0.00512302	0.00701452	0.00546381	4.27424e-05	0.112917	0.00675186	0.00629411	0.0234891	0.00842887	0.547012	0	0.0585342	0.0773861	0	0.317067	0.547012	0.0585342	0.0773861	0.317067	3.651693e-06	0.327805	0.0497004	0.45462	0.167875	2	0.999873	0.999968	1.00003	1.00013	1.384093
160	-3562178	-3562184	6.098872	4.047287e+07	1	0.00223397	0.00191064	0.0209833	0.00455087	0.0997252	0.0294417	0.0114217	0.0863901	0.0505248	0.0083358	0.162433	0.00380984	0.00186171	0.0175718	0.635675	0.0154828	0.00834751	0.00699059	0.0273156	0.0130537	0.00512302	0.00695208	0.00572785	2.81478e-05	0.112917	0.00675186	0.00629411	0.0234891	0.00842887	0.249114	0	0.182945	0.298694	0	0.269247	0.249114	0.182945	0.298694	0.269247	3.424346e-06	0.186189	0.290618	0.289858	0.233335	2	0.9998	0.999949	1.00005	1.0002	1.383772
170	-3562154	-3562179	24.50757	1e+08	0	0.00214263	0.00190884	0.0209833	0.00455087	0.0997252	0.0294417	0.0114217	0.0863901	0.0505248	0.00862401	0.162433	0.00380984	0.00182607	0.0175718	0.635675	0.0154828	0.00940312	0.00699059	0.0273156	0.0130537	0.00512302	0.00695208	0.00572785	1.12483e-05	0.112917	0.00675186	0.00629411	0.0234891	0.00842887	0.183962	0	0.45001	0.14912	0	0.216908	0.183962	0.45001	0.14912	0.216908	5.668539e-06	0.333197	0.280519	0.383607	0.00267733	2	0.999873	0.999968	1.00003	1.00013	1.38497
180	-3562147	-3562172	24.50633	1e+08	0	0.00214263	0.00190884	0.0209833	0.00456583	0.0997252	0.0294417	0.0113915	0.0863901	0.0505248	0.00862401	0.162433	0.00380984	0.00182607	0.0175718	0.635675	0.0154828	0.00872702	0.00699059	0.0273156	0.0130537	0.00512302	0.00712556	0.00582955	7.23433e-06	0.112917	0.00675186	0.00629411	0.0234891	0.00897255	0.947622	0	0.0207317	0.0184273	0	0.0132192	0.947622	0.0207317	0.0184273	0.0132192	5.669719e-06	0.0401874	0.192329	0.76716	0.000324252	2	0.999873	0.999968	1.00003	1.00013	1.385094
190	-3562138	-3562162	24.43537	1e+08	0	0.00214263	0.00190884	0.0209833	0.00456583	0.0997252	0.0294417	0.0112617	0.0906892	0.0505248	0.00862401	0.162433	0.00380984	0.00182607	0.0176344	0.638463	0.0155581	0.00872702	0.00696556	0.0273156	0.0130537	0.00512302	0.00714742	0.00582955	1.27047e-05	0.112917	0.00675186	0.00629411	0.0234891	0.00897255	0.0827398	0	0.749685	0.0270452	0	0.14053	0.0827398	0.749685	0.0270452	0.14053	1.589425e-06	0.545154	0.248297	0.205153	0.00139625	2	0.999873	0.999968	1.00003	1.00013	1.392191
200	-3562137	-3562162	24.43503	1e+08	0	0.00231691	0.00185146	0.0209833	0.00456583	0.0997252	0.0294417	0.0112617	0.0906892	0.0505248	0.00862401	0.162433	0.00380984	0.00182607	0.0176344	0.638463	0.0154789	0.00872702	0.00696556	0.0273156	0.0130537	0.00512302	0.00714742	0.00582955	8.67079e-06	0.112917	0.00675186	0.00629411	0.0234891	0.00897255	0.233183	0	0.229044	0.00326999	0	0.534503	0.233183	0.229044	0.00326999	0.534503	9.255314e-07	0.202882	0.438624	0.352309	0.00618499	2	0.999873	0.999968	1.00003	1.00013	1.392225
210	-3562130	-3562155	24.46532	1e+08	0	0.00212602	0.00190031	0.0204601	0.00466009	0.0994544	0.0286144	0.0112617	0.0906892	0.0505248	0.00862401	0.162433	0.00380984	0.00182607	0.0170964	0.638463	0.0154789	0.00879975	0.00696556	0.0273156	0.0130537	0.00512302	0.00714742	0.00546154	1.11835e-05	0.112917	0.00662947	0.00588702	0.0234891	0.00897255	0.196204	0	0.273563	0.0749227	0	0.45531	0.196204	0.273563	0.0749227	0.45531	3.297731e-06	0.0974356	0.233738	0.30526	0.363566	2	0.999873	0.999968	1.00003	1.00013	1.389195
220	-3552942	-3552948	6.059222	1.494094e+07	1	0.00212602	0.00186087	0.0204601	0.00466009	0.0994544	0.0286144	0.0111544	0.088567	0.0505248	0.00873286	0.162433	0.00380984	0.00182607	0.0170964	0.638463	0.0154789	0.00879975	0.00696556	0.0273156	0.0130537	0.00518649	0.00714742	0.00546154	1.86765e-05	0.112917	0.00662947	0.00637187	0.0234891	0.00911909	0.154576	0	0.159884	0.493236	0	0.192304	0.154576	0.159884	0.493236	0.192304	2.966392e-07	0.284456	0.198799	0.215554	0.30119	4	0.999671	0.999916	1.00008	1.00033	1.387737
230	-3551446	-3551452	6.032361	7309838	1	0.00224113	0.00186087	0.0204601	0.00466009	0.0994544	0.0286144	0.0111544	0.0892124	0.0505248	0.00872015	0.162433	0.00391785	0.00178297	0.0170964	0.640408	0.0154486	0.00879975	0.00692442	0.0273156	0.0131507	0.00514918	0.00714742	0.00546154	1.01237e-05	0.112917	0.00662947	0.00637187	0.0234891	0.00906759	0.10629	0	0.0854879	0.27392	0	0.534302	0.10629	0.0854879	0.27392	0.534302	3.983957e-07	0.277201	0.222197	0.210057	0.290545	4	0.99953	0.99988	1.00012	1.00047	1.390423
240	-3551422	-3551446	24.39477	1e+08	0	0.00224113	0.00186087	0.0207733	0.00466664	0.0988113	0.028272	0.0111544	0.0892124	0.0505248	0.00872015	0.162433	0.00386745	0.00178297	0.0172146	0.646401	0.0154486	0.00915842	0.00692442	0.0273156	0.0131507	0.00514918	0.00719359	0.00546154	2.10977e-05	0.112917	0.00662947	0.00637187	0.0236031	0.00897017	0.189918	0	0.259548	0.441952	0	0.108582	0.189918	0.259548	0.441952	0.108582	5.778831e-07	0.277201	0.222197	0.210057	0.290545	4	0.999873	0.999968	1.00003	1.00013	1.396251
250	-3551412	-3551437	24.39971	1e+08	0	0.00224113	0.00181735	0.0207733	0.00466664	0.0988113	0.028272	0.0111544	0.0891894	0.0505248	0.00872015	0.162433	0.00386745	0.00178297	0.0172146	0.646401	0.0154486	0.00906621	0.0066888	0.0272877	0.0131507	0.00522254	0.00719359	0.00542245	3.05402e-05	0.112917	0.00668067	0.00637187	0.0236031	0.00880278	0.111555	0	0.491028	0.254193	0	0.143224	0.111555	0.491028	0.254193	0.143224	1.483588e-07	0.287296	0.219094	0.207123	0.286487	4	0.999873	0.999968	1.00003	1.00013	1.395756
260	-3551016	-3551041	24.39664	1e+08	0	0.00212623	0.00187389	0.0207733	0.00466664	0.0988113	0.0288054	0.0111544	0.0891894	0.0505248	0.00872015	0.162433	0.00386745	0.00178297	0.0172146	0.646401	0.0157687	0.00906621	0.0066888	0.0272877	0.012966	0.00522254	0.00719359	0.00535697	3.09065e-05	0.112917	0.00668067	0.00637187	0.0233551	0.00881257	0.269111	0	0.221937	0.254185	0	0.254767	0.269111	0.221937	0.254185	0.254767	2.76344e-07	0.281993	0.215049	0.221846	0.281112	4	0.999873	0.999968	1.00003	1.00013	1.396063
270	-3551034	-3551040	5.981935	8.792104e+07	1	0.00212623	0.00187389	0.020937	0.00466664	0.0988113	0.0288054	0.0114114	0.0891894	0.0505248	0.00872015	0.162433	0.00386745	0.00184463	0.0172146	0.645011	0.0157687	0.00906621	0.0066888	0.0272877	0.0129458	0.00522254	0.0071867	0.00567851	4.65281e-05	0.112917	0.00668067	0.00637187	0.0233551	0.00881257	0.298158	0	0.50947	0.0989037	0	0.0934679	0.298158	0.50947	0.0989037	0.0934679	1.704258e-06	0.281993	0.215049	0.221846	0.281112	4	0.999865	0.999965	1.00003	1.00014	1.395466
280	-3551040	-3551046	5.974987	8.584737e+07	1	0.0022287	0.00189236	0.0211108	0.00437616	0.0995428	0.0288054	0.0114114	0.0891894	0.0505248	0.00835218	0.162433	0.00386745	0.00184463	0.0172146	0.645011	0.0157687	0.00906621	0.00687369	0.0275024	0.0129458	0.00503595	0.00694283	0.00567851	3.46924e-05	0.112917	0.00704917	0.00637187	0.0233551	0.00881257	0.233231	0	0.0330898	0.478586	0	0.255093	0.233231	0.0330898	0.478586	0.255093	1.444085e-05	0.281993	0.215049	0.221846	0.281112	4	0.999863	0.999965	1.00004	1.00014	1.396159
290	-3551014	-3551038	24.40493	1e+08	0	0.00229583	0.00183633	0.0209539	0.00437616	0.0995428	0.0288054	0.0114114	0.0891894	0.0505248	0.00835218	0.162433	0.00386745	0.00189171	0.0172146	0.645011	0.0156062	0.00906621	0.00687369	0.0275024	0.0129458	0.00503595	0.00694283	0.00567851	1.66386e-05	0.112559	0.00676196	0.00637187	0.0233551	0.00881257	0.136465	0	0.00981406	0.817009	0	0.0367116	0.136465	0.00981406	0.817009	0.0367116	2.737171e-06	0.281993	0.215049	0.221846	0.281112	4	0.999873	0.999968	1.00003	1.00013	1.395234
300	-3551030	-3551036	5.983348	6033834	1	0.00221692	0.00183633	0.0209539	0.00442714	0.0995428	0.0288054	0.0114114	0.0891894	0.0505248	0.00834475	0.162433	0.00386745	0.00179483	0.0172146	0.645011	0.0156062	0.00906621	0.006877	0.0275024	0.0129458	0.00510671	0.00698058	0.00564379	3.24583e-05	0.112559	0.00676196	0.00638975	0.0234669	0.00881257	0.24642	0	0.0261451	0.66155	0	0.0658845	0.24642	0.0261451	0.66155	0.0658845	2.270569e-07	0.281993	0.215049	0.221846	0.281112	4	0.999483	0.999868	1.00013	1.00052	1.395325
310	-3551000	-3551025	24.4023	1e+08	0	0.00221692	0.00183633	0.0209539	0.00427528	0.0995428	0.0288054	0.0114114	0.0891894	0.0505248	0.008449	0.162433	0.00398859	0.00185784	0.0172146	0.645011	0.0156062	0.00906621	0.006877	0.0275024	0.0129458	0.00510671	0.00699801	0.00564379	5.14411e-05	0.112559	0.00676196	0.00638975	0.0234669	0.00881257	0.00890801	0	0.175164	0.343746	0	0.472183	0.00890801	0.175164	0.343746	0.472183	2.041769e-06	0.280472	0.219283	0.220649	0.279596	4	0.999873	0.999968	1.00003	1.00013	1.395498
320	-3551020	-3551026	5.981383	6.186959e+07	1	0.00221692	0.00190516	0.0205389	0.00427528	0.0995428	0.0288054	0.0114114	0.0891894	0.0505248	0.008449	0.162433	0.00398859	0.00185784	0.0172146	0.645011	0.0156062	0.00906621	0.006877	0.0275024	0.0130969	0.00510671	0.00699801	0.00564379	5.00277e-05	0.112559	0.00668302	0.00638975	0.0234669	0.00911107	0.00345032	0	0.409605	0.48916	0	0.0977847	0.00345032	0.409605	0.48916	0.0977847	5.767587e-06	0.280472	0.219283	0.220649	0.279596	4	0.999838	0.999959	1.00004	1.00016	1.395521
330	-3551014	-3551020	5.980419	3.258779e+07	1	0.00217436	0.00190516	0.0206524	0.00442872	0.0995428	0.0288054	0.0114596	0.0890772	0.0505248	0.008449	0.162433	0.00368564	0.00185784	0.0172146	0.645011	0.0156062	0.00906621	0.006877	0.0275024	0.0130795	0.00510671	0.00699801	0.00553701	4.11088e-05	0.112559	0.00673298	0.00626267	0.0239379	0.00908946	0.00962168	0	0.302371	0.0645993	0	0.623408	0.00962168	0.302371	0.0645993	0.623408	3.47285e-06	0.280472	0.219283	0.220649	0.279596	4	0.999777	0.999943	1.00006	1.00022	1.395617
340	-3550993	-3551017	24.40394	1e+08	0	0.00224769	0.00184064	0.0206524	0.00440496	0.0995428	0.0288054	0.0114596	0.0890772	0.0505248	0.00862794	0.162433	0.00368564	0.00182372	0.0172218	0.645011	0.0156062	0.00906621	0.00671269	0.0275024	0.0130795	0.0050371	0.00699801	0.00553701	9.48108e-06	0.112559	0.00673298	0.00616621	0.0239594	0.00900973	0.232843	0	0.316321	0.422651	0	0.028186	0.232843	0.316321	0.422651	0.028186	7.612399e-07	0.280472	0.219283	0.220649	0.279596	4	0.999873	0.999968	1.00003	1.00013	1.395334
350	-3551010	-3551016	5.988561	8.645157e+07	1	0.00224769	0.00187536	0.0206524	0.00440496	0.0995428	0.0282058	0.0114596	0.0890772	0.0505248	0.00858969	0.162433	0.00368564	0.00189639	0.0172218	0.645011	0.0156062	0.00906621	0.00671269	0.0274965	0.0130795	0.0050371	0.00699801	0.00553701	1.50195e-05	0.112559	0.00673298	0.00616621	0.0239594	0.00900973	0.0423904	0	0.44711	0.370188	0	0.140311	0.0423904	0.44711	0.370188	0.140311	2.145461e-06	0.280472	0.219283	0.220649	0.279596	4	0.999863	0.999964	1.00004	1.00014	1.394803
360	-3550994	-3551018	24.40388	1e+08	0	0.00224769	0.00189915	0.0206524	0.00440975	0.0995428	0.0282058	0.0114596	0.0890772	0.0503516	0.00858969	0.162433	0.0039572	0.00191292	0.0174028	0.645011	0.0156062	0.00906621	0.00671269	0.0274965	0.0132668	0.0050371	0.00718668	0.00536858	1.92782e-05	0.112559	0.00673298	0.00616621	0.0239594	0.00900973	0.401919	0	0.0608747	0.241796	0	0.295411	0.401919	0.0608747	0.241796	0.295411	2.494956e-06	0.280472	0.219283	0.220649	0.279596	4	0.999873	0.999968	1.00003	1.00013	1.39534
370	-3551018	-3551024	5.993421	3.894408e+07	1	0.00212342	0.00189915	0.0204465	0.00435705	0.0995428	0.0280532	0.0114596	0.0890772	0.0503516	0.00858969	0.162433	0.00400691	0.00191292	0.0174104	0.645011	0.0156062	0.00906621	0.00671269	0.0274965	0.0132668	0.00511388	0.00701593	0.00536858	2.40148e-05	0.112559	0.00663693	0.00616621	0.0235199	0.00908995	0.505442	0	0.0472498	0.218346	0	0.228963	0.505442	0.0472498	0.218346	0.228963	6.234703e-06	0.280472	0.219283	0.220649	0.279596	4	0.999796	0.999948	1.00005	1.0002	1.394317
380	-3550995	-3551020	24.40952	1e+08	0	0.00212342	0.00189915	0.020849	0.00433203	0.0995428	0.0280532	0.0114596	0.0890772	0.0503516	0.00859822	0.162433	0.00399336	0.00191292	0.0174104	0.645011	0.0156062	0.00906621	0.00671269	0.0274965	0.0132668	0.00511388	0.00674808	0.00548422	2.66387e-05	0.112689	0.00686622	0.00616621	0.0235199	0.00896614	0.0973164	0	0.521288	0.194837	0	0.186559	0.0973164	0.521288	0.194837	0.186559	7.6312e-07	0.280521	0.219321	0.220514	0.279644	4	0.999873	0.999968	1.00003	1.00013	1.394776
390	-3550998	-3551023	24.40206	1e+08	0	0.00215397	0.00189915	0.020849	0.00436908	0.0995428	0.0280532	0.0114596	0.0890772	0.0503512	0.00859822	0.163177	0.00399336	0.00191292	0.0174104	0.645011	0.0156062	0.00906621	0.00671269	0.0274965	0.0132668	0.00507558	0.00674808	0.00548422	3.62957e-05	0.112689	0.00686622	0.00612984	0.0235199	0.00896614	0.270481	0	0.150071	0.339355	0	0.240093	0.270481	0.150071	0.339355	0.240093	2.298532e-06	0.280521	0.219321	0.220514	0.279644	4	0.999873	0.999968	1.00003	1.00013	1.395522
400	-3550982	-3550988	5.995006	1.371673e+07	1	0.00221042	0.00189915	0.020849	0.0043164	0.0995428	0.0282859	0.0114596	0.0890772	0.0503512	0.0085289	0.16167	0.00385009	0.00187894	0.0174104	0.645011	0.0156062	0.00906621	0.00671269	0.0274965	0.0131088	0.00516914	0.00696312	0.00548422	3.89615e-05	0.112689	0.00686622	0.00612984	0.0235199	0.00896614	0.206575	0	0.371706	0.0604867	0	0.361232	0.206575	0.371706	0.0604867	0.361232	1.102488e-05	0.281297	0.219928	0.218356	0.280418	4	0.999657	0.999912	1.00009	1.00034	1.394158
410	-3550967	-3550992	24.42619	1e+08	0	0.002102	0.00187796	0.020849	0.0043164	0.0995428	0.0280457	0.0110913	0.0890772	0.0503512	0.00842733	0.16167	0.00385009	0.00171596	0.0174104	0.645011	0.0156062	0.00897397	0.00678243	0.0274965	0.0128268	0.00523823	0.00696312	0.00563346	1.38026e-05	0.112701	0.00686622	0.00612541	0.0236442	0.00890023	0.223635	0	0.12627	0.272114	0	0.37798	0.223635	0.12627	0.272114	0.37798	1.556953e-06	0.281297	0.219928	0.218356	0.280418	4	0.999873	0.999968	1.00003	1.00013	1.393109
420	-3550982	-3550988	5.995534	9.344172e+07	1	0.00214887	0.00193887	0.0208123	0.0043164	0.0998572	0.0280457	0.0110913	0.0890772	0.0503512	0.00867742	0.16167	0.00385009	0.00188876	0.0175127	0.645011	0.0154337	0.00897397	0.00678243	0.0274965	0.0128268	0.00507275	0.00696312	0.00563346	5.29788e-06	0.112701	0.00687191	0.00639401	0.0236442	0.00905898	0.0867852	0	0.123954	0.52502	0	0.264241	0.0867852	0.123954	0.52502	0.264241	1.074152e-07	0.281297	0.219928	0.218356	0.280418	4	0.999869	0.999967	1.00003	1.00013	1.394106
430	-3550984	-3550990	5.986485	4.184651e+07	1	0.0020988	0.00187725	0.0208123	0.00444664	0.0998572	0.0287756	0.011559	0.0890772	0.0503512	0.00867742	0.16167	0.00385009	0.00188006	0.0174376	0.645011	0.0154337	0.00906775	0.00662032	0.0274965	0.0128268	0.00519941	0.00696312	0.00558279	9.93285e-06	0.112701	0.006632	0.00639401	0.0236442	0.00905898	0.0401022	0	0.0459685	0.67738	0	0.236549	0.0401022	0.0459685	0.67738	0.236549	1.528658e-06	0.281297	0.219928	0.218356	0.280418	4	0.999804	0.99995	1.00005	1.0002	1.395011
