Iteration	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er_trans[1]	er_trans[2]	er_trans[3]	er_trans[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
100	-3548255	-3548261	5.877265	1.398306e+07	1	0.00214644	0.00189814	0.0206012	0.00457636	0.0970166	0.0339072	0.0124274	0.0849692	0.0492633	0.0084151	0.158624	0.0037846	0.00229276	0.0175015	0.637472	0.0158663	0.0184574	0.1143	0.0136559	0.00269525	0.008209	0.00523636	0.00904535	0.0255683	0.0073375	0.00597261	0.0051218	0.00631311	0.00675987	0.273281	0	0.227249	0.232587	0	0.266884	0.273281	0.227249	0.232587	0.266884	0.2649915	0.283639	0.208715	0.219444	0.288202	5	0.99966	0.999913	1.00009	1.00034	1.379434
110	-3548142	-3548166	24.0433	1e+08	0	0.00214644	0.00189814	0.0206454	0.00459256	0.0970166	0.0339072	0.0124274	0.0915337	0.0492633	0.0084151	0.158624	0.00382796	0.00169347	0.0175015	0.649316	0.0158663	0.0193866	0.1143	0.0136559	0.00269525	0.008209	0.00523636	0.00811328	0.0255683	0.0073375	0.00597261	0.0051218	0.00660247	0.00639927	0.273281	0	0.227249	0.232587	0	0.266884	0.273281	0.227249	0.232587	0.266884	0.3412438	0.283639	0.208715	0.219444	0.288202	5	0.999873	0.999968	1.00003	1.00013	1.397273
120	-3548047	-3548071	24.09493	1e+08	0	0.00214644	0.00189814	0.0206454	0.00472321	0.0970166	0.0339072	0.0124274	0.0915337	0.0492633	0.0084151	0.158624	0.00380909	0.00169347	0.0175015	0.649316	0.0158663	0.0193866	0.1143	0.0131831	0.00181989	0.008209	0.00523636	0.00811328	0.0255683	0.0073375	0.00597261	0.0051218	0.00660247	0.00639927	0.273281	0	0.227249	0.232587	0	0.266884	0.273281	0.227249	0.232587	0.266884	0.3019843	0.283639	0.208715	0.219444	0.288202	5	0.999873	0.999968	1.00003	1.00013	1.396037
130	-3548005	-3548027	22.48996	1e+08	0	0.00215565	0.00180681	0.0206454	0.00472321	0.0970166	0.0339072	0.0124274	0.0915337	0.0492633	0.0084151	0.158624	0.00369789	0.00182728	0.0175015	0.649316	0.0158663	0.0193866	0.1143	0.0131831	0.00181989	0.00807116	0.00523636	0.00811328	0.0273787	0.00748408	0.00597261	0.00513201	0.00660247	0.00578625	0.273281	0	0.227249	0.232587	0	0.266884	0.273281	0.227249	0.232587	0.266884	1.895379	0.283639	0.208715	0.219444	0.288202	5	0.999873	0.999968	1.00003	1.00013	1.397193
140	-3547897	-3547920	23.39072	1e+08	0	0.00215565	0.00180681	0.0206454	0.00472321	0.0970166	0.0339072	0.0124274	0.0915337	0.0492633	0.0084151	0.158624	0.00369789	0.00187999	0.0175015	0.649316	0.0158663	0.0193866	0.1143	0.0131831	0.00104601	0.00821279	0.00523636	0.00866668	0.0273787	0.00763336	0.00597261	0.00513201	0.00680154	0.00578625	0.273281	0	0.227249	0.232587	0	0.266884	0.273281	0.227249	0.232587	0.266884	0.9914004	0.284908	0.209649	0.220425	0.285018	5	0.999873	0.999968	1.00003	1.00013	1.397516
150	-3547871	-3547877	5.563922	2.127945e+07	1	0.00215565	0.00190469	0.0206454	0.00442648	0.0970166	0.0339072	0.0114302	0.0915337	0.0492633	0.0084151	0.158624	0.00369789	0.00178541	0.0175015	0.649316	0.0158663	0.0193866	0.113523	0.0131831	0.000689567	0.00821279	0.00523636	0.0100733	0.0273787	0.00763336	0.00556711	0.00513201	0.00680154	0.00578625	0.273281	0	0.227249	0.232587	0	0.266884	0.273281	0.227249	0.232587	0.266884	0.4117508	0.284908	0.209649	0.220425	0.285018	5	0.999724	0.99993	1.00007	1.00028	1.396092
160	-3547843	-3547847	4.125798	1.141075e+07	1	0.00215565	0.0018303	0.0206454	0.00482485	0.0970166	0.0339072	0.0114302	0.0915337	0.0492633	0.0084151	0.158624	0.00369789	0.001962	0.0175015	0.649316	0.0158663	0.0193866	0.113523	0.0131831	0.000213867	0.00821279	0.00523636	0.00912718	0.0273787	0.00763336	0.00556711	0.00513201	0.00680154	0.00578625	0.273281	0	0.227249	0.232587	0	0.266884	0.273281	0.227249	0.232587	0.266884	1.859088	0.284612	0.209432	0.220197	0.285759	5	0.999624	0.999904	1.0001	1.00038	1.395171
170	-3547830	-3547835	5.299074	4.563682e+07	1	0.00215565	0.0018303	0.0206454	0.00482485	0.0975893	0.0339072	0.0114302	0.0915337	0.0492633	0.0084151	0.158624	0.00369789	0.001962	0.0175015	0.649316	0.0158663	0.0193866	0.113523	0.0131831	0.000105408	0.00821279	0.00523636	0.00912718	0.0273787	0.00763336	0.00583027	0.00513201	0.00680154	0.00578625	0.273281	0	0.227249	0.232587	0	0.266884	0.273281	0.227249	0.232587	0.266884	0.6785371	0.284612	0.209432	0.220197	0.285759	5	0.999812	0.999952	1.00005	1.00019	1.395898
180	-3547820	-3547825	5.777972	7.39847e+07	1	0.00214791	0.0019503	0.0206454	0.00482485	0.0975893	0.0339072	0.0114302	0.0915337	0.0492633	0.0084151	0.158624	0.00369789	0.001962	0.0175015	0.649316	0.0158663	0.0193866	0.113523	0.0131831	7.07502e-05	0.00821279	0.00523636	0.00975588	0.0279408	0.00763336	0.00583027	0.00513201	0.00680154	0.00578625	0.273281	0	0.227249	0.232587	0	0.266884	0.273281	0.227249	0.232587	0.266884	0.186955	0.284612	0.209432	0.220197	0.285759	5	0.999852	0.999962	1.00004	1.00015	1.397167
190	-3547812	-3547817	5.283128	1.077308e+07	1	0.00214791	0.00189376	0.0206454	0.00433056	0.0975893	0.0337486	0.0115458	0.0915337	0.0512041	0.0084151	0.158624	0.00369789	0.00191325	0.0174741	0.649316	0.0156223	0.019381	0.113523	0.0131831	5.04415e-05	0.00812065	0.00523636	0.00955176	0.0279408	0.00763336	0.00583027	0.00513201	0.00680154	0.00574937	0.273281	0	0.227249	0.232587	0	0.266884	0.273281	0.227249	0.232587	0.266884	0.6751212	0.284612	0.209432	0.220197	0.285759	5	0.999613	0.999901	1.0001	1.00039	1.397835
