Iteration	Posterior	Likelihood	Prior	birth	clock_morpho[1]	clock_morpho[2]	clock_morpho[3]	clock_nuclear	death	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er_scale[1]	er_scale[2]	er_scale[3]	er_transv[1]	er_transv[2]	er_transv[3]	er_transv[4]	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	F[14]	F[15]	F[16]	F[17]	F[18]	F[19]	F[20]	F[21]	F[22]	F[23]	F[24]	F[25]	F[26]	F[27]	F[28]	F[29]	F[30]	F[31]	F[32]	F[33]	F[34]	F[35]	F[36]	F[37]	F[38]	F[39]	F[40]	F[41]	F[42]	F[43]	F[44]	F[45]	F[46]	F[47]	F[48]	F[49]	F[50]	F[51]	F[52]	F[53]	F[54]	F[55]	F[56]	F[57]	F[58]	F[59]	F[60]	F[61]	F[62]	F[63]	F[64]	F[65]	F[66]	F[67]	F[68]	F[69]	F[70]	F[71]	F[72]	F[73]	F[74]	F[75]	F[76]	F[77]	F[78]	F[79]	F[80]	F[81]	F[82]	F[83]	F[84]	F[85]	F[86]	F[87]	F[88]	F[89]	F[90]	F[91]	F[92]	F[93]	F[94]	F[95]	F[96]	F[97]	F[98]	F[99]	F[100]	F[101]	F[102]	F[103]	F[104]	pi[1]	pi[2]	pi[3]	pi[4]	pi_scale[1]	pi_scale[2]	pi_scale[3]	psi	root_time	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	t[15]	t[16]	t[17]	t[18]	t[19]	t[20]	t[21]	t[22]	t[23]	t[24]	t[25]	t[26]	t[27]	t[28]	t[29]	t[30]	t[31]	t[32]	t[33]	t[34]	t[35]	t[36]	t[37]	t[38]	t[39]	t[40]	t[41]	t[42]	t[43]	t[44]	t[45]	t[46]	t[47]	t[48]	t[49]	t[50]	t[51]	t[52]	t[53]	t[54]	t[55]	t[56]	t[57]	t[58]	t[59]	t[60]	t[61]	t[62]	t[63]	t[64]	t[65]	t[66]	t[67]	t[68]	t[69]	t[70]	t[71]	t[72]	t[73]	t[74]	t[75]	t[76]	t[77]	t[78]	t[79]	t[80]	t[81]	t[82]	t[83]	t[84]	t[85]	t[86]	t[87]	t[88]	t[89]	t[90]	t[91]	t[92]	t[93]	t[94]	t[95]	t[96]	t[97]	t[98]	t[99]	t[100]	t[101]	t[102]	t[103]	t[104]	turnover
0	-7911453	-7899509	-11943.73	0.4079605	1.57154	1.53043	2.50872	0.2036626	0.2711016	0.1368589	0.406241	0	0.190481	0.111641	0	0.291637	0.214123	0.803314	3.3018	0.406241	0.190481	0.111641	0.291637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151092	0.192621	0.372795	0.283493	0.317849	1.17035	6.60517	2.221813	26.70425	5.333	4.9	0.781	0.3	1.8	2.588	1.8	0.3	1.8	1.8	2.588	0.3	0.781	2.588	0.0117	2.588	0.126	0.0117	1.806	0.0117	0.0117	0.781	0.781	0.781	0.0117	0.0117	0.781	0.0117	0.781	0.3	0.781	0.3	0.126	0.126	0.0117	0.0117	0.0117	0.0117	0.012	0.0117	0.0117	0.012	0.0117	0.012	0.0117	0.012	0.0117	0.0117	0.0117	0.126	0.0117	0.0117	0.126	0.012	0.126	0.0117	0.126	0.126	0.0117	0.126	0.3	0.3	0.3	0.126	0.781	2.588	2.588	2.588	2.588	0.781	1.806	0.0117	0.012	0.3	0.3	0.012	0.781	0.126	1.806	0.781	0.126	1.806	0.0117	0.0117	0.781	0.0117	1.806	0.0117	0.781	0.781	0.0117	0.0117	2.588	2.588	1.8	0.0117	0.0117	2.588	1.8	2.588	2.588	0.0117	4.9	4.9	0.6645291
100	-2793722	-2784635	-9086.82	0.2622673	2.08251	7.57756	3.7887	0.007207925	0.01680385	0.2454635	0.267711	0	0.228723	0.234835	0	0.268731	0.448349	4.33212	2.16496	0.267711	0.228723	0.234835	0.268731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.284329	0.215847	0.217123	0.282702	0.326586	1.05984	6.48417	0.1325148	26.10081	9.05167	6.19178	0.781	0.766321	3.63987	2.588	1.8	1.7965	1.84867	1.8	2.588	4.54931	5.28415	2.98266	1.07311	2.588	1.11313	0.0117	1.806	1.73122	1.72506	1.4203	1.87844	2.04588	1.34544	2.08333	0.859953	0.854056	1.41651	1.75447	0.781	0.538322	0.162006	0.126	0.0923105	0.0621342	0.0117	0.12159	0.012	0.0117	0.0485284	0.012	0.0117	0.0279372	0.2386	0.0903526	0.0117	0.118043	0.061599	0.938711	0.0117	0.0117	0.572951	0.081472	0.443029	0.172573	0.126	0.65498	0.509416	0.647304	0.56263	1.40998	1.45735	0.168317	0.884077	2.588	2.588	3.42917	2.588	2.38275	1.806	2.01443	0.164344	0.3	0.555255	0.012	0.781	0.126	1.81826	1.98562	0.609667	1.806	2.00837	1.23787	1.56432	0.0117	1.806	0.621705	0.875988	0.781	0.302941	1.65701	2.588	2.588	4.7447	0.0291817	1.77482	4.94453	3.80607	3.1655	2.588	1.44919	8.02466	4.9	0.06407145
200	-2675873	-2666847	-9026.822	0.3531243	3.07016	4.68982	4.80327	0.008707619	0.005952393	0.3471719	0.269336	0	0.227096	0.234196	0	0.269372	0.173028	13.8519	3.57336	0.269336	0.227096	0.234196	0.269372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.284141	0.214955	0.216037	0.284866	0.320802	1.03402	3.9409	0.2109089	29.96438	9.05167	7.05798	2.04826	0.766321	2.50803	2.588	2.39355	1.30288	1.84867	3.29006	2.588	0.947661	3.75682	2.98266	0.580114	2.588	1.11313	2.01214	1.806	2.42656	2.38438	1.84098	1.87844	1.78464	0.615063	2.08333	0.859953	1.24364	1.41651	1.64079	0.972097	1.72108	0.321588	0.153773	0.0923105	0.0621342	0.0117	0.12159	0.012	0.0117	0.0485284	0.012	0.0117	0.0279372	0.102423	0.0903526	0.0117	0.118043	0.0601663	0.938711	0.0117	0.0117	0.378084	0.081472	0.443029	0.172573	0.259026	0.65498	0.436512	0.531245	1.51486	1.35643	1.45735	2.13224	0.884077	2.588	2.588	3.42917	2.588	2.64637	2.52388	1.60919	0.0597419	1.48095	0.639786	0.117413	0.781	0.200701	1.9042	1.98562	0.580999	2.20893	2.43922	0.697881	1.62766	0.173496	2.29599	1.71788	0.875988	0.781	0.0314521	1.65701	2.588	2.588	4.73678	0.58943	4.80828	3.77294	4.42478	4.72125	4.97707	1.22175	6.36088	5.63333	0.01685637
300	-2663626	-2654602	-9024.27	0.3160225	5.83137	5.31266	4.10129	0.009281304	0.004033725	0.3119887	0.268862	0	0.227478	0.234239	0	0.269421	0.661366	1.5574	4.8206	0.268862	0.227478	0.234239	0.269421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.284107	0.215236	0.216155	0.284502	0.314052	1.15568	5.24791	0.2436615	29.98826	9.68793	5.52503	1.42975	2.16163	2.12534	2.588	2.82688	1.30288	4.19378	3.29006	3.55889	1.44909	2.76957	2.64681	1.8081	3.12825	0.375709	2.46785	1.806	1.34507	1.83983	2.44997	1.87844	1.14043	0.965825	1.53184	0.859953	0.22467	1.17789	1.55352	1.53466	1.72108	0.321588	0.457437	0.114535	0.0621342	0.0117	0.12159	0.0790907	0.0914437	0.0485284	0.012	0.0674229	0.289898	0.102423	0.0903526	0.0117	0.118043	0.0601663	1.26858	0.56881	0.51357	0.238499	0.232588	0.622389	0.200169	0.352775	0.181587	0.358463	0.170225	1.66768	1.12658	0.478984	2.13224	0.884077	2.588	2.588	3.42537	2.94035	2.64637	2.51516	2.76708	0.955333	1.48095	0.932495	0.117413	1.50128	0.719948	1.9042	1.27482	1.53071	2.33361	1.6366	1.53089	1.30713	1.19608	2.29599	2.16221	1.08396	0.781	0.0314521	1.23815	2.754	2.588	3.26253	2.0292	3.87357	3.77294	4.52459	3.7036	4.06536	1.22175	5.55464	5.18981	0.01276404
400	-2638170	-2629175	-8995.084	0.3428769	3.88044	4.43201	6.48242	0.01022148	0.0148446	0.3280323	0.270711	0	0.22761	0.230953	0	0.270726	1.00626	1.43287	2.62934	0.270711	0.22761	0.230953	0.270726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.284099	0.21586	0.215719	0.284322	0.347336	1.20203	4.79578	0.2158849	29.9689	9.68793	4.93193	1.42975	2.16163	2.33465	2.97136	2.11202	2.83808	4.16334	2.44828	3.55889	0.380314	1.565	2.93575	2.14235	2.87223	0.955864	2.46785	1.806	0.961968	0.627185	2.44997	1.41005	1.65966	0.430466	0.426398	1.73247	0.22467	2.51903	1.43947	1.53466	1.05499	0.672197	0.515357	0.114535	0.0621342	0.0117	0.12159	0.0790907	0.0852937	0.0485284	0.141075	0.0674229	0.289898	0.706452	0.0903526	0.0117	0.118043	0.0601663	0.989451	0.56881	0.613954	0.238499	0.232588	0.329172	0.200169	0.452785	0.181587	0.275017	0.170225	1.66768	1.12658	0.91002	0.625651	0.884077	2.588	2.588	3.42537	2.94035	2.00105	2.47277	2.75029	0.0376658	1.61032	0.797018	0.0610379	0.850701	0.815782	2.00578	1.71346	2.17032	2.33361	1.46972	0.67657	2.30475	0.590752	2.05371	0.237921	0.916479	2.52103	1.71583	1.41286	3.0433	2.588	3.32195	2.9023	4.21365	2.92022	4.52459	3.7036	2.81603	2.23407	5.30642	5.04917	0.04329426
500	-2625040	-2616050	-8989.514	0.3391111	7.84633	4.83708	7.31374	0.01097737	0.001393328	0.3377178	0.270099	0	0.228643	0.231533	0	0.269725	0.791236	11.5853	3.10232	0.270099	0.228643	0.231533	0.269725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282632	0.216344	0.216424	0.2846	0.335315	1.06343	5.04289	0.256681	29.93107	9.24099	6.7702	1.63333	2.16163	2.12762	3.14155	2.13643	0.935173	4.40243	2.44828	3.62519	0.417685	1.48207	2.93575	2.08077	2.87223	1.37741	2.46785	1.806	0.333459	1.63486	1.93735	0.936949	1.65966	2.23783	0.426398	1.62099	0.21727	1.31185	1.13122	1.76194	1.05499	0.672197	0.407672	0.114535	0.0621342	0.0117	0.12159	0.0790907	0.0852937	0.0129275	0.141075	0.0194482	0.19409	0.706452	0.0903526	0.0949723	0.118043	0.0601663	1.67427	0.439217	0.717485	0.238499	0.232588	0.405538	0.39644	0.612027	0.181587	0.275017	0.331744	0.625389	1.45493	0.91002	0.56429	0.821636	3.16234	2.588	3.43794	2.92359	1.91561	2.49225	0.912653	0.935543	1.46469	1.38944	0.186216	0.998526	0.510134	1.8946	0.920614	2.03123	2.25752	0.36999	0.67657	1.90655	1.54684	1.9254	1.14973	0.906167	2.52103	1.78955	1.41286	2.7222	2.588	4.29776	2.63416	2.81461	2.71477	4.52459	3.74217	2.71955	3.03286	5.57077	5.54068	0.004108766
600	-2618636	-2609666	-8969.896	0.4162723	3.62837	6.66009	4.16914	0.01159706	0.001961065	0.4143113	0.270227	0	0.229052	0.230142	0	0.270579	1.79709	0.679385	4.11788	0.270227	0.229052	0.230142	0.270579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283088	0.216162	0.217065	0.283686	0.333681	1.16616	4.35942	0.2265369	29.96701	8.56354	7.43802	1.14088	2.33794	2.22346	3.15793	2.22937	1.62162	3.58738	2.44828	3.62519	0.52748	1.54179	2.93575	2.49741	2.87968	1.37741	2.46785	2.1254	0.661765	0.990509	1.93735	1.02032	2.02782	2.5435	0.234999	1.74855	0.21727	0.810772	1.13122	1.2146	1.33692	0.189891	0.243976	0.114535	0.0621342	0.0117	0.12159	0.0133454	0.0852937	0.0183107	0.0367067	0.0628867	0.235347	0.0863508	0.0903526	0.0949723	0.118043	0.0601663	0.372753	0.439217	0.756296	0.276537	0.232588	0.606332	0.39644	0.612027	0.181587	0.372808	0.180998	0.510626	0.791506	0.91002	0.452866	1.24357	3.16234	2.60332	3.43794	2.89242	1.42492	2.05939	0.0517216	1.70375	1.46469	0.706002	0.186216	1.32778	0.510134	1.8946	1.55025	2.03123	2.12384	0.30418	0.953445	1.88743	1.13126	1.9254	0.781244	1.40335	2.00918	1.78955	0.775684	2.85373	2.81144	4.29776	3.2349	3.18193	3.03661	3.00104	3.73577	2.6247	2.80546	5.507	6.50005	0.004711014
700	-2613254	-2604292	-8961.552	0.418698	2.9403	6.71254	5.33807	0.01258641	0.05459004	0.364108	0.271468	0	0.229124	0.22787	0	0.271538	1.81156	6.08003	0.898319	0.271468	0.229124	0.22787	0.271538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283388	0.215955	0.216413	0.284245	0.32696	1.11012	5.30313	0.2651674	29.94688	9.24476	6.94795	0.960551	2.45766	2.22346	3.15793	2.29972	1.62162	3.58738	3.25845	4.31626	1.88336	1.54179	2.60789	2.49741	3.17206	1.98465	2.39445	2.1254	0.289931	1.75146	1.93735	1.02032	2.05094	2.5435	0.522635	0.960479	0.0679624	0.931209	1.07765	0.87946	1.33692	0.195761	0.390579	0.114535	0.0621342	0.0407387	0.12159	0.0275143	0.0852937	0.0183107	0.0367067	0.042174	0.235347	0.0144028	0.0903526	0.0949723	0.118043	0.0601663	0.372753	0.0293806	0.659152	0.287931	0.232588	0.618737	0.381137	0.129296	0.262736	0.565063	0.180998	0.510626	0.791506	0.812912	1.15655	0.992778	3.16234	2.60332	3.51805	2.66108	2.76571	2.05939	0.0856796	1.3061	1.31658	0.407564	0.537177	0.906545	0.952509	1.8946	1.85128	2.03123	2.12384	1.94338	0.953445	1.22325	1.51243	1.9254	2.0357	1.40993	2.48779	1.78955	1.30083	2.85373	2.85078	2.51238	2.76784	1.88517	2.77735	2.91055	3.73577	2.6247	1.53055	5.38133	6.50005	0.1303804
800	-2611504	-2602568	-8936.057	0.3786184	3.24884	7.25505	5.30044	0.0131428	0.01813535	0.3604831	0.2719	0	0.228704	0.226321	0	0.273075	0.39618	1.52735	6.0392	0.2719	0.228704	0.226321	0.273075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283589	0.216284	0.216188	0.283938	0.321876	1.05039	4.71053	0.356086	29.97936	11.3335	6.94795	1.77624	1.55783	2.67856	3.27863	2.13214	1.35115	3.71619	2.84074	3.88547	1.22212	1.30879	2.68409	2.67513	3.17206	1.98465	2.40711	2.1254	0.289931	1.18773	1.93735	2.51876	2.16964	2.5435	0.522635	0.860004	0.336409	1.66223	0.378627	0.828337	1.59257	0.575809	0.390579	0.114535	0.0621342	0.0407387	0.0510044	0.0275143	0.0852937	0.0183107	0.0367067	0.042174	0.235347	0.778693	0.0903526	0.0949723	0.118043	0.0502803	0.367524	0.0293806	0.659152	0.287931	0.13493	0.618737	0.209616	0.129296	0.262736	0.565063	0.500922	0.510626	1.57906	1.16276	2.09977	0.922225	3.34855	2.60332	3.51805	2.66108	2.21375	2.05939	0.431887	0.819228	1.31658	0.589396	0.843235	0.906545	1.70221	1.8946	0.856754	2.01302	2.13299	0.610773	0.953445	1.47445	1.41711	1.9254	0.716383	2.07499	2.48779	1.13701	2.30443	3.11343	2.63869	4.22089	2.21494	1.44177	2.99113	2.91055	3.84428	2.6247	1.88318	5.97602	5.55504	0.04789875
900	-2611208	-2602271	-8937.629	0.3271159	3.0287	7.03748	4.88572	0.01338736	0.002142507	0.3249734	0.271778	0	0.228223	0.226866	0	0.273133	1.77732	5.13537	1.65678	0.271778	0.228223	0.226866	0.273133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283625	0.216659	0.21607	0.283647	0.334362	0.997964	5.76321	0.2929568	29.99066	18.4537	6.60132	3.20814	1.77527	3.2481	2.65321	2.20395	0.750915	3.22621	1.97185	3.33262	1.64434	1.75378	2.68409	2.83982	3.17206	0.776412	2.40711	2.25809	0.723175	1.18773	1.54323	2.19123	2.01792	2.5435	1.61549	1.45596	0.273324	1.13376	0.378627	0.828337	1.59257	0.184614	0.228825	0.114535	0.0637733	0.0264442	0.0510044	0.0275143	0.0422482	0.0183107	0.0367067	0.0507879	0.235347	0.121302	0.0903526	0.0591928	0.118043	0.0502803	0.367524	0.226329	0.359907	0.381436	0.197923	0.326855	0.209616	0.129296	0.592148	0.44713	0.681634	0.83565	1.57906	0.542265	2.09977	0.922225	3.34855	2.69168	3.14961	3.00828	2.21375	1.82041	0.299716	0.988239	1.37432	0.616035	0.318754	0.906545	1.70221	1.8946	1.73027	2.55787	2.30119	0.828098	0.0607725	1.76271	2.10558	1.9254	0.723949	1.35109	2.32639	0.528982	0.190238	3.19515	2.63869	2.75147	1.71702	0.913592	3.20675	2.65379	3.67438	2.95944	1.88318	4.96228	5.55504	0.006549687
