Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	kappa	p_inv	p_inv_indicator	pi[1]	pi[2]	pi[3]	pi[4]	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	sub_rate	sub_rate_vec[1]	sub_rate_vec[2]	sub_rate_vec[3]	sub_rate_vec[4]	sub_rate_vec[5]	TL
13	1	-2556330	-2556353	22.85963	1e+08	0	0.0119166	0.0196023	0.00550669	0.158994	0.00318216	0.150668	0.0601267	0.201562	1.05076	0.00511309	0.00638262	0.0149271	0.0225104	0.00402233	0.0410737	0.0123461	0.0100918	0.126805	0.0624661	0.136917	0.224114	0.0211516	0.428547	2.837563e-06	0	0	0.083239	0.578811	0.0725417	0.265409	2	0.999873	0.999968	1.00003	1.00013	0.6534158	0.0187878	0.00136469	0.753392	0.0193127	0.653416	1.778782
14	0	-2555891	-2555911	19.69804	1e+08	0	0.0130456	0.0135894	0.00444033	0.109844	0.00225534	0.103874	0.0437831	0.126166	0.792427	0.00361491	0.00907697	0.00381595	0.00509223	0.0321178	0.00470314	0.0161155	0.00278613	0.067031	0.035849	0.598916	0.0909354	0.163949	0.0433203	2.181623e-07	0	0	0.201033	0.203458	0.470121	0.125389	2	0.999873	0.999968	1.00003	1.00013	0.9162104	0.0382285	0.613684	0.503595	0.0728613	0.91621	1.286747
15	1	-2555789	-2555791	1.351899	8082564	1	0.00856277	0.0193293	0.00609988	0.158994	0.00314171	0.150668	0.0623703	0.201562	1.11389	0.00502768	0.00638262	0.0118037	0.0225104	0.00402233	0.044918	0.0119994	0.0105384	0.115811	0.237578	0.0182254	0.252418	0.0777389	0.298229	6.210324e-06	0	0	0.480439	0.0186951	0.398648	0.102218	2	0.999553	0.999886	1.00011	1.00045	0.6534158	0.0706277	0.0138629	0.423678	0.010491	0.653416	1.841822
16	0	-2555894	-2555896	2.081952	7.638157e+07	1	0.0130456	0.0135894	0.00444033	0.111704	0.00217698	0.104045	0.0437831	0.125779	0.792427	0.00361491	0.00893675	0.00394859	0.00466303	0.0321178	0.00470314	0.0161146	0.00287424	0.0130702	0.0638314	0.0374769	0.00804591	0.448988	0.428587	8.232337e-07	0	0	0.0609067	0.851288	0.0208904	0.0669148	2	0.999855	0.999964	1.00004	1.00015	0.9162104	0.17511	0.121427	0.393632	0.0454444	0.91621	1.287964
17	1	-2555302	-2555323	21.6549	1e+08	0	0.00856277	0.0191964	0.005973	0.158994	0.00315692	0.14524	0.0623703	0.164665	1.11389	0.00502768	0.00638262	0.0118037	0.0225867	0.00402233	0.0449526	0.0118196	0.011218	0.270414	0.103923	0.00233514	0.474722	0.0278467	0.120759	6.218609e-06	0	0	0.0145064	0.0842576	0.458653	0.442583	2	0.999873	0.999968	1.00003	1.00013	0.6534158	0.00911796	0.0115306	0.156916	0.0610952	0.653416	1.799864
18	0	-2555871	-2555892	21.13725	1e+08	0	0.0134225	0.0135894	0.00444033	0.111704	0.00223333	0.104045	0.0437814	0.125779	0.792427	0.00361491	0.00878494	0.00386431	0.00466303	0.0321178	0.00489558	0.0161146	0.00287424	0.206682	0.0260069	0.0596619	0.14172	0.0956648	0.470264	2.855982e-06	0	0	0.184498	0.0615715	0.163632	0.590299	2	0.999873	0.999968	1.00003	1.00013	0.9162104	0.0208193	0.0954246	0.364829	0.277131	0.91621	1.288352
19	1	-2555302	-2555318	16.08383	1e+08	0	0.00856277	0.0191964	0.00598439	0.158994	0.00308866	0.14524	0.0623703	0.164665	1.11018	0.00502768	0.00672353	0.0118037	0.0225867	0.00406559	0.0449526	0.0116328	0.011218	0.0515198	0.336442	0.0390352	0.340799	0.188063	0.0441414	4.690264e-06	0	0	0.0895132	0.283205	0.117642	0.50964	2	0.999873	0.999968	1.00003	1.00013	0.6534158	0.201273	0.274621	0.122066	0.0406733	0.653416	1.796291
20	0	-2555891	-2555894	2.315288	2.915927e+07	1	0.0134225	0.0135894	0.00444033	0.111704	0.00223333	0.104045	0.0437814	0.125779	0.792427	0.00361491	0.00877399	0.00370728	0.00475855	0.0322793	0.00489558	0.0161146	0.00287424	0.182541	0.483539	0.166139	0.079526	0.0459931	0.0422628	3.802282e-06	0	0	0.200251	0.0553243	0.239729	0.504697	2	0.999765	0.99994	1.00006	1.00024	0.9162104	0.361882	0.0419359	0.155307	0.127187	0.91621	1.288441
21	1	-2555288	-2555303	14.53272	1e+08	0	0.0085488	0.0193491	0.0059446	0.158994	0.00308866	0.14524	0.0594306	0.164665	1.11018	0.00502768	0.00672353	0.0118037	0.0225181	0.00406559	0.0443599	0.0109284	0.011218	0.152477	0.176768	0.0719862	0.255541	0.130978	0.21225	8.37809e-06	0	0	0.000485939	0.6384	0.251093	0.110021	2	0.999873	0.999968	1.00003	1.00013	0.6614585	0.0795483	0.782421	0.514655	0.0416323	0.661458	1.792084
22	0	-2555889	-2555894	5.425094	7.488848e+07	1	0.0134225	0.0138572	0.00425103	0.111704	0.00231731	0.104045	0.0437814	0.125779	0.792427	0.00361491	0.00877399	0.0036816	0.00484871	0.0322947	0.00493721	0.016057	0.00287424	0.0522851	0.410225	0.427629	0.0210881	0.0656929	0.02308	6.387815e-06	0	0	0.202248	0.0334073	0.0475942	0.71675	2	0.999853	0.999962	1.00004	1.00015	0.9145562	0.305217	0.00624757	0.373328	0.0187762	0.914556	1.288667
