Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	kappa	p_inv	p_inv_indicator	pi[1]	pi[2]	pi[3]	pi[4]	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	sub_rate	sub_rate_vec[1]	sub_rate_vec[2]	sub_rate_vec[3]	sub_rate_vec[4]	sub_rate_vec[5]	TL
1240	0	-2546488	-2546517	29.76585	1e+08	0	0.0141664	0.0144876	0.00456915	0.116337	0.0023108	0.108613	0.0457582	0.132277	0.840837	0.00383684	0.00889117	0.00413258	0.00472832	0.0337669	0.00493039	0.0167826	0.00313209	0.138424	0.261133	0.0245443	0.114748	0.172431	0.288719	3.278051e-06	0	0	0.282371	0.217517	0.217024	0.283088	4	0.999873	0.999968	1.00003	1.00013	0.872448	0.443632	0.00410695	0.00149127	0.00681499	0.872448	1.359557
1241	1	-2545841	-2545846	5.062932	6.25308e+07	1	0.00712526	0.0171869	0.00538579	0.141468	0.00270648	0.130612	0.0551126	0.15854	1.00657	0.00459782	0.00637749	0.0107095	0.0200403	0.00346978	0.0403731	0.0107385	0.0109144	0.275756	0.382454	0.0705002	0.0927396	0.0962271	0.0823233	1.404562e-07	0	0	0.282988	0.217197	0.21703	0.282785	4	0.999839	0.999959	1.00004	1.00016	0.7249231	0.0540399	0.0109598	0.0132403	0.0997782	0.724923	1.63193
1242	0	-2546491	-2546518	27.21313	1e+08	0	0.0140339	0.01442	0.00453294	0.117011	0.0022017	0.108874	0.0456062	0.131931	0.838777	0.00384421	0.00904385	0.00358513	0.00532816	0.0334685	0.00512287	0.0168266	0.0028954	0.0149587	0.0310546	0.0903032	0.511384	0.265011	0.0872885	2.023578e-06	0	0	0.282593	0.217688	0.217194	0.282525	4	0.999873	0.999968	1.00003	1.00013	0.8761474	0.0011893	0.408489	0.0443632	0.0112147	0.876147	1.357502
1243	1	-2545842	-2545841	-0.871564	1.786099e+07	1	0.00686861	0.0174494	0.00515266	0.1417	0.00277977	0.12975	0.0549196	0.157643	1.00536	0.00450269	0.00589417	0.0106613	0.0205786	0.00364467	0.0400544	0.0103197	0.0110162	0.0504568	0.00927058	0.0371699	0.0129886	0.87804	0.0120744	2.613679e-06	0	0	0.282888	0.217619	0.216891	0.282603	4	0.999699	0.999923	1.00008	1.0003	0.7271184	0.0753613	0.0920516	0.0443098	0.994351	0.727118	1.6283
1244	0	-2546485	-2546518	32.40345	1e+08	0	0.013777	0.0144791	0.0043704	0.116738	0.00229462	0.108178	0.0453592	0.130335	0.834988	0.00390168	0.00902964	0.00408737	0.00507398	0.0327701	0.00501783	0.0166563	0.00295903	0.140354	0.165781	0.108315	0.213552	0.310233	0.0617652	3.133764e-06	0	0	0.282164	0.217439	0.218195	0.282202	4	0.999873	0.999968	1.00003	1.00013	0.8821403	0.0556528	0.00312665	0.00117518	0.00704751	0.88214	1.350016
1245	1	-2545823	-2545846	23.64974	1e+08	0	0.00724763	0.0172743	0.00543098	0.142368	0.00298568	0.130308	0.0544486	0.159214	1.00347	0.00453596	0.00628864	0.0104797	0.0206244	0.00352854	0.0401945	0.00999221	0.0103745	0.664701	0.0906797	0.0541596	0.107916	0.0680437	0.0145002	1.082976e-05	0	0	0.282616	0.21741	0.217644	0.282331	4	0.999873	0.999968	1.00003	1.00013	0.7260338	0.00918183	0.033031	0.281907	0.00798737	0.726034	1.628769
1246	0	-2546510	-2546517	6.044309	1.488696e+07	1	0.0142455	0.0146488	0.00468192	0.116555	0.00229462	0.108494	0.0454586	0.131497	0.83684	0.00380149	0.00891531	0.00414516	0.00492435	0.0332698	0.00515162	0.0168866	0.00298442	0.117701	0.0571695	0.457663	0.216754	0.0987434	0.0519694	1.269924e-05	0	0	0.282164	0.217439	0.218195	0.282202	4	0.999671	0.999916	1.00008	1.00033	0.8754545	0.358361	0.0139048	0.0597846	0.0130259	0.875454	1.354794
1247	1	-2545812	-2545838	26.83155	1e+08	0	0.00706506	0.0174974	0.00526681	0.141669	0.00268789	0.129825	0.0549027	0.158939	1.00826	0.00461249	0.00619718	0.0108218	0.0203227	0.00353586	0.0403779	0.00992079	0.0106699	0.184663	0.281395	0.26141	0.051271	0.0644923	0.156769	2.149054e-07	0	0	0.282481	0.217306	0.218016	0.282197	4	0.999873	0.999968	1.00003	1.00013	0.7264502	0.00198967	0.00289305	0.0482577	0.0981889	0.72645	1.63257
1248	0	-2546507	-2546516	9.515329	7.739445e+07	1	0.0142691	0.0144974	0.00451891	0.116881	0.00235036	0.107727	0.0456964	0.131299	0.834181	0.00371659	0.00914486	0.00423997	0.00467275	0.0331906	0.00498413	0.0170187	0.00291001	0.470224	0.0777623	0.14528	0.0626727	0.150105	0.0939559	1.71159e-05	0	0	0.281687	0.217772	0.217906	0.282635	4	0.999856	0.999963	1.00004	1.00014	0.8775131	0.0141997	0.0226858	0.00338494	0.114292	0.877513	1.351298
1249	1	-2545833	-2545841	7.463639	2.467676e+07	1	0.00678363	0.0170835	0.00530289	0.14049	0.00293839	0.129781	0.0552532	0.15766	1.00801	0.00445335	0.00607387	0.0102723	0.0207304	0.00358974	0.0401753	0.0103812	0.0109301	0.120665	0.00191331	0.0412575	0.54538	0.0812659	0.209518	9.144265e-07	0	0	0.282506	0.217326	0.218094	0.282074	4	0.999744	0.999935	1.00007	1.00026	0.7270546	0.00397364	0.0331548	0.187484	0.0029218	0.727055	1.629907
1250	0	-2546499	-2546523	23.27023	1e+08	0	0.0138073	0.0144648	0.0043861	0.118688	0.00242562	0.107493	0.0457488	0.131999	0.842893	0.00399743	0.00896776	0.00438085	0.0047424	0.0337517	0.00494527	0.0169515	0.00307297	0.0770658	0.0120639	0.00800086	0.525665	0.345511	0.0316937	3.454249e-07	0	0	0.281687	0.217772	0.217906	0.282635	4	0.999873	0.999968	1.00003	1.00013	0.8713776	0.0364239	0.0174307	0.0424721	0.441146	0.871378	1.362716
1251	1	-2545833	-2545840	7.541629	5210544	1	0.00688956	0.0173436	0.00518545	0.14089	0.00281787	0.129969	0.0551681	0.15746	1.00822	0.00454724	0.00605694	0.0104682	0.0203316	0.00354127	0.0401789	0.010079	0.0109301	0.340563	0.00156626	0.16921	0.0149296	0.237308	0.236423	2.547233e-05	0	0	0.281699	0.217401	0.217956	0.282944	4	0.999443	0.999858	1.00014	1.00056	0.7279493	0.00196222	0.00706732	0.943312	0.00508814	0.727949	1.630071
1252	0	-2546503	-2546511	7.93153	9.386525e+07	1	0.0142571	0.0145986	0.00453216	0.118081	0.0023418	0.109406	0.0461982	0.132324	0.841027	0.00381591	0.00898429	0.00414865	0.00478498	0.0334043	0.00503788	0.0169706	0.00295764	0.214163	0.000396329	0.252959	0.189985	0.0914472	0.251049	5.585061e-06	0	0	0.282287	0.21768	0.217517	0.282516	4	0.999869	0.999965	1.00004	1.00013	0.8720286	0.649855	0.00379334	0.00529615	0.041697	0.872029	1.362871
1253	1	-2545842	-2545841	-0.271381	8.100082e+07	1	0.00726162	0.0174275	0.00538326	0.141662	0.00283768	0.130552	0.0550028	0.157663	1.00644	0.00458936	0.00626302	0.0102686	0.0206351	0.00377281	0.0406558	0.0102084	0.0108448	0.128935	0.00158037	0.149134	0.230196	0.0156759	0.47448	1.413877e-05	0	0	0.281699	0.217401	0.217956	0.282944	4	0.999859	0.999965	1.00003	1.00014	0.7259001	0.0799332	0.0354498	0.598276	0.0960055	0.7259	1.631466
1254	0	-2546506	-2546514	7.961392	8.95117e+07	1	0.0142972	0.0146533	0.0042972	0.11876	0.00239111	0.109824	0.0457815	0.132324	0.843953	0.00370266	0.0089795	0.00409786	0.00504608	0.0339036	0.00514361	0.017228	0.002913	0.215061	0.231472	0.33252	0.0510395	0.05769	0.112217	1.453733e-06	0	0	0.282287	0.21768	0.217517	0.282516	4	0.999866	0.999965	1.00003	1.00013	0.8688182	0.00122487	0.0171585	0.267828	0.0901351	0.868818	1.367296
1255	1	-2545810	-2545841	31.32252	1e+08	0	0.00717165	0.01757	0.00556673	0.142522	0.00283768	0.132086	0.0553675	0.159421	1.01081	0.00447484	0.00603748	0.0105054	0.0204576	0.00376095	0.0409432	0.0103484	0.010487	0.113141	0.00622045	0.103958	0.189167	0.440243	0.147271	5.094648e-06	0	0	0.281699	0.217401	0.217956	0.282944	4	0.999873	0.999968	1.00003	1.00013	0.7228918	0.00111469	0.00240801	0.0360041	0.0029409	0.722892	1.640363
1256	0	-2546511	-2546518	7.258411	4.133094e+07	1	0.0145467	0.0147743	0.00444853	0.118257	0.00234861	0.109986	0.0460876	0.13385	0.84581	0.00371597	0.0089279	0.00408363	0.0047932	0.0335891	0.00497737	0.0173129	0.00297	0.471524	0.0369342	0.107321	0.0888427	0.250829	0.0445484	1.694186e-06	0	0	0.282287	0.21768	0.217517	0.282516	4	0.999802	0.99995	1.00005	1.0002	0.8694165	0.0476327	0.00145411	0.815449	0.0175629	0.869417	1.370479
1257	1	-2545835	-2545844	9.309297	2.139894e+07	1	0.00722406	0.0170797	0.00509939	0.141186	0.00273541	0.131595	0.0552875	0.158875	1.01088	0.00480256	0.00609212	0.0107263	0.0203942	0.00372872	0.0409149	0.0103484	0.0105296	0.012489	0.0312844	0.175222	0.289531	0.331086	0.160388	1.23699e-05	0	0	0.281699	0.217401	0.217956	0.282944	4	0.999725	0.99993	1.00007	1.00027	0.7248517	0.00670615	0.239847	0.00372003	0.00177076	0.724852	1.637503
1258	0	-2546511	-2546515	3.841433	1.039968e+07	1	0.0145088	0.0146274	0.00467116	0.118913	0.00237578	0.109422	0.046626	0.133676	0.846346	0.00384207	0.00901095	0.00444632	0.00474618	0.0336309	0.00530208	0.0170325	0.00306342	0.00809788	0.443906	0.0987112	0.14433	0.230744	0.0742112	4.569277e-06	0	0	0.282287	0.21768	0.217517	0.282516	4	0.999606	0.999899	1.0001	1.00039	0.8659268	0.201428	0.037082	0.711754	0.0056099	0.865927	1.37224
1259	1	-2545823	-2545841	18.66905	1e+08	0	0.00717769	0.0176223	0.00523673	0.142084	0.00270602	0.130386	0.0558586	0.158875	1.0081	0.00451498	0.00600507	0.0107263	0.0203942	0.00352793	0.0404669	0.00998995	0.0109506	0.0826068	0.138832	0.0512641	0.0803695	0.626169	0.0207589	1.303541e-05	0	0	0.281991	0.217627	0.217403	0.28298	4	0.999873	0.999968	1.00003	1.00013	0.7251945	0.216441	0.0838216	0.945398	0.00547319	0.725194	1.634617
1260	0	-2546493	-2546516	23.66276	1e+08	0	0.0140339	0.0147442	0.00454193	0.11948	0.0024731	0.109858	0.046626	0.133787	0.85107	0.00386835	0.00917986	0.0047364	0.00454806	0.0339863	0.00528312	0.0169394	0.00291887	0.148499	0.0221462	0.0631821	0.0473677	0.449496	0.26931	4.128569e-06	0	0	0.282479	0.217148	0.217665	0.282708	4	0.999873	0.999968	1.00003	1.00013	0.8613265	0.588746	0.0128798	0.523282	0.00175662	0.861326	1.378074
1261	1	-2545834	-2545840	6.466178	4.142885e+07	1	0.00719228	0.0173739	0.00539322	0.140645	0.00274055	0.131763	0.0553173	0.158485	1.01084	0.00443213	0.00613863	0.0105128	0.0206399	0.00359107	0.0405537	0.0100861	0.0107842	0.100101	0.159313	0.027031	0.560418	0.145274	0.00786307	8.533807e-06	0	0	0.281674	0.218187	0.217853	0.282286	4	0.999803	0.99995	1.00005	1.0002	0.7242142	0.00137725	0.11009	0.135345	0.00896299	0.724214	1.636488
1262	0	-2546506	-2546512	5.971384	1.006417e+07	1	0.0139551	0.0146014	0.004489	0.117433	0.00233845	0.108848	0.0464265	0.132512	0.842136	0.00370483	0.00890292	0.00438621	0.00486539	0.033555	0.00511493	0.0170575	0.00296062	0.0784705	0.14986	0.01096	0.0940162	0.342193	0.324501	1.339617e-06	0	0	0.282336	0.217546	0.217554	0.282564	4	0.999599	0.999898	1.0001	1.0004	0.871256	0.0401785	0.0470847	0.17841	0.0114148	0.871256	1.363287
1263	1	-2545840	-2545844	3.574765	4.48077e+07	1	0.00677538	0.017092	0.00503117	0.142722	0.00274055	0.131857	0.0557566	0.159072	1.01125	0.00453081	0.00608951	0.0105335	0.0205869	0.00371449	0.0408732	0.0101837	0.0108916	0.14903	0.0345736	0.0701089	0.0884599	0.605769	0.0520581	1.591205e-06	0	0	0.28173	0.217645	0.217311	0.283314	4	0.99981	0.999952	1.00005	1.00019	0.7245747	0.264967	0.00113079	0.0137296	0.779828	0.724575	1.639697
1264	0	-2546499	-2546518	19.98581	1e+08	0	0.0141637	0.0145241	0.00425821	0.119092	0.00236292	0.108987	0.0458492	0.132309	0.841343	0.00385884	0.00876893	0.00404156	0.00527402	0.0337621	0.0051448	0.0167207	0.00297769	0.0775264	0.293586	0.181576	0.392161	0.0462532	0.00889798	1.828421e-06	0	0	0.282519	0.217688	0.217465	0.282328	4	0.999873	0.999968	1.00003	1.00013	0.8715338	0.222372	0.207339	0.00715799	0.955044	0.871534	1.363439
1265	1	-2545817	-2545838	21.47374	1e+08	0	0.00674506	0.0174998	0.00548195	0.141156	0.00277893	0.130531	0.0555104	0.15874	1.00862	0.00452245	0.00602257	0.0107906	0.0202934	0.00350493	0.0403333	0.0102619	0.0111684	0.0446971	0.167169	0.0267481	0.148406	0.217157	0.395823	3.611864e-06	0	0	0.281664	0.217594	0.217494	0.283247	4	0.999873	0.999968	1.00003	1.00013	0.725034	0.0250317	0.383899	0.323201	0.00184192	0.725034	1.633959
1266	0	-2546513	-2546521	8.180752	7.324746e+07	1	0.0145072	0.0147715	0.00423708	0.11903	0.00236402	0.110067	0.0457955	0.131904	0.846756	0.00384399	0.00884737	0.00412	0.00513463	0.0343478	0.00517921	0.0169433	0.00298764	0.426436	0.0389923	0.0462765	0.000525557	0.188549	0.29922	4.501391e-06	0	0	0.282858	0.216751	0.217725	0.282666	4	0.999852	0.999962	1.00004	1.00015	0.8667201	0.00257118	0.00303085	0.838758	0.0603107	0.86672	1.370836
1267	1	-2545839	-2545845	5.357195	1.934154e+07	1	0.00680016	0.0176835	0.00520618	0.142497	0.00278232	0.130899	0.0564749	0.160533	1.01934	0.00455946	0.00624477	0.0106299	0.020606	0.00362115	0.0406318	0.0103607	0.0112397	0.183066	0.0168403	0.272244	0.250714	0.128265	0.148871	7.863682e-06	0	0	0.282107	0.216363	0.217837	0.283693	4	0.999711	0.999926	1.00007	1.00029	0.7196337	0.00212147	0.267227	0.00164559	0.524866	0.719634	1.650108
1268	0	-2546506	-2546515	8.244597	4.454116e+07	1	0.0145394	0.0144781	0.00454741	0.118892	0.00245979	0.111023	0.0470883	0.134008	0.852393	0.003795	0.00900111	0.00416819	0.0048632	0.0341331	0.00517137	0.0171287	0.00298518	0.353392	0.0752688	0.0357125	0.0676253	0.33908	0.128921	6.020678e-06	0	0	0.282615	0.217688	0.217272	0.282424	4	0.999809	0.999951	1.00005	1.00019	0.8601426	0.0627393	0.0677528	0.0192051	0.00413707	0.860143	1.380675
1269	1	-2545820	-2545843	22.05194	1e+08	0	0.00708024	0.0173744	0.00536819	0.142213	0.00283266	0.13114	0.0553774	0.159107	1.0209	0.00459254	0.00618698	0.0110376	0.020862	0.00370046	0.0405784	0.010063	0.0111763	0.0708465	0.330233	0.094099	0.194826	0.231947	0.0780495	2.502801e-06	0	0	0.282321	0.216528	0.218002	0.283149	4	0.999873	0.999968	1.00003	1.00013	0.7187589	0.660007	0.00276307	0.813254	0.00186675	0.718759	1.649585
1270	0	-2546501	-2546522	21.66682	1e+08	0	0.0143993	0.0145574	0.00437107	0.119223	0.0023826	0.111681	0.0462175	0.134091	0.856559	0.00401673	0.00901713	0.0042634	0.00449552	0.0346043	0.00522585	0.0174578	0.00315751	0.135084	0.187314	0.332316	0.113786	0.193163	0.0383377	2.225209e-06	0	0	0.282469	0.217803	0.217154	0.282574	4	0.999873	0.999968	1.00003	1.00013	0.8570871	0.144021	0.0516915	0.847258	0.00757107	0.857087	1.38572
1271	1	-2545823	-2545843	20.65543	1e+08	0	0.00706265	0.0173102	0.00518743	0.142455	0.00276504	0.131384	0.055939	0.160486	1.01839	0.00476173	0.00625451	0.0105757	0.0209133	0.00359063	0.0409886	0.0101278	0.0109587	0.0062718	0.0238957	0.0318692	0.478561	0.392127	0.0672744	1.799757e-05	0	0	0.282346	0.216546	0.218021	0.283087	4	0.999873	0.999968	1.00003	1.00013	0.7196106	0.01486	0.102348	0.105804	0.0697443	0.719611	1.649151
1272	0	-2546507	-2546519	11.33108	5.308367e+07	1	0.01411	0.0145574	0.00454385	0.120287	0.00238857	0.110125	0.0463585	0.13426	0.858502	0.00377934	0.00899652	0.00404868	0.00512168	0.0342451	0.00526928	0.0174163	0.00310354	0.235936	0.33378	0.0368497	0.0384538	0.292074	0.0629067	1.428217e-05	0	0	0.282469	0.217803	0.217154	0.282574	4	0.999826	0.999955	1.00004	1.00017	0.8577394	0.00164083	0.0271716	0.0950339	0.00342241	0.857739	1.387113
1273	1	-2545848	-2545852	3.716054	4.331545e+07	1	0.00732153	0.0181028	0.00548594	0.142485	0.00272597	0.133017	0.0555553	0.159647	1.02043	0.00473414	0.0062474	0.0105038	0.0201102	0.00382284	0.0410299	0.0106998	0.0104272	0.0726787	0.265641	0.0501809	0.0740404	0.103335	0.434123	9.1983e-06	0	0	0.283224	0.217137	0.217049	0.282591	4	0.999807	0.999951	1.00005	1.00019	0.7174758	0.021058	0.0688552	0.136352	0.0125367	0.717476	1.652348
1274	0	-2546484	-2546512	28.62829	1e+08	0	0.0141447	0.014963	0.00448284	0.120498	0.00239728	0.111009	0.046629	0.134416	0.859514	0.00379411	0.00931739	0.00423879	0.00483762	0.0342225	0.00512998	0.0171152	0.003017	0.183613	0.109793	0.16222	0.225304	0.175842	0.143228	7.159855e-07	0	0	0.282322	0.217689	0.217563	0.282426	4	0.999873	0.999968	1.00003	1.00013	0.8544095	0.0089736	0.0830534	0.0214633	0.0027266	0.854409	1.389727
1275	1	-2545836	-2545842	6.032034	1.001369e+07	1	0.00697721	0.0174337	0.0055446	0.143768	0.00281383	0.132498	0.0554476	0.160714	1.02172	0.00466054	0.00623068	0.0106398	0.0208634	0.0037503	0.0415028	0.0102946	0.0110969	0.348512	0.101467	0.0202817	0.166271	0.201369	0.1621	6.610004e-06	0	0	0.283224	0.217137	0.217049	0.282591	4	0.999598	0.999897	1.0001	1.0004	0.7161419	0.00232619	0.0555851	0.359005	0.0050914	0.716142	1.655952
1276	0	-2546497	-2546517	20.21243	1e+08	0	0.0140467	0.0149482	0.00452606	0.119931	0.00232319	0.111846	0.0468747	0.1356	0.856359	0.00379411	0.00903155	0.00408449	0.00498821	0.0341809	0.00512943	0.0172625	0.00292032	0.121938	0.35549	0.0123748	0.165981	0.189766	0.15445	3.999617e-06	0	0	0.282417	0.21766	0.217534	0.282388	4	0.999873	0.999968	1.00003	1.00013	0.854622	0.325304	0.490892	0.0312227	0.0402646	0.854622	1.387846
1277	1	-2545819	-2545844	24.51234	1e+08	0	0.0073269	0.0178254	0.00532964	0.143011	0.00290009	0.132824	0.055986	0.159696	1.02503	0.00464672	0.00627604	0.011335	0.0209337	0.00370854	0.0409521	0.0102946	0.0108567	0.011073	0.117297	0.1534	0.381914	0.141359	0.194957	4.660466e-07	0	0	0.281198	0.217595	0.21773	0.283478	4	0.999873	0.999968	1.00003	1.00013	0.7139465	0.00622374	0.497461	0.0457563	0.00153025	0.713947	1.658935
1278	0	-2546483	-2546514	30.97341	1e+08	0	0.0146672	0.014802	0.00465904	0.120679	0.00226513	0.112065	0.0469569	0.135511	0.860757	0.00392642	0.00925726	0.00439969	0.00490643	0.0340987	0.00517235	0.0172346	0.00303275	0.11863	0.1163	0.213315	0.0627767	0.289859	0.199119	2.248459e-06	0	0	0.282697	0.216887	0.21775	0.282667	4	0.999873	0.999968	1.00003	1.00013	0.8504499	0.00398072	0.0155056	0.0217851	0.00298078	0.85045	1.39439
1279	1	-2545822	-2545846	24.6518	1e+08	0	0.00734535	0.0177842	0.00545292	0.142491	0.0028025	0.13421	0.0562563	0.161122	1.02718	0.0044878	0.00616707	0.0107327	0.0207894	0.0036126	0.0409821	0.0104023	0.0115727	0.284442	0.357256	0.0118664	0.127223	0.189294	0.0299186	1.526747e-06	0	0	0.281198	0.217595	0.21773	0.283478	4	0.999873	0.999968	1.00003	1.00013	0.713585	0.208289	0.00501066	0.146129	0.00118314	0.713585	1.66339
1280	0	-2546489	-2546517	28.17695	1e+08	0	0.0147222	0.0146976	0.00470396	0.120807	0.00247509	0.112066	0.046974	0.13519	0.864377	0.00401737	0.00927121	0.00407994	0.0051454	0.0350847	0.00513609	0.0174777	0.003106	0.0504714	0.134187	0.0562164	0.174569	0.346204	0.238351	2.976134e-06	0	0	0.282577	0.216795	0.218081	0.282547	4	0.999873	0.999968	1.00003	1.00013	0.8497108	0.0017597	0.00587005	0.0174889	0.346338	0.849711	1.399331
1281	1	-2545832	-2545850	18.22123	1e+08	0	0.00694167	0.0176416	0.00553575	0.14332	0.00275351	0.133464	0.0564709	0.15903	1.01888	0.00465787	0.00623636	0.0107874	0.0202687	0.00339348	0.0411865	0.0105163	0.01137	0.0734984	0.357775	0.0977746	0.185059	0.224529	0.0613646	2.575223e-06	0	0	0.281198	0.217595	0.21773	0.283478	4	0.999873	0.999968	1.00003	1.00013	0.7171541	0.191639	0.00945587	0.0731375	0.937781	0.717154	1.652452
1282	0	-2546517	-2546522	5.087527	2.074941e+07	1	0.014344	0.0149084	0.00466669	0.121284	0.0025063	0.111485	0.0471439	0.136777	0.861242	0.00380348	0.00917305	0.00429986	0.00455362	0.0343238	0.00514554	0.0174134	0.0028849	0.0968878	0.00900822	0.103649	0.0087655	0.26012	0.52157	9.135133e-06	0	0	0.282577	0.216795	0.218081	0.282547	4	0.999721	0.999929	1.00007	1.00028	0.8487043	0.00193808	0.127593	0.968553	0.0288272	0.848704	1.395955
1283	1	-2545821	-2545841	20.3527	1e+08	0	0.00719066	0.0178187	0.00552641	0.144221	0.00291327	0.133329	0.0562749	0.160747	1.02914	0.00468619	0.00610772	0.0107586	0.0207505	0.0036005	0.0407907	0.0103989	0.0111018	0.193701	0.193659	0.0880052	0.352676	0.153025	0.018933	8.7086e-06	0	0	0.281198	0.217595	0.21773	0.283478	4	0.999873	0.999968	1.00003	1.00013	0.7136701	0.00350094	0.0917617	0.750228	0.0540459	0.71367	1.665358
1284	0	-2546498	-2546517	19.31576	1e+08	0	0.0142769	0.0144698	0.00459952	0.119626	0.00234986	0.111417	0.0473549	0.134524	0.863064	0.0039742	0.00943376	0.0041794	0.00503535	0.0342791	0.00509761	0.0172941	0.00304177	0.150154	0.0784225	0.161851	0.212727	0.303613	0.0932319	1.759616e-06	0	0	0.282577	0.216795	0.218081	0.282547	4	0.999873	0.999968	1.00003	1.00013	0.8521874	0.0460566	0.8193	0.10643	0.11554	0.852187	1.394016
1285	1	-2545816	-2545842	25.42409	1e+08	0	0.00687157	0.0173585	0.00545554	0.142893	0.00286485	0.132557	0.0554712	0.159913	1.02281	0.00459192	0.00621168	0.0108747	0.0204548	0.00379268	0.0406591	0.0103445	0.0113455	0.113063	0.0768716	0.165586	0.167889	0.451718	0.0248734	7.527508e-06	0	0	0.281715	0.217995	0.21796	0.28233	4	0.999873	0.999968	1.00003	1.00013	0.7181811	0.011556	0.0029812	0.0616091	0.042663	0.718181	1.654466
1286	0	-2546488	-2546514	25.8132	1e+08	0	0.0145097	0.0150952	0.00449732	0.120388	0.0024523	0.110887	0.0474544	0.135631	0.860543	0.00382982	0.00936013	0.00440878	0.00480234	0.034374	0.00520322	0.0174461	0.00292412	0.166539	0.284491	0.0461655	0.128897	0.316633	0.057275	5.925738e-07	0	0	0.282577	0.216795	0.218081	0.282547	4	0.999873	0.999968	1.00003	1.00013	0.8511747	0.130281	0.0188816	0.00121748	0.234301	0.851175	1.393806
1287	1	-2545836	-2545841	5.294431	4.814151e+07	1	0.00724719	0.0176839	0.00548867	0.143938	0.00286048	0.13174	0.0556094	0.161483	1.02184	0.00466716	0.00614677	0.0107462	0.0208194	0.00378346	0.0403458	0.0105679	0.0109437	0.0596625	0.0583119	0.455423	0.115774	0.189646	0.121182	6.137229e-06	0	0	0.281804	0.217294	0.217604	0.283298	4	0.999817	0.999953	1.00005	1.00018	0.7163767	0.0016826	0.00408691	0.578919	0.124141	0.716377	1.655912
1288	0	-2546517	-2546523	6.090873	1.579497e+07	1	0.014834	0.0151115	0.00461452	0.119452	0.00240724	0.112049	0.046985	0.135313	0.859473	0.003801	0.00918913	0.00417782	0.00492874	0.033733	0.00522433	0.0177137	0.00312453	0.0183999	0.0066799	0.16957	0.236879	0.415284	0.153186	1.980952e-05	0	0	0.282596	0.216742	0.218096	0.282566	4	0.99968	0.999918	1.00008	1.00032	0.8518844	0.13771	0.00210497	0.0212519	0.425353	0.851884	1.392131
1289	1	-2545817	-2545843	25.37289	1e+08	0	0.00716296	0.0176254	0.00528991	0.14426	0.00260755	0.132884	0.0564373	0.162293	1.02537	0.00454918	0.00652995	0.0107069	0.0209496	0.00367081	0.0416286	0.0102009	0.0110647	0.0888063	0.041464	0.513486	0.120449	0.164231	0.0715635	6.531615e-07	0	0	0.281801	0.217292	0.217601	0.283306	4	0.999873	0.999968	1.00003	1.00013	0.7115396	0.00513424	0.0228786	0.0633873	0.0118361	0.71154	1.663228
1290	0	-2546496	-2546520	23.97477	1e+08	0	0.0147974	0.0149211	0.00452627	0.121768	0.00256578	0.111346	0.0476389	0.134919	0.865014	0.0038975	0.00910413	0.00455933	0.00462806	0.0343612	0.00522852	0.017506	0.00286096	0.0578567	0.342224	0.178312	0.13455	0.0693142	0.217743	3.725892e-06	0	0	0.282527	0.217316	0.218043	0.282114	4	0.999873	0.999968	1.00003	1.00013	0.8486118	0.0159004	0.00270713	0.188974	0.513128	0.848612	1.399641
1291	1	-2545821	-2545842	20.88648	1e+08	0	0.00760159	0.0177737	0.00541823	0.143226	0.00290013	0.132346	0.0561341	0.161777	1.02529	0.00462309	0.00642948	0.0102363	0.0206725	0.00378886	0.0410055	0.0102113	0.0107546	0.0442813	0.108797	0.106907	0.237087	0.0468642	0.456064	4.979006e-07	0	0	0.281406	0.217967	0.218	0.282627	4	0.999873	0.999968	1.00003	1.00013	0.7144385	0.959158	0.128184	0.00180242	0.0362578	0.714438	1.660187
1292	0	-2546513	-2546519	5.288243	7.079922e+07	1	0.0143755	0.0146963	0.00477108	0.121342	0.00244089	0.111689	0.0473463	0.135958	0.868667	0.0040359	0.0093455	0.00423715	0.00489236	0.0347747	0.00536773	0.0173407	0.00320988	0.108881	0.0248409	0.0557318	0.778274	0.00923263	0.0230393	2.866579e-06	0	0	0.282953	0.217642	0.217715	0.28169	4	0.999849	0.999961	1.00004	1.00015	0.8469246	0.00587319	0.43658	0.0275617	0.0735456	0.846925	1.404491
1293	1	-2545830	-2545839	8.352331	5.337748e+07	1	0.00703027	0.0176153	0.00551222	0.143321	0.00288108	0.132918	0.0555968	0.160769	1.02676	0.00459534	0.00628508	0.0106348	0.0208188	0.0036558	0.0410824	0.0102939	0.0113714	0.0133735	0.204579	0.0143898	0.744598	0.0010464	0.0220136	9.698916e-07	0	0	0.281467	0.218014	0.218048	0.282472	4	0.999826	0.999956	1.00004	1.00017	0.7159345	0.0129944	0.00885864	0.00200969	0.0953181	0.715935	1.661143
