Iteration	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	kappa	p_inv	p_inv_indicator	pi[1]	pi[2]	pi[3]	pi[4]	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	sub_rate	sub_rate_vec[1]	sub_rate_vec[2]	sub_rate_vec[3]	sub_rate_vec[4]	sub_rate_vec[5]	TL
110	-2555889	-2555894	5.425094	7.488848e+07	1	0.0134225	0.0138572	0.00425103	0.111704	0.00231731	0.104045	0.0437814	0.125779	0.792427	0.00361491	0.00877399	0.0036816	0.00484871	0.0322947	0.00493721	0.016057	0.00287424	0.0522851	0.410225	0.427629	0.0210881	0.0656929	0.02308	6.387815e-06	0	0	0.202248	0.0334073	0.0475942	0.71675	2	0.999853	0.999962	1.00004	1.00015	0.9145562	0.305217	0.00624757	0.373328	0.0187762	0.914556	1.288667
120	-2555891	-2555895	4.293671	2.797075e+07	1	0.0134225	0.0138572	0.00423961	0.111704	0.00234915	0.104045	0.0437814	0.125779	0.792427	0.00357157	0.00887948	0.0036816	0.00472804	0.0322947	0.00473328	0.0161458	0.00287973	0.347283	0.0740764	0.238405	0.110435	0.150506	0.0792951	4.456904e-06	0	0	0.608516	0.217559	0.0856411	0.0882834	2	0.99976	0.999939	1.00006	1.00024	0.9145562	0.572655	0.00328627	0.142851	0.154365	0.914556	1.288519
130	-2555873	-2555896	22.96356	1e+08	0	0.0134225	0.0138572	0.00418389	0.111704	0.00223232	0.104045	0.0437814	0.125779	0.792427	0.00357157	0.00854117	0.00405902	0.00469427	0.0322947	0.00473669	0.0161458	0.00296111	0.0496403	0.155579	0.385195	0.218089	0.0585064	0.13299	1.740383e-05	0	0	0.140645	0.0748742	0.560633	0.223848	2	0.999873	0.999968	1.00003	1.00013	0.9145562	0.109069	0.00251483	0.171187	0.689395	0.914556	1.288437
140	-2555870	-2555892	22.19005	1e+08	0	0.0134225	0.0138572	0.00418389	0.111704	0.00223232	0.104045	0.0437814	0.125779	0.792427	0.00357157	0.00853236	0.00389951	0.00446912	0.0322947	0.00492437	0.0161458	0.00296111	0.0670169	0.0120385	0.373613	0.247802	0.29635	0.00317874	1.627222e-06	0	0	0.157009	0.125475	0.048473	0.669043	2	0.999873	0.999968	1.00003	1.00013	0.9150911	0.915661	0.00187942	0.0684575	0.596422	0.915091	1.288231
150	-2555891	-2555891	0.6011717	2.196121e+07	1	0.0134225	0.0137965	0.00418389	0.111704	0.00229297	0.104045	0.0437814	0.125779	0.797507	0.00350193	0.00853236	0.00389951	0.00474079	0.0322947	0.00492437	0.0161458	0.00296111	0.110924	0.121816	0.0816573	0.473429	0.187745	0.0244299	1.016056e-05	0	0	0.0881293	0.341895	0.497977	0.0719987	2	0.999729	0.999931	1.00007	1.00027	0.9153438	0.785539	0.00969523	0.292783	0.710111	0.915344	1.293513
160	-2555888	-2555890	1.329502	3.183239e+07	1	0.0134225	0.0137965	0.0040718	0.111704	0.00214891	0.104045	0.0437814	0.125779	0.797507	0.00363208	0.00856312	0.00398717	0.00474079	0.0322947	0.00492437	0.0161458	0.00277441	0.38099	0.130981	0.209932	0.210388	0.0529166	0.0147925	2.43203e-06	0	0	0.376359	0.344519	0.173362	0.10576	2	0.999775	0.999942	1.00006	1.00023	0.9153438	0.39127	0.0435345	0.0549051	0.818866	0.915344	1.293319
170	-2555873	-2555895	22.03171	1e+08	0	0.0134225	0.0137965	0.0040718	0.110987	0.00224499	0.104045	0.0437814	0.125779	0.797507	0.00363208	0.00844714	0.00405688	0.00481342	0.0322947	0.00492437	0.0160669	0.00297834	0.446513	0.311384	0.0764875	0.0830859	0.0591771	0.0233528	9.988161e-06	0	0	0.0898547	0.181832	0.556067	0.172246	2	0.999873	0.999968	1.00003	1.00013	0.9153438	0.837479	0.121602	0.26779	0.00288144	0.915344	1.29285
180	-2555886	-2555891	5.346409	5.085376e+07	1	0.0134431	0.0137965	0.00424027	0.112986	0.00234344	0.104045	0.0437814	0.125779	0.797507	0.00363208	0.00844714	0.00392873	0.00452076	0.0322947	0.00492437	0.0160669	0.0029278	0.0760622	0.261677	0.137093	0.428288	0.0714357	0.0254446	2.422555e-06	0	0	0.805453	0.0382547	0.0166626	0.13963	2	0.999822	0.999954	1.00005	1.00018	0.9153438	0.0239554	0.515216	0.0342489	0.0321906	0.915344	1.294665
190	-2555865	-2555895	29.67164	1e+08	0	0.0134431	0.0137965	0.00424027	0.112986	0.00236748	0.104096	0.0437814	0.125779	0.797507	0.00353744	0.00878941	0.00413814	0.00457622	0.0322947	0.00492437	0.0164306	0.00275512	0.146798	0.522396	0.0362511	0.0997331	0.0672003	0.127622	1.727522e-05	0	0	0.284775	0.451676	0.174986	0.0885633	2	0.999873	0.999968	1.00003	1.00013	0.911571	0.00933454	0.141685	0.00139108	0.0200954	0.911571	1.295443
200	-2555881	-2555893	12.54581	7.720971e+07	1	0.0134431	0.0137965	0.00422019	0.112986	0.00236748	0.104096	0.0437814	0.125779	0.797507	0.00352356	0.00878941	0.00403961	0.00445142	0.0322947	0.00492579	0.0164306	0.00281924	0.0472069	0.341193	0.0825397	0.217472	0.158038	0.153551	9.721257e-06	0	0	0.0584609	0.580603	0.0579156	0.30302	2	0.999855	0.999963	1.00004	1.00014	0.911571	0.00114472	0.322312	0.00198223	0.0138747	0.911571	1.295251
