Iteration	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	kappa	p_inv	p_inv_indicator	pi[1]	pi[2]	pi[3]	pi[4]	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	sub_rate	sub_rate_vec[1]	sub_rate_vec[2]	sub_rate_vec[3]	sub_rate_vec[4]	sub_rate_vec[5]	TL
100	-2555288	-2555303	14.53272	1e+08	0	0.0085488	0.0193491	0.0059446	0.158994	0.00308866	0.14524	0.0594306	0.164665	1.11018	0.00502768	0.00672353	0.0118037	0.0225181	0.00406559	0.0443599	0.0109284	0.011218	0.152477	0.176768	0.0719862	0.255541	0.130978	0.21225	8.37809e-06	0	0	0.000485939	0.6384	0.251093	0.110021	2	0.999873	0.999968	1.00003	1.00013	0.6614585	0.0795483	0.782421	0.514655	0.0416323	0.661458	1.792084
110	-2555239	-2555234	-4.436665	6.146723e+07	1	0.00755901	0.0193491	0.00583316	0.158994	0.00308866	0.14524	0.0589509	0.178776	1.09963	0.00502581	0.00672353	0.0118037	0.0225181	0.00401569	0.0452092	0.0113366	0.011218	0.0709836	0.0764744	0.171	0.119292	0.0201879	0.542062	1.005666e-06	0	0	0.00912367	0.128217	0.160252	0.702408	2	0.999838	0.999959	1.00004	1.00016	0.6533625	0.150449	0.869896	0.12181	0.142004	0.653363	1.795269
120	-2555230	-2555229	-0.774167	9.986436e+07	1	0.00828061	0.019269	0.00583316	0.158994	0.00288987	0.14524	0.0600389	0.178776	1.09963	0.00502581	0.00685238	0.0111606	0.0227018	0.00387389	0.0452092	0.0113366	0.0121417	0.272856	0.0320251	0.242011	0.117759	0.0917519	0.243598	1.143574e-05	0	0	0.138874	0.00558125	0.294687	0.560858	2	0.999873	0.999967	1.00003	1.00013	0.6518893	0.0128969	0.408401	0.273358	0.0396551	0.651889	1.797251
130	-2555193	-2555216	23.39814	1e+08	0	0.00807878	0.019269	0.00583316	0.158994	0.0030776	0.14524	0.0616302	0.178776	1.09963	0.00502581	0.00685238	0.0116801	0.022458	0.00387389	0.0452092	0.0112613	0.0113801	0.165248	0.182139	0.133424	0.361358	0.0445187	0.113312	3.781345e-07	0	0	0.108712	0.324135	0.313064	0.254089	2	0.999873	0.999968	1.00003	1.00013	0.6518893	0.00262895	0.0251803	0.107774	0.0251733	0.651889	1.798267
140	-2555190	-2555216	25.65952	1e+08	0	0.00814232	0.019269	0.00594294	0.158994	0.00316014	0.14524	0.0616302	0.17408	1.10119	0.00494598	0.00690914	0.0113807	0.022458	0.00387389	0.0452092	0.0112613	0.0113801	0.102121	0.067871	0.0126363	0.0297697	0.660503	0.127098	3.715896e-05	0	0	0.00422164	0.866592	0.11327	0.0159162	2	0.999873	0.999968	1.00003	1.00013	0.6600503	0.0285837	0.00108919	0.0492622	0.0124435	0.66005	1.795066
150	-2555205	-2555209	3.688749	1.845042e+07	1	0.00824177	0.019269	0.00594294	0.158994	0.00316014	0.144922	0.0616302	0.17408	1.10119	0.00494598	0.00693012	0.0113807	0.022458	0.00384644	0.0452092	0.0112613	0.0113801	0.093158	0.127714	0.0101019	0.22085	0.359257	0.188919	4.159158e-06	0	0	0.00083513	0.188453	0.312741	0.497971	2	0.999704	0.999925	1.00008	1.0003	0.6600503	0.623548	0.046229	0.00118104	0.0195616	0.66005	1.794841
160	-2555184	-2555206	21.44824	1e+08	0	0.00793754	0.019092	0.00594294	0.158994	0.00307601	0.144922	0.0605887	0.17408	1.10119	0.00499151	0.00652786	0.0118952	0.0226527	0.00402408	0.0452092	0.0112613	0.0113801	0.00325385	0.155763	0.551417	0.0251886	0.214279	0.0500989	2.105139e-07	0	0	0.173977	0.289073	0.0770149	0.459935	2	0.999873	0.999968	1.00003	1.00013	0.6600503	0.195525	0.597896	0.00801629	0.0013915	0.66005	1.793764
170	-2555202	-2555205	2.376713	2.116247e+07	1	0.00793754	0.019092	0.00594294	0.158994	0.00321274	0.144922	0.0605887	0.17408	1.10119	0.00499151	0.00689465	0.0116946	0.0226527	0.00402408	0.0452092	0.0112613	0.0113944	0.101817	0.0831411	0.174173	0.284456	0.349988	0.00642444	1.515616e-07	0	0	0.0142644	0.280755	0.0325793	0.672401	2	0.999724	0.999929	1.00007	1.00028	0.6600503	0.640496	0.859216	0.00377947	0.00119816	0.66005	1.794081
180	-2555183	-2555207	24.31192	1e+08	0	0.00804047	0.0194208	0.00594294	0.158994	0.00305575	0.144922	0.0605887	0.17408	1.10119	0.00492315	0.00715697	0.0123267	0.0226527	0.00402408	0.0438058	0.0112613	0.0113944	0.132424	0.426846	0.0787333	0.170863	0.190482	0.000651249	5.263179e-06	0	0	0.628729	0.0540552	0.00553902	0.311677	2	0.999873	0.999968	1.00003	1.00013	0.6567937	0.153146	0.0656873	0.00456206	0.00162906	0.656794	1.793778
190	-2555189	-2555198	8.911321	7.106263e+07	1	0.00804047	0.0194208	0.00594294	0.154673	0.00305575	0.144922	0.0605887	0.17408	1.10119	0.00492315	0.0071921	0.0114374	0.022689	0.00402408	0.0438058	0.0112136	0.0113944	0.0770272	0.186017	0.0678171	0.115409	0.549928	0.0038018	8.061325e-06	0	0	0.0664439	0.0791306	0.28852	0.565906	2	0.999849	0.999961	1.00004	1.00015	0.6567937	0.081061	0.00956809	0.00135709	0.00365053	0.656794	1.788592
200	-2555164	-2555190	26.3862	1e+08	0	0.00803032	0.0194208	0.00583953	0.154673	0.00305575	0.145146	0.0605887	0.17408	1.10119	0.00501194	0.00647815	0.0116574	0.022689	0.00402408	0.0438058	0.0112136	0.0119272	0.0397144	0.0358715	0.528296	0.113268	0.281879	0.000971461	3.475523e-06	0	0	0.569245	0.018064	0.299308	0.113383	2	0.999873	0.999968	1.00003	1.00013	0.6591266	0.11217	0.00325759	0.00428529	0.00628107	0.659127	1.78883
210	-2555165	-2555187	22.02717	1e+08	0	0.00785741	0.0190278	0.00583953	0.154673	0.00306663	0.143271	0.060472	0.175673	1.10119	0.00498238	0.00689932	0.0116574	0.022689	0.00402408	0.0438058	0.0111743	0.0120764	0.12464	0.113738	0.237525	0.364625	0.157689	0.00178287	9.379502e-07	0	0	0.655798	0.198879	0.129016	0.0163068	2	0.999873	0.999968	1.00003	1.00013	0.6605204	0.12795	0.526063	0.0029516	0.00387974	0.66052	1.788378
220	-2555184	-2555188	3.682882	2.684797e+07	1	0.00731737	0.0195554	0.00583953	0.154246	0.00312393	0.143271	0.060472	0.175673	1.10119	0.00490929	0.00677837	0.0116322	0.022689	0.00402408	0.0443637	0.0111752	0.0120764	0.199757	0.248456	0.0293957	0.013706	0.21499	0.293695	5.019133e-06	0	0	0.254352	0.0805714	0.622967	0.0421093	2	0.999755	0.999937	1.00006	1.00025	0.6600783	0.53801	0.00190039	0.218481	0.00320027	0.660078	1.788336
230	-2555165	-2555194	29.26642	1e+08	0	0.00717984	0.0197681	0.00629167	0.155531	0.00312393	0.143271	0.060472	0.175673	1.10119	0.00490213	0.00674198	0.0116322	0.0224736	0.00379878	0.0449183	0.0111752	0.0120323	0.0576478	0.015376	0.185476	0.025341	0.532288	0.183871	1.498066e-06	0	0	0.156804	0.203006	0.305409	0.334781	2	0.999873	0.999968	1.00003	1.00013	0.6600783	0.0038704	0.00218118	0.0361853	0.00178025	0.660078	1.790174
240	-2555189	-2555193	3.832264	8.394075e+07	1	0.00737748	0.0197681	0.00599289	0.155455	0.003036	0.144089	0.0613152	0.175673	1.10119	0.00516443	0.00665409	0.0115626	0.0224736	0.00372597	0.0449183	0.0111752	0.012473	0.0642356	0.519507	0.123667	0.136112	0.141163	0.0153143	1.095661e-06	0	0	0.256407	0.229494	0.429512	0.0845867	2	0.999861	0.999965	1.00003	1.00014	0.6595292	0.273812	0.146334	0.0068042	0.00217793	0.659529	1.792043
250	-2555183	-2555187	3.615681	1.997902e+07	1	0.00737748	0.0191318	0.00601125	0.155455	0.00320472	0.143888	0.0602378	0.175673	1.10119	0.00516443	0.00665409	0.0115724	0.0224736	0.0039248	0.0441208	0.0112711	0.012473	0.122715	0.0305032	0.423399	0.31796	0.00261472	0.102809	6.988126e-07	0	0	0.397577	0.26696	0.108741	0.226722	2	0.999716	0.999928	1.00007	1.00028	0.6595292	0.600282	0.00522553	0.0126173	0.0190491	0.659529	1.789822
260	-2555185	-2555190	4.886207	8.149174e+07	1	0.00737748	0.0189486	0.00571139	0.155455	0.00320472	0.14406	0.0612064	0.175673	1.10119	0.00496869	0.00692649	0.0115724	0.0224736	0.00401308	0.0441208	0.0115286	0.0121539	0.350459	0.263057	0.247027	0.0713355	0.0377709	0.0303504	8.114842e-06	0	0	0.14878	0.733928	0.103057	0.0142348	2	0.999859	0.999964	1.00004	1.00014	0.6577525	0.0110953	0.00412365	0.198668	0.0231663	0.657752	1.790583
270	-2555200	-2555194	-5.911064	4.218361e+07	1	0.00757508	0.0189242	0.00604067	0.155455	0.00293335	0.14406	0.0616395	0.175673	1.10119	0.00524665	0.00692649	0.0115724	0.0224736	0.00401308	0.0441208	0.0108071	0.0121539	0.0278555	0.218536	0.212844	0.461029	0.0021321	0.0776032	1.055974e-06	0	0	0.0568181	0.180406	0.199687	0.563089	2	0.999804	0.99995	1.00005	1.0002	0.6602032	0.336614	0.699327	0.105753	0.411079	0.660203	1.790804
280	-2555181	-2555191	10.33944	5.40959e+07	1	0.00757508	0.0189242	0.0060181	0.155455	0.00308766	0.14406	0.0606522	0.175673	1.10119	0.00524665	0.00692649	0.0115071	0.022884	0.00401308	0.0441208	0.0108071	0.0120301	0.1252	0.424494	0.170787	0.143583	0.00584436	0.130092	2.468288e-06	0	0	0.271915	0.604391	0.0374813	0.0862119	2	0.999827	0.999956	1.00004	1.00017	0.6602506	0.00198634	0.00417212	0.00227821	0.0477802	0.660251	1.79017
290	-2555181	-2555189	7.433394	8.950783e+07	1	0.00746861	0.0189242	0.00581076	0.155455	0.00297271	0.14406	0.0600272	0.17408	1.10119	0.00485098	0.00692649	0.011796	0.0224855	0.00377753	0.0444551	0.0108071	0.0120301	0.131712	0.0164977	0.459579	0.106432	0.16061	0.125168	2.940606e-06	0	0	0.446123	0.445409	0.0233133	0.0851543	2	0.999866	0.999965	1.00004	1.00013	0.6602506	0.00116589	0.00214616	0.210946	0.0322178	0.660251	1.787117
300	-2555187	-2555189	1.861816	9.879596e+07	1	0.00746861	0.0189242	0.0056421	0.155455	0.00326583	0.14406	0.0600272	0.173958	1.10119	0.00513844	0.00692253	0.011796	0.0228677	0.00401586	0.0444551	0.0112241	0.0120301	0.161015	0.104029	0.166176	0.132815	0.421539	0.014426	4.40024e-06	0	0	0.0697866	0.36001	0.116129	0.454075	2	0.999872	0.999967	1.00003	1.00013	0.6592026	0.00349791	0.0297923	0.215475	0.196754	0.659203	1.78844
310	-2555174	-2555190	16.68391	1e+08	0	0.00747431	0.0189242	0.0056421	0.155455	0.00294549	0.14406	0.0600736	0.173958	1.10119	0.00523077	0.00692253	0.011796	0.0228677	0.00401586	0.0439067	0.0112241	0.0124145	0.0879701	0.230791	0.100037	0.219806	0.223555	0.137841	2.123766e-07	0	0	0.0539302	0.226802	0.0304436	0.688824	2	0.999873	0.999968	1.00003	1.00013	0.6592848	0.0244331	0.211727	0.0812642	0.385345	0.659285	1.7881
320	-2555166	-2555189	22.68282	1e+08	0	0.00747431	0.0194412	0.00571394	0.155455	0.00303085	0.14406	0.0600736	0.173958	1.10119	0.00500455	0.00692253	0.0116557	0.0228677	0.00395192	0.0438795	0.0111225	0.0116312	0.101666	0.0578499	0.205547	0.291675	0.0719187	0.271344	3.307612e-06	0	0	0.0713574	0.678109	0.015622	0.234912	2	0.999873	0.999968	1.00003	1.00013	0.6592848	0.00522266	0.0442675	0.12105	0.01446	0.659285	1.787432
330	-2555174	-2555187	13.53234	1e+08	0	0.00749989	0.0194412	0.00571394	0.156464	0.00303085	0.14406	0.0611111	0.173958	1.10808	0.00500455	0.00692253	0.0117694	0.0228677	0.00396942	0.0438795	0.0111225	0.0123184	0.152973	0.0249706	0.343948	0.0763278	0.126729	0.275052	5.298394e-06	0	0	0.129931	0.240706	0.542572	0.0867911	2	0.999873	0.999968	1.00003	1.00013	0.6576604	0.180082	0.586528	0.277472	0.11823	0.65766	1.797213
340	-2555163	-2555187	24.07257	1e+08	0	0.00738968	0.0194412	0.00571394	0.156464	0.00325833	0.14406	0.0611111	0.173958	1.10808	0.00500455	0.0066803	0.0119295	0.0227043	0.00402092	0.0438795	0.0112332	0.0125356	0.0753261	0.251699	0.0943372	0.0601987	0.291735	0.226705	1.321262e-06	0	0	0.00794304	0.101498	0.200128	0.690431	2	0.999873	0.999968	1.00003	1.00013	0.6575477	0.00288267	0.0200333	0.0963381	0.0164355	0.657548	1.797464
350	-2555167	-2555187	19.7864	1e+08	0	0.00755563	0.0194412	0.00579079	0.156464	0.00320774	0.14406	0.0611111	0.173958	1.10808	0.00500455	0.00640521	0.0117441	0.0227043	0.00385532	0.0446996	0.0112332	0.0122735	0.140427	0.103759	0.522539	0.116083	0.0781919	0.0390004	2.154951e-06	0	0	0.0121302	0.728331	0.247791	0.0117472	2	0.999873	0.999968	1.00003	1.00013	0.6575477	0.155052	0.00461391	0.187887	0.049386	0.657548	1.797589
360	-2555187	-2555189	1.812196	6.313023e+07	1	0.00725372	0.0194412	0.0058145	0.156464	0.0033179	0.14406	0.0608712	0.173958	1.10808	0.00510533	0.00640521	0.0117072	0.0225142	0.00385532	0.0442592	0.0114545	0.0122735	0.152955	0.0955107	0.120518	0.291036	0.234211	0.10577	3.344833e-07	0	0	0.363837	0.198314	0.369017	0.0688318	2	0.99984	0.999959	1.00004	1.00016	0.6576515	0.0442266	0.0257755	0.004582	0.819226	0.657652	1.796835
370	-2555182	-2555189	7.441033	2.816049e+07	1	0.00769055	0.0191708	0.00565369	0.156464	0.00326984	0.14406	0.0608712	0.173958	1.10808	0.00510533	0.00677209	0.0114968	0.0225142	0.00405854	0.044657	0.0109931	0.0122735	0.251906	0.147123	0.175092	0.243411	0.126353	0.0561146	8.790227e-06	0	0	0.314871	0.431401	0.0176937	0.236034	2	0.999761	0.999939	1.00006	1.00024	0.6560272	0.00503761	0.00168772	0.00187493	0.964355	0.656027	1.797089
380	-2555170	-2555188	17.47124	1e+08	0	0.00769055	0.0196604	0.00609168	0.156464	0.00316527	0.14406	0.0608712	0.173958	1.11093	0.004815	0.0068341	0.0115348	0.0227983	0.00399503	0.044657	0.0110484	0.0119063	0.426522	0.0384332	0.178177	0.258783	0.0916103	0.00647432	3.283234e-06	0	0	0.0905727	0.42186	0.268449	0.219118	2	0.999873	0.999968	1.00003	1.00013	0.6560272	0.286147	0.00197387	0.207245	0.559187	0.656027	1.800482
390	-2551477	-2551484	7.686036	5.247836e+07	1	0.00775118	0.0196604	0.00609168	0.156464	0.00321527	0.14406	0.0608712	0.173958	1.11093	0.00507526	0.0071777	0.0119129	0.0227983	0.0039054	0.0440515	0.0111045	0.0119063	0.342735	0.103637	0.0384142	0.381911	0.122312	0.0109908	1.78742e-06	0	0	0.276222	0.188438	0.254541	0.280798	4	0.999825	0.999955	1.00005	1.00018	0.6560272	0.00248441	0.00971903	0.00116265	0.412426	0.656027	1.800936
400	-2547135	-2547154	18.48369	1e+08	0	0.00794574	0.0196604	0.00585765	0.156464	0.00313981	0.145364	0.0608712	0.173958	1.11093	0.00502314	0.00703682	0.0119129	0.0224067	0.00404861	0.0442522	0.0114268	0.0119063	0.188233	0.146642	0.491585	0.0422744	0.0796301	0.0516349	6.828975e-07	0	0	0.279392	0.202774	0.215674	0.30216	4	0.999873	0.999968	1.00003	1.00013	0.6560272	0.0322158	0.452997	0.00591126	0.270967	0.656027	1.802206
410	-2546839	-2546838	-0.3306478	3.155631e+07	1	0.00781089	0.0195053	0.00588506	0.156464	0.00313981	0.144543	0.0608712	0.173958	1.1216	0.00500797	0.00666578	0.0120412	0.0223652	0.00400242	0.0442522	0.011392	0.0119063	0.047009	0.304878	0.0957856	0.196589	0.27963	0.0761091	6.286006e-06	0	0	0.2763	0.204805	0.220078	0.298816	4	0.999774	0.999942	1.00006	1.00023	0.6561287	0.0133295	0.0408019	0.0628083	0.925026	0.656129	1.811414
420	-2546671	-2546678	6.403087	2.31653e+07	1	0.00781089	0.0195053	0.00588506	0.156464	0.00324994	0.144543	0.0608712	0.173958	1.11747	0.00518584	0.00673207	0.0120412	0.0223652	0.00398204	0.0440943	0.0112343	0.0117138	0.0139712	0.249756	0.185977	0.0801911	0.0122873	0.457818	1.475516e-06	0	0	0.268538	0.227547	0.213492	0.290422	4	0.999736	0.999933	1.00007	1.00026	0.6553965	0.00116354	0.00767391	0.936537	0.00469994	0.655396	1.807111
430	-2546502	-2546510	8.340709	5.67704e+07	1	0.00781089	0.0197018	0.00607792	0.156464	0.00325554	0.144543	0.0608712	0.173958	1.11747	0.00486828	0.00673207	0.0115775	0.0227894	0.00398204	0.0440943	0.011197	0.0117138	0.0688429	0.0196356	0.058465	0.136075	0.49917	0.217811	5.164805e-06	0	0	0.27078	0.229447	0.215274	0.284498	4	0.999831	0.999957	1.00004	1.00017	0.6568133	0.00106935	0.0280934	0.00146543	0.128317	0.656813	1.807112
440	-2546130	-2546133	2.945349	5.683931e+07	1	0.00779101	0.0195168	0.00593994	0.156464	0.00306299	0.145184	0.0608712	0.173958	1.11747	0.00508107	0.00692742	0.0118025	0.0225504	0.00391911	0.0452806	0.011197	0.0121729	0.0375729	0.264052	0.153945	0.445347	0.0934403	0.00564335	1.226229e-06	0	0	0.277066	0.211559	0.220272	0.291103	4	0.999831	0.999957	1.00004	1.00017	0.6559955	0.029652	0.0136292	0.00920782	0.328068	0.655995	1.809195
450	-2546052	-2546053	1.31941	1.439851e+07	1	0.00712752	0.0190877	0.00554052	0.156464	0.00330738	0.145184	0.0601039	0.175938	1.11747	0.00515324	0.0067303	0.0118212	0.0225504	0.00384693	0.0447081	0.011197	0.0121729	0.0184433	0.207168	0.138723	0.348143	0.0310288	0.256494	2.970385e-06	0	0	0.277914	0.212206	0.220946	0.288934	4	0.999665	0.999914	1.00009	1.00033	0.6559955	0.0277984	0.118509	0.078649	0.0241397	0.655995	1.808408
460	-2545931	-2545942	11.41578	9.862863e+07	1	0.00761677	0.0190877	0.00589548	0.156617	0.00310415	0.145184	0.0613347	0.175938	1.1202	0.00516212	0.00670015	0.0118369	0.0225504	0.00387165	0.0447081	0.0111993	0.0121729	0.0130771	0.457673	0.0697452	0.00831974	0.107801	0.343385	8.416648e-06	0	0	0.280515	0.214192	0.223013	0.28228	4	0.999872	0.999967	1.00003	1.00013	0.6559955	0.00700555	0.00282021	0.00125084	0.0099484	0.655995	1.813179
470	-2545878	-2545871	-6.217683	4.80004e+07	1	0.00754559	0.0194224	0.0056509	0.157756	0.00312928	0.143925	0.0613888	0.175938	1.1202	0.00496748	0.00661447	0.0115151	0.02281	0.00387165	0.0447081	0.010985	0.0119283	0.13265	0.0731557	0.0866655	0.00320183	0.485323	0.219004	2.307722e-05	0	0	0.283144	0.216199	0.215732	0.284926	4	0.999817	0.999953	1.00005	1.00018	0.6559955	0.483515	0.284352	0.246392	0.333021	0.655995	1.812355
480	-2545851	-2545857	6.288356	5.817516e+07	1	0.00777823	0.0194224	0.00592082	0.157756	0.00309266	0.143925	0.0613888	0.175338	1.12045	0.00510976	0.00688121	0.0117868	0.0227118	0.00385634	0.0448727	0.0110982	0.0121345	0.0394265	0.267512	0.023593	0.349093	0.0477656	0.27261	1.306453e-07	0	0	0.283335	0.216345	0.215878	0.284442	4	0.999833	0.999957	1.00004	1.00017	0.6531354	0.0126857	0.00482686	0.190732	0.00355222	0.653135	1.813522
490	-2545850	-2545857	7.463492	6.114845e+07	1	0.00749792	0.0194224	0.00585762	0.157756	0.00309266	0.146205	0.0613888	0.17441	1.12045	0.00510976	0.00688121	0.0114945	0.0227556	0.0038835	0.0447442	0.0111893	0.0123108	0.0978225	0.253033	0.000691307	0.194159	0.00864441	0.44565	4.871106e-06	0	0	0.282101	0.215403	0.219292	0.283203	4	0.999838	0.999959	1.00004	1.00016	0.6539121	0.190997	0.00116682	0.0274156	0.00207479	0.653912	1.814448
500	-2545860	-2545857	-3.204656	5.683731e+07	1	0.00748515	0.019485	0.00581176	0.157756	0.00304679	0.146205	0.0613888	0.176569	1.12045	0.0050127	0.00688121	0.0117314	0.0227556	0.00410197	0.0453483	0.0111893	0.0120294	0.0823747	0.0334638	0.0507505	0.574269	0.0180003	0.241142	1.104053e-05	0	0	0.282101	0.215403	0.219292	0.283203	4	0.999831	0.999957	1.00004	1.00017	0.6539121	0.0490441	0.99861	0.17628	0.0613453	0.653912	1.817246
510	-2545850	-2545851	1.467268	1.692054e+07	1	0.00798932	0.019485	0.00578883	0.158242	0.0031534	0.146205	0.0616355	0.176569	1.12247	0.0050127	0.00682414	0.0117294	0.022659	0.00400886	0.0453483	0.0112054	0.0120294	0.00420771	0.0421926	0.652676	0.231251	0.0491304	0.0205418	1.487195e-06	0	0	0.282101	0.215403	0.219292	0.283203	4	0.999691	0.999921	1.00008	1.00031	0.6515058	0.0848027	0.178707	0.0459531	0.00692157	0.651506	1.820358
520	-2545851	-2545857	6.267953	1.218181e+07	1	0.00790098	0.0199961	0.00601423	0.158242	0.00310683	0.144875	0.0614025	0.176569	1.12222	0.0050778	0.00713317	0.0118152	0.0224651	0.00403346	0.0453483	0.0112429	0.0120294	0.0274858	0.0280608	0.231727	0.080791	0.0557257	0.576209	1.762428e-06	0	0	0.282101	0.215403	0.219292	0.283203	4	0.999636	0.999907	1.00009	1.00036	0.6509966	0.00515787	0.00693001	0.524769	0.00213384	0.650997	1.819475
