Iteration	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	kappa	p_inv	p_inv_indicator	pi[1]	pi[2]	pi[3]	pi[4]	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	sub_rate	sub_rate_vec[1]	sub_rate_vec[2]	sub_rate_vec[3]	sub_rate_vec[4]	sub_rate_vec[5]	TL
0	-6618134	-6618134	-0.6284456	1	1	0.0751195	0.0984604	0.017775	0.0901986	0.0123186	0.105924	0.252552	0.153652	0.0338583	0.177403	0.15097	0.0161675	0.232599	0.101082	0.0190932	0.351653	0.0122938	0.0770786	0.107723	0.0418441	0.261938	0.450882	0.0605345	0.4720953	0.5	1	0.205944	0.281384	0.0577533	0.454918	5	0.136954	0.476752	1	2.38629	0.007237764	0.290798	0.00536789	0.88722	0.708513	0.00723776	1.901119
10	-3334551	-3334547	-3.842336	1e+08	0	0.0574311	0.131207	0.0742351	0.60064	0.0436903	0.263244	0.356046	0.589129	0.0764087	0.122486	0.324678	0.0588972	0.0470639	0.0681511	0.320285	0.298525	0.0488592	0.49933	0.0468539	0.047721	0.366985	0.0224203	0.0166899	0.0002381685	0	0	0.22507	0.0146393	0.680097	0.0801941	2	0.999873	0.999968	1.00003	1.00013	0.3387157	0.334918	0.281006	0.372268	0.328472	0.338716	3.480976
20	-2984447	-2984418	-29.66574	8.817301e+07	1	0.0306907	0.0427331	0.0303057	0.281853	0.0282768	0.263244	0.140744	1.56264	0.196295	0.0182978	0.104987	0.0825492	0.0372483	0.0199992	1.15115	0.0859603	0.022876	0.153962	0.208387	0.00714074	0.0585871	0.193017	0.378906	1.732659e-06	0	0	0.104917	0.0113487	0.174491	0.709243	2	0.999865	0.999966	1.00003	1.00014	0.3322645	0.414326	0.808031	0.380499	0.310144	0.332265	4.09985
30	-2874508	-2874506	-2.229765	1e+08	0	0.0301663	0.0427331	0.0105744	0.260068	0.0111125	0.217687	0.0947785	1.51145	0.403645	0.00789008	0.0450913	0.0798235	0.0323853	0.00507546	0.588002	0.0219657	0.0149429	0.407144	0.0666533	0.12836	0.212916	0.102417	0.0825094	8.975439e-07	0	0	0.446563	0.0553912	0.199143	0.298903	2	0.999873	0.999968	1.00003	1.00013	0.4158406	0.882424	0.021825	0.763225	0.358335	0.415841	3.377386
40	-2612722	-2612751	29.07398	1e+08	0	0.0129223	0.0173164	0.00565389	0.138252	0.00602375	0.16317	0.0518364	0.138421	0.625029	0.00431725	0.0167101	0.0506937	0.0233443	0.0057231	0.135524	0.0156499	0.00468771	0.0271956	0.385539	0.0784659	0.114481	0.146675	0.247644	5.00189e-07	0	0	0.171415	0.0565064	0.574225	0.197853	2	0.999873	0.999968	1.00003	1.00013	0.7766798	0.00244206	0.00834222	0.0548799	0.0212867	0.77668	1.415275
50	-2563888	-2563911	23.45585	1e+08	0	0.0156122	0.018596	0.00691583	0.164208	0.00308195	0.150668	0.0555442	0.201562	1.05076	0.00511309	0.00638262	0.0398149	0.0225003	0.0052677	0.0789727	0.0105227	0.00341878	0.22783	0.0113161	0.0168232	0.582998	0.0104354	0.150598	3.40613e-07	0	0	0.280727	0.380925	0.161078	0.17727	2	0.999873	0.999968	1.00003	1.00013	0.6395616	0.00148043	0.00637265	0.311415	0.0391602	0.639562	1.838937
60	-2556330	-2556353	22.85963	1e+08	0	0.0119166	0.0196023	0.00550669	0.158994	0.00318216	0.150668	0.0601267	0.201562	1.05076	0.00511309	0.00638262	0.0149271	0.0225104	0.00402233	0.0410737	0.0123461	0.0100918	0.126805	0.0624661	0.136917	0.224114	0.0211516	0.428547	2.837563e-06	0	0	0.083239	0.578811	0.0725417	0.265409	2	0.999873	0.999968	1.00003	1.00013	0.6534158	0.0187878	0.00136469	0.753392	0.0193127	0.653416	1.778782
70	-2555789	-2555791	1.351899	8082564	1	0.00856277	0.0193293	0.00609988	0.158994	0.00314171	0.150668	0.0623703	0.201562	1.11389	0.00502768	0.00638262	0.0118037	0.0225104	0.00402233	0.044918	0.0119994	0.0105384	0.115811	0.237578	0.0182254	0.252418	0.0777389	0.298229	6.210324e-06	0	0	0.480439	0.0186951	0.398648	0.102218	2	0.999553	0.999886	1.00011	1.00045	0.6534158	0.0706277	0.0138629	0.423678	0.010491	0.653416	1.841822
80	-2555302	-2555323	21.6549	1e+08	0	0.00856277	0.0191964	0.005973	0.158994	0.00315692	0.14524	0.0623703	0.164665	1.11389	0.00502768	0.00638262	0.0118037	0.0225867	0.00402233	0.0449526	0.0118196	0.011218	0.270414	0.103923	0.00233514	0.474722	0.0278467	0.120759	6.218609e-06	0	0	0.0145064	0.0842576	0.458653	0.442583	2	0.999873	0.999968	1.00003	1.00013	0.6534158	0.00911796	0.0115306	0.156916	0.0610952	0.653416	1.799864
90	-2555302	-2555318	16.08383	1e+08	0	0.00856277	0.0191964	0.00598439	0.158994	0.00308866	0.14524	0.0623703	0.164665	1.11018	0.00502768	0.00672353	0.0118037	0.0225867	0.00406559	0.0449526	0.0116328	0.011218	0.0515198	0.336442	0.0390352	0.340799	0.188063	0.0441414	4.690264e-06	0	0	0.0895132	0.283205	0.117642	0.50964	2	0.999873	0.999968	1.00003	1.00013	0.6534158	0.201273	0.274621	0.122066	0.0406733	0.653416	1.796291
