Iteration	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er_cats[1]	er_cats[2]	er_cats[3]	er_cats[4]	er_indicator	er_scale	m_er	m_er_dist	m_pi	m_pi_dist	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	pi_cats[1]	pi_cats[2]	pi_cats[3]	pi_cats[4]	pi_indicator	pi_scale	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
0	-126.8898	-76.59749	-50.29234	1	1	0.0975358	0.157616	0.0153235	0.0578166	0.00965505	0.00175389	0.0801119	0.272437	0.0561477	0.134351	0.0263548	0.208189	0.0342753	0.162957	0.00273605	0.00499327	0.0453223	0.125	0.375	0.625	0.875	1	1	1	21725.77	1	38697.76	0.209769	0.345946	0.193938	0.250347	0.125	0.375	0.625	0.875	1	1	1	0.136954	0.476752	1	2.38629	1.367575
10	-89.61467	-64.95665	-24.65802	3.285462e+07	1	0.0657409	0.135307	0.0217669	0.0497725	0.0179093	0.00391601	0.0741618	0.0634121	0.100798	0.085964	0.0694319	0.0342628	0.0676056	0.171668	0.00270281	0.00253802	0.0441625	0.498242	0.49956	0.500347	0.501851	0	62000	55852.97	55852.97	12715.57	12715.57	0.0131367	0.445124	0.122097	0.419643	0.498242	0.49956	0.500347	0.501851	0	62000	3	0.999778	0.999943	1.00006	1.00022	1.011119
20	-85.06019	-57.33005	-27.73014	2.978432e+07	1	0.0647853	0.156481	0.122298	0.130351	0.0389248	0.0121888	0.136982	0.0907217	0.104098	0.170954	0.0523013	0.0751422	0.0887904	0.0371562	0.0014736	0.00626077	0.0294226	0.498242	0.49956	0.500347	0.501851	0	62000	56979.59	56979.59	43452.36	43452.36	0.164732	0.715655	0.0431342	0.0764782	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.999767	0.999941	1.00006	1.00023	1.318332
30	-87.37415	-59.79172	-27.58243	2.227384e+07	1	0.0658523	0.0970438	0.0796621	0.251095	0.0483612	0.033938	0.0756216	0.140674	0.0871698	0.0725166	0.0248627	0.0367877	0.170827	0.0560705	0.00184774	0.0219942	0.0392366	0.498242	0.49956	0.500347	0.501851	0	62000	60657.4	60657.4	54763.74	54763.74	0.235334	0.0570379	0.0825651	0.625063	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999731	0.999931	1.00007	1.00027	1.303561
40	-98.13724	-57.28584	-40.8514	9390044	1	0.163078	0.169191	0.0618389	0.253204	0.105946	0.0114096	0.0557972	0.0793924	0.0597436	0.153285	0.0198129	0.0614677	0.110478	0.144106	0.0102349	0.0157618	0.0522228	0.496565	0.499164	0.500846	0.503425	1	17164.56	1	39066.85	18270.86	18270.86	0.21508	0.265822	0.316428	0.202671	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999585	0.999894	1.00011	1.00041	1.526969
50	-68.96615	-58.01674	-10.94941	1e+08	0	0.192916	0.0581217	0.0752195	0.22068	0.205844	0.0187256	0.0890015	0.0586979	0.0293576	0.166036	0.0169889	0.0627965	0.161632	0.0474382	0.00714427	0.026286	0.0454414	0.498242	0.49956	0.500347	0.501851	0	62000	39399.36	39399.36	37332.16	37332.16	0.352891	0.108653	0.445278	0.0931784	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999873	0.999968	1.00003	1.00013	1.482327
60	-108.4377	-55.63921	-52.79845	2.105511e+07	1	0.175652	0.0493478	0.0555928	0.10687	0.172039	0.0115932	0.176491	0.0344013	0.0205656	0.118895	0.0339311	0.0377613	0.238004	0.190932	0.0415939	0.100241	0.0542749	0.497675	0.499422	0.500521	0.502382	1	36465.06	1	4028.948	1	31072.56	0.0613584	0.0591155	0.533937	0.345589	0.496964	0.499231	0.500716	0.503089	1	21534.47	1	0.999723	0.999929	1.00007	1.00028	1.618187
70	-86.14362	-56.49687	-29.64675	3.00338e+07	1	0.164135	0.110491	0.0502365	0.0903822	0.103521	0.0305192	0.0312019	0.123329	0.0430135	0.0553431	0.0729317	0.0436646	0.19174	0.144775	0.0350046	0.114239	0.105465	0.498242	0.49956	0.500347	0.501851	0	62000	59288.43	59288.43	42822.91	42822.91	0.689614	0.0982656	0.140696	0.0714242	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999768	0.999941	1.00006	1.00023	1.509993
80	-72.26973	-58.84497	-13.42476	1e+08	0	0.0510064	0.0626338	0.0402419	0.146843	0.0876043	0.0241046	0.055235	0.358507	0.0299556	0.0736979	0.0594697	0.315216	0.202041	0.0802158	0.0443516	0.0493521	0.0493859	0.498242	0.49956	0.500347	0.501851	0	62000	53616.44	53616.44	40148.73	40148.73	0.293453	0.403972	0.196652	0.105923	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.999873	0.999968	1.00003	1.00013	1.729862
90	-69.25447	-57.51898	-11.73549	1e+08	0	0.0891922	0.155089	0.0195242	0.184314	0.0498464	0.0105952	0.107623	0.132493	0.035026	0.128424	0.0414116	0.0768423	0.265044	0.0974528	0.0321304	0.0902994	0.045628	0.498242	0.49956	0.500347	0.501851	0	62000	20657.31	20657.31	54161.19	54161.19	0.174932	0.293969	0.351823	0.179276	0.498242	0.49956	0.500347	0.501851	0	62000	3	0.999873	0.999968	1.00003	1.00013	1.560935
100	-79.89128	-64.52933	-15.36194	1e+08	0	0.32849	0.0879038	0.0362478	0.0993043	0.0488881	0.0743107	0.0432231	0.128556	0.0667471	0.257273	0.0384369	0.207438	0.20988	0.0566824	0.0234488	0.208262	0.00848756	0.498242	0.49956	0.500347	0.501851	0	62000	26706.97	26706.97	29765.63	29765.63	0.121485	0.120819	0.719305	0.0383911	0.498242	0.49956	0.500347	0.501851	0	62000	3	0.999873	0.999968	1.00003	1.00013	1.92358
110	-71.87353	-61.02911	-10.84442	1e+08	0	0.307511	0.200539	0.017273	0.170417	0.0380484	0.0312471	0.0191748	0.0988928	0.119497	0.128328	0.0640541	0.0634138	0.0842815	0.0282564	0.00824607	0.0832438	0.00940452	0.498242	0.49956	0.500347	0.501851	0	62000	49879.36	49879.36	52412.38	52412.38	0.0690647	0.174222	0.350471	0.406242	0.498242	0.49956	0.500347	0.501851	0	62000	3	0.999873	0.999968	1.00003	1.00013	1.471828
120	-101.9075	-60.36633	-41.54116	4.921826e+07	1	0.0636144	0.0573331	0.0309613	0.275463	0.0241008	0.0627436	0.00754618	0.139091	0.191356	0.116517	0.16997	0.038919	0.0418187	0.0140991	0.00563429	0.33012	0.0266586	0.498102	0.499518	0.500387	0.501992	1	53383.97	1	9283.614	50423.89	50423.89	0.0416555	0.220873	0.175309	0.562163	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.999819	0.999954	1.00005	1.00018	1.595946
130	-99.96836	-61.17268	-38.79568	6.325177e+07	1	0.21376	0.0959303	0.0496415	0.182336	0.0464006	0.0531204	0.022247	0.179922	0.0991752	0.0516194	0.109506	0.0289405	0.033769	0.0261532	0.00480067	0.107006	0.0170701	0.496714	0.49922	0.500816	0.50325	1	18906.62	1	46707.73	13674.02	13674.02	0.360084	0.139632	0.400926	0.0993574	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.99984	0.999959	1.00004	1.00016	1.321397
140	-71.28055	-60.34779	-10.93275	1e+08	0	0.153793	0.0506544	0.109866	0.0694137	0.0519671	0.0304921	0.0310091	0.245909	0.184298	0.052963	0.126951	0.0113296	0.125623	0.0494462	0.0145965	0.129752	0.0425972	0.498242	0.49956	0.500347	0.501851	0	62000	17127.91	17127.91	13642.14	13642.14	0.110169	0.351841	0.285252	0.252738	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999873	0.999968	1.00003	1.00013	1.480661
