Iteration	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er_cats[1]	er_cats[2]	er_cats[3]	er_cats[4]	er_indicator	er_scale	m_er	m_er_dist	m_pi	m_pi_dist	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	pi_cats[1]	pi_cats[2]	pi_cats[3]	pi_cats[4]	pi_indicator	pi_scale	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
110	-68.9735	-57.83311	-11.14039	1e+08	0	0.125763	0.0345284	0.0066957	0.230632	0.0208648	0.211475	0.000279276	0.0160087	0.0205334	0.0424305	0.0770535	0.0717471	0.0106931	0.397152	0.0167479	0.0981206	0.120698	0.498242	0.49956	0.500347	0.501851	0	62000	367.3742	367.3742	53284.75	53284.75	0.1165	0.0330264	0.170327	0.680147	0.498242	0.49956	0.500347	0.501851	0	62000	3	0.999873	0.999968	1.00003	1.00013	1.501424
120	-95.98122	-58.82035	-37.16087	4.535656e+07	1	0.161436	0.0526027	0.00630961	0.039195	0.0450819	0.217886	0.000448803	0.0364674	0.0208386	0.124122	0.165033	0.0297699	0.0132679	0.12809	0.0387061	0.0557678	0.0228911	0.498242	0.49956	0.500347	0.501851	0	62000	47687.43	47687.43	1	6672.533	0.0316077	0.557417	0.370837	0.0401388	0.497869	0.499498	0.50048	0.502153	1	44012.73	1	0.999811	0.999952	1.00005	1.00019	1.157914
130	-68.83023	-59.65527	-9.174962	1e+08	0	0.207097	0.0183783	0.00395025	0.0691395	0.0230655	0.154893	0.000236498	0.0745862	0.0780697	0.100655	0.263029	0.0699275	0.0434981	0.105232	0.00492699	0.0694155	0.0187794	0.498242	0.49956	0.500347	0.501851	0	62000	16974.57	16974.57	41701.96	41701.96	0.118733	0.0873474	0.46612	0.3278	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.999873	0.999968	1.00003	1.00013	1.304881
140	-75.16325	-62.05689	-13.10636	1e+08	0	0.169524	0.0100594	0.00312629	0.0358236	0.0204687	0.339652	0.000464792	0.101314	0.247754	0.130396	0.0976397	0.163712	0.183243	0.143062	0.00180163	0.033815	0.0161647	0.498242	0.49956	0.500347	0.501851	0	62000	21406.82	21406.82	49516.38	49516.38	0.094407	0.128587	0.178468	0.598538	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.999873	0.999968	1.00003	1.00013	1.69802
150	-90.83171	-63.27048	-27.56122	4263960	1	0.161268	0.00437734	0.00386102	0.03574	0.00602627	0.266402	0.000552543	0.0782684	0.043063	0.157585	0.0606939	0.154571	0.162362	0.101391	0.00107397	0.0542615	0.00994167	0.498242	0.49956	0.500347	0.501851	0	62000	29967.58	29967.58	7094.102	7094.102	0.371985	0.175563	0.281556	0.170896	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999384	0.999843	1.00016	1.00062	1.301439
160	-107.8243	-68.59966	-39.22466	4.661973e+07	1	0.294233	0.0356479	0.00694101	0.0212237	0.0162573	0.07095	0.000259153	0.0282484	0.0460591	0.21534	0.0945148	0.247413	0.144652	0.0422135	0.0014477	0.0791068	0.0197859	0.495617	0.498894	0.501084	0.504406	1	10457.82	1	12727.53	38454.9	38454.9	0.511918	0.0238885	0.304693	0.159501	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.999814	0.999953	1.00005	1.00019	1.364293
170	-92.79405	-60.45865	-32.33539	6.944799e+07	1	0.103781	0.160641	0.0274314	0.0206494	0.0193004	0.0507209	0.00023328	0.00782652	0.0724693	0.117064	0.131604	0.451385	0.239643	0.248391	0.00292863	0.0691265	0.0556598	0.498242	0.49956	0.500347	0.501851	0	62000	49857.63	49857.63	27281.18	27281.18	0.188238	0.166035	0.467507	0.178221	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.999847	0.999961	1.00004	1.00015	1.778856
180	-100.3937	-59.72219	-40.67147	6.914508e+07	1	0.0807879	0.330083	0.024286	0.0296818	0.0264173	0.0283905	0.000585187	0.00691462	0.111755	0.0910454	0.11596	0.212165	0.121539	0.0706589	0.00248991	0.0997726	0.156441	0.498061	0.499613	0.500458	0.501867	1	55775.64	1	29098.05	42290.35	42290.35	0.215933	0.0412779	0.339692	0.403098	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999848	0.999961	1.00004	1.00015	1.508974
190	-93.51355	-58.28891	-35.22464	1e+08	0	0.319096	0.0728484	0.0385494	0.0259428	0.126308	0.0631582	0.00102102	0.0721781	0.0899396	0.119648	0.231802	0.150099	0.10293	0.0985895	0.00226706	0.0497321	0.138762	0.496356	0.499126	0.500911	0.503606	1	15368.68	1	35764.97	1	56908.59	0.380462	0.100956	0.388196	0.130385	0.497877	0.499542	0.500501	0.50208	1	45710.1	1	0.999873	0.999968	1.00003	1.00013	1.702871
200	-103.5133	-58.99555	-44.51776	300234.9	1	0.256392	0.200119	0.0483257	0.0206015	0.075943	0.0433483	0.000780574	0.0777051	0.13481	0.11485	0.205246	0.0912713	0.0676422	0.324561	0.00431578	0.0869199	0.140772	0.49741	0.499352	0.500596	0.502642	1	29516.14	1	47900.37	58164.23	58164.23	0.180464	0.110691	0.350687	0.358158	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.997681	0.999407	1.00059	1.00232	1.893603
