
RevBayes version (1.1.1)
Build from development (rapture-649-g20534c) on Sun Apr 11 23:30:45 CDT 2021

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/avg_morpho_MCMC.Rev")
   Processing file "scripts/avg_morpho_MCMC.Rev"
   Processing file "scripts/avg_morpho_setup.Rev"
   Successfully read one character matrix from file '/home/petrucci/canid_tree/data/extant_morpho.nex'
   Processing of file "scripts/avg_morpho_setup.Rev" completed
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 30 different moves in a random move schedule with 102.5 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |   alpha_indi..   |   er_indicator   |   pi_indicator   |    Q_indicator   |    elapsed   |        ETA   |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0           |       -151.618   |       -95.1455   |       -56.4729   |              1   |              1   |              1   |              2   |   00:00:00   |   --:--:--   |
1000        |        -99.261   |       -54.7705   |       -44.4904   |              1   |              1   |              0   |              2   |   00:08:36   |   --:--:--   |
2000        |       -96.1546   |       -56.1093   |       -40.0453   |              1   |              1   |              0   |              2   |   00:17:08   |   13:59:32   |
3000        |       -79.7689   |       -56.2351   |       -23.5338   |              0   |              1   |              0   |              2   |   00:25:46   |   13:53:07   |
4000        |       -93.7573   |          -60.9   |       -32.8573   |              0   |              1   |              1   |              1   |   00:34:18   |   13:43:12   |
5000        |       -100.259   |       -55.7015   |       -44.5579   |              1   |              0   |              1   |              1   |   00:42:47   |   13:32:53   |
6000        |       -96.0767   |       -59.0222   |       -37.0545   |              1   |              0   |              0   |              2   |   00:51:19   |   13:23:57   |
7000        |       -69.7411   |       -55.5229   |       -14.2181   |              0   |              0   |              0   |              2   |   00:59:58   |   13:16:41   |
8000        |       -94.6714   |         -57.95   |       -36.7214   |              0   |              1   |              1   |              1   |   01:08:30   |   13:07:45   |
9000        |       -82.6045   |       -58.6414   |       -23.9631   |              0   |              0   |              1   |              1   |   01:17:03   |   12:59:03   |
10000       |       -63.1923   |        -53.495   |       -9.69727   |              0   |              0   |              0   |              2   |   01:25:37   |   12:50:33   |
11000       |       -73.1386   |       -60.0659   |       -13.0727   |              0   |              0   |              0   |              1   |   01:34:03   |   12:40:57   |
12000       |       -71.1851   |       -56.3781   |        -14.807   |              0   |              0   |              0   |              2   |   01:42:37   |   12:32:31   |
13000       |        -98.176   |       -56.6888   |       -41.4872   |              1   |              1   |              0   |              1   |   01:51:07   |   12:23:37   |
14000       |       -70.2661   |        -56.584   |       -13.6821   |              0   |              0   |              0   |              1   |   01:59:33   |   12:14:22   |
15000       |       -110.763   |       -58.4831   |       -52.2796   |              1   |              1   |              1   |              1   |   02:08:04   |   12:05:42   |
16000       |       -81.3563   |         -66.67   |       -14.6863   |              0   |              0   |              0   |              3   |   02:16:28   |   11:56:27   |
17000       |       -63.5687   |       -54.3811   |       -9.18765   |              0   |              0   |              0   |              2   |   02:25:02   |   11:48:06   |
18000       |       -103.391   |       -56.4369   |       -46.9545   |              1   |              0   |              1   |              1   |   02:33:34   |   11:39:34   |
19000       |       -82.7681   |       -58.9668   |       -23.8013   |              0   |              1   |              0   |              2   |   02:42:06   |   11:31:03   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   alpha_indi..   |   er_indicator   |   pi_indicator   |    Q_indicator   |    elapsed   |        ETA   |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
20000       |       -82.0228   |        -59.282   |       -22.7408   |              0   |              1   |              0   |              2   |   02:50:37   |   11:22:28   |
21000       |       -79.6539   |       -60.7629   |       -18.8909   |              0   |              0   |              0   |              3   |   02:59:13   |   11:14:11   |
22000       |       -105.108   |       -63.5267   |       -41.5813   |              0   |              1   |              1   |              1   |   03:07:31   |   11:04:49   |
23000       |       -86.7365   |       -59.2089   |       -27.5276   |              1   |              0   |              0   |              3   |   03:15:57   |   10:56:00   |
24000       |       -96.4189   |       -56.5426   |       -39.8763   |              1   |              0   |              1   |              1   |   03:24:19   |   10:47:00   |
25000       |       -92.5029   |       -61.7436   |       -30.7593   |              1   |              0   |              0   |              2   |   03:32:46   |   10:38:18   |
26000       |       -105.938   |       -61.0814   |        -44.857   |              1   |              1   |              0   |              2   |   03:41:17   |   10:29:48   |
27000       |       -83.0219   |       -55.3593   |       -27.6626   |              1   |              0   |              0   |              2   |   03:49:39   |   10:20:54   |
28000       |       -110.437   |       -59.8638   |       -50.5727   |              1   |              1   |              1   |              1   |   03:58:06   |   10:12:15   |
29000       |       -92.2277   |       -60.9332   |       -31.2946   |              1   |              0   |              0   |              2   |   04:06:31   |   10:03:32   |
30000       |       -109.889   |       -55.7053   |       -54.1839   |              1   |              1   |              1   |              1   |   04:14:53   |   09:54:43   |
