
RevBayes version (1.1.1)
Build from development (rapture-649-g20534c) on Sun Apr 11 23:30:45 CDT 2021

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/avg_morpho_MCMC.Rev")
   Processing file "scripts/avg_morpho_MCMC.Rev"
   Processing file "scripts/avg_morpho_setup.Rev"
   Successfully read one character matrix from file '/home/petrucci/canid_tree/data/extant_morpho.nex'
   Processing of file "scripts/avg_morpho_setup.Rev" completed
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 30 different moves in a random move schedule with 102.5 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |   alpha_indi..   |   er_indicator   |   pi_indicator   |    Q_indicator   |    elapsed   |        ETA   |
31000       |       -113.773   |       -62.3267   |       -51.4461   |              1   |              1   |              1   |              2   |   04:23:19   |   09:46:05   |
32000       |       -87.9625   |       -59.9596   |       -28.0029   |              0   |              0   |              1   |              1   |   04:31:56   |   09:37:51   |
33000       |       -70.2623   |       -60.0596   |       -10.2028   |              0   |              0   |              0   |              3   |   04:40:21   |   09:29:11   |
34000       |       -77.3005   |       -54.3414   |       -22.9592   |              0   |              1   |              0   |              1   |   04:48:50   |   09:20:40   |
35000       |       -92.8865   |        -52.886   |       -40.0005   |              1   |              1   |              0   |              1   |   04:57:18   |   09:12:07   |
36000       |       -95.6122   |        -53.858   |       -41.7542   |              1   |              1   |              0   |              1   |   05:05:46   |   09:03:35   |
37000       |       -77.7958   |       -58.2971   |       -19.4987   |              0   |              0   |              0   |              1   |   05:14:15   |   08:55:04   |
38000       |       -100.366   |       -59.0133   |       -41.3526   |              1   |              1   |              0   |              1   |   05:22:36   |   08:46:20   |
39000       |       -76.7043   |       -57.5229   |       -19.1815   |              0   |              1   |              0   |              2   |   05:31:05   |   08:37:50   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   alpha_indi..   |   er_indicator   |   pi_indicator   |    Q_indicator   |    elapsed   |        ETA   |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
40000       |       -88.3799   |       -55.9052   |       -32.4746   |              1   |              0   |              0   |              3   |   05:39:31   |   08:29:16   |
41000       |       -89.9002   |       -54.5119   |       -35.3883   |              1   |              0   |              0   |              2   |   05:47:58   |   08:20:43   |
42000       |       -70.4327   |       -57.5571   |       -12.8755   |              0   |              0   |              0   |              3   |   05:56:20   |   08:12:04   |
43000       |       -99.7903   |       -60.4825   |       -39.3078   |              0   |              1   |              1   |              1   |   06:04:51   |   08:03:38   |
44000       |         -85.06   |       -63.2797   |       -21.7803   |              0   |              0   |              1   |              1   |   06:13:12   |   07:54:58   |
45000       |       -78.4896   |        -55.658   |       -22.8316   |              0   |              1   |              0   |              1   |   06:21:35   |   07:46:22   |
46000       |       -74.1332   |       -57.8225   |       -16.3107   |              0   |              0   |              0   |              1   |   06:30:02   |   07:37:51   |
47000       |       -71.9748   |       -60.6051   |       -11.3697   |              0   |              0   |              0   |              2   |   06:38:20   |   07:29:11   |
48000       |       -95.7263   |       -54.6225   |       -41.1039   |              1   |              0   |              1   |              1   |   06:46:50   |   07:20:44   |
49000       |       -86.4565   |       -62.0893   |       -24.3671   |              0   |              1   |              0   |              2   |   06:55:15   |   07:12:11   |
50000       |       -66.9225   |        -57.085   |       -9.83754   |              0   |              0   |              0   |              3   |   07:03:40   |   07:03:40   |
51000       |       -84.0042   |       -59.7429   |       -24.2613   |              0   |              0   |              1   |              1   |   07:12:10   |   06:55:13   |
52000       |       -96.8454   |       -61.6767   |       -35.1687   |              1   |              0   |              0   |              3   |   07:20:37   |   06:46:43   |
53000       |       -67.9459   |        -56.442   |       -11.5038   |              0   |              0   |              0   |              1   |   07:29:06   |   06:38:15   |
54000       |       -92.1243   |       -56.0955   |       -36.0288   |              1   |              0   |              1   |              1   |   07:37:40   |   06:29:51   |
55000       |       -85.0302   |       -62.2735   |       -22.7567   |              0   |              1   |              0   |              2   |   07:46:07   |   06:21:22   |
56000       |       -106.833   |       -58.3126   |       -48.5205   |              1   |              0   |              1   |              1   |   07:54:31   |   06:12:50   |
57000       |       -92.9374   |       -54.6718   |       -38.2656   |              1   |              1   |              0   |              2   |   08:02:53   |   06:04:16   |
58000       |       -89.1442   |       -60.3236   |       -28.8206   |              1   |              0   |              0   |              2   |   08:11:20   |   05:55:47   |
59000       |       -103.754   |        -58.245   |       -45.5094   |              1   |              0   |              1   |              1   |   08:19:44   |   05:47:16   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   alpha_indi..   |   er_indicator   |   pi_indicator   |    Q_indicator   |    elapsed   |        ETA   |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
60000       |       -70.0889   |       -57.1438   |       -12.9451   |              0   |              0   |              0   |              1   |   08:28:03   |   05:38:42   |
61000       |       -105.066   |       -57.9912   |       -47.0747   |              1   |              1   |              0   |              1   |   08:36:28   |   05:30:12   |
62000       |       -69.6291   |       -58.3979   |       -11.2312   |              0   |              0   |              0   |              3   |   08:44:56   |   05:21:44   |
63000       |       -87.8943   |       -58.8599   |       -29.0343   |              1   |              0   |              0   |              3   |   08:53:21   |   05:13:14   |
64000       |       -94.5371   |       -55.4573   |       -39.0798   |              1   |              1   |              0   |              1   |   09:01:50   |   05:04:46   |
65000       |       -86.9007   |       -62.0076   |       -24.8931   |              0   |              1   |              0   |              1   |   09:10:14   |   04:56:16   |
66000       |       -90.6618   |       -60.6617   |       -30.0002   |              1   |              0   |              0   |              1   |   09:18:42   |   04:47:48   |
67000       |        -104.34   |       -62.1905   |       -42.1499   |              1   |              1   |              0   |              2   |   09:27:05   |   04:39:18   |
68000       |       -97.6812   |        -58.182   |       -39.4992   |              1   |              1   |              0   |              1   |   09:35:26   |   04:30:47   |
69000       |         -105.5   |       -59.5069   |       -45.9931   |              1   |              0   |              1   |              1   |   09:43:52   |   04:22:19   |
70000       |       -84.5066   |       -59.6944   |       -24.8122   |              0   |              1   |              0   |              2   |   09:52:17   |   04:13:50   |
71000       |       -100.039   |       -61.8567   |       -38.1818   |              1   |              0   |              0   |              3   |   10:00:44   |   04:05:22   |
72000       |       -65.5964   |       -57.5347   |       -8.06168   |              0   |              0   |              0   |              2   |   10:09:03   |   03:56:51   |
73000       |       -72.5578   |       -59.2993   |       -13.2585   |              0   |              0   |              0   |              1   |   10:17:30   |   03:48:23   |
74000       |       -70.2699   |         -55.78   |       -14.4899   |              0   |              0   |              0   |              3   |   10:25:49   |   03:39:52   |
75000       |        -87.631   |         -56.02   |        -31.611   |              1   |              0   |              0   |              3   |   10:34:19   |   03:31:26   |
76000       |       -60.7948   |       -53.9451   |       -6.84973   |              0   |              0   |              0   |              3   |   10:42:45   |   03:22:58   |
77000       |       -88.7053   |       -56.3911   |       -32.3142   |              0   |              1   |              1   |              1   |   10:51:04   |   03:14:28   |
78000       |       -79.0309   |       -56.0515   |       -22.9794   |              0   |              0   |              1   |              1   |   10:59:22   |   03:05:58   |
79000       |       -73.8336   |       -57.7565   |       -16.0771   |              0   |              0   |              0   |              1   |   11:07:49   |   02:57:31   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   alpha_indi..   |   er_indicator   |   pi_indicator   |    Q_indicator   |    elapsed   |        ETA   |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
80000       |       -96.9022   |       -55.4479   |       -41.4542   |              1   |              0   |              1   |              1   |   11:16:24   |   02:49:06   |
81000       |       -88.1682   |       -56.3241   |       -31.8441   |              1   |              0   |              0   |              2   |   11:24:54   |   02:40:39   |
82000       |       -83.4521   |       -54.2602   |        -29.192   |              1   |              0   |              0   |              3   |   11:33:26   |   02:32:13   |
83000       |       -93.2119   |       -54.7142   |       -38.4977   |              1   |              1   |              0   |              2   |   11:41:53   |   02:23:45   |
84000       |       -74.4394   |       -57.5827   |       -16.8567   |              0   |              0   |              0   |              3   |   11:50:16   |   02:15:17   |
85000       |       -78.0202   |       -59.4796   |       -18.5406   |              0   |              0   |              0   |              1   |   11:58:48   |   02:06:50   |
86000       |         -79.38   |        -56.398   |        -22.982   |              0   |              1   |              0   |              2   |   12:07:12   |   01:58:22   |
87000       |        -68.612   |       -54.4775   |       -14.1345   |              0   |              0   |              0   |              2   |   12:15:34   |   01:49:54   |
88000       |       -95.5913   |       -55.0767   |       -40.5146   |              1   |              0   |              1   |              1   |   12:23:58   |   01:41:27   |
