Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er_trans[1]	er_trans[2]	er_trans[3]	er_trans[4]	pi[1]	pi[2]	pi[3]	pi[4]
0	-4204493	-4204504	10.82227	0.170397	0.116388	0.113108	0.0599478	0.048044	0.0454538	0.000855162	0.0535123	0.221805	0.0345273	0.0353502	0.42496	0.0406459	0.0177252	0.144468	0.209955	0.271972	0.024249	0	0.046221	0.124122	0	0.805408	0.024249	0.046221	0.124122	0.805408	0.269834	0.527022	0.133323	0.0698207
10	-2754307	-2754321	14.01217	0.0367857	0.0219856	0.0543508	0.100739	0.0105465	0.0910397	0.00690098	0.104797	0.792688	0.00302685	0.0110714	0.360758	0.0277248	0.00306518	0.0183123	0.0210609	0.0252739	0.296512	0	0.233731	0.154694	0	0.315063	0.296512	0.233731	0.154694	0.315063	0.283513	0.218494	0.225978	0.272015
20	-2597777	-2597795	17.27707	0.0210361	0.0123171	0.0197486	0.103235	0.0018765	0.0933609	0.0347598	0.116508	0.790142	0.00324902	0.00335769	0.12057	0.0312314	0.000916937	0.00299078	0.00327393	0.0050628	0.282045	0	0.222327	0.195938	0	0.299691	0.282045	0.222327	0.195938	0.299691	0.27974	0.215586	0.22297	0.281704
30	-2571103	-2571121	18.08384	0.0134918	0.0127044	0.0126646	0.102378	0.00192464	0.0931192	0.0377211	0.117022	0.774769	0.00335695	0.0040737	0.0682747	0.0324005	0.00144341	0.00250964	0.00323325	0.00187145	0.264133	0	0.227241	0.227968	0	0.280658	0.264133	0.227241	0.227968	0.280658	0.284847	0.219522	0.213757	0.281873
40	-2554322	-2554341	18.6355	0.0128044	0.0123522	0.00710509	0.102842	0.00194209	0.0938495	0.039807	0.118854	0.767027	0.00335113	0.00456731	0.0196435	0.0331141	0.0021881	0.00246016	0.0043833	0.00150234	0.264133	0	0.227241	0.227968	0	0.280658	0.264133	0.227241	0.227968	0.280658	0.284847	0.219522	0.213757	0.281873
50	-2547121	-2547140	18.82451	0.0133572	0.0123943	0.00427949	0.101399	0.00206062	0.0944672	0.0397032	0.118235	0.750774	0.00325485	0.00300057	0.00474971	0.0342393	0.00328091	0.0025377	0.00459597	0.0165628	0.268041	0	0.228607	0.225604	0	0.277748	0.268041	0.228607	0.225604	0.277748	0.284847	0.219522	0.213757	0.281873
60	-2544596	-2544615	19.04498	0.00703897	0.0128902	0.00436866	0.102047	0.00202596	0.0950643	0.0400202	0.119254	0.73007	0.00321261	0.00562799	0.0044156	0.0336851	0.00435608	0.00258847	0.00458147	0.0155986	0.268041	0	0.228607	0.225604	0	0.277748	0.268041	0.228607	0.225604	0.277748	0.284847	0.219522	0.213757	0.281873
70	-2544543	-2544562	19.04564	0.00578157	0.0125639	0.00451899	0.101421	0.00200917	0.0940552	0.0401071	0.118505	0.731483	0.00333368	0.00757416	0.00429629	0.0340911	0.00447236	0.00253458	0.00454119	0.0154915	0.267944	0	0.228885	0.225523	0	0.277648	0.267944	0.228885	0.225523	0.277648	0.284847	0.219522	0.213757	0.281873
80	-2544538	-2544557	19.03502	0.00554552	0.0124931	0.00427634	0.100583	0.00205192	0.0950332	0.0400792	0.118678	0.733058	0.00333103	0.00745949	0.00436995	0.0335989	0.00438775	0.00260379	0.00456662	0.0157265	0.269402	0	0.23013	0.226749	0	0.273719	0.269402	0.23013	0.226749	0.273719	0.284523	0.219622	0.213854	0.282001
90	-2544515	-2544534	19.026	0.00559029	0.012701	0.0043159	0.101083	0.0019521	0.0943918	0.0397628	0.118084	0.73479	0.00326663	0.00760636	0.00424454	0.0338903	0.00442281	0.00258199	0.00450533	0.0155548	0.269402	0	0.23013	0.226749	0	0.273719	0.269402	0.23013	0.226749	0.273719	0.283946	0.219177	0.215447	0.28143
100	-2544514	-2544533	19.02432	0.00578298	0.0127387	0.00444976	0.102341	0.00202427	0.0950876	0.0403502	0.118288	0.731961	0.00325454	0.00716715	0.00454346	0.0340965	0.00427305	0.00261361	0.00431449	0.0156248	0.269402	0	0.23013	0.226749	0	0.273719	0.269402	0.23013	0.226749	0.273719	0.283578	0.218893	0.216464	0.281065
110	-2544512	-2544531	19.03391	0.00553307	0.0124892	0.00431271	0.102581	0.00210325	0.0947945	0.0399464	0.118558	0.731077	0.00328883	0.00771981	0.00439693	0.033922	0.00433464	0.00254848	0.00441944	0.0159267	0.269402	0	0.23013	0.226749	0	0.273719	0.269402	0.23013	0.226749	0.273719	0.283578	0.218893	0.216464	0.281065
120	-2544511	-2544530	18.98645	0.00546087	0.0126118	0.0043983	0.100756	0.00199744	0.0945236	0.0400845	0.11852	0.73757	0.00337516	0.00766367	0.00439598	0.0341611	0.00423491	0.00258794	0.00443588	0.015922	0.269402	0	0.23013	0.226749	0	0.273719	0.269402	0.23013	0.226749	0.273719	0.283355	0.21872	0.216294	0.281631
130	-2544512	-2544531	19.02246	0.00566886	0.0127739	0.00420146	0.101973	0.00202825	0.095049	0.0402693	0.1187	0.731491	0.00331585	0.00734521	0.00452226	0.0343153	0.00447984	0.00271071	0.00472646	0.0155278	0.269067	0	0.229844	0.226468	0	0.274621	0.269067	0.229844	0.226468	0.274621	0.283355	0.21872	0.216294	0.281631
140	-2544507	-2544526	19.05052	0.00544276	0.0127467	0.00451874	0.101736	0.00211815	0.0943579	0.0398398	0.118108	0.731028	0.00321674	0.00743869	0.00439393	0.0341745	0.00432675	0.00260879	0.00453568	0.0157013	0.269602	0	0.230301	0.226918	0	0.273179	0.269602	0.230301	0.226918	0.273179	0.283355	0.21872	0.216294	0.281631
150	-2544507	-2544526	19.00683	0.00535826	0.0127244	0.00428394	0.101989	0.00210481	0.0948823	0.0400777	0.118533	0.73372	0.00321145	0.00759942	0.004403	0.034378	0.0043988	0.00258167	0.00444939	0.0159648	0.269602	0	0.230301	0.226918	0	0.273179	0.269602	0.230301	0.226918	0.273179	0.283355	0.21872	0.216294	0.281631
160	-2544509	-2544528	19.04303	0.00559445	0.0128185	0.00435083	0.101704	0.00191285	0.0944627	0.0398717	0.118251	0.731958	0.00340882	0.00750465	0.00435395	0.0333955	0.0045356	0.00258119	0.00460575	0.0157312	0.269602	0	0.230301	0.226918	0	0.273179	0.269602	0.230301	0.226918	0.273179	0.283355	0.21872	0.216294	0.281631
170	-2544497	-2544516	19.02239	0.00577491	0.0127911	0.00442777	0.101896	0.00201771	0.0939718	0.0400417	0.118427	0.733833	0.00320713	0.00725856	0.00452811	0.0338421	0.00444439	0.00267309	0.00437965	0.0155914	0.269616	0	0.230313	0.226878	0	0.273193	0.269616	0.230313	0.226878	0.273193	0.28402	0.216887	0.216802	0.282291
180	-2544507	-2544526	19.03282	0.00542079	0.0127308	0.00431175	0.102263	0.00209262	0.0948333	0.0405276	0.118676	0.730262	0.00326083	0.00803315	0.00432546	0.0344892	0.00445711	0.00265634	0.00426306	0.0154582	0.269616	0	0.230313	0.226878	0	0.273193	0.269616	0.230313	0.226878	0.273193	0.284305	0.217105	0.216511	0.282078
190	-2544505	-2544524	19.05068	0.00560137	0.0125115	0.00426218	0.10176	0.00202117	0.0949679	0.0404203	0.117936	0.730988	0.0032672	0.00732419	0.00401438	0.0337798	0.00435063	0.00255343	0.00454333	0.0159735	0.269616	0	0.230313	0.226878	0	0.273193	0.269616	0.230313	0.226878	0.273193	0.284305	0.217105	0.216511	0.282078
200	-2544506	-2544525	19.00904	0.005715	0.0127067	0.00463131	0.101921	0.00191744	0.0947915	0.0399783	0.11929	0.732944	0.00332576	0.0074339	0.00428427	0.0338258	0.00451839	0.00281612	0.00449958	0.0158412	0.269616	0	0.230313	0.226878	0	0.273193	0.269616	0.230313	0.226878	0.273193	0.284305	0.217105	0.216511	0.282078
210	-2544504	-2544523	19.04567	0.0055887	0.0127979	0.00441413	0.100544	0.00208207	0.0935355	0.0400445	0.118837	0.732912	0.00324802	0.00738148	0.004406	0.0339877	0.00426684	0.00259881	0.00426822	0.0158632	0.269616	0	0.230313	0.226878	0	0.273193	0.269616	0.230313	0.226878	0.273193	0.284305	0.217105	0.216511	0.282078
220	-2544501	-2544520	19.05319	0.00551045	0.0127274	0.00428502	0.101212	0.0020983	0.0943063	0.0398717	0.118745	0.730885	0.00329343	0.00768073	0.00459385	0.03417	0.00436516	0.00258988	0.004389	0.0153004	0.269616	0	0.230313	0.226878	0	0.273193	0.269616	0.230313	0.226878	0.273193	0.284305	0.217105	0.216511	0.282078
230	-2544497	-2544516	19.03575	0.0054491	0.0124817	0.00444291	0.101101	0.00209776	0.093965	0.0400246	0.118457	0.733468	0.00332921	0.00773941	0.00445964	0.0338692	0.0042723	0.00253043	0.00440643	0.0156753	0.269713	0	0.230396	0.22696	0	0.27293	0.269713	0.230396	0.22696	0.27293	0.28369	0.217292	0.216697	0.282321
240	-2544498	-2544517	19.02524	0.00552691	0.0130074	0.00428366	0.101646	0.00210854	0.0944969	0.0403812	0.1184	0.732025	0.00327082	0.00774074	0.00448949	0.0343422	0.00439313	0.00255298	0.00452343	0.0156309	0.269713	0	0.230396	0.22696	0	0.27293	0.269713	0.230396	0.22696	0.27293	0.28369	0.217292	0.216697	0.282321
250	-2544496	-2544515	19.0391	0.00540477	0.0125111	0.00421309	0.101727	0.00206294	0.0944947	0.0397593	0.117838	0.73317	0.00330034	0.00771745	0.00443452	0.0337641	0.00439297	0.00255438	0.00453205	0.0155561	0.270213	0	0.228954	0.227381	0	0.273452	0.270213	0.228954	0.227381	0.273452	0.28369	0.217292	0.216697	0.282321
260	-2544493	-2544512	19.03858	0.00554958	0.0127398	0.00435252	0.101826	0.00199506	0.0945291	0.0400314	0.118148	0.731466	0.00336371	0.00777733	0.00443524	0.0341351	0.00442448	0.00260583	0.00433721	0.0157695	0.270619	0	0.229297	0.226221	0	0.273863	0.270619	0.229297	0.226221	0.273863	0.28369	0.217292	0.216697	0.282321
270	-2544499	-2544518	19.03902	0.0056097	0.0123343	0.00432872	0.102152	0.00206532	0.0945303	0.0402363	0.117728	0.731729	0.00334513	0.0075567	0.00412009	0.0344829	0.00437932	0.00252852	0.00453833	0.0157772	0.270619	0	0.229297	0.226221	0	0.273863	0.270619	0.229297	0.226221	0.273863	0.28369	0.217292	0.216697	0.282321
280	-2544499	-2544518	19.02786	0.00590428	0.0128822	0.00433299	0.101927	0.00189701	0.0945037	0.040053	0.119218	0.732605	0.00326298	0.00729349	0.00426065	0.0335666	0.00437486	0.00265008	0.00443766	0.0153876	0.270619	0	0.229297	0.226221	0	0.273863	0.270619	0.229297	0.226221	0.273863	0.28369	0.217292	0.216697	0.282321
290	-2544494	-2544513	19.05286	0.00565685	0.0126585	0.00444058	0.101837	0.00200823	0.0944154	0.0399143	0.118242	0.730981	0.00315067	0.00739639	0.0044042	0.033967	0.00435077	0.00257311	0.00457231	0.0154897	0.270619	0	0.229297	0.226221	0	0.273863	0.270619	0.229297	0.226221	0.273863	0.28369	0.217292	0.216697	0.282321
300	-2544495	-2544514	19.01184	0.00560586	0.0126672	0.00428361	0.101625	0.00217773	0.094103	0.040405	0.118499	0.734395	0.00333872	0.007677	0.00435734	0.0338324	0.004285	0.00258316	0.00439831	0.0159271	0.270619	0	0.229297	0.226221	0	0.273863	0.270619	0.229297	0.226221	0.273863	0.28369	0.217292	0.216697	0.282321
310	-2544497	-2544516	19.03852	0.00555528	0.0123957	0.00446638	0.102162	0.00204352	0.0951152	0.0396631	0.118362	0.731382	0.00326876	0.00762805	0.00438923	0.03408	0.00444218	0.00254101	0.00434392	0.0156538	0.271383	0	0.229944	0.226859	0	0.271814	0.271383	0.229944	0.226859	0.271814	0.28369	0.217292	0.216697	0.282321
320	-2544499	-2544518	19.0371	0.00588269	0.0127205	0.00416609	0.102159	0.00212082	0.0947646	0.0396396	0.118509	0.731819	0.00336688	0.00731894	0.0041731	0.0337746	0.00434532	0.0027163	0.00439102	0.0157659	0.271383	0	0.229944	0.226859	0	0.271814	0.271383	0.229944	0.226859	0.271814	0.28369	0.217292	0.216697	0.282321
330	-2544496	-2544515	19.01351	0.0055586	0.0124805	0.0044037	0.10244	0.00199625	0.0949667	0.0398719	0.118688	0.733559	0.00333071	0.00746719	0.00443768	0.03398	0.00437369	0.00262616	0.00431809	0.0154953	0.271383	0	0.229944	0.226859	0	0.271814	0.271383	0.229944	0.226859	0.271814	0.28361	0.217231	0.216918	0.282241
340	-2544500	-2544519	19.04503	0.00571686	0.0125139	0.00426299	0.10096	0.00205867	0.0949362	0.0402196	0.117452	0.732301	0.0031979	0.00754996	0.00464842	0.0341423	0.00432588	0.00261711	0.00455035	0.0153869	0.271383	0	0.229944	0.226859	0	0.271814	0.271383	0.229944	0.226859	0.271814	0.28361	0.217231	0.216918	0.282241
350	-2544502	-2544521	19.01156	0.00567253	0.0129419	0.00441847	0.101396	0.00210969	0.0940391	0.0401353	0.119642	0.732936	0.00326592	0.00770904	0.00419065	0.0339987	0.00441936	0.00269869	0.00452136	0.0160931	0.271383	0	0.229944	0.226859	0	0.271814	0.271383	0.229944	0.226859	0.271814	0.283606	0.217228	0.216915	0.282251
360	-2544497	-2544516	19.04715	0.00545233	0.0128072	0.00425654	0.10195	0.00207808	0.0938326	0.0395577	0.11859	0.731962	0.00324841	0.00760077	0.00428616	0.034284	0.00430278	0.00254348	0.00449058	0.0153866	0.270971	0	0.229595	0.226515	0	0.272919	0.270971	0.229595	0.226515	0.272919	0.283728	0.217191	0.216878	0.282203
370	-2544501	-2544520	18.99516	0.00535105	0.0124758	0.00435302	0.101867	0.0022329	0.0938814	0.0398734	0.118255	0.736507	0.00328745	0.00782365	0.00429708	0.0342241	0.00444429	0.00258782	0.00455624	0.0158095	0.271479	0	0.230026	0.225065	0	0.273431	0.271479	0.230026	0.225065	0.273431	0.283535	0.217043	0.217411	0.282011
380	-2544504	-2544523	19.02641	0.00550546	0.0126649	0.00443901	0.102978	0.00209713	0.0943882	0.0407177	0.117857	0.731326	0.00348691	0.0076247	0.00451282	0.0342874	0.00421242	0.0025919	0.00437147	0.015641	0.271479	0	0.230026	0.225065	0	0.273431	0.271479	0.230026	0.225065	0.273431	0.283535	0.217043	0.217411	0.282011
390	-2544495	-2544514	19.05029	0.00577762	0.0124662	0.00442281	0.101632	0.00202962	0.0938333	0.0404557	0.118149	0.73166	0.00329373	0.00751806	0.00444559	0.033575	0.00435547	0.00263891	0.00446952	0.015592	0.271479	0	0.230026	0.225065	0	0.273431	0.271479	0.230026	0.225065	0.273431	0.283512	0.217106	0.217394	0.281988
400	-2544496	-2544515	19.02411	0.00589467	0.0127985	0.0042849	0.102299	0.00210233	0.0944385	0.040015	0.118277	0.73219	0.00330311	0.00726097	0.0045005	0.0339452	0.00455257	0.00264848	0.00454872	0.0158716	0.271479	0	0.230026	0.225065	0	0.273431	0.271479	0.230026	0.225065	0.273431	0.283512	0.217106	0.217394	0.281988
410	-2544505	-2544524	19.05918	0.00582627	0.0124711	0.00410372	0.101622	0.00216545	0.0946611	0.0402267	0.118404	0.729202	0.00307591	0.00767852	0.00435965	0.0342188	0.00446262	0.00261836	0.00439785	0.0159316	0.271479	0	0.230026	0.225065	0	0.273431	0.271479	0.230026	0.225065	0.273431	0.283512	0.217106	0.217394	0.281988
420	-2544496	-2544515	19.05931	0.00552871	0.012757	0.00436899	0.101413	0.00208867	0.0938076	0.0400993	0.118667	0.73045	0.00320893	0.00738445	0.00433177	0.0341072	0.00435625	0.00259794	0.00459279	0.0156533	0.271479	0	0.230026	0.225065	0	0.273431	0.271479	0.230026	0.225065	0.273431	0.284046	0.216333	0.217101	0.28252
430	-2544497	-2544516	19.02323	0.00561254	0.0125926	0.00428628	0.10177	0.0019541	0.0942542	0.0402609	0.117704	0.733986	0.00332247	0.00748506	0.00409564	0.0342173	0.0044553	0.00265392	0.00446236	0.015908	0.271479	0	0.230026	0.225065	0	0.273431	0.271479	0.230026	0.225065	0.273431	0.284046	0.216333	0.217101	0.28252
440	-2544497	-2544516	19.05121	0.005642	0.0124566	0.00414784	0.10193	0.00200184	0.0944764	0.0402258	0.117671	0.731276	0.00329169	0.00764085	0.0045259	0.0339414	0.0043735	0.00258053	0.00432802	0.0157136	0.271691	0	0.230206	0.225241	0	0.272862	0.271691	0.230206	0.225241	0.272862	0.284124	0.216118	0.217161	0.282597
450	-2544498	-2544517	19.03526	0.00590856	0.0126705	0.00434515	0.102242	0.00210926	0.0945318	0.0402537	0.11838	0.731294	0.00328974	0.0074513	0.00441825	0.0342372	0.00434002	0.00249487	0.00422185	0.0156293	0.271691	0	0.230206	0.225241	0	0.272862	0.271691	0.230206	0.225241	0.272862	0.284124	0.216118	0.217161	0.282597
460	-2544498	-2544517	19.01827	0.00547966	0.0127362	0.00446531	0.102287	0.00196169	0.0941515	0.0397463	0.118096	0.733447	0.0033654	0.00786463	0.00461192	0.0338743	0.0042411	0.00259169	0.00460263	0.0159938	0.271903	0	0.229834	0.225417	0	0.272847	0.271903	0.229834	0.225417	0.272847	0.283031	0.216448	0.217492	0.283029
470	-2544496	-2544515	19.04407	0.00576378	0.0129793	0.00444304	0.102071	0.00201569	0.094543	0.0398354	0.117129	0.732273	0.00333847	0.0073183	0.00422249	0.0337866	0.0043569	0.00253024	0.00453675	0.0157945	0.271903	0	0.229834	0.225417	0	0.272847	0.271903	0.229834	0.225417	0.272847	0.282939	0.216702	0.217422	0.282937
480	-2544492	-2544511	19.02	0.00553669	0.0123894	0.00446074	0.102198	0.00199698	0.0944387	0.04031	0.118547	0.733244	0.00334401	0.00757987	0.00443016	0.0337247	0.00420975	0.00262683	0.00450049	0.0158065	0.271903	0	0.229834	0.225417	0	0.272847	0.271903	0.229834	0.225417	0.272847	0.282939	0.216702	0.217422	0.282937
490	-2544491	-2544510	19.01863	0.00560972	0.0125345	0.00423747	0.10122	0.00199784	0.094916	0.0398341	0.119076	0.733656	0.0033653	0.00751843	0.00418033	0.0340602	0.00447345	0.00261273	0.00445135	0.0157364	0.271903	0	0.229834	0.225417	0	0.272847	0.271903	0.229834	0.225417	0.272847	0.282939	0.216702	0.217422	0.282937
500	-2544494	-2544513	19.03449	0.00571415	0.0128643	0.00439167	0.101295	0.00200826	0.0950597	0.040232	0.118471	0.731323	0.00318084	0.00735727	0.00429341	0.034296	0.00435125	0.00267761	0.0046431	0.0157368	0.271903	0	0.229834	0.225417	0	0.272847	0.271903	0.229834	0.225417	0.272847	0.282939	0.216702	0.217422	0.282937
