
RevBayes version (1.1.1)
Build from development (rapture-649-g20534c) on Sun Apr 11 23:30:45 CDT 2021

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/nuclear_MCMC.Rev")
   Processing file "scripts/nuclear_MCMC.Rev"
   Successfully read one character matrix from file 'data/nuclear.nex'

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 57 different moves in a random move schedule with 81 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
19000       |   -2.54449e+06   |   -2.54451e+06   |        19.0539   |   01:08:19   |   01:51:27   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
20000       |    -2.5445e+06   |   -2.54452e+06   |        19.0798   |   01:11:54   |   01:47:51   |
21000       |    -2.5445e+06   |   -2.54451e+06   |        19.0357   |   01:15:30   |   01:44:15   |
22000       |   -2.54449e+06   |   -2.54451e+06   |         19.046   |   01:19:06   |   01:40:40   |
23000       |    -2.5445e+06   |   -2.54452e+06   |        19.0447   |   01:22:42   |   01:37:04   |
24000       |   -2.54449e+06   |   -2.54451e+06   |        19.0356   |   01:26:18   |   01:33:29   |
25000       |   -2.54449e+06   |   -2.54451e+06   |        19.0126   |   01:29:52   |   01:29:52   |
26000       |    -2.5445e+06   |   -2.54452e+06   |        19.0223   |   01:33:28   |   01:26:16   |
27000       |    -2.5445e+06   |   -2.54451e+06   |        19.0441   |   01:37:03   |   01:22:40   |
28000       |    -2.5445e+06   |   -2.54452e+06   |         19.018   |   01:40:39   |   01:19:04   |
29000       |   -2.54449e+06   |   -2.54451e+06   |        19.0364   |   01:44:15   |   01:15:29   |
30000       |   -2.54449e+06   |   -2.54451e+06   |        19.0075   |   01:47:50   |   01:11:53   |
31000       |    -2.5445e+06   |   -2.54452e+06   |        19.0285   |   01:51:25   |   01:08:17   |
32000       |   -2.54449e+06   |   -2.54451e+06   |         19.034   |   01:55:00   |   01:04:41   |
33000       |   -2.54449e+06   |   -2.54451e+06   |        19.0366   |   01:58:36   |   01:01:05   |
34000       |   -2.54449e+06   |   -2.54451e+06   |        19.0131   |   02:02:12   |   00:57:30   |
35000       |    -2.5445e+06   |   -2.54452e+06   |        19.0636   |   02:05:47   |   00:53:54   |
36000       |    -2.5445e+06   |   -2.54452e+06   |        19.0353   |   02:09:23   |   00:50:18   |
37000       |    -2.5445e+06   |   -2.54452e+06   |        19.0535   |   02:12:58   |   00:46:43   |
38000       |    -2.5445e+06   |   -2.54452e+06   |        18.9988   |   02:16:34   |   00:43:07   |
39000       |   -2.54451e+06   |   -2.54452e+06   |        19.0298   |   02:20:09   |   00:39:31   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
