taxon	species	min	max
Canis_simensis	Canis_simensis	0	0
Canis_mesomelas	Canis_mesomelas	0	0
Canis_mesomelas1	Canis_mesomelas	0	0.0117
Canis_mesomelas2	Canis_mesomelas	0	2.588
Canis_mesomelas3	Canis_mesomelas	0.0117	0.126
Canis_mesomelas4	Canis_mesomelas	0.0117	0.781
Canis_mesomelas5	Canis_mesomelas	0.0117	2.588
Canis_mesomelas6	Canis_mesomelas	0.0117	5.333
Canis_mesomelas7	Canis_mesomelas	0.126	0.781
Canis_mesomelas8	Canis_mesomelas	0.781	1.806
Canis_mesomelas9	Canis_mesomelas	0.781	2.588
Canis_mesomelas10	Canis_mesomelas	0.781	5.333
Canis_mesomelas11	Canis_mesomelas	1.806	2.588
Canis_mesomelas12	Canis_mesomelas	2.588	3.6
Canis_mesomelas13	Canis_mesomelas	2.588	5.333
Canis_adustus	Canis_adustus	0	0
Canis_adustus1	Canis_adustus	0	0.0117
Canis_adustus2	Canis_adustus	0.0117	0.781
Canis_adustus3	Canis_adustus	0.0117	2.588
Canis_adustus4	Canis_adustus	0.126	0.781
Canis_adustus5	Canis_adustus	2.588	3.6
Canis_aureus	Canis_aureus	0	0
Canis_aureus1	Canis_aureus	0	0.0117
Canis_aureus2	Canis_aureus	0	2.588
Canis_aureus3	Canis_aureus	0.0117	0.126
Canis_aureus4	Canis_aureus	0.0117	2.588
Canis_aureus5	Canis_aureus	0.126	0.781
Canis_aureus6	Canis_aureus	2.588	3.6
Canis_lupus	Canis_lupus	0	0
Canis_lupus1	Canis_lupus	0	0.0117
Canis_lupus2	Canis_lupus	0	0.126
Canis_lupus3	Canis_lupus	0.0117	0.126
Canis_lupus4	Canis_lupus	0.0117	0.781
Canis_lupus5	Canis_lupus	0.0117	2.588
Canis_lupus6	Canis_lupus	0.012	0.3
Canis_lupus7	Canis_lupus	0.126	0.781
Canis_lupus8	Canis_lupus	0.126	2.588
Canis_lupus9	Canis_lupus	0.3	1.8
Canis_lupus10	Canis_lupus	0.781	2.588
Canis_lupus11	Canis_lupus	2.588	3.2
Canis_lupus12	Canis_lupus	2.588	3.6
Canis_latrans	Canis_latrans	0	0
Canis_latrans1	Canis_latrans	0	0.0117
Canis_latrans2	Canis_latrans	0	0.126
Canis_latrans3	Canis_latrans	0.0117	0.126
Canis_latrans4	Canis_latrans	0.0117	2.588
Canis_latrans5	Canis_latrans	0.012	0.3
Canis_latrans6	Canis_latrans	0.012	1.8
Canis_latrans7	Canis_latrans	0.3	1.8
Canis_latrans8	Canis_latrans	0.3	4.9
Canis_latrans9	Canis_latrans	1.8	4.9
Lycaon_pictus	Lycaon_pictus	0	0
Lycaon_pictus1	Lycaon_pictus	0	0.0117
Lycaon_pictus2	Lycaon_pictus	0	2.588
Lycaon_pictus3	Lycaon_pictus	0.0117	0.126
