taxon	species	min	max
Lycaon_pictus4	Lycaon_pictus	0.0117	0.781
Lycaon_pictus5	Lycaon_pictus	0.0117	2.588
Urocyon_cinereoargenteus	Urocyon_cinereoargenteus	0	0
Urocyon_cinereoargenteus1	Urocyon_cinereoargenteus	0	0.0117
Urocyon_cinereoargenteus2	Urocyon_cinereoargenteus	0	0.126
Urocyon_cinereoargenteus3	Urocyon_cinereoargenteus	0	2.588
Urocyon_cinereoargenteus4	Urocyon_cinereoargenteus	0.0117	0.126
Urocyon_cinereoargenteus5	Urocyon_cinereoargenteus	0.0117	2.588
Urocyon_cinereoargenteus6	Urocyon_cinereoargenteus	0.012	0.3
Urocyon_cinereoargenteus7	Urocyon_cinereoargenteus	0.3	1.8
Urocyon_cinereoargenteus8	Urocyon_cinereoargenteus	1.8	4.9
Canis_mosbachensis	Canis_mosbachensis	0.0117	0.781
Canis_mosbachensis1	Canis_mosbachensis	0.0117	2.588
Canis_mosbachensis2	Canis_mosbachensis	0.126	0.781
Canis_mosbachensis3	Canis_mosbachensis	0.781	2.588
Canis_mosbachensis4	Canis_mosbachensis	2.588	3.2
Canis_dirus	Canis_dirus	0	0
Canis_dirus1	Canis_dirus	0.0117	0.126
Canis_dirus2	Canis_dirus	0.0117	2.588
Canis_dirus3	Canis_dirus	0.012	0.3
Canis_dirus4	Canis_dirus	0.012	1.8
Canis_dirus5	Canis_dirus	0.3	1.8
Canis_dirus6	Canis_dirus	0.781	2.588
Canis_armbrusteri	Canis_armbrusteri	0.0117	0.126
Canis_armbrusteri1	Canis_armbrusteri	0.3	1.8
Canis_armbrusteri2	Canis_armbrusteri	0.3	4.9
Canis_armbrusteri3	Canis_armbrusteri	0.781	1.806
Canis_variabilis	Canis_variabilis	0.0117	0.126
Canis_variabilis1	Canis_variabilis	0.781	2.588
Cuon_alpinus	Cuon_alpinus	0	0
Cuon_alpinus1	Cuon_alpinus	0.0117	0.126
Cuon_alpinus2	Cuon_alpinus	0.0117	0.781
Cuon_alpinus3	Cuon_alpinus	0.0117	2.588
Cuon_alpinus4	Cuon_alpinus	0.126	0.781
Canis_falconeri	Canis_falconeri	0.0117	2.588
Canis_falconeri1	Canis_falconeri	0.126	2.588
Canis_falconeri2	Canis_falconeri	0.781	2.588
Canis_falconeri3	Canis_falconeri	1.806	2.588
Canis_falconeri4	Canis_falconeri	2.588	5.333
Canis_etruscus	Canis_etruscus	0.0117	2.588
Canis_etruscus1	Canis_etruscus	0.0117	3.2
Canis_etruscus2	Canis_etruscus	0.0117	5.333
Canis_etruscus3	Canis_etruscus	0.126	0.781
Canis_etruscus4	Canis_etruscus	0.126	1.806
Canis_etruscus5	Canis_etruscus	0.126	2.588
Canis_etruscus6	Canis_etruscus	0.781	2.588
Canis_etruscus7	Canis_etruscus	0.781	11.608
Canis_etruscus8	Canis_etruscus	1.806	2.588
Canis_etruscus9	Canis_etruscus	2.588	3.2
Canis_etruscus10	Canis_etruscus	2.588	3.6
Canis_etruscus11	Canis_etruscus	2.588	5.333
Canis_arnensis	Canis_arnensis	0.0117	3.2
Canis_arnensis1	Canis_arnensis	0.0117	5.333
Canis_arnensis2	Canis_arnensis	0.126	2.588
Canis_arnensis3	Canis_arnensis	0.781	2.588
Canis_arnensis4	Canis_arnensis	2.588	3.2
Canis_lepophagus	Canis_lepophagus	0.012	0.3
Canis_lepophagus1	Canis_lepophagus	0.781	2.588
Canis_lepophagus2	Canis_lepophagus	0.781	3.6
Canis_lepophagus3	Canis_lepophagus	1.8	4.9
Canis_lepophagus4	Canis_lepophagus	1.806	2.588
Canis_lepophagus5	Canis_lepophagus	4.9	10.3
Canis_edwardii	Canis_edwardii	0.3	1.8
Canis_edwardii1	Canis_edwardii	0.3	4.9
Canis_edwardii2	Canis_edwardii	1.8	4.9
Canis_edwardii3	Canis_edwardii	1.806	2.588
Canis_edwardii4	Canis_edwardii	5.333	23.03
Urocyon_minicephalus	Urocyon_minicephalus	0.3	1.8
Canis_chihliensis	Canis_chihliensis	0.781	2.588
Canis_thooides	Canis_thooides	1.8	4.9
Canis_ferox	Canis_ferox	1.8	4.9
Canis_ferox1	Canis_ferox	2.588	5.333
Canis_ferox2	Canis_ferox	4.9	10.3
Urocyon_webbi	Urocyon_webbi	4.9	10.3
