
RevBayes version (1.1.1)
Build from development (rapture-649-g20534c) on Sun Apr 18 13:22:17 CDT 2021

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/combined_evidence_fbd_clean.Rev")
   Processing file "scripts/combined_evidence_fbd_clean.Rev"
   Successfully read one character matrix from file 'data/nuclear.nex'
   Successfully read one character matrix from file 'data/morpho_clean.nex'
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   WARNING: There are 18 characters incompatible with the specified coding bias. These characters will be excluded.
   Could not compute lnProb for node fbd_tree.
   (((((Canis_arnensis[&index=23]:2.595880,Canis_mosba...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   ((((Canis_aureus[&index=23]:0.139530,Canis_etruscus...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   ((Urocyon_webbi[&index=23]:2.668938,Urocyon_minicep...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   ((((Canis_etruscus[&index=23]:8.846826,(Canis_adust...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   ((Canis_arnensis[&index=23]:16.615764,((((Lycaon_pi...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   (((Lycaon_pictus[&index=23]:9.184433,Canis_etruscus...

   Drawing new initial states ...
   Could not compute lnProb for node fbd_tree.
   ((Urocyon_cinereoargenteus[&index=23]:9.599269,Uroc...

   Drawing new initial states ...

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 296 different moves in a random move schedule with 346.767 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |   divtime_di..   |   divtime_ja..   |      root_time   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
0           |   -4.04049e+06   |   -4.04046e+06   |       -30.6635   |       25.08048   |       25.08048   |       28.10716   |   00:00:00   |   --:--:--   |
1000        |   -2.54831e+06   |   -2.54847e+06   |         164.08   |       10.70839   |       10.70839   |       28.58908   |   00:09:47   |   --:--:--   |
2000        |   -2.54833e+06   |   -2.54848e+06   |        147.478   |       10.68844   |       10.68844   |       29.30959   |   00:19:31   |   48:27:59   |
3000        |   -2.54832e+06   |   -2.54847e+06   |         149.61   |       10.63815   |       10.63815   |       29.27487   |   00:29:30   |   48:40:30   |
4000        |   -2.54833e+06   |   -2.54847e+06   |        145.587   |       10.63815   |       10.63815   |       28.09084   |   00:39:34   |   48:47:56   |
5000        |   -2.54831e+06   |   -2.54847e+06   |        160.713   |       10.70737   |       10.70737   |       26.35188   |   00:49:06   |   48:16:54   |
6000        |   -2.54829e+06   |   -2.54847e+06   |        184.016   |       10.59653   |       10.59653   |       29.72893   |   00:58:07   |   47:27:43   |
7000        |   -2.54831e+06   |   -2.54847e+06   |        162.997   |       10.59944   |       10.59944   |       26.86218   |   01:07:14   |   46:54:11   |
8000        |   -2.54831e+06   |   -2.54846e+06   |         145.86   |       10.65356   |       10.65356   |       27.42558   |   01:16:07   |   46:18:15   |
9000        |    -2.5483e+06   |   -2.54847e+06   |        165.484   |       10.77216   |       10.77216   |       27.70694   |   01:24:56   |   45:46:10   |
10000       |   -2.54835e+06   |   -2.54848e+06   |        134.018   |       10.75511   |       10.75511   |       27.09926   |   01:33:47   |   45:19:43   |
11000       |   -2.54832e+06   |   -2.54848e+06   |        158.184   |        10.6156   |        10.6156   |       29.01814   |   01:42:51   |   45:02:09   |
12000       |   -2.54733e+06   |   -2.54747e+06   |        142.735   |       10.62182   |       10.62182   |       27.19895   |   01:51:41   |   44:40:24   |
13000       |   -2.54732e+06   |   -2.54748e+06   |        160.806   |       10.63728   |       10.63728   |       26.79924   |   02:01:06   |   44:33:30   |
14000       |   -2.54618e+06   |   -2.54633e+06   |        157.697   |       10.58087   |       10.30575   |       27.94068   |   02:10:23   |   44:23:32   |
15000       |   -2.54619e+06   |   -2.54634e+06   |        148.507   |       10.58287   |       10.25743   |       29.87065   |   02:19:23   |   44:08:17   |
16000       |   -2.54618e+06   |   -2.54633e+06   |        155.339   |        10.5592   |        10.2644   |       28.98292   |   02:28:32   |   43:56:28   |
17000       |   -2.54618e+06   |   -2.54633e+06   |        149.589   |       10.56997   |        10.3006   |       29.37631   |   02:37:48   |   43:46:54   |
18000       |    -2.5462e+06   |   -2.54634e+06   |        138.257   |       10.56997   |       10.32561   |       29.74957   |   02:47:13   |   43:39:43   |
19000       |    -2.5462e+06   |   -2.54634e+06   |        143.373   |       10.56082   |       10.29568   |       29.99059   |   02:56:40   |   43:32:48   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   divtime_di..   |   divtime_ja..   |      root_time   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
20000       |   -2.54619e+06   |   -2.54634e+06   |        142.136   |       10.56377   |       10.30883   |       27.16042   |   03:06:12   |   43:26:48   |
21000       |    -2.5462e+06   |   -2.54633e+06   |        129.478   |       10.57029   |       10.28706   |       27.02397   |   03:15:36   |   43:18:41   |
22000       |   -2.54617e+06   |   -2.54633e+06   |         166.64   |       10.57029   |        10.2713   |        26.7028   |   03:25:11   |   43:12:46   |
23000       |   -2.54618e+06   |   -2.54634e+06   |        159.663   |       10.58245   |       10.20676   |       28.69723   |   03:34:31   |   43:03:31   |
24000       |   -2.54615e+06   |   -2.54632e+06   |        174.422   |       10.55559   |       10.24013   |       27.60334   |   03:44:08   |   42:57:32   |
25000       |   -2.54618e+06   |   -2.54634e+06   |        154.956   |        10.5582   |        10.2313   |       26.01229   |   03:53:56   |   42:53:16   |
26000       |    -2.5462e+06   |   -2.54635e+06   |        148.295   |       10.54187   |       10.23998   |       26.51929   |   04:03:46   |   42:48:55   |
27000       |   -2.54618e+06   |   -2.54633e+06   |        155.715   |       10.53754   |       10.19077   |       26.19661   |   04:13:16   |   42:40:48   |
28000       |   -2.54618e+06   |   -2.54635e+06   |        163.885   |       10.53477   |       10.23848   |       27.01509   |   04:22:47   |   42:32:45   |
29000       |   -2.54619e+06   |   -2.54634e+06   |        154.152   |       10.50369   |       10.28306   |       29.20249   |   04:32:15   |   42:24:07   |
30000       |   -2.54616e+06   |   -2.54634e+06   |        178.896   |       10.51613   |        10.2207   |       27.75901   |   04:41:37   |   42:14:33   |
31000       |    -2.5462e+06   |   -2.54635e+06   |        152.035   |       10.51613   |       10.19018   |       28.98034   |   04:50:54   |   42:04:15   |
32000       |   -2.54618e+06   |   -2.54633e+06   |        152.726   |       10.46195   |       10.14967   |       29.46307   |   05:00:17   |   41:54:52   |
33000       |   -2.54619e+06   |   -2.54634e+06   |        154.172   |       10.70915   |       10.19023   |       25.97452   |   05:09:50   |   41:46:50   |
34000       |   -2.54616e+06   |   -2.54634e+06   |        175.536   |       10.70915   |       10.16995   |       26.07558   |   05:19:00   |   41:35:42   |
35000       |   -2.54617e+06   |   -2.54634e+06   |        163.956   |       10.67982   |       10.21647   |       28.00665   |   05:28:15   |   41:25:19   |
36000       |   -2.54618e+06   |   -2.54633e+06   |         146.72   |       10.64807   |       10.17534   |        29.2543   |   05:37:29   |   41:14:52   |
