Iteration	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er_cats[1]	er_cats[2]	er_cats[3]	er_cats[4]	er_indicator	er_scale	m_er	m_er_dist	m_pi	m_pi_dist	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	pi_cats[1]	pi_cats[2]	pi_cats[3]	pi_cats[4]	pi_indicator	pi_scale	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
0	-234.46	-177.5713	-56.88867	1	1	0.207974	0.0357962	0.297373	0.0390205	0.0884718	0.0593659	0.23549	0.0413006	0.19296	0.0779561	0.242979	0.00695063	0.228937	0.234133	0.00358951	0.00521458	0.0296961	0.125	0.375	0.625	0.875	1	1	1	15560.52	1	56136.38	0.247941	0.0711933	0.07271	0.608156	0.125	0.375	0.625	0.875	1	1	3	0.136954	0.476752	1	2.38629	2.027209
10	-165.7374	-152.9809	-12.7565	1e+08	0	0.222979	0.0519928	0.0943193	0.0690796	0.0576321	0.211034	0.10387	0.00802838	0.0951576	0.198004	0.148081	0.0149095	0.173968	0.164874	0.00425585	0.0112305	0.0336207	0.498242	0.49956	0.500347	0.501851	0	62000	52863.37	52863.37	45032.21	45032.21	0.168008	0.142398	0.541567	0.148027	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.999873	0.999968	1.00003	1.00013	1.663036
20	-168.9837	-148.8364	-20.14724	1e+08	0	0.171296	0.0448097	0.112419	0.085255	0.0331681	0.129461	0.0391038	0.0538498	0.0354942	0.195001	0.118665	0.0139054	0.0791519	0.0976865	0.00699422	0.0393452	0.0430145	0.498242	0.49956	0.500347	0.501851	0	62000	38176.74	38176.74	1	25453.38	0.2026	0.155746	0.127405	0.514249	0.49519	0.498789	0.501199	0.504822	1	8707.767	3	0.999873	0.999968	1.00003	1.00013	1.298622
30	-162.1156	-131.295	-30.82054	9128859	1	0.461319	0.0410254	0.104929	0.147289	0.00857069	0.162487	0.0175031	0.0275409	0.0156051	0.104521	0.243888	0.02009	0.0721237	0.100344	0.00649591	0.0493582	0.0442813	0.498242	0.49956	0.500347	0.501851	0	62000	9566.553	9566.553	36289.14	36289.14	0.379558	0.165341	0.10498	0.350121	0.498242	0.49956	0.500347	0.501851	0	62000	3	0.999579	0.999892	1.00011	1.00042	1.627372
40	-175.8133	-133.0363	-42.77701	3.08859e+07	1	0.351936	0.0741619	0.0110149	0.0299455	0.00354547	0.176331	0.0266683	0.0533972	0.0244465	0.0951294	0.485993	0.0729103	0.0540169	0.122969	0.00976315	0.0276302	0.0996712	0.498242	0.49956	0.500347	0.501851	0	62000	26797.68	26797.68	1	24605.91	0.021732	0.379288	0.405814	0.193166	0.498094	0.499569	0.500419	0.501917	1	55267.87	1	0.999771	0.999942	1.00006	1.00023	1.719531
50	-165.6147	-131.4648	-34.1499	1e+08	0	0.468722	0.0349469	0.00465332	0.133288	0.00440415	0.23108	0.0364806	0.069636	0.0333716	0.0519281	0.250661	0.0659061	0.0756203	0.0643753	0.00586186	0.0186822	0.0457818	0.498125	0.499558	0.500399	0.501917	1	56184.48	1	6883.973	1	27385.11	0.0745057	0.514754	0.408376	0.00236471	0.497926	0.499572	0.500496	0.502007	1	48512.25	2	0.999873	0.999968	1.00003	1.00013	1.5954
60	-167.6634	-134.7415	-32.92196	8.832641e+07	1	0.418964	0.0289588	0.0251887	0.0945964	0.00248904	0.193896	0.105497	0.0597184	0.0579388	0.0584885	0.388373	0.0916574	0.123332	0.0792411	0.0119658	0.0590975	0.0381115	0.498242	0.49956	0.500347	0.501851	0	62000	48285.91	48285.91	40468.49	40468.49	0.252279	0.267245	0.479674	0.000802371	0.498242	0.49956	0.500347	0.501851	0	62000	3	0.999865	0.999966	1.00003	1.00014	1.837514
70	-169.9953	-129.3157	-40.67962	1e+08	0	0.933175	0.0328476	0.103424	0.0828774	0.0108711	0.0826215	0.131652	0.0768418	0.0328691	0.0119778	0.340836	0.0539919	0.0694347	0.164168	0.00608076	0.0246923	0.0900111	0.495313	0.498842	0.501179	0.504666	1	9234.903	1	20260.08	1	56993.29	0.281756	0.194982	0.28014	0.243122	0.489203	0.497258	0.50275	0.51079	1	1733.17	1	0.999873	0.999968	1.00003	1.00013	2.248372
80	-167.3907	-127.1953	-40.19544	4.563389e+07	1	0.363295	0.0371499	0.0451777	0.188648	0.0305339	0.0301093	0.0533691	0.022783	0.0358341	0.0242063	0.261651	0.0755231	0.0162157	0.180922	0.00407754	0.0270008	0.0648776	0.498242	0.49956	0.500347	0.501851	0	62000	47102.99	47102.99	1	8877.494	0.092799	0.544503	0.299335	0.0633622	0.497333	0.499402	0.500658	0.502607	1	29033.08	1	0.999812	0.999952	1.00005	1.00019	1.461374
90	-159.116	-126.7617	-32.35427	230839.2	1	0.570478	0.0735625	0.0535101	0.056852	0.0701811	0.0342445	0.0477612	0.0741618	0.12489	0.0476382	0.299042	0.0673067	0.0119258	0.126192	0.00203162	0.0190968	0.10187	0.498242	0.49956	0.500347	0.501851	0	62000	36162.75	36162.75	54556.48	54556.48	0.164191	0.0798945	0.346171	0.409743	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.997356	0.999323	1.00067	1.00265	1.780744
