Iteration	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er_cats[1]	er_cats[2]	er_cats[3]	er_cats[4]	er_indicator	er_scale	m_er	m_er_dist	m_pi	m_pi_dist	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	pi_cats[1]	pi_cats[2]	pi_cats[3]	pi_cats[4]	pi_indicator	pi_scale	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
0	-251.235	-192.3222	-58.9128	1	1	0.0412251	0.055732	0.0814729	0.103995	0.204223	0.0884297	0.340982	0.13698	0.222877	0.00646118	0.098329	0.0270217	0.00838395	0.0223112	0.516581	0.0788487	0.195769	0.125	0.375	0.625	0.875	1	1	1	58672.67	1	38167.17	0.456593	0.32896	0.140698	0.0737488	0.125	0.375	0.625	0.875	1	1	3	0.136954	0.476752	1	2.38629	2.229621
10	-177.1738	-155.1039	-22.0699	1e+08	0	0.0652234	0.106774	0.0746542	0.0753667	0.13172	0.104487	0.172867	0.121347	0.0614358	0.00902448	0.116904	0.0207517	0.0124968	0.0465974	0.192091	0.0619634	0.117184	0.498242	0.49956	0.500347	0.501851	0	62000	56845.78	56845.78	1	54697.24	0.0210845	0.330097	0.0510153	0.597803	0.497897	0.499568	0.500507	0.502028	1	47317.87	1	0.999873	0.999968	1.00003	1.00013	1.490888
20	-175.1154	-137.7139	-37.40145	9.808472e+07	1	0.159188	0.029377	0.0516127	0.0695318	0.0754559	0.133171	0.0740145	0.0794606	0.0145749	0.0526425	0.136084	0.0100216	0.0490398	0.0393648	0.0961154	0.0432283	0.0690918	0.498242	0.49956	0.500347	0.501851	0	62000	61204.32	61204.32	1	47146.22	0.232363	0.500707	0.125071	0.141858	0.497407	0.499345	0.500593	0.502654	1	29343.89	1	0.999872	0.999968	1.00003	1.00013	1.181975
30	-157.5895	-134.6231	-22.96645	1e+08	0	0.495866	0.0139512	0.0872308	0.00526977	0.108231	0.0626772	0.0455612	0.04349	0.00484321	0.0882972	0.329755	0.0234712	0.0271834	0.0873208	0.0564339	0.0471575	0.0538033	0.496708	0.499209	0.500812	0.503272	1	18750.96	1	45708.06	21899.85	21899.85	0.444249	0.100788	0.131529	0.323433	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.999873	0.999968	1.00003	1.00013	1.580543
40	-153.8828	-130.0835	-23.79927	1e+08	0	0.561484	0.0265923	0.0494945	0.00404884	0.139712	0.0322269	0.075921	0.103762	0.000977442	0.0271458	0.153577	0.0175466	0.00882551	0.249907	0.10796	0.0178357	0.0868088	0.497552	0.499463	0.500598	0.502386	1	34562.06	1	35748.88	24348.78	24348.78	0.219757	0.363753	0.302973	0.113518	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999873	0.999968	1.00003	1.00013	1.663825
50	-155.1626	-129.4359	-25.72673	1e+08	0	0.550594	0.0149517	0.0557617	0.0135546	0.214153	0.0935693	0.0206781	0.0393669	0.00323608	0.0329106	0.110638	0.0461254	0.0298801	0.210918	0.335033	0.0387548	0.0464448	0.498131	0.499558	0.500397	0.501914	1	56451.4	1	49380.41	4700.728	4700.728	0.105346	0.153741	0.719405	0.0215082	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999873	0.999968	1.00003	1.00013	1.85657
60	-164.8187	-131.0721	-33.74658	7.863143e+07	1	0.565161	0.051578	0.0484387	0.00784859	0.22507	0.104458	0.0460658	0.0770698	0.00582861	0.0739667	0.163936	0.0868383	0.0646013	0.138946	0.169679	0.0661797	0.0243098	0.498242	0.49956	0.500347	0.501851	0	62000	40334.89	40334.89	10794.95	10794.95	0.122769	0.465009	0.356364	0.0558584	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999857	0.999963	1.00004	1.00014	1.919976
70	-188.7661	-147.4523	-41.31382	5.999688e+07	1	0.122899	0.0848647	0.0669363	0.00464913	0.198935	0.129545	0.138976	0.0535833	0.00518358	0.0551316	0.218265	0.0511483	0.0149095	0.268816	0.0797727	0.0542448	0.0253513	0.497588	0.499411	0.500553	0.502449	1	34184.64	1	19858.22	55553.23	55553.23	0.0954108	0.663992	0.169747	0.0708507	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.999836	0.999958	1.00004	1.00016	1.573212
80	-163.3233	-133.1447	-30.17859	1.092194e+07	1	0.44612	0.0910788	0.0668095	0.00345637	0.181394	0.0465107	0.0924143	0.0463377	0.0174877	0.086617	0.142632	0.0260782	0.0158069	0.126645	0.0378496	0.055024	0.0809153	0.498242	0.49956	0.500347	0.501851	0	62000	55352.11	55352.11	12303.57	12303.57	0.242004	0.176223	0.25402	0.327753	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999615	0.999902	1.0001	1.00038	1.563177
90	-151.2808	-134.579	-16.70179	1e+08	0	0.435789	0.176162	0.134744	0.00803923	0.316058	0.0413063	0.043055	0.0636394	0.0185432	0.0587617	0.46398	0.0741426	0.0301203	0.103306	0.014369	0.0480373	0.0275115	0.498242	0.49956	0.500347	0.501851	0	62000	5348.214	5348.214	42886.82	42886.82	0.377009	0.0347269	0.243628	0.344636	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999873	0.999968	1.00003	1.00013	2.057565
100	-155.7446	-129.3966	-26.34806	1e+08	0	0.401897	0.031127	0.0961741	0.0231277	0.121697	0.091082	0.105913	0.0311979	0.0160948	0.0742849	0.290769	0.130112	0.158876	0.108324	0.0370675	0.183036	0.0179257	0.497576	0.499403	0.500553	0.502468	1	33758.32	1	22199.94	52149.45	52149.45	0.105499	0.0519857	0.351482	0.491033	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.999873	0.999968	1.00003	1.00013	1.918704
110	-159.021	-128.7199	-30.30108	9.111216e+07	1	0.510184	0.0154008	0.0443685	0.0310739	0.105862	0.110433	0.0641673	0.0186791	0.0200201	0.156792	0.150775	0.0609592	0.122342	0.0879224	0.0146344	0.039639	0.0221733	0.498242	0.49956	0.500347	0.501851	0	62000	8782.456	8782.456	26271.17	26271.17	0.0948962	0.173183	0.102928	0.628993	0.498242	0.49956	0.500347	0.501851	0	62000	3	0.999867	0.999966	1.00003	1.00013	1.575426
120	-168.4601	-132.0111	-36.44899	1e+08	0	0.44855	0.0257773	0.0919081	0.0725398	0.237656	0.131817	0.0564045	0.0222326	0.0546774	0.124198	0.152847	0.0778395	0.0483842	0.138562	0.0145059	0.081449	0.0459608	0.496646	0.499169	0.500815	0.503371	1	17863.12	1	43099.46	1	43122.14	0.564414	0.19585	0.0211628	0.218573	0.496492	0.499162	0.500875	0.50347	1	16591.4	1	0.999873	0.999968	1.00003	1.00013	1.825309
130	-164.0142	-131.9571	-32.05711	9.5772e+07	1	0.404074	0.0670765	0.0225595	0.0240198	0.109396	0.103779	0.0381948	0.0538543	0.0797699	0.145374	0.264222	0.122822	0.0212208	0.125172	0.0493215	0.0942375	0.0259353	0.498242	0.49956	0.500347	0.501851	0	62000	25179.14	25179.14	43123.62	43123.62	0.223443	0.548239	0.0618887	0.166429	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.99987	0.999966	1.00004	1.00013	1.751029
140	-164.6578	-132.4374	-32.22037	2.900654e+07	1	0.482202	0.16507	0.0101971	0.0246633	0.105243	0.0422662	0.0200836	0.0910131	0.0730846	0.112135	0.198128	0.0617053	0.0377814	0.210306	0.0243414	0.0634975	0.0456365	0.498242	0.49956	0.500347	0.501851	0	62000	33042.45	33042.45	59337.96	59337.96	0.351255	0.550743	0.0463005	0.0517016	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999764	0.99994	1.00006	1.00024	1.767355
150	-140.285	-128.7657	-11.51934	1e+08	0	0.458974	0.0542091	0.00923514	0.0586822	0.183187	0.0597209	0.0220565	0.0823615	0.0260506	0.0534565	0.165572	0.0713228	0.0332627	0.033742	0.119024	0.0830571	0.0254053	0.498242	0.49956	0.500347	0.501851	0	62000	36856.24	36856.24	55938.78	55938.78	0.379327	0.375501	0.111173	0.133999	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999873	0.999968	1.00003	1.00013	1.53932
160	-150.7609	-132.1251	-18.63577	1e+08	0	0.364565	0.0341406	0.0118594	0.118584	0.0964333	0.0200646	0.020755	0.0325649	0.0277165	0.028267	0.133813	0.0544692	0.0565392	0.0251762	0.0333683	0.043065	0.0460936	0.496968	0.499236	0.500717	0.503079	1	21636.21	1	55896.97	52852.57	52852.57	0.568667	0.154677	0.239081	0.0375751	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999873	0.999968	1.00003	1.00013	1.147475
170	-148.7422	-126.9279	-21.81432	1e+08	0	0.378574	0.0531439	0.00386617	0.133165	0.0868601	0.0252713	0.0446977	0.0610963	0.0433315	0.0312279	0.262974	0.12155	0.116646	0.0232198	0.0332145	0.0178354	0.0286559	0.497247	0.499384	0.500685	0.502685	1	27313.83	1	61435.32	47085.82	47085.82	0.111717	0.272138	0.267529	0.348616	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.999873	0.999968	1.00003	1.00013	1.465329
