
RevBayes version (1.1.1)
Build from development (rapture-649-g20534c) on Sun Apr 11 23:30:45 CDT 2021

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/avg_morpho_MCMC.Rev")
   Processing file "scripts/avg_morpho_MCMC.Rev"
   Processing file "scripts/avg_morpho_setup.Rev"
   Successfully read one character matrix from file '/home/petrucci/canid_tree/data/extant_morpho.nex'
   Processing of file "scripts/avg_morpho_setup.Rev" completed
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 30 different moves in a random move schedule with 102.5 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |   alpha_indi..   |   er_indicator   |   pi_indicator   |    Q_indicator   |    elapsed   |        ETA   |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0           |       -251.235   |       -192.322   |       -58.9128   |              1   |              1   |              1   |              3   |   00:00:00   |   --:--:--   |
1000        |       -160.811   |       -131.053   |       -29.7579   |              1   |              0   |              0   |              3   |   00:06:08   |   --:--:--   |
2000        |        -142.74   |       -133.572   |       -9.16743   |              0   |              0   |              0   |              3   |   00:12:19   |   10:03:31   |
3000        |       -148.447   |       -126.564   |       -21.8835   |              0   |              0   |              1   |              1   |   00:18:33   |   09:59:47   |
4000        |       -138.777   |       -128.088   |       -10.6889   |              0   |              0   |              0   |              3   |   00:24:45   |   09:54:00   |
5000        |       -166.402   |        -132.68   |       -33.7218   |              1   |              0   |              0   |              3   |   00:30:49   |   09:45:31   |
6000        |       -171.498   |       -136.025   |       -35.4727   |              1   |              0   |              0   |              2   |   00:36:57   |   09:38:53   |
7000        |       -154.826   |       -128.476   |       -26.3493   |              1   |              0   |              0   |              3   |   00:43:06   |   09:32:36   |
8000        |        -145.51   |       -127.507   |       -18.0027   |              0   |              1   |              0   |              2   |   00:49:15   |   09:26:22   |
9000        |       -169.117   |       -136.681   |       -32.4356   |              1   |              0   |              0   |              2   |   00:55:23   |   09:19:59   |
10000       |       -165.022   |       -129.742   |       -35.2798   |              1   |              0   |              0   |              2   |   01:01:33   |   09:13:57   |
11000       |       -153.797   |       -131.407   |       -22.3901   |              0   |              0   |              1   |              1   |   01:07:45   |   09:08:09   |
12000       |        -174.22   |       -132.331   |        -41.889   |              1   |              1   |              0   |              2   |   01:13:58   |   09:02:25   |
13000       |       -149.384   |       -128.575   |       -20.8092   |              0   |              1   |              0   |              2   |   01:20:04   |   08:55:49   |
14000       |        -141.34   |        -130.47   |       -10.8702   |              0   |              0   |              0   |              1   |   01:26:18   |   08:50:07   |
15000       |       -171.661   |       -131.138   |       -40.5227   |              1   |              0   |              1   |              1   |   01:32:24   |   08:43:36   |
16000       |        -173.87   |       -129.988   |       -43.8816   |              1   |              1   |              0   |              2   |   01:38:32   |   08:37:18   |
17000       |       -165.704   |       -126.175   |       -39.5289   |              1   |              1   |              0   |              2   |   01:44:38   |   08:30:51   |
18000       |       -138.475   |       -128.502   |       -9.97349   |              0   |              0   |              0   |              1   |   01:50:52   |   08:25:03   |
19000       |       -141.443   |       -127.445   |       -13.9977   |              0   |              0   |              0   |              2   |   01:57:03   |   08:19:00   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   alpha_indi..   |   er_indicator   |   pi_indicator   |    Q_indicator   |    elapsed   |        ETA   |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
20000       |       -164.906   |       -132.945   |       -31.9607   |              1   |              0   |              0   |              1   |   02:03:08   |   08:12:32   |
21000       |       -165.751   |       -130.051   |       -35.6997   |              0   |              1   |              1   |              1   |   02:09:18   |   08:06:24   |
22000       |       -158.166   |        -130.03   |        -28.136   |              1   |              0   |              0   |              2   |   02:15:25   |   08:00:06   |
23000       |       -158.002   |        -135.15   |       -22.8521   |              0   |              1   |              0   |              1   |   02:21:31   |   07:53:46   |
24000       |       -172.795   |       -129.983   |       -42.8123   |              1   |              1   |              0   |              1   |   02:27:38   |   07:47:30   |
25000       |       -151.426   |       -133.559   |       -17.8677   |              0   |              0   |              1   |              1   |   02:33:47   |   07:41:21   |
26000       |       -136.886   |       -128.377   |        -8.5086   |              0   |              0   |              0   |              1   |   02:39:52   |   07:35:00   |
