Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er_cats[1]	er_cats[2]	er_cats[3]	er_cats[4]	er_indicator	er_scale	m_er	m_er_dist	m_pi	m_pi_dist	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	pi_cats[1]	pi_cats[2]	pi_cats[3]	pi_cats[4]	pi_indicator	pi_scale	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
0	0	-199.9371	-183.2102	-16.72697	1	1	0.0797565	0.0497614	0.106938	0.030065	0.376812	0.0748579	0.0346661	0.052411	0.0855966	0.119152	0.794417	0.0189478	0.0315692	0.0400356	0.017911	0.191947	0.0655288	0.125	0.375	0.625	0.875	1	1	1	0.2692209	1	0.1168748	0.335613	0.323795	0.200899	0.139693	0.125	0.375	0.625	0.875	1	1	1	0.136954	0.476752	1	2.38629	2.170373
1	1	-212.1344	-202.7342	-9.400224	1	1	0.0225915	0.00639777	0.138965	0.0186081	0.209766	0.11135	0.0247392	0.0166	0.11068	0.00134644	0.105757	0.000701674	0.178708	0.228056	0.154391	0.0284689	0.0347209	0.125	0.375	0.625	0.875	1	1	1	0.1509076	1	0.6936982	0.520406	0.169907	0.180788	0.128899	0.125	0.375	0.625	0.875	1	1	1	0.136954	0.476752	1	2.38629	1.391847
2	0	-189.6337	-174.4827	-15.15101	0.3947689	1	0.0797565	0.0497614	0.106938	0.030065	0.376812	0.0997774	0.0541102	0.0433115	0.1167	0.133131	0.794417	0.0281691	0.0200606	0.0287456	0.0190128	0.157063	0.0655288	0.498242	0.49956	0.500347	0.501851	0	62000	0.3847692	0.3847692	0.255593	0.255593	0.14596	0.362746	0.308272	0.183021	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.015967	0.177838	0.725557	3.08064	2.203359
3	1	-191.241	-184.8502	-6.390825	0.474388	1	0.0225915	0.00639777	0.0598674	0.0186081	0.209766	0.106446	0.032799	0.013144	0.105419	0.00142788	0.137255	0.000701674	0.178708	0.201065	0.154391	0.0284689	0.0391312	0.498242	0.49956	0.500347	0.501851	0	62000	0.2227315	0.2227315	0.5291614	0.5291614	0.243655	0.426906	0.159337	0.170102	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.0287446	0.234867	0.800699	2.93569	1.316187
4	0	-184.0914	-166.4786	-17.61275	0.3980264	1	0.0797565	0.0497614	0.0626941	0.030065	0.376812	0.119655	0.0541102	0.0433115	0.144373	0.304778	0.794417	0.0385857	0.0175294	0.0287456	0.0253434	0.0955173	0.0654469	0.00137802	0.16819	0.83181	0.998622	1	0.1582324	1	0.3541034	1	0.6147889	0.204013	0.173145	0.416854	0.205987	0.00894332	0.227484	0.772516	0.991057	1	0.2487612	1	0.0164307	0.18028	0.729136	3.07415	2.330901
5	1	-187.4468	-177.3646	-10.08217	0.4709091	1	0.0225915	0.00540617	0.050135	0.0215955	0.209766	0.0903766	0.032799	0.0160092	0.105419	0.00142788	0.216873	0.000701674	0.181663	0.180054	0.176503	0.0381193	0.0526903	0.498242	0.49956	0.500347	0.501851	0	62000	0.318899	0.318899	1	1.276121	0.436554	0.403977	0.104051	0.0554184	0.213254	0.416251	0.583749	0.786746	1	2.055699	1	0.028131	0.232501	0.79789	2.94148	1.40213
6	0	-170.739	-152.2663	-18.47269	0.3296333	1	0.0935858	0.0497614	0.0637158	0.030065	0.34209	0.141996	0.0341059	0.049034	0.166	0.380159	0.794417	0.0385857	0.0175294	0.0287456	0.0352556	0.0612852	0.0654469	0.498242	0.49956	0.500347	0.501851	0	62000	0.6105557	0.6105557	1	0.8527578	0.243274	0.10122	0.538473	0.117034	0.0590436	0.32403	0.67597	0.940957	1	0.5527516	1	0.00800427	0.127658	0.642371	3.22197	2.391779
7	1	-183.2943	-174.7583	-8.535968	0.217445	1	0.0315537	0.00441772	0.050135	0.0215955	0.209628	0.115552	0.0262247	0.0160092	0.0844783	0.00142788	0.137304	0.000701674	0.134018	0.180054	0.176503	0.0316651	0.0596725	0.216735	0.417583	0.582416	0.783265	1	2.117473	1	0.373864	0.8414797	0.8414797	0.406901	0.257901	0.292055	0.0431423	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.000924223	0.0444066	0.427639	3.52703	1.28094
8	0	-163.97	-146.3778	-17.59216	0.4401003	1	0.146481	0.0316972	0.0637158	0.030065	0.34209	0.141996	0.0214519	0.0432315	0.166	0.450363	0.550811	0.0385857	0.00814604	0.0316021	0.0814014	0.0612852	0.0688269	0.498242	0.49956	0.500347	0.501851	0	62000	0.4042114	0.4042114	1.933396	1.933396	0.197908	0.296631	0.392189	0.113273	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.0228989	0.211027	0.771268	2.99481	2.27775
9	1	-183.4586	-173.81	-9.648658	0.294675	1	0.0303804	0.00279139	0.050135	0.0215955	0.209628	0.115552	0.0262247	0.0160092	0.0844783	0.00142788	0.137304	0.000470658	0.170074	0.176089	0.153481	0.0171032	0.0596725	1.49544e-06	0.0812563	0.918744	0.999998	1	0.06582739	1	0.4283759	1	0.3282159	0.208881	0.35488	0.412184	0.0240541	0.257904	0.432288	0.567712	0.742096	1	3.057042	1	0.00487331	0.100359	0.586751	3.30802	1.272417
