Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	pi_scale
0	-320.4159	-330.2564	9.840483	0.10207	0.118015	0.0245408	0.20781	0.115469	0.0311184	0.131242	0.0333061	0.0797205	0.123141	0.465071	0.00144187	0.0537763	0.0255355	0.0215823	0.0205586	0.0728558	1.13958
100	-211.9352	-224.548	12.61284	0.30176	0.0767303	0.00143377	0.213915	0.00506186	0.00568577	0.0537111	0.042304	0.0292931	0.00852632	0.181882	0.0740843	0.0281532	0.0652537	0.01837	0.133181	0.10346	1.215525
200	-206.3301	-221.9631	15.63301	0.216315	0.0401754	0.0075409	0.0779354	0.00127282	0.0348794	0.0473248	0.0446631	0.0165191	0.0122652	0.171415	0.00945636	0.133399	0.000504408	0.0150416	0.115797	0.141412	0.7645951
300	-214.7182	-230.2962	15.57793	0.151727	0.0281158	0.0174513	0.106346	0.0851731	0.0238349	0.0075031	0.0302085	0.0119693	0.00324708	0.13336	0.160404	0.00877227	0.0210598	0.218037	0.0711129	0.0290694	0.6136236
400	-209.3184	-224.3715	15.05303	0.320772	0.00198742	0.0237869	0.1133	0.00392156	0.0101164	0.0538263	0.0506537	0.0882623	0.0116635	0.0767932	0.00423881	0.06483	0.0101953	0.105247	0.0710195	0.0741672	1.368125
500	-211.153	-224.0362	12.88319	0.238391	0.0101732	0.0435572	0.216551	0.0459736	0.00913213	0.0413268	0.00336357	0.0381232	0.0199974	0.0592103	0.0167298	0.0591488	0.000883094	0.0580858	0.246568	0.193983	1.374451
600	-221.5914	-232.7295	11.13811	0.270155	0.0140675	0.0133741	0.0378062	0.0769194	0.053293	0.0401765	0.0229553	0.0780478	0.0270911	0.0692035	0.0271103	0.0119381	0.055156	0.116331	0.221594	0.233856	2.811776
700	-209.1047	-224.4358	15.33102	0.181382	0.0242853	0.0888363	0.154143	0.0181372	0.0116241	0.0302287	0.0187084	0.0282993	0.0122404	0.0881816	0.0283344	0.0470292	0.0861717	0.0208586	0.134749	0.0859438	1.34401
800	-204.9714	-220.4002	15.42879	0.262427	0.0028983	0.00520795	0.130402	0.0187792	0.0158206	0.018925	0.0295376	0.00569065	0.00026742	0.0654453	0.0404406	0.0271872	0.0654362	0.101764	0.0915872	0.168976	1.328366
900	-213.3084	-229.7987	16.4903	0.18578	0.000131191	0.0170138	0.127038	0.0132175	0.0479116	0.0397591	0.019644	0.0224889	0.0684835	0.118452	0.0160943	0.0635051	0.0200299	0.0372916	0.067412	0.0762307	1.374489
