Iteration	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er_trans[1]	er_trans[2]	er_trans[3]	er_trans[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
0	-3734559	-3734554	-4.364464	1	1	0.192622	0.100371	0.0175616	0.217431	0.175909	0.0657346	0.0187027	0.0754458	0.0612801	0.0824732	0.0985643	0.0414484	0.0853368	0.0442171	0.110354	0.0169859	0.00698252	0.439754	0	0.160355	0.0363684	0	0.363523	0.439754	0.160355	0.0363684	0.363523	0.4404313	0.105362	0.320462	0.32982	0.244356	2	0.136954	0.476752	1	2.38629	1.41142
10	-2743637	-2743655	18.24005	1e+08	0	0.0706853	0.0480462	0.0117815	0.119949	0.0583987	0.0929689	0.0382017	0.121132	0.297155	0.0314192	0.0159446	0.00409912	0.0245725	0.0331077	0.0503542	0.0149912	0.00411169	0.246232	0	0.599102	0.114532	0	0.0401332	0.246232	0.599102	0.114532	0.0401332	0.001611113	0.389953	0.281594	0.260652	0.0678009	2	0.999873	0.999968	1.00003	1.00013	1.036919
20	-2568046	-2568044	-2.630138	9.545553e+07	1	0.0208088	0.0333652	0.0100217	0.104014	0.0266221	0.0930403	0.0409165	0.121132	0.743591	0.00451751	0.00918731	0.00638275	0.0273193	0.0132948	0.0122063	0.013801	0.001808	0.107862	0	0.682035	0.10396	0	0.106142	0.107862	0.682035	0.10396	0.106142	1.910683e-05	0.272264	0.226346	0.212261	0.289129	4	0.999869	0.999967	1.00003	1.00013	1.282029
30	-2547997	-2547996	-1.836531	8.362413e+07	1	0.0120369	0.00976552	0.00456061	0.101968	0.00516038	0.0930403	0.0409165	0.118361	0.743591	0.00327154	0.00577532	0.00779521	0.0290033	0.00629857	0.00359209	0.015088	0.00244439	0.24245	0	0.496742	0.0878164	0	0.172992	0.24245	0.496742	0.0878164	0.172992	6.324438e-06	0.288077	0.220197	0.217472	0.274254	4	0.999861	0.999964	1.00004	1.00014	1.20267
40	-2546740	-2546756	16.73635	1e+08	0	0.0122703	0.0121196	0.00381229	0.101968	0.0022452	0.0930403	0.0409165	0.114499	0.736804	0.00346319	0.00410669	0.00779521	0.0290033	0.0037354	0.0042065	0.0148652	0.0025988	0.169441	0	0.206997	0.383991	0	0.239571	0.169441	0.206997	0.383991	0.239571	1.008127e-06	0.288917	0.217925	0.218105	0.275053	4	0.999873	0.999968	1.00003	1.00013	1.18745
50	-2546597	-2546613	16.72782	1e+08	0	0.0122703	0.0121196	0.00381229	0.101968	0.00205931	0.0930403	0.0409165	0.114499	0.736804	0.00339506	0.00378949	0.00779521	0.0297161	0.00403669	0.00461606	0.0148652	0.0025988	0.326224	0	0.0496021	0.524263	0	0.0999109	0.326224	0.0496021	0.524263	0.0999109	1.358504e-06	0.287239	0.216659	0.216838	0.279264	4	0.999873	0.999968	1.00003	1.00013	1.188303
60	-2546567	-2546584	16.72152	1e+08	0	0.0122703	0.012555	0.00385874	0.101968	0.00205931	0.0930403	0.0409165	0.114499	0.736804	0.00339506	0.00392453	0.00779521	0.0297161	0.00403669	0.00461606	0.0148652	0.00261137	0.628692	0	0.0388127	0.316825	0	0.0156699	0.628692	0.0388127	0.316825	0.0156699	4.51486e-06	0.286603	0.216179	0.216358	0.28086	4	0.999873	0.999968	1.00003	1.00013	1.188932
70	-2546559	-2546576	16.70883	1e+08	0	0.012403	0.012555	0.00393153	0.101968	0.00210226	0.0943118	0.0409165	0.114499	0.736804	0.00339506	0.00377437	0.00756514	0.0297161	0.00422891	0.0043933	0.0149736	0.00266285	0.127896	0	0.246317	0.386749	0	0.239038	0.127896	0.246317	0.386749	0.239038	3.016888e-06	0.286603	0.216179	0.216358	0.28086	4	0.999873	0.999968	1.00003	1.00013	1.190201
80	-2546561	-2546559	-1.715897	4.604167e+07	1	0.0123019	0.012555	0.00393153	0.1022	0.00206927	0.0943902	0.0409165	0.114499	0.736804	0.0033844	0.00377437	0.00789114	0.0297161	0.0041855	0.0043933	0.0149736	0.00262023	0.238942	0	0.12966	0.187219	0	0.444179	0.238942	0.12966	0.187219	0.444179	2.725108e-06	0.285345	0.217655	0.217373	0.279627	4	0.999813	0.999952	1.00005	1.00019	1.190606
90	-2546543	-2546560	16.69445	1e+08	0	0.0123224	0.012725	0.00393153	0.10302	0.00205033	0.0943902	0.0409165	0.114499	0.736804	0.0033844	0.00376442	0.00789114	0.0297161	0.0041855	0.00444411	0.0149736	0.00262023	0.322297	0	0.0200589	0.326607	0	0.331037	0.322297	0.0200589	0.326607	0.331037	8.942005e-06	0.285345	0.217655	0.217373	0.279627	4	0.999873	0.999968	1.00003	1.00013	1.191639
