Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er_trans[1]	er_trans[2]	er_trans[3]	er_trans[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
11	1	-2546597	-2546613	16.72782	1e+08	0	0.0122703	0.0121196	0.00381229	0.101968	0.00205931	0.0930403	0.0409165	0.114499	0.736804	0.00339506	0.00378949	0.00779521	0.0297161	0.00403669	0.00461606	0.0148652	0.0025988	0.326224	0	0.0496021	0.524263	0	0.0999109	0.326224	0.0496021	0.524263	0.0999109	1.358504e-06	0.287239	0.216659	0.216838	0.279264	4	0.999873	0.999968	1.00003	1.00013	1.188303
12	0	-2544815	-2544812	-2.713436	9.572685e+07	1	7.2791e-05	0.0124758	0.00392852	0.102125	0.00191456	0.0951139	0.0394203	0.114637	0.741431	0.00337513	0.00766989	0.0148755	0.0121063	0.00668696	0.00262941	0.00471917	0.0287686	0.27225	0	0.228877	0.219366	0	0.279507	0.27225	0.228877	0.219366	0.279507	0.984107	0.282393	0.219517	0.216737	0.281352	5	0.999869	0.999966	1.00003	1.00013	1.19195
13	1	-2546567	-2546584	16.72152	1e+08	0	0.0122703	0.012555	0.00385874	0.101968	0.00205931	0.0930403	0.0409165	0.114499	0.736804	0.00339506	0.00392453	0.00779521	0.0297161	0.00403669	0.00461606	0.0148652	0.00261137	0.628692	0	0.0388127	0.316825	0	0.0156699	0.628692	0.0388127	0.316825	0.0156699	4.51486e-06	0.286603	0.216179	0.216358	0.28086	4	0.999873	0.999968	1.00003	1.00013	1.188932
14	0	-2544688	-2544704	16.04107	1e+08	0	0.000356365	0.0124758	0.00361676	0.102125	0.00206352	0.0951139	0.0394203	0.114637	0.741431	0.00337513	0.00804522	0.0148755	0.0121063	0.0075651	0.00262941	0.00421491	0.0287686	0.270838	0	0.227691	0.223413	0	0.278058	0.270838	0.227691	0.223413	0.278058	0.6415837	0.28232	0.21946	0.216681	0.281538	5	0.999873	0.999968	1.00003	1.00013	1.19282
15	1	-2546559	-2546576	16.70883	1e+08	0	0.012403	0.012555	0.00393153	0.101968	0.00210226	0.0943118	0.0409165	0.114499	0.736804	0.00339506	0.00377437	0.00756514	0.0297161	0.00422891	0.0043933	0.0149736	0.00266285	0.127896	0	0.246317	0.386749	0	0.239038	0.127896	0.246317	0.386749	0.239038	3.016888e-06	0.286603	0.216179	0.216358	0.28086	4	0.999873	0.999968	1.00003	1.00013	1.190201
16	0	-2544575	-2544591	15.20105	1e+08	0	0.00101938	0.0124758	0.00382558	0.102125	0.00206352	0.0951139	0.0405651	0.114637	0.741431	0.00329938	0.00789709	0.0148755	0.0121063	0.0075651	0.00262941	0.00429429	0.0287686	0.270838	0	0.227691	0.223413	0	0.278058	0.270838	0.227691	0.223413	0.278058	1.462877	0.28232	0.21946	0.216681	0.281538	5	0.999873	0.999968	1.00003	1.00013	1.194692
17	1	-2546561	-2546559	-1.715897	4.604167e+07	1	0.0123019	0.012555	0.00393153	0.1022	0.00206927	0.0943902	0.0409165	0.114499	0.736804	0.0033844	0.00377437	0.00789114	0.0297161	0.0041855	0.0043933	0.0149736	0.00262023	0.238942	0	0.12966	0.187219	0	0.444179	0.238942	0.12966	0.187219	0.444179	2.725108e-06	0.285345	0.217655	0.217373	0.279627	4	0.999813	0.999952	1.00005	1.00019	1.190606
18	0	-2544378	-2544376	-2.196328	1.710589e+07	1	0.00266116	0.0127652	0.00382558	0.102125	0.00201132	0.0951139	0.0405651	0.114637	0.737625	0.00329938	0.00789709	0.0148755	0.0103745	0.0075651	0.00265537	0.00439126	0.0287686	0.270838	0	0.227691	0.223413	0	0.278058	0.270838	0.227691	0.223413	0.278058	0.4749363	0.282729	0.218331	0.216995	0.281945	5	0.999693	0.999921	1.00008	1.00031	1.191156
19	1	-2546543	-2546560	16.69445	1e+08	0	0.0123224	0.012725	0.00393153	0.10302	0.00205033	0.0943902	0.0409165	0.114499	0.736804	0.0033844	0.00376442	0.00789114	0.0297161	0.0041855	0.00444411	0.0149736	0.00262023	0.322297	0	0.0200589	0.326607	0	0.331037	0.322297	0.0200589	0.326607	0.331037	8.942005e-06	0.285345	0.217655	0.217373	0.279627	4	0.999873	0.999968	1.00003	1.00013	1.191639
20	0	-2544261	-2544277	16.3856	1e+08	0	0.00403608	0.012698	0.00382558	0.102125	0.00201132	0.0951139	0.0405651	0.114637	0.737625	0.0035298	0.00770632	0.0148755	0.0092858	0.0075651	0.00265537	0.00445502	0.0287686	0.272829	0	0.229364	0.225055	0	0.272752	0.272829	0.229364	0.225055	0.272752	0.3104683	0.282729	0.218331	0.216995	0.281945	5	0.999873	0.999968	1.00003	1.00013	1.191479
21	1	-2546538	-2546537	-1.70008	5.717267e+07	1	0.0121301	0.012725	0.00393153	0.10302	0.00205968	0.0943902	0.0397646	0.114499	0.736804	0.00337527	0.00367947	0.00789114	0.0286455	0.0041855	0.0043577	0.0149468	0.00261845	0.0522707	0	0.24539	0.496793	0	0.205546	0.0522707	0.24539	0.496793	0.205546	4.353553e-06	0.284727	0.217183	0.2171	0.28099	4	0.999832	0.999957	1.00004	1.00017	1.189025
22	0	-2544251	-2544247	-3.887178	2.116349e+07	1	0.00427604	0.0128662	0.00382558	0.102125	0.00201132	0.0951139	0.0405651	0.114637	0.737625	0.00332754	0.00770632	0.0147418	0.00852914	0.00734704	0.00260898	0.00445502	0.0295124	0.27211	0	0.229909	0.225589	0	0.272392	0.27211	0.229909	0.225589	0.272392	2.164613	0.283557	0.216042	0.21763	0.282771	5	0.999724	0.999929	1.00007	1.00028	1.191274
23	1	-2546541	-2546539	-1.704175	7.039963e+07	1	0.0121301	0.012725	0.00393153	0.10302	0.00205968	0.0943902	0.0397646	0.114499	0.736804	0.00337527	0.00387601	0.00789114	0.0286455	0.0041855	0.00458664	0.0149468	0.00260217	0.23611	0	0.277026	0.477757	0	0.00910682	0.23611	0.277026	0.477757	0.00910682	7.43479e-06	0.284727	0.217183	0.2171	0.28099	4	0.999849	0.999961	1.00004	1.00015	1.189434
24	0	-2544248	-2544246	-1.814365	3.826165e+07	1	0.00492836	0.0128662	0.00387638	0.102125	0.00198841	0.0951139	0.0403221	0.114218	0.738343	0.00329469	0.00772336	0.0147418	0.00859188	0.00734704	0.0027073	0.00445502	0.0292448	0.27211	0	0.229909	0.225589	0	0.272392	0.27211	0.229909	0.225589	0.272392	0.08567103	0.283557	0.216042	0.21763	0.282771	5	0.999794	0.999947	1.00005	1.00021	1.191886
25	1	-2546521	-2546537	16.71834	1e+08	0	0.0124672	0.012725	0.00393153	0.10302	0.00205968	0.0943902	0.0397646	0.114499	0.736804	0.00337527	0.00382657	0.00788964	0.0286455	0.00402045	0.00459877	0.0146304	0.00260217	0.0555391	0	0.804485	0.110911	0	0.0290655	0.0555391	0.804485	0.110911	0.0290655	2.122067e-06	0.284727	0.217183	0.2171	0.28099	4	0.999873	0.999968	1.00003	1.00013	1.189251
26	0	-2544247	-2544245	-2.188332	6.666836e+07	1	0.00452043	0.0128351	0.00387638	0.102125	0.00204807	0.0951139	0.0403221	0.114218	0.738343	0.0033198	0.00762253	0.0147418	0.00859188	0.00736565	0.0027073	0.00452338	0.0292448	0.27211	0	0.229909	0.225589	0	0.272392	0.27211	0.229909	0.225589	0.272392	0.4633188	0.283837	0.216256	0.216856	0.283051	5	0.999845	0.99996	1.00004	1.00016	1.191518
27	1	-2546522	-2546538	16.72191	1e+08	0	0.0124672	0.012725	0.00393153	0.102368	0.00205968	0.094825	0.0397408	0.114499	0.736804	0.00337527	0.00390839	0.00791869	0.0285629	0.00417853	0.00429712	0.0146304	0.00260217	0.327986	0	0.105766	0.292508	0	0.27374	0.327986	0.105766	0.292508	0.27374	3.09814e-06	0.284727	0.217183	0.2171	0.28099	4	0.999873	0.999968	1.00003	1.00013	1.188894
28	0	-2544230	-2544244	14.20242	1e+08	0	0.00468768	0.0128351	0.00387638	0.102125	0.00200525	0.0951139	0.0403221	0.114218	0.738343	0.00328263	0.00757314	0.0147418	0.00859188	0.00736565	0.0027073	0.00452338	0.0292448	0.27211	0	0.229909	0.225589	0	0.272392	0.27211	0.229909	0.225589	0.272392	2.492869	0.283837	0.216256	0.216856	0.283051	5	0.999873	0.999968	1.00003	1.00013	1.191556
29	1	-2546521	-2546537	16.7235	1e+08	0	0.0124672	0.012725	0.00384284	0.102368	0.00205968	0.094825	0.0399921	0.114499	0.736804	0.00323353	0.00390839	0.00791869	0.0285629	0.00403609	0.00429712	0.0146304	0.00256406	0.167856	0	0.25009	0.492207	0	0.0898461	0.167856	0.25009	0.492207	0.0898461	3.517728e-06	0.284727	0.217183	0.2171	0.28099	4	0.999873	0.999968	1.00003	1.00013	1.188734
30	0	-2544251	-2544249	-2.609319	5.110492e+07	1	0.00471711	0.012612	0.00402819	0.102125	0.00200525	0.0957771	0.0403221	0.114218	0.735278	0.00340862	0.00757314	0.0153881	0.00852118	0.00762801	0.0027073	0.0044951	0.0291237	0.27211	0	0.229909	0.225589	0	0.272392	0.27211	0.229909	0.225589	0.272392	0.9002121	0.283693	0.216654	0.216746	0.282907	5	0.999822	0.999955	1.00005	1.00018	1.189928
31	1	-2546540	-2546539	-1.700811	2.236706e+07	1	0.0124672	0.012725	0.00384284	0.102368	0.00191887	0.094825	0.0399921	0.114499	0.736804	0.00333575	0.00390839	0.00791869	0.0285629	0.00403609	0.00429712	0.014986	0.00261062	0.128261	0	0.447852	0.239097	0	0.18479	0.128261	0.447852	0.239097	0.18479	7.462824e-07	0.284727	0.217183	0.2171	0.28099	4	0.999731	0.999931	1.00007	1.00027	1.189098
32	0	-2544243	-2544241	-2.168382	1.431844e+07	1	0.00471711	0.012612	0.00367667	0.102125	0.00203684	0.0957771	0.0403221	0.114218	0.735278	0.00318621	0.00777567	0.0150139	0.00804514	0.00762801	0.00257646	0.00457066	0.0291237	0.27207	0	0.230021	0.225556	0	0.272353	0.27207	0.230021	0.225556	0.272353	0.4717285	0.283693	0.216654	0.216746	0.282907	5	0.999664	0.999914	1.00009	1.00034	1.188682
33	1	-2546516	-2546532	16.70322	1e+08	0	0.0124672	0.012725	0.00384284	0.102753	0.002106	0.094825	0.0399921	0.114499	0.736804	0.00333575	0.00390839	0.00772479	0.0298145	0.00401002	0.00447349	0.014986	0.00249547	0.155394	0	0.0195692	0.420944	0	0.404093	0.155394	0.0195692	0.420944	0.404093	1.531543e-07	0.284577	0.217069	0.216986	0.281368	4	0.999873	0.999968	1.00003	1.00013	1.190763
34	0	-2544222	-2544239	16.3812	1e+08	0	0.00490243	0.0126822	0.00375771	0.102847	0.00201789	0.0957771	0.0403221	0.114002	0.735278	0.00318621	0.00777567	0.0150253	0.00804514	0.00761415	0.00257646	0.00446123	0.0293025	0.272553	0	0.228654	0.225957	0	0.272836	0.272553	0.228654	0.225957	0.272836	0.3339213	0.283693	0.216654	0.216746	0.282907	5	0.999873	0.999968	1.00003	1.00013	1.189573
35	1	-2546499	-2546515	16.73798	1e+08	0	0.0124672	0.012725	0.00384284	0.102753	0.00210441	0.094825	0.0399921	0.114499	0.733281	0.00327449	0.00390839	0.00772479	0.0298145	0.00401002	0.00447349	0.0150031	0.00258884	0.109382	0	0.249808	0.362144	0	0.278666	0.109382	0.249808	0.362144	0.278666	3.491076e-07	0.282248	0.217775	0.217692	0.282284	4	0.999873	0.999968	1.00003	1.00013	1.187287
36	0	-2544221	-2544236	15.11277	1e+08	0	0.00516233	0.0126822	0.00396287	0.102847	0.0020317	0.0948197	0.0403221	0.114002	0.735278	0.00318621	0.00777232	0.0150253	0.00804514	0.00719898	0.0026113	0.00446123	0.0293025	0.272553	0	0.228654	0.225957	0	0.272836	0.272553	0.228654	0.225957	0.272836	1.610969	0.283693	0.216654	0.216746	0.282907	5	0.999873	0.999968	1.00003	1.00013	1.188711
37	1	-2546500	-2546517	16.74231	1e+08	0	0.0124672	0.012725	0.00384284	0.10309	0.00193332	0.094493	0.0399921	0.114499	0.733281	0.00327449	0.00372041	0.00772479	0.0298145	0.00395905	0.00444606	0.0150031	0.00258884	0.0353689	0	0.330029	0.472186	0	0.162416	0.0353689	0.330029	0.472186	0.162416	3.429742e-07	0.282248	0.217775	0.217692	0.282284	4	0.999873	0.999968	1.00003	1.00013	1.186854
38	0	-2544239	-2544237	-2.10897	9.72728e+07	1	0.00498261	0.0128399	0.00396287	0.102321	0.00214726	0.0948197	0.0403221	0.114002	0.735278	0.00331533	0.0075813	0.0150867	0.00804514	0.00719898	0.0026113	0.00446123	0.0293025	0.272553	0	0.228654	0.225957	0	0.272836	0.272553	0.228654	0.225957	0.272836	0.4163652	0.283693	0.216654	0.216746	0.282907	5	0.999871	0.999968	1.00003	1.00013	1.188278
