Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er_trans[1]	er_trans[2]	er_trans[3]	er_trans[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
1977	1	-2544901	-2544912	11.43159	1e+08	0	0.0121733	0.0126082	0.00373186	0.103053	0.00198399	0.0955733	0.0399093	0.114715	0.737322	0.00330852	0.00350694	0.00793644	0.0292284	0.00410543	0.00441042	0.0149566	0.00253441	0.272413	0	0.230281	0.225596	0	0.271709	0.272413	0.230281	0.225596	0.271709	5.268692	0.282784	0.216685	0.217179	0.283351	5	0.999873	0.999968	1.00003	1.00013	1.191057
1978	0	-2544214	-2544230	16.14422	1e+08	0	0.00513001	0.0125023	0.00376254	0.103254	0.00207299	0.0949409	0.0401088	0.115451	0.732087	0.00331574	0.00763402	0.0150733	0.007776	0.00755575	0.00260133	0.00441641	0.0293174	0.271803	0	0.229402	0.226011	0	0.272783	0.271803	0.229402	0.226011	0.272783	0.5966247	0.283443	0.21664	0.216673	0.283245	5	0.999873	0.999968	1.00003	1.00013	1.187
1979	1	-2544917	-2544914	-2.089287	4.874795e+07	1	0.012533	0.0128328	0.00379863	0.101944	0.00205892	0.0944649	0.0399797	0.115181	0.734487	0.00334716	0.00358011	0.00793644	0.0293889	0.00441169	0.00439601	0.014829	0.0025101	0.27254	0	0.231052	0.224572	0	0.271836	0.27254	0.231052	0.224572	0.271836	0.402667	0.282487	0.21751	0.21695	0.283053	5	0.999818	0.999953	1.00005	1.00018	1.187679
1980	0	-2544236	-2544234	-2.325391	1.211683e+07	1	0.00510582	0.0127628	0.00397624	0.102632	0.00206584	0.095131	0.040014	0.115817	0.731291	0.00326537	0.00782693	0.014761	0.0076268	0.00741607	0.00262466	0.00457372	0.0298019	0.271344	0	0.230058	0.226319	0	0.272279	0.271344	0.230058	0.226319	0.272279	0.6486356	0.283147	0.216729	0.216762	0.283362	5	0.999635	0.999907	1.00009	1.00037	1.186693
1981	1	-2544925	-2544923	-1.710753	5.010921e+07	1	0.0124138	0.0128872	0.00367618	0.102491	0.00193603	0.0943605	0.0398502	0.11555	0.732659	0.00331521	0.00339715	0.00749127	0.029111	0.00446203	0.00446005	0.0147355	0.0025223	0.272939	0	0.230678	0.224986	0	0.271397	0.272939	0.230678	0.224986	0.271397	0.04773643	0.282316	0.217785	0.217017	0.282882	5	0.99982	0.999954	1.00005	1.00018	1.185319
1982	0	-2544236	-2544233	-2.905429	6.409212e+07	1	0.00520719	0.0130339	0.00372777	0.102692	0.00204015	0.094859	0.0396666	0.115024	0.733461	0.00326537	0.00760877	0.0147633	0.00781948	0.00729747	0.00250472	0.00439011	0.0291775	0.271344	0	0.230058	0.226319	0	0.272279	0.271344	0.230058	0.226319	0.272279	1.230217	0.283147	0.216729	0.216762	0.283362	5	0.999842	0.999959	1.00004	1.00016	1.186538
1983	1	-2544924	-2544920	-4.118131	6.860459e+07	1	0.0120534	0.012602	0.00389192	0.102368	0.00201695	0.0942598	0.0398946	0.114304	0.735164	0.00331521	0.0039963	0.00810889	0.0287078	0.00389655	0.00433171	0.0148792	0.00256795	0.273041	0	0.229654	0.225069	0	0.272236	0.273041	0.229654	0.225069	0.272236	2.44472	0.282804	0.215782	0.217393	0.284021	5	0.999846	0.999961	1.00004	1.00015	1.186358
1984	0	-2544219	-2544235	16.2919	1e+08	0	0.00494455	0.0125794	0.00390313	0.102692	0.00213801	0.0951639	0.0398719	0.115485	0.734959	0.00327648	0.00768635	0.0147959	0.00833371	0.00765447	0.00261554	0.00443339	0.029407	0.272883	0	0.229306	0.225579	0	0.272232	0.272883	0.229306	0.225579	0.272232	0.4195607	0.282472	0.216453	0.217543	0.283532	5	0.999873	0.999968	1.00003	1.00013	1.189939
1985	1	-2544896	-2544913	16.68144	1e+08	0	0.0123455	0.0126972	0.00374966	0.102854	0.00195762	0.0944577	0.0398462	0.115858	0.736855	0.0031941	0.00384672	0.00773981	0.0289449	0.00405516	0.004482	0.0146611	0.00256005	0.273041	0	0.229654	0.225069	0	0.272236	0.273041	0.229654	0.225069	0.272236	0.02836024	0.282575	0.216417	0.217217	0.283791	5	0.999873	0.999968	1.00003	1.00013	1.190105
1986	0	-2544217	-2544232	15.67576	1e+08	0	0.00509197	0.0125794	0.00387878	0.102421	0.00208258	0.0953844	0.0400651	0.115402	0.734024	0.00322148	0.0074857	0.0147952	0.00813048	0.00744476	0.0026533	0.00457071	0.0295549	0.27314	0	0.229523	0.225792	0	0.271545	0.27314	0.229523	0.225792	0.271545	1.047244	0.282472	0.216453	0.217543	0.283532	5	0.999873	0.999968	1.00003	1.00013	1.188785
1987	1	-2544898	-2544911	12.82148	1e+08	0	0.0119873	0.0127483	0.00393713	0.102811	0.0020522	0.0953646	0.0402138	0.115428	0.734904	0.00336787	0.00364479	0.00780638	0.0295464	0.00431738	0.00455697	0.0146926	0.00256005	0.272475	0	0.229178	0.22538	0	0.272968	0.272475	0.229178	0.22538	0.272968	3.889983	0.283358	0.216275	0.217074	0.283293	5	0.999873	0.999968	1.00003	1.00013	1.189938
1988	0	-2544223	-2544240	16.2635	1e+08	0	0.00491505	0.0127544	0.00390874	0.102106	0.00200574	0.0946924	0.0405759	0.116096	0.731778	0.00325929	0.00734751	0.0150699	0.00785011	0.00750522	0.00260249	0.00454864	0.0296177	0.272201	0	0.229819	0.226084	0	0.271895	0.272201	0.229819	0.226084	0.271895	0.4810236	0.282429	0.217159	0.21781	0.282602	5	0.999873	0.999968	1.00003	1.00013	1.186633
1989	1	-2544913	-2544910	-3.499743	7.572869e+07	1	0.0125873	0.0128209	0.00398521	0.102811	0.0020522	0.0945903	0.0399904	0.115091	0.736968	0.00338276	0.00364496	0.00789636	0.0291014	0.0043152	0.00435455	0.0146295	0.00263807	0.271793	0	0.229719	0.226203	0	0.272285	0.271793	0.229719	0.226203	0.272285	1.781321	0.283034	0.21717	0.216826	0.282969	5	0.999854	0.999962	1.00004	1.00015	1.190859
1990	0	-2544238	-2544236	-1.917182	8.09358e+07	1	0.00517443	0.0124822	0.00402531	0.10208	0.00206259	0.0949469	0.0398397	0.114436	0.735379	0.00326056	0.00776379	0.0149187	0.00774682	0.00740948	0.00257508	0.0043301	0.029068	0.272371	0	0.229543	0.225907	0	0.27218	0.272371	0.229543	0.225907	0.27218	0.2323666	0.282606	0.21667	0.217946	0.282779	5	0.999859	0.999964	1.00004	1.00014	1.187499
1991	1	-2544897	-2544913	16.24658	1e+08	0	0.0124751	0.0129182	0.00397818	0.102779	0.00193781	0.0944628	0.0401126	0.115212	0.736958	0.0033157	0.00364496	0.00799728	0.0288937	0.00408803	0.00435531	0.0148346	0.00266168	0.272144	0	0.230015	0.225205	0	0.272636	0.272144	0.230015	0.225205	0.272636	0.458015	0.282913	0.217507	0.216733	0.282847	5	0.999873	0.999968	1.00003	1.00013	1.190626
1992	0	-2544242	-2544241	-1.688649	3.765121e+07	1	0.00508243	0.012728	0.00373536	0.1018	0.00207099	0.0950258	0.0398802	0.11464	0.729065	0.00334294	0.00763243	0.0147561	0.00803144	0.007431	0.00262253	0.00465563	0.0288457	0.272392	0	0.229561	0.225845	0	0.272201	0.272392	0.229561	0.225845	0.272201	0.06536202	0.282378	0.216739	0.218015	0.282868	5	0.999793	0.999947	1.00005	1.00021	1.181346
1993	1	-2544900	-2544915	15.60445	1e+08	0	0.0124761	0.0128744	0.00390711	0.101771	0.00210995	0.0953183	0.0403812	0.114681	0.735649	0.00329589	0.00337338	0.00783401	0.0292935	0.00434311	0.00449622	0.0148064	0.00267609	0.271453	0	0.229432	0.227171	0	0.271944	0.271453	0.229432	0.227171	0.271944	1.113534	0.282425	0.217132	0.21636	0.284083	5	0.999873	0.999968	1.00003	1.00013	1.189287
1994	0	-2544223	-2544240	16.37938	1e+08	0	0.00528265	0.0124754	0.00393564	0.103052	0.00214281	0.0948555	0.0396961	0.113902	0.7318	0.00338826	0.00766474	0.0151607	0.00772147	0.00735694	0.0025369	0.00438554	0.0295005	0.272052	0	0.229969	0.22562	0	0.272359	0.272052	0.229969	0.22562	0.272359	0.3828988	0.282378	0.216739	0.218015	0.282868	5	0.999873	0.999968	1.00003	1.00013	1.184857
1995	1	-2544898	-2544913	15.53375	1e+08	0	0.0123593	0.0126702	0.00394931	0.103319	0.00212189	0.0949208	0.0398527	0.115999	0.734538	0.00327683	0.00358468	0.00799952	0.0294744	0.00419108	0.00452461	0.0146039	0.0025716	0.272265	0	0.230118	0.224806	0	0.272811	0.272265	0.230118	0.224806	0.272811	1.177518	0.281979	0.217271	0.217801	0.282949	5	0.999873	0.999968	1.00003	1.00013	1.189958
1996	0	-2544225	-2544242	16.59995	1e+08	0	0.00530966	0.0125779	0.00366344	0.103108	0.00212486	0.0943923	0.0401528	0.115071	0.733491	0.00314049	0.00749514	0.01525	0.00781006	0.00725772	0.00265656	0.00455898	0.0297181	0.270751	0	0.230297	0.225942	0	0.27301	0.270751	0.230297	0.225942	0.27301	0.1331196	0.282758	0.21742	0.216065	0.283757	5	0.999873	0.999968	1.00003	1.00013	1.187779
1997	1	-2544895	-2544911	16.20609	1e+08	0	0.012286	0.0128064	0.00388478	0.102151	0.00199363	0.0945617	0.0402078	0.115261	0.734605	0.00335486	0.00373042	0.00765345	0.0294002	0.00419179	0.00447453	0.014973	0.00259538	0.270054	0	0.230355	0.2265	0	0.273091	0.270054	0.230355	0.2265	0.273091	0.523459	0.283818	0.217036	0.216503	0.282643	5	0.999873	0.999968	1.00003	1.00013	1.18813
1998	0	-2544228	-2544242	13.82586	1e+08	0	0.00525602	0.0129307	0.00387521	0.102826	0.00209915	0.0942301	0.0394508	0.115999	0.735575	0.00330208	0.00751351	0.0148229	0.00788396	0.00717599	0.00267628	0.00441496	0.0292275	0.271604	0	0.228876	0.226654	0	0.272866	0.271604	0.228876	0.226654	0.272866	2.892393	0.283153	0.217379	0.215801	0.283667	5	0.999873	0.999968	1.00003	1.00013	1.18926
1999	1	-2544919	-2544916	-3.287146	3.298118e+07	1	0.0125175	0.0130023	0.00374838	0.102879	0.00196968	0.0958092	0.0405749	0.115402	0.737972	0.0033087	0.00352175	0.00785193	0.0293307	0.00422678	0.00437701	0.0146524	0.00267742	0.272208	0	0.230018	0.226272	0	0.271502	0.272208	0.230018	0.226272	0.271502	1.539097	0.283128	0.217016	0.216483	0.283374	5	0.999779	0.999943	1.00006	1.00022	1.193822
2000	0	-2544241	-2544238	-3.205173	7.467392e+07	1	0.00497558	0.0126961	0.00379164	0.101951	0.00203721	0.094807	0.0399621	0.11568	0.733117	0.00327997	0.00771846	0.015207	0.00777826	0.00742066	0.00261161	0.00455993	0.0291762	0.271475	0	0.228158	0.226547	0	0.27382	0.271475	0.228158	0.226547	0.27382	1.527652	0.283325	0.217512	0.215933	0.28323	5	0.999853	0.999962	1.00004	1.00015	1.186769
2001	1	-2544894	-2544911	16.67806	1e+08	0	0.0122717	0.0126596	0.00403424	0.102805	0.00207938	0.0956627	0.0400684	0.115703	0.734473	0.00323513	0.00365807	0.00782272	0.0295694	0.00402903	0.00444132	0.0149097	0.00259931	0.272908	0	0.229645	0.225248	0	0.2722	0.272908	0.229645	0.225248	0.2722	0.03257526	0.283128	0.217016	0.216483	0.283374	5	0.999873	0.999968	1.00003	1.00013	1.190021
2002	0	-2544224	-2544241	16.67393	1e+08	0	0.00479101	0.0127584	0.00384861	0.102365	0.00198764	0.0947792	0.0405825	0.11545	0.73366	0.00327419	0.00776821	0.0151678	0.00812231	0.0073933	0.0027165	0.00441256	0.0294017	0.269991	0	0.230921	0.225308	0	0.27378	0.269991	0.230921	0.225308	0.27378	0.05213159	0.283364	0.217314	0.215963	0.283358	5	0.999873	0.999968	1.00003	1.00013	1.188479
2003	1	-2544915	-2544913	-1.825225	6.936658e+07	1	0.0121687	0.0126047	0.0040165	0.103217	0.00204005	0.0941789	0.0402062	0.115968	0.738506	0.00337117	0.00333397	0.00782442	0.0289369	0.00435324	0.00445845	0.0147454	0.00255289	0.270964	0	0.229863	0.226395	0	0.272779	0.270964	0.229863	0.226395	0.272779	0.09057088	0.282958	0.216974	0.216863	0.283204	5	0.999847	0.999961	1.00004	1.00015	1.192482
2004	0	-2544239	-2544237	-1.72039	1.075509e+07	1	0.00499749	0.0128496	0.00381992	0.103172	0.00198984	0.0949098	0.0403944	0.115272	0.733217	0.00327148	0.00749811	0.0148732	0.00803206	0.00713634	0.00272036	0.00441022	0.0297259	0.271326	0	0.229549	0.226912	0	0.272212	0.271326	0.229549	0.226912	0.272212	0.02765865	0.283261	0.217235	0.215884	0.28362	5	0.999612	0.999901	1.0001	1.00039	1.18829
2005	1	-2544917	-2544913	-4.129474	1.440908e+07	1	0.012547	0.012803	0.00377048	0.101737	0.00215913	0.0947036	0.0399816	0.114773	0.735781	0.00321719	0.00367275	0.00791858	0.0295933	0.00424147	0.00441199	0.014635	0.0024812	0.271606	0	0.230407	0.225532	0	0.272454	0.271606	0.230407	0.225532	0.272454	2.435372	0.282958	0.216974	0.216863	0.283204	5	0.999665	0.999914	1.00009	1.00033	1.188427
2006	0	-2544238	-2544236	-1.88348	1.821518e+07	1	0.00509083	0.01286	0.00396454	0.102282	0.00212932	0.0948708	0.0400456	0.114998	0.733328	0.00337816	0.00749684	0.0152417	0.0080185	0.0073926	0.00268988	0.00446251	0.0294745	0.270902	0	0.228759	0.226557	0	0.273782	0.270902	0.228759	0.226557	0.273782	0.1964043	0.282936	0.217089	0.216544	0.28343	5	0.999702	0.999924	1.00008	1.0003	1.187725
2007	1	-2544895	-2544911	16.13012	1e+08	0	0.0122355	0.0127124	0.00397902	0.102567	0.00200714	0.0945344	0.0403293	0.115714	0.737108	0.00330901	0.00384054	0.00776089	0.0291811	0.00375291	0.00441816	0.0146358	0.00262785	0.272094	0	0.230253	0.225381	0	0.272272	0.272094	0.230253	0.225381	0.272272	0.5736026	0.282942	0.216961	0.216909	0.283188	5	0.999873	0.999968	1.00003	1.00013	1.190713
2008	0	-2544241	-2544237	-4.790298	7.790326e+07	1	0.00519923	0.0124493	0.00366473	0.1019	0.00197147	0.0945235	0.0404197	0.115612	0.733542	0.00337714	0.00753882	0.0148916	0.0080185	0.0072378	0.00267263	0.00460077	0.029514	0.271141	0	0.229209	0.226852	0	0.272798	0.271141	0.229209	0.226852	0.272798	3.109143	0.283423	0.216721	0.216917	0.28294	5	0.999856	0.999963	1.00004	1.00014	1.187133
2009	1	-2544917	-2544915	-1.762776	9.1379e+07	1	0.0124454	0.0127367	0.00397952	0.101787	0.00205203	0.0942833	0.0399422	0.115495	0.734552	0.00330088	0.00380525	0.00755468	0.029562	0.00428821	0.00427311	0.0148846	0.00262561	0.272342	0	0.230462	0.225586	0	0.27161	0.272342	0.230462	0.225586	0.27161	0.07726806	0.282942	0.216961	0.216909	0.283188	5	0.999866	0.999966	1.00003	1.00013	1.187568
2010	0	-2544238	-2544236	-2.228351	2.360171e+07	1	0.00509369	0.0127449	0.00374019	0.102048	0.00198941	0.0953465	0.0401514	0.114134	0.732228	0.00322092	0.00759682	0.0150688	0.00784018	0.00736238	0.00266318	0.00441352	0.0300578	0.271276	0	0.229323	0.226468	0	0.272934	0.271276	0.229323	0.226468	0.272934	0.5615213	0.283423	0.216721	0.216917	0.28294	5	0.999738	0.999933	1.00007	1.00026	1.1857
2011	1	-2544922	-2544921	-1.831499	2.656043e+07	1	0.0123873	0.0123745	0.00381597	0.102224	0.00183958	0.0951195	0.040146	0.11606	0.735332	0.00329817	0.00369332	0.00784061	0.0293693	0.00409295	0.00471066	0.0145456	0.00254486	0.273258	0	0.228741	0.225477	0	0.272523	0.273258	0.228741	0.225477	0.272523	0.1277233	0.28294	0.21696	0.216908	0.283193	5	0.999753	0.999937	1.00006	1.00025	1.189395
2012	0	-2544240	-2544236	-4.07271	4.529732e+07	1	0.00536478	0.0127317	0.00387318	0.10231	0.00204858	0.0953662	0.0401561	0.114705	0.734156	0.00326578	0.00742543	0.0150572	0.00800973	0.00749117	0.00254461	0.00439386	0.029162	0.270617	0	0.231195	0.225918	0	0.272271	0.270617	0.231195	0.225918	0.272271	2.382263	0.282904	0.216878	0.217074	0.283145	5	0.999811	0.999952	1.00005	1.00019	1.188062
2013	1	-2544906	-2544920	13.61792	1e+08	0	0.0119621	0.0124513	0.00379077	0.103359	0.00195329	0.0944628	0.0399863	0.116209	0.730995	0.00322753	0.00361798	0.00780953	0.0292912	0.00409295	0.00454783	0.0151009	0.00264945	0.272808	0	0.229811	0.226532	0	0.270848	0.272808	0.229811	0.226532	0.270848	3.137872	0.282735	0.216509	0.217192	0.283564	5	0.999873	0.999968	1.00003	1.00013	1.185506
2014	0	-2544225	-2544241	15.9551	1e+08	0	0.00498452	0.012616	0.00373657	0.103601	0.00213686	0.094548	0.0406444	0.115383	0.732283	0.00323704	0.00738654	0.0147251	0.00780032	0.00730441	0.00258774	0.00451207	0.029162	0.270415	0	0.231022	0.226495	0	0.272068	0.270415	0.231022	0.226495	0.272068	0.7892664	0.282904	0.216878	0.217074	0.283145	5	0.999873	0.999968	1.00003	1.00013	1.186649
2015	1	-2544913	-2544910	-2.731525	9.100054e+07	1	0.0125487	0.0129467	0.00386146	0.102879	0.00203767	0.0951766	0.0399863	0.115418	0.736181	0.00324396	0.00362341	0.00797299	0.0293287	0.00412164	0.00435561	0.0148786	0.00268573	0.271691	0	0.229143	0.225874	0	0.273292	0.271691	0.229143	0.225874	0.273292	1.009235	0.282772	0.216537	0.217221	0.28347	5	0.999867	0.999965	1.00003	1.00013	1.191246
2016	0	-2544225	-2544241	15.46865	1e+08	0	0.00490548	0.0129968	0.0038236	0.103543	0.00216163	0.0944663	0.0398307	0.115426	0.73544	0.00328572	0.00737616	0.0143587	0.00806392	0.00739792	0.00256614	0.0044828	0.0293645	0.271718	0	0.229645	0.226529	0	0.272108	0.271718	0.229645	0.226529	0.272108	1.247297	0.282994	0.21685	0.217046	0.283109	5	0.999873	0.999968	1.00003	1.00013	1.189491
2017	1	-2544897	-2544914	16.5718	1e+08	0	0.0120809	0.0126622	0.00399682	0.10233	0.00207371	0.0953428	0.0401765	0.115889	0.738483	0.00337688	0.00328566	0.00784898	0.0294915	0.00442829	0.004506	0.014988	0.00257046	0.272288	0	0.228956	0.225689	0	0.273068	0.272288	0.228956	0.225689	0.273068	0.1037467	0.282772	0.216537	0.217221	0.28347	5	0.999873	0.999968	1.00003	1.00013	1.193531
2018	0	-2544238	-2544236	-2.174894	2.851971e+07	1	0.0049807	0.0127105	0.00389376	0.102468	0.00208966	0.0957547	0.0401343	0.114744	0.738023	0.00321442	0.00765096	0.0151342	0.00806392	0.00748046	0.00262751	0.00448499	0.0291578	0.271718	0	0.229645	0.226529	0	0.272108	0.271718	0.229645	0.226529	0.272108	0.4389376	0.283169	0.216984	0.216564	0.283283	5	0.999762	0.999939	1.00006	1.00024	1.192613
2019	1	-2544913	-2544911	-2.184671	6.522878e+07	1	0.0123212	0.012466	0.0036954	0.102946	0.00202467	0.0953505	0.0403212	0.114758	0.736554	0.00331969	0.00349833	0.00783516	0.0296212	0.00431719	0.00436132	0.0148296	0.00256201	0.272244	0	0.228918	0.225815	0	0.273023	0.272244	0.228918	0.225815	0.273023	0.4670278	0.28286	0.216812	0.217288	0.283039	5	0.999843	0.99996	1.00004	1.00016	1.190781
2020	0	-2544240	-2544238	-2.162344	6.655342e+07	1	0.00484974	0.0128899	0.00380411	0.101654	0.0020083	0.0952896	0.0404369	0.114334	0.73444	0.0033953	0.00772424	0.0146623	0.00801633	0.00750425	0.00266324	0.00459067	0.0295437	0.271758	0	0.2296	0.226184	0	0.272458	0.271758	0.2296	0.226184	0.272458	0.4744455	0.283296	0.217081	0.216212	0.283411	5	0.999844	0.99996	1.00004	1.00016	1.187807
2021	1	-2544897	-2544912	15.53734	1e+08	0	0.0125422	0.0126727	0.00407619	0.102598	0.00201161	0.0943283	0.0395632	0.115328	0.735507	0.00326587	0.00354851	0.00777992	0.0293904	0.00441676	0.00446254	0.0150163	0.00258474	0.272518	0	0.228938	0.225682	0	0.272862	0.272518	0.228938	0.225682	0.272862	1.18259	0.28276	0.216736	0.216747	0.283757	5	0.999873	0.999968	1.00003	1.00013	1.189092
2022	0	-2544221	-2544237	16.57759	1e+08	0	0.0050817	0.0126659	0.00383887	0.101929	0.00198423	0.0943709	0.0400643	0.116179	0.730715	0.00319381	0.00761294	0.0148744	0.00779342	0.00722753	0.00272489	0.00458787	0.0292067	0.271758	0	0.2296	0.226184	0	0.272458	0.271758	0.2296	0.226184	0.272458	0.1927545	0.283296	0.217081	0.216212	0.283411	5	0.999873	0.999968	1.00003	1.00013	1.18405
2023	1	-2544916	-2544913	-2.875546	5.930231e+07	1	0.0124282	0.0124659	0.00394406	0.102584	0.00200073	0.094969	0.0398538	0.115462	0.737855	0.00328086	0.00339594	0.00776431	0.0293386	0.00414941	0.00450262	0.0148304	0.00269069	0.272275	0	0.229238	0.225266	0	0.27322	0.272275	0.229238	0.225266	0.27322	1.150556	0.282384	0.216448	0.217788	0.28338	5	0.999835	0.999958	1.00004	1.00016	1.191516
2024	0	-2544217	-2544234	16.72513	1e+08	0	0.00514096	0.0127945	0.00383887	0.102173	0.00215716	0.0952411	0.0397365	0.115609	0.733198	0.00329877	0.00760968	0.0147346	0.00789185	0.00738212	0.00260712	0.00447288	0.0296801	0.270591	0	0.230022	0.225212	0	0.274174	0.270591	0.230022	0.225212	0.274174	0.01006414	0.282923	0.216847	0.217125	0.283105	5	0.999873	0.999968	1.00003	1.00013	1.187565
2025	1	-2544913	-2544910	-2.958626	5.851808e+07	1	0.0121543	0.0127131	0.00393007	0.103382	0.00207373	0.095147	0.0402117	0.115011	0.733678	0.0032789	0.00372884	0.00784819	0.029222	0.00421501	0.00447131	0.0146931	0.00255703	0.273388	0	0.230176	0.225462	0	0.270975	0.273388	0.230176	0.225462	0.270975	1.265643	0.282384	0.216448	0.217788	0.28338	5	0.999834	0.999957	1.00004	1.00017	1.188315
2026	0	-2544224	-2544238	13.33182	1e+08	0	0.00496391	0.0126741	0.00378971	0.103302	0.00209775	0.0949569	0.0401983	0.115127	0.733168	0.00325391	0.00779145	0.0147727	0.00764856	0.00744473	0.00277178	0.00438745	0.029348	0.272639	0	0.228098	0.226084	0	0.273179	0.272639	0.228098	0.226084	0.273179	3.402074	0.282923	0.216847	0.217125	0.283105	5	0.999873	0.999968	1.00003	1.00013	1.187696
2027	1	-2544917	-2544915	-1.978189	4.992064e+07	1	0.0121209	0.0128505	0.00394886	0.102782	0.00194922	0.0944693	0.0396545	0.11586	0.735386	0.0032789	0.0035672	0.00783326	0.0290295	0.00434824	0.00428603	0.0145531	0.00260461	0.273388	0	0.230176	0.225462	0	0.270975	0.273388	0.230176	0.225462	0.270975	0.2831356	0.282384	0.216448	0.217788	0.28338	5	0.99982	0.999954	1.00005	1.00018	1.188522
2028	0	-2544240	-2544237	-2.536018	1.731775e+07	1	0.00521551	0.0127754	0.00378971	0.102658	0.00213352	0.0942822	0.0401415	0.113666	0.733888	0.00316958	0.00781469	0.0148939	0.00784876	0.00758396	0.00257473	0.00451412	0.0294264	0.271795	0	0.230488	0.225384	0	0.272333	0.271795	0.230488	0.225384	0.272333	0.862421	0.282923	0.216847	0.217125	0.283105	5	0.999694	0.999922	1.00008	1.00031	1.186377
2029	1	-2544919	-2544916	-3.326916	4881722	1	0.0124819	0.0125903	0.00390283	0.10278	0.00209654	0.0941347	0.0402902	0.11523	0.735745	0.00323921	0.00363936	0.00760999	0.0292322	0.00430977	0.00435334	0.0149813	0.00257694	0.272909	0	0.229773	0.225038	0	0.272279	0.272909	0.229773	0.225038	0.272279	1.625153	0.283183	0.216973	0.215778	0.284067	5	0.999425	0.999853	1.00015	1.00058	1.189193
2030	0	-2544219	-2544234	15.60084	1e+08	0	0.00532046	0.0125555	0.0037217	0.101816	0.00202203	0.0946288	0.0399547	0.115365	0.733888	0.00319398	0.00757861	0.0148386	0.00742175	0.00742736	0.00262059	0.00445968	0.0290626	0.27188	0	0.23025	0.22619	0	0.27168	0.27188	0.23025	0.22619	0.27168	1.151265	0.282916	0.216866	0.21712	0.283098	5	0.999873	0.999968	1.00003	1.00013	1.185875
2031	1	-2544902	-2544918	16.31372	1e+08	0	0.0122668	0.0128049	0.00381906	0.102594	0.00200727	0.09428	0.0402568	0.115846	0.732702	0.00327936	0.00356428	0.00774237	0.0294526	0.00401593	0.00456919	0.0150565	0.00257694	0.272987	0	0.229437	0.225102	0	0.272474	0.272987	0.229437	0.225102	0.272474	0.428796	0.283183	0.216973	0.215778	0.284067	5	0.999873	0.999968	1.00003	1.00013	1.186834
2032	0	-2544236	-2544233	-3.053475	6.928694e+07	1	0.00523188	0.012577	0.00373727	0.102461	0.00202273	0.0956123	0.0402196	0.115334	0.730264	0.0032729	0.00778	0.0148538	0.00768533	0.00711015	0.00261078	0.00444496	0.0293787	0.27188	0	0.23025	0.22619	0	0.27168	0.27188	0.23025	0.22619	0.27168	1.397684	0.282916	0.216866	0.21712	0.283098	5	0.999848	0.999961	1.00004	1.00015	1.184596
2033	1	-2544918	-2544916	-2.459802	9.41198e+07	1	0.0123918	0.0126336	0.00380546	0.102043	0.00207539	0.0945257	0.0397212	0.115521	0.731897	0.0032012	0.00373719	0.00795005	0.029497	0.00410847	0.00444716	0.01484	0.00260187	0.271576	0	0.228251	0.22595	0	0.274222	0.271576	0.228251	0.22595	0.274222	0.8000025	0.283491	0.217333	0.216013	0.283163	5	0.999869	0.999967	1.00003	1.00013	1.184997
2034	0	-2544220	-2544236	16.47524	1e+08	0	0.00501974	0.0126764	0.00364727	0.10221	0.00202273	0.0949329	0.0403305	0.115388	0.733384	0.00343012	0.00766719	0.0147349	0.00797393	0.00743841	0.00252654	0.00456021	0.02943	0.272537	0	0.22839	0.226736	0	0.272337	0.272537	0.22839	0.226736	0.272337	0.2618835	0.282779	0.217247	0.217014	0.28296	5	0.999873	0.999968	1.00003	1.00013	1.187372
2035	1	-2544898	-2544914	15.8809	1e+08	0	0.0123867	0.0126434	0.00404442	0.103155	0.00202731	0.094739	0.0404376	0.11494	0.735067	0.00325072	0.00347383	0.00791987	0.0287702	0.0043435	0.00448111	0.0148411	0.00257996	0.271576	0	0.228251	0.22595	0	0.274222	0.271576	0.228251	0.22595	0.274222	0.83894	0.283554	0.217159	0.216061	0.283226	5	0.999873	0.999968	1.00003	1.00013	1.189101
2036	0	-2544243	-2544239	-3.706678	8.793377e+07	1	0.00493965	0.0127805	0.00377072	0.102726	0.00207725	0.0949365	0.0401046	0.115303	0.729556	0.00327719	0.00732599	0.0146955	0.00789299	0.00743157	0.00246997	0.00429054	0.0290979	0.271401	0	0.230248	0.226408	0	0.271943	0.271401	0.230248	0.226408	0.271943	2.070089	0.283155	0.216121	0.217387	0.283337	5	0.999864	0.999965	1.00004	1.00014	1.182676
2037	1	-2544899	-2544915	15.61512	1e+08	0	0.0123776	0.0125358	0.00404671	0.102454	0.00198075	0.09461	0.0399987	0.114667	0.73546	0.00313805	0.00356688	0.00778882	0.0289322	0.00441333	0.00441117	0.0146472	0.00253508	0.270842	0	0.230081	0.225477	0	0.2736	0.270842	0.230081	0.225477	0.2736	1.120097	0.283691	0.217263	0.216165	0.282881	5	0.999873	0.999968	1.00003	1.00013	1.187563
