Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er_trans[1]	er_trans[2]	er_trans[3]	er_trans[4]	pi[1]	pi[2]	pi[3]	pi[4]
472	0	-2544495	-2544514	19.05356	0.00556994	0.0125419	0.00420478	0.102403	0.00212293	0.0936234	0.039761	0.118851	0.730909	0.00329413	0.00749618	0.00441232	0.0341503	0.00424906	0.00256441	0.00437534	0.0154582	0.272029	0	0.229434	0.226095	0	0.272442	0.272029	0.229434	0.226095	0.272442	0.283545	0.216366	0.21692	0.283169
473	1	-2544213	-2544232	19.06239	0.0052263	0.0126275	0.00383634	0.102166	0.00200889	0.0949248	0.0403207	0.115112	0.731997	0.0032962	0.00752959	0.0292036	0.00762869	0.00447766	0.00258124	0.00730627	0.0148616	0.271882	0	0.229625	0.225135	0	0.273359	0.271882	0.229625	0.225135	0.273359	0.283634	0.216136	0.216963	0.283268
474	0	-2544490	-2544509	19.0275	0.00571977	0.0126481	0.00429718	0.10171	0.00212375	0.094523	0.0400466	0.118246	0.732917	0.00335838	0.00757802	0.00438579	0.0337897	0.00443312	0.00248238	0.00464044	0.0156942	0.272045	0	0.229447	0.226108	0	0.272401	0.272045	0.229447	0.226108	0.272401	0.282821	0.216584	0.217139	0.283455
475	1	-2544218	-2544237	19.06365	0.00507724	0.0127438	0.00395021	0.102927	0.00193173	0.0953168	0.0400725	0.114844	0.730566	0.00322275	0.00749308	0.0294694	0.00770335	0.0043959	0.00263117	0.00758024	0.0150532	0.270756	0	0.229423	0.226704	0	0.273118	0.270756	0.229423	0.226704	0.273118	0.283761	0.216233	0.21706	0.282946
476	0	-2544491	-2544510	19.01089	0.00572739	0.0127229	0.00414891	0.101453	0.00209576	0.0942631	0.0401284	0.118259	0.734945	0.00331786	0.00727567	0.00443841	0.0342708	0.00432932	0.00255833	0.00438855	0.0159315	0.271822	0	0.229259	0.225923	0	0.272996	0.271822	0.229259	0.225923	0.272996	0.282787	0.216558	0.217235	0.283421
477	1	-2544220	-2544239	19.01346	0.0047699	0.0127765	0.00375155	0.103764	0.00199067	0.0952974	0.0399325	0.115364	0.734531	0.00329888	0.0075788	0.0290447	0.00831627	0.00458538	0.00265685	0.00727354	0.0150658	0.271735	0	0.228716	0.22658	0	0.272969	0.271735	0.228716	0.22658	0.272969	0.28386	0.216309	0.216786	0.283045
478	0	-2544494	-2544513	19.0385	0.00561062	0.0125479	0.00426532	0.101872	0.00200756	0.0957026	0.0404909	0.118143	0.730516	0.0032334	0.00753624	0.00440798	0.0339226	0.00444707	0.00264705	0.00453651	0.0156079	0.271822	0	0.229259	0.225923	0	0.272996	0.271822	0.229259	0.225923	0.272996	0.283112	0.216807	0.216335	0.283746
479	1	-2544215	-2544234	19.03458	0.00546121	0.0127336	0.00376428	0.103346	0.00202264	0.0951233	0.0401284	0.114219	0.733507	0.00327196	0.00774443	0.0294162	0.00758709	0.004421	0.00264831	0.00751429	0.0149774	0.271752	0	0.22873	0.226594	0	0.272924	0.271752	0.22873	0.226594	0.272924	0.282904	0.216677	0.216891	0.283527
480	0	-2544494	-2544513	19.05124	0.00571748	0.0127362	0.00423433	0.101184	0.00200082	0.0951696	0.0402479	0.118002	0.731135	0.00318975	0.00745861	0.00437584	0.0340512	0.00446326	0.00246449	0.00433245	0.0154556	0.271822	0	0.229259	0.225923	0	0.272996	0.271822	0.229259	0.225923	0.272996	0.283043	0.216531	0.21704	0.283385
481	1	-2544213	-2544232	19.03255	0.005209	0.0128464	0.00373548	0.102517	0.00205621	0.0949609	0.0403214	0.116039	0.733486	0.00330684	0.00746895	0.0292036	0.00781991	0.00444363	0.00257021	0.00738161	0.0147233	0.271955	0	0.228901	0.226017	0	0.273127	0.271955	0.228901	0.226017	0.273127	0.28365	0.216452	0.216666	0.283232
482	0	-2544495	-2544514	18.99138	0.00581504	0.0125702	0.00436653	0.10117	0.00206932	0.094544	0.0397422	0.11866	0.737172	0.00319792	0.00751378	0.00442063	0.0336391	0.0044201	0.00252253	0.00443651	0.0159465	0.271822	0	0.229259	0.225923	0	0.272996	0.271822	0.229259	0.225923	0.272996	0.283043	0.216531	0.21704	0.283385
483	1	-2544216	-2544235	19.04183	0.0052234	0.0125206	0.00394455	0.102883	0.00206787	0.0950637	0.0397143	0.11545	0.732524	0.00331498	0.00794246	0.0294241	0.00787557	0.00431052	0.00253058	0.00734422	0.0150267	0.271894	0	0.228548	0.226204	0	0.273354	0.271894	0.228548	0.226204	0.273354	0.283559	0.216382	0.216916	0.283142
484	0	-2544495	-2544514	19.02993	0.00570304	0.0124364	0.00436523	0.101308	0.00196308	0.094752	0.0399616	0.118123	0.733263	0.0033541	0.00751441	0.00423964	0.0336569	0.00438017	0.00279889	0.00451451	0.0160159	0.271925	0	0.229227	0.225891	0	0.272957	0.271925	0.229227	0.225891	0.272957	0.283754	0.216566	0.216717	0.282963
485	1	-2544224	-2544243	19.03226	0.00527574	0.0124203	0.00392841	0.101901	0.00206988	0.0960277	0.0405951	0.115173	0.733901	0.00338454	0.00762597	0.0292218	0.00788345	0.00436506	0.00237351	0.00726038	0.0147109	0.271509	0	0.228747	0.226289	0	0.273456	0.271509	0.228747	0.226289	0.273456	0.28332	0.216455	0.216989	0.283237
486	0	-2544497	-2544516	19.00991	0.0054975	0.0124822	0.00413285	0.101567	0.00199157	0.094842	0.0400853	0.11882	0.734434	0.00315703	0.00781159	0.00423241	0.0338802	0.00451969	0.0026887	0.00442117	0.0157893	0.27291	0	0.228878	0.225614	0	0.272598	0.27291	0.228878	0.225614	0.272598	0.28338	0.216281	0.216431	0.283908
487	1	-2544215	-2544234	19.03396	0.0051707	0.0127115	0.00377158	0.102375	0.00207499	0.0948597	0.039699	0.114994	0.734989	0.00326706	0.00758382	0.0293611	0.00779956	0.00456646	0.00262437	0.00743902	0.0146603	0.272944	0	0.22832	0.225788	0	0.272947	0.272944	0.22832	0.225788	0.272947	0.282904	0.216137	0.216671	0.284288
488	0	-2544494	-2544513	19.02415	0.00562109	0.0124595	0.00431585	0.101707	0.0019604	0.0953765	0.0401616	0.11852	0.732532	0.00325969	0.00749154	0.00434968	0.0339764	0.00445236	0.00248519	0.00452868	0.0157317	0.2724	0	0.228559	0.226952	0	0.272089	0.2724	0.228559	0.226952	0.272089	0.28338	0.216281	0.216431	0.283908
489	1	-2544220	-2544239	19.05256	0.00503171	0.0125388	0.00355442	0.10294	0.00210535	0.0951566	0.0396014	0.115091	0.732603	0.00337093	0.00767448	0.0291115	0.0081869	0.00449816	0.00257783	0.00734869	0.0146957	0.272397	0	0.229201	0.226155	0	0.272247	0.272397	0.229201	0.226155	0.272247	0.282518	0.217232	0.216375	0.283875
490	0	-2544496	-2544515	19.0349	0.00546467	0.0126802	0.00445527	0.101391	0.00202239	0.0945477	0.0401537	0.117954	0.732611	0.00338388	0.00737537	0.00462006	0.0337789	0.00442306	0.00267753	0.00443264	0.0158822	0.271943	0	0.230803	0.225622	0	0.271632	0.271943	0.230803	0.225622	0.271632	0.283005	0.215994	0.217469	0.283532
491	1	-2544218	-2544237	19.02276	0.00508172	0.0129041	0.00383623	0.102163	0.00198197	0.0949514	0.0402504	0.114606	0.735847	0.00335175	0.0075445	0.0290185	0.00782372	0.00439015	0.0027058	0.00746402	0.0151477	0.272407	0	0.22921	0.226164	0	0.272218	0.272407	0.22921	0.226164	0.272218	0.282962	0.216002	0.216715	0.284321
492	0	-2544494	-2544513	19.03534	0.00524156	0.0125782	0.00454193	0.101724	0.00196149	0.0942719	0.039959	0.117942	0.732935	0.00327995	0.00782638	0.00451511	0.0340881	0.00441362	0.00254304	0.00445527	0.0155332	0.271495	0	0.23046	0.225287	0	0.272758	0.271495	0.23046	0.225287	0.272758	0.28257	0.217199	0.217135	0.283096
493	1	-2544218	-2544238	19.02539	0.00520305	0.0127321	0.00397772	0.10262	0.00213938	0.0946927	0.0401728	0.115062	0.735016	0.00330793	0.00770447	0.0288775	0.00785454	0.00458788	0.00261597	0.00723385	0.0150069	0.270371	0	0.228825	0.227263	0	0.273541	0.270371	0.228825	0.227263	0.273541	0.284201	0.216301	0.216359	0.283139
494	0	-2544494	-2544513	19.04541	0.00579266	0.0126586	0.00443849	0.101193	0.00204755	0.0945928	0.0400242	0.117583	0.731938	0.00342933	0.0076241	0.0044029	0.0336644	0.00434145	0.00262994	0.00452256	0.01592	0.270922	0	0.229974	0.226921	0	0.272183	0.270922	0.229974	0.226921	0.272183	0.282686	0.216878	0.217224	0.283212
495	1	-2544220	-2544239	19.0301	0.00512172	0.0124575	0.00394398	0.102631	0.00201448	0.0955301	0.0401976	0.115122	0.733965	0.00331971	0.00764683	0.0296362	0.00781282	0.00435079	0.00255526	0.00708226	0.0149466	0.270525	0	0.228426	0.227275	0	0.273774	0.270525	0.228426	0.227275	0.273774	0.284201	0.216301	0.216359	0.283139
496	0	-2544498	-2544517	19.03452	0.00539806	0.0127027	0.00427707	0.101921	0.00195461	0.0947479	0.0399672	0.118213	0.732363	0.00332807	0.00776652	0.00457158	0.0338847	0.00410859	0.00265026	0.004596	0.0154406	0.270786	0	0.230825	0.225199	0	0.27319	0.270786	0.230825	0.225199	0.27319	0.282686	0.216878	0.217224	0.283212
497	1	-2544221	-2544240	19.05436	0.00498345	0.012686	0.00383886	0.101633	0.00200784	0.0945712	0.0400635	0.115614	0.732244	0.00322357	0.00796808	0.0295026	0.00804504	0.00452467	0.0027466	0.00745063	0.0148049	0.271393	0	0.229825	0.226247	0	0.272535	0.271393	0.229825	0.226247	0.272535	0.283761	0.217515	0.216023	0.2827
498	0	-2544498	-2544517	19.04226	0.00571043	0.0124516	0.00452598	0.102749	0.00197392	0.0941055	0.0402303	0.11825	0.730773	0.00340673	0.00743083	0.00426752	0.0342411	0.00431314	0.00257408	0.00456765	0.0155477	0.270648	0	0.230707	0.226184	0	0.272461	0.270648	0.230707	0.226184	0.272461	0.282662	0.21686	0.217177	0.283301
499	1	-2544215	-2544234	19.04107	0.00497851	0.0124789	0.00400436	0.102272	0.00198675	0.094521	0.0401742	0.114908	0.734105	0.00326986	0.00771309	0.0296052	0.0079532	0.0044643	0.00258338	0.00745183	0.0147671	0.271393	0	0.229825	0.226247	0	0.272535	0.271393	0.229825	0.226247	0.272535	0.28333	0.217502	0.216897	0.282271
500	0	-2544494	-2544513	19.05003	0.00583264	0.0127765	0.00434279	0.101882	0.00220247	0.0943707	0.0397338	0.117926	0.731199	0.00344964	0.00733849	0.00428411	0.0339469	0.00445169	0.00263388	0.00446991	0.0155003	0.271924	0	0.230168	0.226084	0	0.271824	0.271924	0.230168	0.226084	0.271824	0.283233	0.216687	0.217004	0.283075
501	1	-2544218	-2544237	19.045	0.00484883	0.0129227	0.00373756	0.101854	0.00202311	0.0955934	0.0399241	0.11518	0.732611	0.00326706	0.00757067	0.0295405	0.00825338	0.00439655	0.00264417	0.00728314	0.0151926	0.271739	0	0.230118	0.226535	0	0.271609	0.271739	0.230118	0.226535	0.271609	0.282258	0.216679	0.217605	0.283458
502	0	-2544496	-2544515	19.00126	0.00584332	0.0125629	0.00412802	0.101991	0.00211138	0.0950896	0.0400324	0.118415	0.734497	0.00341841	0.00746674	0.00446757	0.0339744	0.00427495	0.00255212	0.00442847	0.0159633	0.271373	0	0.230148	0.226065	0	0.272413	0.271373	0.230148	0.226065	0.272413	0.283029	0.216531	0.216368	0.284073
503	1	-2544216	-2544235	19.02848	0.00508348	0.012383	0.00393738	0.102587	0.0020059	0.0951631	0.0403748	0.115	0.734819	0.00321309	0.00769437	0.0291418	0.00775948	0.00445933	0.0026404	0.0074119	0.0148217	0.271667	0	0.229686	0.225347	0	0.273299	0.271667	0.229686	0.225347	0.273299	0.28204	0.216939	0.217781	0.28324
504	0	-2544493	-2544512	19.04713	0.00531224	0.0126084	0.00450112	0.101869	0.0019929	0.0939659	0.0400446	0.118302	0.731259	0.00334417	0.00762759	0.00443846	0.0339246	0.00459752	0.00267313	0.00445315	0.0157171	0.272185	0	0.229767	0.226087	0	0.271961	0.272185	0.229767	0.226087	0.271961	0.283035	0.217083	0.21692	0.282962
505	1	-2544220	-2544240	19.07632	0.00518804	0.0129876	0.00378141	0.103092	0.00202736	0.0953434	0.0395098	0.114414	0.729681	0.00323299	0.00761044	0.0297134	0.00785513	0.00449516	0.00260897	0.00742144	0.0147502	0.271732	0	0.231316	0.225401	0	0.27155	0.271732	0.231316	0.225401	0.27155	0.282406	0.216971	0.217341	0.283282
506	0	-2544492	-2544511	19.03404	0.00561567	0.0125318	0.00451799	0.1022	0.00203802	0.0937482	0.0397702	0.118517	0.733026	0.00322328	0.00746596	0.00442064	0.0337196	0.00448928	0.00265361	0.00441788	0.0155848	0.272213	0	0.229758	0.226078	0	0.271951	0.272213	0.229758	0.226078	0.271951	0.283023	0.217074	0.216911	0.282993
507	1	-2544222	-2544241	19.04032	0.00516253	0.0127278	0.00380703	0.101598	0.00215128	0.0948338	0.0409036	0.114603	0.733608	0.0032944	0.00786584	0.0293586	0.00787695	0.00448569	0.00272014	0.00734487	0.0149706	0.270913	0	0.229953	0.225315	0	0.273818	0.270913	0.229953	0.225315	0.273818	0.282499	0.216867	0.217259	0.283375
508	0	-2544494	-2544513	19.03504	0.00582411	0.0127168	0.00432598	0.102012	0.00185927	0.0945283	0.0399515	0.1182	0.731948	0.00337908	0.00734227	0.00453401	0.0341439	0.00424472	0.00265786	0.00448641	0.0156853	0.270577	0	0.22979	0.226109	0	0.273524	0.270577	0.22979	0.226109	0.273524	0.283023	0.217074	0.216911	0.282993
509	1	-2544217	-2544236	19.05808	0.00499718	0.0129072	0.00386707	0.102297	0.00203908	0.0946659	0.0401049	0.114296	0.731932	0.00343508	0.00777564	0.0293632	0.00804189	0.00453323	0.00266002	0.00743118	0.0151887	0.271857	0	0.230755	0.2261	0	0.271288	0.271857	0.230755	0.2261	0.271288	0.282455	0.216833	0.217225	0.283487
510	0	-2544495	-2544514	19.01735	0.00572312	0.0126885	0.00435015	0.101891	0.00213373	0.0941666	0.0394626	0.118527	0.734827	0.00332544	0.00742195	0.00435804	0.0341243	0.0044018	0.00251053	0.00432358	0.0153742	0.270734	0	0.229555	0.225878	0	0.273833	0.270734	0.229555	0.225878	0.273833	0.283164	0.217182	0.216521	0.283134
511	1	-2544223	-2544242	19.0206	0.00478174	0.0125225	0.00360787	0.103989	0.00212429	0.0951167	0.0405281	0.115239	0.733468	0.00320634	0.00764961	0.0294762	0.00799863	0.00450914	0.00259171	0.00760756	0.0148671	0.271857	0	0.230755	0.2261	0	0.271288	0.271857	0.230755	0.2261	0.271288	0.282474	0.217031	0.217239	0.283256
512	0	-2544498	-2544517	19.05722	0.00609127	0.0127536	0.004406	0.102194	0.00205114	0.0935911	0.0399884	0.117528	0.731407	0.00336723	0.00730583	0.00433827	0.0334415	0.00442361	0.00254139	0.00458223	0.0156119	0.271278	0	0.229884	0.226202	0	0.272636	0.271278	0.229884	0.226202	0.272636	0.283293	0.217281	0.21662	0.282806
513	1	-2544214	-2544233	19.02909	0.00484964	0.0127203	0.00374381	0.102761	0.00200532	0.094679	0.0405335	0.115249	0.733832	0.00332397	0.00775746	0.0293186	0.00809904	0.00446133	0.00256164	0.00753497	0.0150042	0.271645	0	0.230952	0.225884	0	0.27152	0.271645	0.230952	0.225884	0.27152	0.282474	0.217031	0.217239	0.283256
514	0	-2544492	-2544511	19.03104	0.00564668	0.0125653	0.00453809	0.102075	0.00199868	0.0948516	0.0404684	0.118017	0.731452	0.00336539	0.00752639	0.00445723	0.0341333	0.00435572	0.00265525	0.00442631	0.0157066	0.271333	0	0.229931	0.226045	0	0.272691	0.271333	0.229931	0.226045	0.272691	0.283586	0.216471	0.216844	0.283099
515	1	-2544216	-2544235	19.03486	0.00495385	0.0124008	0.00379298	0.102353	0.00195538	0.0951178	0.0399549	0.115206	0.734013	0.00332574	0.00763898	0.0295361	0.00814734	0.00450676	0.00266582	0.00719881	0.0150903	0.272565	0	0.23001	0.225893	0	0.271531	0.272565	0.23001	0.225893	0.271531	0.283766	0.21664	0.216848	0.282746
516	0	-2544494	-2544513	19.03451	0.00569527	0.0127025	0.00428421	0.101807	0.00208929	0.0945271	0.0399903	0.118392	0.732763	0.00322672	0.00762246	0.00447325	0.0335125	0.00446462	0.00266305	0.00425161	0.0154278	0.271549	0	0.229965	0.226436	0	0.272051	0.271549	0.229965	0.226436	0.272051	0.28351	0.216413	0.217053	0.283023
517	1	-2544215	-2544234	19.05318	0.00487997	0.0125843	0.00364394	0.102516	0.00203166	0.0950886	0.0400627	0.115295	0.732464	0.00323653	0.00761286	0.029219	0.00833865	0.00431544	0.00266576	0.00739634	0.0146752	0.272155	0	0.229665	0.225554	0	0.272627	0.272155	0.229665	0.225554	0.272627	0.282693	0.216952	0.217161	0.283194
518	0	-2544492	-2544511	19.05294	0.00587864	0.0124572	0.00430383	0.101414	0.00203352	0.0940809	0.0403135	0.118173	0.730807	0.00338897	0.00720803	0.0043626	0.0341498	0.00445957	0.00265042	0.00458571	0.015782	0.271568	0	0.229015	0.226905	0	0.272512	0.271568	0.229015	0.226905	0.272512	0.283311	0.216474	0.217113	0.283102
519	1	-2544213	-2544232	19.0482	0.00511495	0.0127293	0.00400404	0.103066	0.00201114	0.0947195	0.0398481	0.115438	0.732216	0.00319636	0.00765105	0.0294281	0.00785512	0.00441386	0.00254649	0.00731777	0.0149684	0.272279	0	0.229312	0.225657	0	0.272751	0.272279	0.229312	0.225657	0.272751	0.282558	0.216848	0.217536	0.283058
520	0	-2544492	-2544511	19.02141	0.00557827	0.0126283	0.00458947	0.10215	0.00199866	0.0941838	0.0398096	0.118528	0.733301	0.00334002	0.00755897	0.00438059	0.033911	0.00426398	0.00257861	0.00456483	0.0158375	0.272078	0	0.229375	0.225604	0	0.272943	0.272078	0.229375	0.225604	0.272943	0.283385	0.21653	0.21727	0.282816
521	1	-2544219	-2544238	19.06449	0.00489328	0.0128939	0.00402803	0.101906	0.0020441	0.0947421	0.0403245	0.115826	0.731192	0.00320585	0.00745899	0.0293101	0.00782984	0.0043883	0.00259107	0.00728935	0.0149711	0.27232	0	0.2293	0.225644	0	0.272736	0.27232	0.2293	0.225644	0.272736	0.283328	0.21744	0.216385	0.282847
522	0	-2544496	-2544515	19.04029	0.00571501	0.0123253	0.00426437	0.101901	0.00197999	0.0941431	0.0401064	0.118859	0.73194	0.00336071	0.00705975	0.00429705	0.0337834	0.00449217	0.00272866	0.00449079	0.0158676	0.271772	0	0.230243	0.22535	0	0.272635	0.271772	0.230243	0.22535	0.272635	0.282468	0.216996	0.217111	0.283425
523	1	-2544220	-2544239	19.0417	0.00524094	0.0126888	0.00365625	0.102008	0.0021813	0.095356	0.0400081	0.115885	0.732748	0.00334633	0.00755152	0.0289858	0.00784826	0.00459136	0.00254844	0.0073814	0.0151486	0.27232	0	0.2293	0.225644	0	0.272736	0.27232	0.2293	0.225644	0.272736	0.283584	0.217069	0.21658	0.282767
524	0	-2544493	-2544512	19.05242	0.00579008	0.0127341	0.00437021	0.102202	0.00198251	0.0937651	0.0400324	0.117572	0.73193	0.00322579	0.00724973	0.00438399	0.033582	0.00443006	0.00269065	0.00452251	0.0156384	0.271498	0	0.230011	0.226129	0	0.272361	0.271498	0.230011	0.226129	0.272361	0.282468	0.216996	0.217111	0.283425
525	1	-2544216	-2544235	19.01434	0.0052574	0.0129749	0.00372889	0.102558	0.00203044	0.0941826	0.0400402	0.115221	0.736501	0.00321532	0.00776305	0.0292409	0.00784697	0.00456801	0.00261089	0.00729199	0.0148782	0.272608	0	0.229443	0.225883	0	0.272067	0.272608	0.229443	0.225883	0.272067	0.282575	0.217012	0.217042	0.283371
526	0	-2544497	-2544516	19.03402	0.00567943	0.0127282	0.00447354	0.10193	0.00198849	0.0944262	0.0399432	0.119178	0.730948	0.00333251	0.00770719	0.00442415	0.0342793	0.00412557	0.00253495	0.00455028	0.0156928	0.27112	0	0.229582	0.225855	0	0.273443	0.27112	0.229582	0.225855	0.273443	0.282874	0.217049	0.216473	0.283603
527	1	-2544216	-2544235	19.04369	0.00517187	0.0127514	0.00376456	0.103527	0.00211179	0.0947567	0.039825	0.11487	0.733014	0.0032347	0.00788058	0.0293168	0.00770895	0.00435773	0.00271204	0.00733328	0.0146395	0.272288	0	0.230347	0.225618	0	0.271747	0.272288	0.230347	0.225618	0.271747	0.282863	0.217091	0.216883	0.283163
528	0	-2544496	-2544515	19.00915	0.00608138	0.012606	0.00452555	0.1017	0.00203292	0.0940482	0.0399506	0.118636	0.735629	0.00322741	0.00702267	0.00418543	0.0338433	0.00431073	0.0025971	0.0044008	0.0156315	0.271317	0	0.229748	0.226019	0	0.272916	0.271317	0.229748	0.226019	0.272916	0.282866	0.217074	0.216466	0.283595
529	1	-2544217	-2544236	19.00568	0.00515191	0.0125397	0.00385326	0.102894	0.00213968	0.095183	0.0406023	0.115412	0.735585	0.00326682	0.00743165	0.0295104	0.00764251	0.00441114	0.00257017	0.00742645	0.0151547	0.273037	0	0.23011	0.225386	0	0.271467	0.273037	0.23011	0.225386	0.271467	0.282863	0.217091	0.216883	0.283163
530	0	-2544499	-2544518	19.02884	0.00589121	0.0125659	0.00420637	0.102525	0.00199627	0.0942002	0.0406101	0.118212	0.731453	0.0033929	0.00721283	0.0044922	0.0342837	0.00459333	0.00270928	0.00444788	0.0156673	0.271464	0	0.229137	0.227378	0	0.27202	0.271464	0.229137	0.227378	0.27202	0.282866	0.217074	0.216466	0.283595
531	1	-2544222	-2544241	19.03827	0.00528812	0.012304	0.00375735	0.102379	0.00208129	0.0956095	0.0401979	0.115179	0.733889	0.00319429	0.00769875	0.0295643	0.00741328	0.00433679	0.00261959	0.00757273	0.0144311	0.273193	0	0.230241	0.224945	0	0.271622	0.273193	0.230241	0.224945	0.271622	0.282995	0.216725	0.216984	0.283295
532	0	-2544495	-2544514	19.04455	0.00548823	0.0124555	0.00429331	0.102201	0.00216481	0.0947173	0.0397626	0.118073	0.73145	0.00335696	0.0075216	0.00447155	0.0335951	0.00445433	0.00262905	0.0044897	0.0157641	0.271927	0	0.230363	0.225226	0	0.272484	0.271927	0.230363	0.225226	0.272484	0.282866	0.217074	0.216466	0.283595
533	1	-2544220	-2544239	19.07584	0.00495868	0.0125594	0.00372189	0.103192	0.00208539	0.0944818	0.0400235	0.114459	0.731221	0.00337254	0.0079532	0.0289848	0.00773769	0.00440529	0.00254058	0.00741451	0.0146475	0.273174	0	0.230293	0.224929	0	0.271603	0.273174	0.230293	0.224929	0.271603	0.282855	0.217114	0.216877	0.283154
534	0	-2544496	-2544515	19.05463	0.00547788	0.0126485	0.00435001	0.102056	0.00211971	0.0942359	0.0401595	0.118017	0.730778	0.00347105	0.00754896	0.00451567	0.033889	0.00425721	0.0025026	0.0045333	0.0153199	0.272277	0	0.229075	0.225814	0	0.272834	0.272277	0.229075	0.225814	0.272834	0.282974	0.216804	0.217374	0.282848
535	1	-2544217	-2544236	19.07619	0.00489837	0.0126711	0.00370268	0.102871	0.00208211	0.0951339	0.0402038	0.115298	0.729938	0.0033874	0.00744857	0.0289215	0.00794713	0.00456479	0.00261599	0.00733935	0.0147007	0.270816	0	0.23019	0.226044	0	0.27295	0.270816	0.23019	0.226044	0.27295	0.282855	0.217114	0.216877	0.283154
536	0	-2544497	-2544516	19.05755	0.00592335	0.0123924	0.0042945	0.101954	0.00197938	0.0944596	0.0399913	0.117768	0.730927	0.0033221	0.00714792	0.00450665	0.0334858	0.00429709	0.00264239	0.0045763	0.0159208	0.271566	0	0.231088	0.225224	0	0.272122	0.271566	0.231088	0.225224	0.272122	0.282974	0.216804	0.217374	0.282848
537	1	-2544217	-2544236	19.04195	0.00519878	0.0124916	0.00373451	0.102562	0.00211785	0.0951925	0.0397395	0.115843	0.73253	0.0032234	0.00765265	0.02931	0.00770456	0.00443383	0.00268987	0.00773712	0.0149886	0.271726	0	0.229903	0.225762	0	0.272609	0.271726	0.229903	0.225762	0.272609	0.283737	0.216814	0.216687	0.282763
538	0	-2544502	-2544521	19.05598	0.00537785	0.0129662	0.00442906	0.101488	0.00187763	0.0939099	0.0402322	0.118216	0.731728	0.00335965	0.00753275	0.00426443	0.0336469	0.00447118	0.00254912	0.00424187	0.0154549	0.271631	0	0.231144	0.225278	0	0.271948	0.271631	0.231144	0.225278	0.271948	0.283122	0.216917	0.216966	0.282996
539	1	-2544214	-2544233	19.0172	0.00536129	0.0126268	0.00390607	0.102639	0.0020363	0.0944321	0.0403301	0.114555	0.736235	0.00328848	0.0077256	0.0293809	0.00788012	0.00445104	0.00261897	0.00717332	0.0149844	0.272167	0	0.229732	0.226129	0	0.271973	0.272167	0.229732	0.226129	0.271973	0.282608	0.216469	0.21763	0.283293
540	0	-2544497	-2544516	19.03437	0.00559542	0.0126833	0.00446133	0.102632	0.00192004	0.0948079	0.0397886	0.119447	0.730894	0.00332067	0.00735721	0.00442889	0.0336383	0.00439308	0.00258974	0.00447122	0.0154785	0.272215	0	0.229542	0.225083	0	0.27316	0.272215	0.229542	0.225083	0.27316	0.282934	0.216596	0.217418	0.283052
541	1	-2544220	-2544239	19.05861	0.00462176	0.0127195	0.00384628	0.102561	0.00205061	0.0939734	0.0401113	0.114339	0.732952	0.00331758	0.00768393	0.0295331	0.0081125	0.00447682	0.00277379	0.00758207	0.0148276	0.272948	0	0.229814	0.225167	0	0.272071	0.272948	0.229814	0.225167	0.272071	0.282524	0.216994	0.21745	0.283033
542	0	-2544493	-2544512	19.03527	0.00571025	0.012584	0.00442116	0.1025	0.00195621	0.0940913	0.0400141	0.118128	0.732606	0.00320056	0.00727379	0.00447321	0.0340101	0.00432007	0.0026176	0.00443784	0.0154728	0.272574	0	0.229429	0.224972	0	0.273025	0.272574	0.229429	0.224972	0.273025	0.282934	0.216596	0.217418	0.283052
543	1	-2544224	-2544243	19.06955	0.00537169	0.0125791	0.00395618	0.101678	0.00202518	0.0938605	0.0405142	0.114772	0.732056	0.00322294	0.00788314	0.0294429	0.00781333	0.00464999	0.00270106	0.00716234	0.0146987	0.272484	0	0.229961	0.225311	0	0.272245	0.272484	0.229961	0.225311	0.272245	0.282154	0.216709	0.217456	0.283681
544	0	-2544494	-2544513	19.01625	0.00581287	0.0128782	0.00437509	0.101515	0.00197649	0.0947936	0.0398329	0.118778	0.733165	0.00326827	0.00766886	0.00438731	0.0338862	0.00434802	0.00267886	0.00454178	0.0158126	0.272316	0	0.230795	0.224472	0	0.272418	0.272316	0.230795	0.224472	0.272418	0.282053	0.217022	0.217616	0.283309
545	1	-2544213	-2544232	19.02564	0.00486593	0.0127473	0.00389238	0.102372	0.0020952	0.0950142	0.0402056	0.115189	0.7349	0.00333437	0.00745488	0.0292608	0.0080648	0.00447528	0.00263069	0.00752358	0.0147531	0.272484	0	0.229961	0.225311	0	0.272245	0.272484	0.229961	0.225311	0.272245	0.282154	0.216709	0.217456	0.283681
546	0	-2544498	-2544517	19.00672	0.00585156	0.0129227	0.00423805	0.101671	0.00197658	0.094831	0.0399573	0.118625	0.734666	0.00324566	0.00735873	0.00435163	0.0342974	0.00440854	0.00266717	0.00437322	0.0152298	0.272658	0	0.230702	0.224854	0	0.271786	0.272658	0.230702	0.224854	0.271786	0.282659	0.217448	0.21664	0.283253
