Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er_trans[1]	er_trans[2]	er_trans[3]	er_trans[4]	pi[1]	pi[2]	pi[3]	pi[4]
10	0	-2547121	-2547140	18.82451	0.0133572	0.0123943	0.00427949	0.101399	0.00206062	0.0944672	0.0397032	0.118235	0.750774	0.00325485	0.00300057	0.00474971	0.0342393	0.00328091	0.0025377	0.00459597	0.0165628	0.268041	0	0.228607	0.225604	0	0.277748	0.268041	0.228607	0.225604	0.277748	0.284847	0.219522	0.213757	0.281873
11	1	-2544398	-2544417	19.04528	0.0052556	0.0124678	0.00392242	0.102743	0.0020444	0.0948098	0.0395056	0.114931	0.733613	0.00316995	0.00764107	0.0290035	0.00800565	0.0044683	0.0025815	0.00748207	0.0151713	0.275621	0	0.23278	0.226862	0	0.264737	0.275621	0.23278	0.226862	0.264737	0.283568	0.209952	0.22105	0.28543
12	0	-2544596	-2544615	19.04498	0.00703897	0.0128902	0.00436866	0.102047	0.00202596	0.0950643	0.0400202	0.119254	0.73007	0.00321261	0.00562799	0.0044156	0.0336851	0.00435608	0.00258847	0.00458147	0.0155986	0.268041	0	0.228607	0.225604	0	0.277748	0.268041	0.228607	0.225604	0.277748	0.284847	0.219522	0.213757	0.281873
13	1	-2544272	-2544291	19.01328	0.00481322	0.0124416	0.00385211	0.102996	0.00211988	0.0945504	0.0397995	0.115926	0.735744	0.00334532	0.00775291	0.0291541	0.00814533	0.00445835	0.00250553	0.00735366	0.0150577	0.271789	0	0.234012	0.228062	0	0.266138	0.271789	0.234012	0.228062	0.266138	0.281343	0.21615	0.219316	0.283191
14	0	-2544543	-2544562	19.04564	0.00578157	0.0125639	0.00451899	0.101421	0.00200917	0.0940552	0.0401071	0.118505	0.731483	0.00333368	0.00757416	0.00429629	0.0340911	0.00447236	0.00253458	0.00454119	0.0154915	0.267944	0	0.228885	0.225523	0	0.277648	0.267944	0.228885	0.225523	0.277648	0.284847	0.219522	0.213757	0.281873
15	1	-2544267	-2544286	19.03997	0.00517825	0.0125404	0.0038469	0.102781	0.0020936	0.0950655	0.0406806	0.114766	0.733379	0.00319935	0.00770894	0.0291533	0.00779889	0.00438596	0.00256862	0.00722349	0.014977	0.27241	0	0.233812	0.227868	0	0.26591	0.27241	0.233812	0.227868	0.26591	0.281241	0.216435	0.219236	0.283088
16	0	-2544538	-2544557	19.03502	0.00554552	0.0124931	0.00427634	0.100583	0.00205192	0.0950332	0.0400792	0.118678	0.733058	0.00333103	0.00745949	0.00436995	0.0335989	0.00438775	0.00260379	0.00456662	0.0157265	0.269402	0	0.23013	0.226749	0	0.273719	0.269402	0.23013	0.226749	0.273719	0.284523	0.219622	0.213854	0.282001
17	1	-2544259	-2544278	19.0029	0.00505367	0.0126935	0.00383388	0.102717	0.00216297	0.0957549	0.0401221	0.115699	0.735517	0.00324204	0.00782629	0.0291551	0.00818222	0.00436582	0.00257331	0.00733665	0.014818	0.272904	0	0.232422	0.228281	0	0.266393	0.272904	0.232422	0.228281	0.266393	0.281241	0.216435	0.219236	0.283088
18	0	-2544515	-2544534	19.026	0.00559029	0.012701	0.0043159	0.101083	0.0019521	0.0943918	0.0397628	0.118084	0.73479	0.00326663	0.00760636	0.00424454	0.0338903	0.00442281	0.00258199	0.00450533	0.0155548	0.269402	0	0.23013	0.226749	0	0.273719	0.269402	0.23013	0.226749	0.273719	0.283946	0.219177	0.215447	0.28143
19	1	-2544259	-2544278	19.01778	0.00501859	0.0126459	0.00368845	0.10331	0.00202559	0.0946622	0.0399758	0.114857	0.73538	0.00328584	0.00788501	0.0294416	0.00799502	0.00436654	0.00259939	0.00760045	0.014829	0.274118	0	0.232034	0.2279	0	0.265948	0.274118	0.232034	0.2279	0.265948	0.281241	0.216435	0.219236	0.283088
