
RevBayes version (1.1.1)
Build from development (rapture-649-g20534c) on Sun Apr 11 23:30:45 CDT 2021

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/avg_morpho_MCMC.Rev")
   Processing file "scripts/avg_morpho_MCMC.Rev"
   Processing file "scripts/avg_morpho_setup.Rev"
   Successfully read one character matrix from file '/home/petrucci/canid_tree/data/extant_morpho.nex'
   Processing of file "scripts/avg_morpho_setup.Rev" completed
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 30 different moves in a random move schedule with 102.5 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |   alpha_indi..   |   er_indicator   |   pi_indicator   |    Q_indicator   |    elapsed   |        ETA   |
42000       |       -266.513   |       -231.264   |       -35.2486   |              1   |              0   |              1   |              2   |   02:42:05   |   03:43:49   |
43000       |       -253.652   |       -220.559   |        -33.093   |              1   |              0   |              1   |              2   |   02:45:55   |   03:39:56   |
44000       |       -240.609   |       -224.648   |       -15.9614   |              0   |              0   |              1   |              2   |   02:49:47   |   03:36:05   |
45000       |       -247.915   |       -228.782   |       -19.1325   |              0   |              0   |              1   |              2   |   02:53:39   |   03:32:14   |
46000       |       -249.431   |        -222.38   |       -27.0508   |              0   |              1   |              1   |              3   |   02:57:32   |   03:28:24   |
47000       |       -251.801   |       -225.021   |       -26.7799   |              0   |              1   |              1   |              3   |   03:01:24   |   03:24:33   |
48000       |       -258.335   |       -225.281   |        -33.054   |              1   |              0   |              1   |              3   |   03:05:15   |   03:20:41   |
49000       |       -276.634   |       -230.751   |       -45.8827   |              1   |              1   |              1   |              3   |   03:09:08   |   03:16:51   |
50000       |       -267.296   |       -221.357   |        -45.939   |              1   |              1   |              1   |              3   |   03:12:59   |   03:12:59   |
51000       |       -241.536   |       -222.704   |        -18.832   |              0   |              0   |              1   |              3   |   03:16:51   |   03:09:07   |
52000       |       -250.738   |       -224.334   |       -26.4035   |              0   |              1   |              1   |              2   |   03:20:43   |   03:05:16   |
53000       |        -252.66   |       -223.789   |       -28.8709   |              0   |              1   |              1   |              3   |   03:24:35   |   03:01:25   |
54000       |       -270.828   |       -226.648   |       -44.1807   |              1   |              1   |              1   |              3   |   03:28:25   |   02:57:32   |
55000       |        -257.11   |       -227.956   |       -29.1545   |              0   |              1   |              1   |              3   |   03:32:16   |   02:53:40   |
56000       |       -248.128   |       -220.274   |       -27.8541   |              0   |              1   |              1   |              2   |   03:36:09   |   02:49:49   |
57000       |       -268.414   |       -223.536   |       -44.8779   |              1   |              1   |              1   |              3   |   03:40:01   |   02:45:58   |
58000       |        -256.08   |       -221.883   |       -34.1975   |              1   |              0   |              1   |              2   |   03:43:53   |   02:42:07   |
59000       |       -246.554   |       -228.362   |       -18.1919   |              0   |              0   |              1   |              2   |   03:47:45   |   02:38:16   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   alpha_indi..   |   er_indicator   |   pi_indicator   |    Q_indicator   |    elapsed   |        ETA   |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
60000       |       -265.081   |       -229.051   |       -36.0304   |              1   |              0   |              1   |              2   |   03:51:37   |   02:34:24   |
61000       |       -250.923   |       -222.788   |       -28.1355   |              0   |              1   |              1   |              2   |   03:55:29   |   02:30:33   |
62000       |       -256.308   |       -226.707   |        -29.601   |              0   |              1   |              1   |              3   |   03:59:19   |   02:26:40   |
63000       |       -241.232   |       -225.565   |       -15.6674   |              0   |              0   |              1   |              2   |   04:03:11   |   02:22:49   |
64000       |       -257.249   |       -227.728   |       -29.5211   |              0   |              1   |              1   |              3   |   04:07:02   |   02:18:57   |
65000       |       -266.715   |       -221.014   |       -45.7005   |              1   |              1   |              1   |              3   |   04:10:53   |   02:15:05   |
66000       |       -251.838   |       -225.147   |       -26.6912   |              0   |              1   |              1   |              2   |   04:14:45   |   02:11:14   |
67000       |       -241.765   |       -227.148   |        -14.617   |              0   |              0   |              1   |              3   |   04:18:37   |   02:07:22   |
68000       |       -271.924   |       -226.032   |        -45.892   |              1   |              1   |              1   |              3   |   04:22:27   |   02:03:30   |
69000       |       -239.254   |       -224.081   |       -15.1725   |              0   |              0   |              1   |              2   |   04:26:19   |   01:59:38   |
70000       |       -268.029   |        -223.21   |       -44.8184   |              1   |              1   |              1   |              3   |   04:30:11   |   01:55:47   |
71000       |       -268.044   |       -222.271   |       -45.7727   |              1   |              1   |              1   |              2   |   04:34:01   |   01:51:55   |
72000       |       -271.659   |        -225.78   |       -45.8793   |              1   |              1   |              1   |              3   |   04:37:52   |   01:48:03   |
