Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er_cats[1]	er_cats[2]	er_cats[3]	er_cats[4]	er_indicator	er_scale	m_er	m_er_dist	m_pi	m_pi_dist	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	pi_cats[1]	pi_cats[2]	pi_cats[3]	pi_cats[4]	pi_indicator	pi_scale	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
0	0	-435.7602	-371.2125	-64.54775	1	1	0.045003	0.103088	0.222654	0.00406246	0.288324	0.202312	0.216602	0.812656	0.00136656	0.0201738	0.1478	0.140205	0.0862255	0.1423	0.201819	0.141587	0.0169357	0.125	0.375	0.625	0.875	1	1	1	23694.84	1	43983.94	0.163334	0.162617	0.0488873	0.625162	0.125	0.375	0.625	0.875	1	1	2	0.136954	0.476752	1	2.38629	2.793113
1	1	-407.6275	-353.4799	-54.1475	1	1	0.0459251	0.10941	0.111335	0.203396	0.0195374	0.0430585	0.00931066	0.117665	0.209335	0.0214023	0.0518299	0.0479595	0.0139441	0.09536	0.0230832	0.455412	0.175125	0.125	0.375	0.625	0.875	1	1	1	53154.51	1	5640.525	0.074946	0.0538941	0.428354	0.442806	0.125	0.375	0.625	0.875	1	1	1	0.136954	0.476752	1	2.38629	1.753089
2	0	-330.4133	-275.0718	-55.34153	3.003023	1	0.211384	0.0939066	0.141658	0.00608098	0.251238	0.0865349	0.0758174	0.168986	0.00176036	0.0140979	0.329978	0.178065	0.0449315	0.116554	0.0610982	0.0645869	0.0258133	0.497642	0.499495	0.500577	0.502286	1	37456.41	1	22569.83	1	35488.69	0.0685818	0.669194	0.0373692	0.224855	0.497787	0.499492	0.500512	0.502209	1	41303.91	2	0.389496	0.731695	1.08253	1.79628	1.872491
3	1	-313.9872	-270.808	-43.1792	1.888622	1	0.0482459	0.0472898	0.057614	0.364129	0.0716834	0.0391786	0.0264031	0.146921	0.213278	0.0339828	0.0327862	0.0269472	0.0241221	0.198293	0.106521	0.18891	0.133441	0.498242	0.49956	0.500347	0.501851	0	62000	19794.76	19794.76	1	2722.461	0.280563	0.49385	0.0474456	0.178141	0.497245	0.499329	0.500653	0.502773	1	26436.38	2	0.279607	0.642622	1.06694	2.01084	1.759747
4	0	0.0131357	0.498009	0.499559	0.500452	0.50198	1	51220.83	2	0.999873	0.999968	1.00003	1.00013	0.9970513
5	1	0.506181	1	5270.699	2	0.999873	0.999968	1.00003	1.00013	0.9035287
6	0	-268.0698	-224.0017	-44.06807	7625763	1	0.100484	0.0538948	0.0235343	0.135213	0.00917114	0.00955614	0.00403877	0.00454685	0.0762267	0.0134604	0.104078	0.0534867	0.00198895	0.0374944	0.00143784	0.00778079	0.108752	0.497099	0.499298	0.500698	0.502905	1	23968.84	1	35300.45	1	13327.99	0.0231289	0.695364	0.279928	0.00157827	0.498109	0.49954	0.500396	0.501955	1	54617.35	3	0.99954	0.999882	1.00012	1.00046	0.7451449
7	1	-256.0845	-222.6811	-33.40339	76204.77	1	0.151908	0.0679868	0.0026766	0.0834767	0.0186599	0.00825829	0.0111757	0.0330389	0.0148275	0.000163886	0.0569393	0.0314831	0.0450109	0.1086	0.00601723	0.0692797	0.0726643	0.498242	0.49956	0.500347	0.501851	0	62000	48495.94	48495.94	1	12043.55	0.386615	0.129588	0.477014	0.00678285	0.497385	0.499343	0.500601	0.50267	1	28926.64	3	0.995399	0.99882	1.00117	1.00461	0.7821666
8	0	-239.4513	-222.2141	-17.23719	1e+08	0	0.167171	0.0643251	0.00931124	0.156559	0.0266651	0.0320108	0.0119434	0.0175827	0.0302982	0.00777615	0.176182	0.0741784	0.00161029	0.119535	0.0010421	0.00645464	0.104969	0.498242	0.49956	0.500347	0.501851	0	62000	1482.399	1482.399	1	26246.73	0.194025	0.303535	0.497858	0.00458226	0.496406	0.499112	0.500883	0.5036	1	15609.97	3	0.999873	0.999968	1.00003	1.00013	1.007614
9	1	-243.7407	-228.463	-15.2777	1e+08	0	0.0697235	0.0891247	0.0138922	0.0704544	0.0116635	0.0129341	0.0257344	0.0378623	0.00907015	0.000162066	0.0269265	0.0293308	0.0667649	0.216534	0.00409379	0.0400275	0.0873669	0.498242	0.49956	0.500347	0.501851	0	62000	2345.105	2345.105	1	54632.04	0.527705	0.0201535	0.250484	0.201657	0.497884	0.499556	0.500505	0.502055	1	46423.73	2	0.999873	0.999968	1.00003	1.00013	0.8116657
10	0	-272.5416	-226.5188	-46.02288	5.527592e+07	1	0.208795	0.0941855	0.00171409	0.127274	0.0391916	0.0318513	0.00420514	0.0338838	0.0603939	0.026041	0.118975	0.0431742	0.00341352	0.0462977	0.00191212	0.0024843	0.0968337	0.498006	0.499605	0.500478	0.501911	1	52989.02	1	7020.612	1	6144.129	0.396497	0.397456	0.123154	0.0828935	0.497395	0.49935	0.500601	0.502654	1	29214.53	3	0.999829	0.999956	1.00004	1.00017	0.9406266
11	1	-251.4125	-224.012	-27.40042	1e+08	0	0.179559	0.0268581	0.0204292	0.151573	0.038179	0.0134502	0.0224584	0.0251009	0.0105101	0.000326082	0.0161612	0.026734	0.0426995	0.162406	0.00741371	0.0577528	0.118838	0.496096	0.499007	0.50095	0.503946	1	13111.91	1	9874.188	1	14903.73	0.145126	0.427195	0.320795	0.106884	0.497427	0.499424	0.50063	0.50252	1	31138.7	2	0.999873	0.999968	1.00003	1.00013	0.9204484
12	0	-238.4657	-223.3682	-15.0975	1e+08	0	0.121001	0.0284285	0.00136593	0.123305	0.0186415	0.0396484	0.00420782	0.021946	0.0764242	0.0252231	0.115909	0.0283967	0.00801412	0.0672949	0.00577636	0.00712378	0.100939	0.498242	0.49956	0.500347	0.501851	0	62000	54005.68	54005.68	1	53760.1	0.178892	0.264416	0.330265	0.226427	0.497753	0.499436	0.500495	0.502316	1	38813.54	2	0.999873	0.999968	1.00003	1.00013	0.7936449
13	1	-255.3063	-221.1598	-34.14652	9.264189e+07	1	0.149184	0.0184348	0.0119865	0.138003	0.0126101	0.0128708	0.0448328	0.0228494	0.0109552	0.000269797	0.0522834	0.0228563	0.0433372	0.14397	0.00818713	0.0626806	0.101169	0.498242	0.49956	0.500347	0.501851	0	62000	7807.848	7807.848	1	29233.77	0.261533	0.0368667	0.149829	0.551771	0.498017	0.49952	0.500426	0.502037	1	50006.46	2	0.999868	0.999967	1.00003	1.00013	0.8564797
14	0	-249.2267	-221.7396	-27.48713	1e+08	0	0.163206	0.0110376	0.00182401	0.146986	0.0211087	0.0321151	0.00425741	0.0286011	0.0713297	0.0137773	0.179215	0.0299418	0.00394265	0.0575628	0.0118091	0.0189417	0.133464	0.495795	0.498957	0.501047	0.504202	1	11427.79	1	9838.797	1	42003.96	0.415543	0.40568	0.0100368	0.168741	0.497266	0.499348	0.500655	0.502731	1	27049.85	3	0.999873	0.999968	1.00003	1.00013	0.9291197
15	1	-255.9311	-226.6794	-29.25171	1e+08	0	0.141395	0.0192114	0.0213575	0.211308	0.0330783	0.0450239	0.0594295	0.0232936	0.0267624	0.00103591	0.018805	0.0464357	0.0512118	0.182046	0.00506171	0.085924	0.134198	0.497373	0.499348	0.500609	0.50267	1	28790.23	1	23916.58	1	22713.63	0.0459245	0.409622	0.515569	0.028884	0.496688	0.499228	0.500831	0.503253	1	18742.36	3	0.999873	0.999968	1.00003	1.00013	1.105577
16	0	-313.7483	-264.1953	-49.55299	6.50231e+07	1	0.370793	0.0750744	0.0643418	0.00885379	0.103503	0.039509	0.0546969	0.0801692	0.00564768	0.00662078	0.14653	0.0761531	0.042107	0.0805525	0.0816202	0.0470944	0.0103716	0.49565	0.498892	0.501068	0.504389	1	10578.19	1	19371.92	1	6989.887	0.108608	0.306811	0.111777	0.472804	0.497464	0.499372	0.500584	0.502581	1	30858.77	2	0.999842	0.99996	1.00004	1.00016	1.293638
