Iteration	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er_cats[1]	er_cats[2]	er_cats[3]	er_cats[4]	er_indicator	er_scale	m_er	m_er_dist	m_pi	m_pi_dist	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	pi_cats[1]	pi_cats[2]	pi_cats[3]	pi_cats[4]	pi_indicator	pi_scale	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
0	-361.5663	-345.6291	-15.93721	1	1	0.0951641	0.00065473	0.0976715	0.158646	0.291776	0.0128536	0.0842537	0.0308039	0.0401181	0.0369152	0.143625	0.560679	0.0840364	0.0363398	0.0210277	0.169271	0.00482869	0.125	0.375	0.625	0.875	1	1	1	1.318867	1	2.680846	0.355068	0.398473	0.207332	0.0391265	0.125	0.375	0.625	0.875	1	1	2	0.136954	0.476752	1	2.38629	1.868664
1	-351.2639	-335.188	-16.07595	0.6473888	1	0.0951641	0.000728485	0.0976715	0.197355	0.314449	0.0128536	0.0642948	0.0308039	0.0401181	0.0369152	0.141824	0.563261	0.0840364	0.0248623	0.0210277	0.221231	0.00462743	0.199417	0.410792	0.589208	0.800583	1	1.830437	1	0.748038	1	1.379196	0.355068	0.398473	0.207332	0.0391265	0.173552	0.399767	0.600233	0.826448	1	1.481094	2	0.0630063	0.337612	0.903695	2.69569	1.951223
2	-321.7377	-303.6558	-18.08197	1.78333	1	0.0951641	0.000728485	0.0976715	0.346722	0.314449	0.0119932	0.0642948	0.0353906	0.0466734	0.0369152	0.154021	0.563261	0.0588211	0.0683248	0.0210277	0.221231	0.00462743	0.177825	0.401671	0.598328	0.822176	1	1.533307	1	1.100857	1	1.428726	0.289453	0.509632	0.169019	0.0318962	0.1683	0.397375	0.602625	0.8317	1	1.419502	3	0.265964	0.629801	1.06349	2.04075	2.141316
3	-280.8772	-265.0655	-15.81175	3.148028	1	0.0951641	0.000549933	0.0976715	0.302569	0.139581	0.0119932	0.0642948	0.0353906	0.0466734	0.0369152	0.103383	0.563261	0.0552532	0.0683248	0.0409856	0.209797	0.00439532	0.0812132	0.344786	0.655214	0.918787	1	0.6864095	1	1.535749	1	0.9049543	0.261377	0.460198	0.152624	0.125801	0.264432	0.434468	0.565532	0.735568	1	3.252133	2	0.400399	0.739408	1.08316	1.77704	1.876203
4	-287.1064	-268.3654	-18.74104	1643604	1	0.126944	0.000549933	0.0976715	0.254544	0.145609	0.00751786	0.0642948	0.0171869	0.0507891	0.0369152	0.103383	0.563261	0.0737185	0.0683248	0.0409856	0.209797	0.00439532	0.178957	0.40217	0.59783	0.821043	1	1.547479	1	2.06872	1	0.4971753	0.261404	0.61646	0.0435839	0.0785512	0.348004	0.459861	0.54014	0.651995	1	8.36903	3	0.999009	0.999747	1.00025	1.00099	1.865888
5	-263.1662	-265.2191	2.052881	1e+08	0	0.126944	0.000502158	0.0867355	0.254544	0.145609	0.0132262	0.0642948	0.0171869	0.0507891	0.0454567	0.103383	0.563261	0.0769485	0.0419929	0.0292553	0.209797	0.00699789	0.133506	0.379838	0.620162	0.866494	1	1.0719	1	0.7316549	1	0.8593689	0.199075	0.620174	0.0499962	0.130754	0.326689	0.453744	0.546256	0.673311	1	6.347923	2	0.999873	0.999968	1.00003	1.00013	1.836925
6	-278.3214	-261.3315	-16.98995	1.015462e+07	1	0.126944	0.000247299	0.0867355	0.254544	0.154774	0.0107546	0.0642948	0.00953864	0.0507891	0.0296019	0.0782084	0.5542	0.0769485	0.0430188	0.0292553	0.18551	0.00699789	0.233924	0.423943	0.576057	0.766076	1	2.457997	1	1.261566	1	0.516068	0.225964	0.568873	0.056749	0.148415	0.328764	0.454348	0.545651	0.671237	1	6.512144	2	0.999601	0.999898	1.0001	1.0004	1.762363
7	-248.643	-252.3429	3.699967	1e+08	0	0.156917	0.000233942	0.0827479	0.315631	0.0975222	0.0107546	0.0587955	0.0127345	0.0507891	0.0219943	0.0801111	0.429518	0.0769485	0.0434846	0.0292553	0.159947	0.0108061	0.0631133	0.32826	0.67174	0.936887	1	0.5764758	1	1.225912	1	0.2536667	0.0962051	0.238005	0.0647318	0.601058	0.355966	0.462098	0.537901	0.644035	1	9.36311	2	0.999873	0.999968	1.00003	1.00013	1.63819
8	-263.8427	-251.1587	-12.68395	8.453652e+07	1	0.156917	0.000183413	0.0827479	0.315631	0.0975222	0.0107546	0.0587955	0.014184	0.0518493	0.0152266	0.101844	0.429518	0.0969916	0.0372209	0.0292553	0.159947	0.0127758	0.0653865	0.330529	0.669471	0.934614	1	0.5898612	1	1.106099	1	0.159874	0.0712788	0.176339	0.030043	0.722339	0.275144	0.437968	0.562031	0.724857	1	3.609455	3	0.999862	0.999964	1.00004	1.00014	1.671364
9	-265.0976	-249.7854	-15.31218	7.64652e+07	1	0.156917	0.000183413	0.0771395	0.301715	0.0975222	0.0107546	0.0438556	0.00945966	0.104735	0.0152266	0.0799268	0.429518	0.0926294	0.0372209	0.0421572	0.138317	0.0127758	0.304434	0.447128	0.552873	0.695565	1	4.901146	1	1.338932	1	0.359043	0.0767502	0.112016	0.0334483	0.777786	0.244905	0.427835	0.572166	0.755094	1	2.711705	3	0.999855	0.999963	1.00004	1.00015	1.650053
10	-260.601	-247.3282	-13.2728	2.057974e+07	1	0.156917	0.000217747	0.0771395	0.224392	0.110757	0.00897017	0.0412304	0.00945966	0.0656394	0.0153144	0.093653	0.429518	0.0926294	0.0366665	0.0421572	0.131196	0.0176578	0.309548	0.448672	0.551328	0.690452	1	5.189398	1	1.095587	1	1.394068	0.00837156	0.0404036	0.0309644	0.920261	0.0280571	0.280719	0.719281	0.971943	1	0.3757558	2	0.99972	0.999928	1.00007	1.00028	1.553515
11	-260.3143	-248.9746	-11.3397	7.188693e+07	1	0.111983	0.000150117	0.0771395	0.215922	0.114074	0.00821459	0.0412304	0.00945966	0.0748564	0.016945	0.093653	0.324211	0.0921846	0.0366665	0.0421572	0.131196	0.029956	0.271261	0.43671	0.563289	0.72874	1	3.474164	1	0.8885785	1	0.9131489	0.0113567	0.0402819	0.0308712	0.91749	0.156622	0.39184	0.60816	0.843377	1	1.291949	2	0.99985	0.999962	1.00004	1.00015	1.42
12	-239.5835	-245.2294	5.645821	1e+08	0	0.111983	0.000150117	0.0871381	0.215922	0.129497	0.0098598	0.0193729	0.00670911	0.0549607	0.016945	0.0914605	0.355001	0.0921846	0.0227507	0.0588218	0.0724423	0.029956	0.23865	0.425633	0.574366	0.76135	1	2.563338	1	1.18165	1	1.265926	0.0117491	0.0872878	0.0367697	0.864193	0.284367	0.440914	0.559086	0.715633	1	3.960346	2	0.999873	0.999968	1.00003	1.00013	1.375154
13	-258.5466	-247.969	-10.57754	7.619956e+07	1	0.0771879	0.000140023	0.0871381	0.191123	0.204433	0.0098598	0.0216794	0.00588325	0.0549607	0.0124958	0.0914605	0.200539	0.0921846	0.0227507	0.0588218	0.0567564	0.0465351	0.042356	0.303811	0.696189	0.957644	1	0.457602	1	1.196243	1	3.288234	0.059633	0.443034	0.186627	0.310706	0.224815	0.420616	0.579383	0.775185	1	2.269773	3	0.999855	0.999963	1.00004	1.00015	1.233948
14	-240.0199	-246.7754	6.755454	1e+08	0	0.0771879	0.000191744	0.106505	0.34981	0.204433	0.0098598	0.0199193	0.00407608	0.0549607	0.0124958	0.0850749	0.316739	0.0921846	0.0210977	0.0588218	0.0358487	0.0465351	0.0278359	0.280297	0.719703	0.972164	1	0.3744562	1	0.8248579	1	3.251711	0.0634687	0.471531	0.198631	0.26637	0.126596	0.375927	0.624072	0.873405	1	1.013158	2	0.999873	0.999968	1.00003	1.00013	1.49574
15	-258.8895	-247.6238	-11.26566	1.236111e+07	1	0.0771879	0.000191744	0.106505	0.321112	0.170594	0.0098598	0.0199193	0.00407608	0.0574569	0.0124958	0.0527248	0.316739	0.0864689	0.0210977	0.0727643	0.0236585	0.0465351	0.0162004	0.253237	0.746763	0.9838	1	0.3022785	1	0.7638027	1	4.386779	0.108693	0.502793	0.11543	0.273084	0.0613248	0.326429	0.673571	0.938675	1	0.5660139	3	0.999638	0.999908	1.00009	1.00036	1.399387
16	-235.0547	-242.9726	7.917899	1e+08	0	0.0771879	0.000187275	0.105535	0.336513	0.232278	0.0098598	0.0282891	0.00459711	0.0382584	0.0124958	0.0774575	0.316739	0.0864689	0.0193968	0.0777782	0.0252062	0.0374325	0.0280986	0.280798	0.719202	0.971901	1	0.375999	1	0.6772069	1	2.94433	0.0894857	0.413945	0.271741	0.224828	0.0357243	0.294	0.705999	0.964276	1	0.4199956	3	0.999873	0.999968	1.00003	1.00013	1.485681
17	-232.8438	-242.5378	9.693987	1e+08	0	0.0770289	0.000187275	0.105535	0.317311	0.232278	0.0098598	0.0203805	0.00210335	0.0322309	0.017537	0.0724882	0.316739	0.0864689	0.0193968	0.0743027	0.0252062	0.0423871	0.00266587	0.185902	0.814098	0.997334	1	0.1818412	1	0.2096974	1	1.578002	0.0886794	0.289947	0.269293	0.35208	0.102621	0.360867	0.639132	0.89738	1	0.8294586	3	0.999873	0.999968	1.00003	1.00013	1.451441
18	-250.4644	-241.8091	-8.655317	1.813911e+07	1	0.0770289	0.000158708	0.0949404	0.317311	0.232278	0.0098598	0.0232199	0.00210335	0.0245201	0.017537	0.0724882	0.24348	0.0844095	0.00421918	0.0743027	0.027561	0.0515419	0.0698421	0.3348	0.6652	0.930158	1	0.6164124	1	0.1392855	1	1.02381	0.0484089	0.229349	0.443747	0.278496	0.225373	0.420823	0.579177	0.774627	1	2.280782	2	0.999702	0.999924	1.00008	1.0003	1.35696
19	-254.9712	-244.6763	-10.29493	3.216189e+07	1	0.0770289	0.000158708	0.0949404	0.22734	0.232278	0.0098598	0.0232199	0.00101664	0.0296676	0.017537	0.0603998	0.24348	0.119999	0.00323013	0.0743027	0.0426229	0.0515419	0.0646583	0.329809	0.67019	0.935342	1	0.5855622	1	0.1981047	1	0.6888753	0.073228	0.364495	0.32343	0.238847	0.340359	0.457691	0.54231	0.65964	1	7.550783	3	0.999776	0.999943	1.00006	1.00022	1.308623
20	-230.9523	-240.1046	9.152224	1e+08	0	0.109988	0.000158708	0.0868319	0.385775	0.253575	0.00888024	0.0232199	0.00101664	0.0265182	0.0134282	0.0603998	0.21764	0.119999	0.00323013	0.0490775	0.0426229	0.0515419	0.061974	0.327098	0.672901	0.938026	1	0.5698049	1	0.1196066	1	0.8614778	0.0729291	0.363007	0.32211	0.241953	0.216067	0.417329	0.582671	0.783933	1	2.105449	2	0.999873	0.999968	1.00003	1.00013	1.453903
21	-246.6503	-238.3886	-8.261666	4.014992e+07	1	0.137123	0.000158708	0.0868319	0.372101	0.212278	0.00629451	0.0232199	0.000678325	0.0265182	0.0181432	0.0389189	0.21764	0.119999	0.00299402	0.0490775	0.0426229	0.0515419	0.019273	0.26153	0.73847	0.980727	1	0.3223348	1	0.1342358	1	1.323656	0.00787792	0.253602	0.569488	0.169032	0.143584	0.385259	0.614741	0.856416	1	1.163056	2	0.9998	0.999949	1.00005	1.0002	1.406141
22	-248.8511	-239.5909	-9.260213	9.850922e+07	1	0.137123	0.000210976	0.0868319	0.372101	0.169865	0.00629451	0.0595624	0.000678325	0.0265182	0.0181432	0.0389189	0.135546	0.108659	0.00299402	0.034059	0.0318056	0.0630052	0.00657341	0.215623	0.784377	0.993427	1	0.2276473	1	0.07156346	1	2.289063	0.00886793	0.285472	0.515386	0.190274	0.248323	0.429021	0.570979	0.751677	1	2.797419	2	0.999872	0.999968	1.00003	1.00013	1.292316
23	-247.6071	-239.7368	-7.870271	4.063425e+07	1	0.137123	0.000210976	0.113121	0.372101	0.155007	0.00629451	0.0296482	0.000678325	0.0293897	0.0247406	0.0312657	0.14368	0.108659	0.0022495	0.0382453	0.0207956	0.0630052	2.05321e-05	0.102	0.898	0.999979	1	0.08530865	1	0.04923665	1	1.639498	0.00918967	0.265142	0.390916	0.334752	0.172238	0.399174	0.600826	0.827762	1	1.465424	3	0.999801	0.999949	1.00005	1.0002	1.276215
