Iteration	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er_cats[1]	er_cats[2]	er_cats[3]	er_cats[4]	er_indicator	er_scale	m_er	m_er_dist	m_pi	m_pi_dist	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	pi_cats[1]	pi_cats[2]	pi_cats[3]	pi_cats[4]	pi_indicator	pi_scale	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
0	-356.9734	-345.6711	-11.30229	1	1	0.183405	0.00507898	0.153272	0.00077465	0.00495006	0.171251	0.078688	0.0853312	0.0404077	0.0467686	0.0260325	0.0151936	0.0153595	0.222766	0.0474103	0.0211375	0.285526	0.125	0.375	0.625	0.875	1	1	1	1.415041	1	2.602873	0.117503	0.0633265	0.387069	0.432102	0.125	0.375	0.625	0.875	1	1	2	0.136954	0.476752	1	2.38629	1.403353
1	-352.469	-339.9545	-12.51443	2.283608	1	0.183405	0.00507898	0.135047	0.00077465	0.00495006	0.204606	0.078688	0.0633463	0.0399274	0.0467686	0.0638057	0.0149325	0.0153595	0.222766	0.0474103	0.015711	0.243648	0.0627228	0.327864	0.672136	0.937277	1	0.5741868	1	1.71982	1	3.768202	0.0829341	0.33889	0.273195	0.30498	0.164494	0.395605	0.604395	0.835506	1	1.376557	2	0.324931	0.682139	1.0757	1.91723	1.386226
2	-351.651	-340.3237	-11.32734	2.180153	1	0.183405	0.007494	0.0613086	0.000698736	0.00465012	0.228106	0.0818759	0.0774764	0.0399274	0.0467686	0.0995723	0.0149325	0.0153595	0.195233	0.0571294	0.015711	0.284242	0.0323198	0.288404	0.711596	0.96768	1	0.4005086	1	1.71982	1	1.316019	0.0882804	0.102295	0.293631	0.515793	0.254549	0.431154	0.568847	0.745451	1	2.96271	3	0.313871	0.672898	1.07391	1.93932	1.413891
3	-345.0846	-328.2322	-16.85247	0.4189154	1	0.183405	0.00520515	0.098646	0.000698736	0.00983196	0.228106	0.0818759	0.0738292	0.0411981	0.0467686	0.0995723	0.0289295	0.0153595	0.246205	0.065622	0.0104874	0.284242	0.00198129	0.177563	0.822437	0.998019	1	0.1704388	1	4.093672	1	3.203521	0.30084	0.141203	0.338957	0.218999	0.26759	0.435509	0.56449	0.73241	1	3.352419	1	0.0195352	0.195739	0.750964	3.03376	1.519983
4	-335.1745	-321.5484	-13.62607	0.48958	1	0.183405	0.00626237	0.098646	0.000698736	0.00646364	0.228106	0.0585228	0.0738292	0.0588262	0.0415835	0.0960573	0.0266534	0.0153595	0.283808	0.065622	0.0104874	0.204705	0.0168774	0.25516	0.74484	0.983123	1	0.3067876	1	2.032703	1	3.22158	0.326318	0.153161	0.282974	0.237546	0.234883	0.424288	0.575713	0.765117	1	2.478915	1	0.0314731	0.245059	0.812536	2.91093	1.459036
5	-333.3897	-321.9421	-11.4476	0.2936583	1	0.14573	0.00495238	0.098646	0.00057593	0.00646364	0.228106	0.0458257	0.0738292	0.0588262	0.0415835	0.0960573	0.0350526	0.0169276	0.283808	0.0473119	0.0121399	0.204705	0.0484486	0.311819	0.688181	0.951551	1	0.4920893	1	1.522821	1	3.008633	0.474809	0.25058	0.171869	0.102742	0.146632	0.386839	0.613161	0.853368	1	1.192019	1	0.00479501	0.0995716	0.584997	3.31064	1.400541
6	-331.7222	-321.4751	-10.24711	0.4064188	1	0.14573	0.00495238	0.0794947	0.00057593	0.00646364	0.255466	0.0456567	0.0638789	0.0588262	0.0415835	0.0678166	0.0350526	0.0199564	0.172532	0.0450544	0.00853785	0.204705	0.152436	0.389776	0.610224	0.847564	1	1.249107	1	1.121443	1	2.713553	0.34498	0.182063	0.124874	0.348083	0.164645	0.395676	0.604324	0.835355	1	1.378233	1	0.0176512	0.186535	0.738134	3.05768	1.256283
7	-332.6832	-323.1103	-9.572903	0.2217729	1	0.176006	0.00488628	0.0794947	0.00057593	0.00646364	0.167673	0.0456567	0.0638789	0.0588262	0.0415835	0.0744968	0.0350526	0.0205706	0.0927451	0.0450544	0.00853785	0.204705	0.171707	0.398934	0.601066	0.828293	1	1.459138	1	1.279867	1	2.944804	0.432191	0.228088	0.156443	0.183278	0.169382	0.397873	0.602127	0.830619	1	1.431958	1	0.0010461	0.0472044	0.438068	3.51368	1.126207
8	-324.3672	-314.3596	-10.00759	0.3878475	1	0.176006	0.00488628	0.0881197	0.00057593	0.0105109	0.260559	0.0456567	0.0448085	0.108045	0.0664377	0.0725487	0.0350526	0.0205706	0.0927451	0.0364398	0.0125435	0.118603	0.26266	0.43388	0.566121	0.73734	1	3.197597	1	1.527247	1	2.080229	0.451816	0.238446	0.163547	0.146191	0.0626537	0.327794	0.672206	0.937346	1	0.5737819	1	0.015001	0.172621	0.717788	3.09459	1.194108
9	-322.8322	-314.9888	-7.843403	0.7933778	1	0.176006	0.00477254	0.0881197	0.000759806	0.0105109	0.260559	0.0431833	0.0394463	0.141807	0.0664377	0.0576667	0.0367682	0.0205706	0.0927451	0.0364398	0.0125435	0.076992	0.247074	0.428589	0.571412	0.752926	1	2.765693	1	1.296831	1	0.4512981	0.512045	0.136928	0.185348	0.165679	0.0989727	0.358332	0.641668	0.901027	1	0.8038619	1	0.0941488	0.404454	0.955103	2.54629	1.165328
