
RevBayes version (1.1.1)
Build from development (rapture-649-g20534c) on Sun Apr 11 23:30:45 CDT 2021

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/morpho_MCMC.Rev")
   Processing file "scripts/morpho_MCMC.Rev"
   Successfully read one character matrix from file 'data/extant_morpho.nex'
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 56 different moves in a random move schedule with 283.667 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
0           |       -361.757   |       -364.812   |        3.05521   |   00:00:00   |   --:--:--   |
1000        |       -206.817   |       -222.458   |        15.6415   |   00:00:12   |   --:--:--   |
2000        |       -211.793   |       -227.156   |        15.3633   |   00:00:24   |   04:59:36   |
3000        |       -212.731   |       -227.157   |        14.4258   |   00:00:36   |   04:59:24   |
4000        |       -207.993   |       -221.241   |        13.2479   |   00:00:48   |   04:59:12   |
5000        |       -208.066   |       -224.804   |        16.7381   |   00:01:00   |   04:59:00   |
6000        |        -211.89   |       -224.747   |        12.8565   |   00:01:12   |   04:58:48   |
7000        |       -211.473   |       -228.771   |        17.2982   |   00:01:24   |   04:58:36   |
8000        |       -206.574   |       -221.978   |        15.4046   |   00:01:36   |   04:58:24   |
9000        |       -220.181   |       -232.302   |        12.1209   |   00:01:48   |   04:58:12   |
10000       |       -214.001   |       -229.568   |        15.5671   |   00:02:00   |   04:58:00   |
11000       |       -211.697   |       -225.413   |         13.716   |   00:02:13   |   05:00:03   |
12000       |       -204.282   |         -219.6   |        15.3175   |   00:02:25   |   04:59:40   |
13000       |       -210.243   |       -222.704   |         12.461   |   00:02:37   |   04:59:18   |
14000       |       -216.654   |       -229.588   |         12.934   |   00:02:49   |   04:58:58   |
15000       |       -208.744   |       -225.228   |        16.4843   |   00:03:01   |   04:58:39   |
16000       |       -205.456   |       -222.493   |        17.0369   |   00:03:13   |   04:58:20   |
17000       |       -205.072   |       -220.192   |        15.1194   |   00:03:25   |   04:58:03   |
18000       |       -210.141   |       -224.919   |        14.7788   |   00:03:37   |   04:57:46   |
19000       |        -205.64   |       -222.407   |         16.767   |   00:03:49   |   04:57:29   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
20000       |       -209.319   |       -222.981   |        13.6623   |   00:04:01   |   04:57:14   |
21000       |       -210.894   |       -225.344   |        14.4506   |   00:04:13   |   04:56:58   |
22000       |       -212.308   |       -227.807   |        15.4991   |   00:04:26   |   04:57:50   |
23000       |       -212.091   |       -225.368   |        13.2766   |   00:04:38   |   04:57:32   |
24000       |       -205.676   |       -221.172   |        15.4956   |   00:04:50   |   04:57:15   |
25000       |        -213.09   |       -228.095   |         15.005   |   00:05:02   |   04:56:58   |
26000       |       -207.422   |       -222.622   |        15.2005   |   00:05:14   |   04:56:41   |
27000       |       -211.538   |         -228.6   |        17.0624   |   00:05:26   |   04:56:25   |
28000       |       -216.026   |        -229.18   |        13.1538   |   00:05:38   |   04:56:09   |
29000       |       -215.906   |       -231.656   |          15.75   |   00:05:50   |   04:55:53   |
30000       |       -209.155   |       -222.846   |        13.6912   |   00:06:02   |   04:55:38   |
31000       |       -208.369   |       -222.908   |        14.5392   |   00:06:15   |   04:56:10   |
32000       |       -207.054   |       -221.712   |        14.6577   |   00:06:27   |   04:55:53   |
33000       |       -208.052   |       -225.591   |        17.5387   |   00:06:39   |   04:55:37   |
34000       |       -210.801   |       -224.892   |        14.0913   |   00:06:51   |   04:55:21   |
35000       |       -218.262   |       -229.467   |        11.2046   |   00:07:03   |   04:55:05   |
36000       |       -212.179   |       -226.637   |        14.4579   |   00:07:15   |   04:54:50   |
37000       |       -203.825   |       -218.531   |        14.7061   |   00:07:27   |   04:54:34   |
38000       |       -211.036   |       -226.471   |        15.4348   |   00:07:39   |   04:54:19   |
39000       |       -204.533   |       -220.722   |        16.1891   |   00:07:51   |   04:54:04   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
40000       |       -203.285   |        -219.88   |        16.5942   |   00:08:03   |   04:53:49   |
41000       |       -205.562   |       -221.677   |        16.1152   |   00:08:15   |   04:53:34   |
42000       |        -203.95   |       -220.415   |         16.465   |   00:08:28   |   04:53:54   |
43000       |       -214.122   |       -229.715   |         15.593   |   00:08:40   |   04:53:39   |
44000       |           -209   |       -225.146   |        16.1459   |   00:08:52   |   04:53:24   |
45000       |       -220.702   |       -233.838   |        13.1359   |   00:09:04   |   04:53:09   |
46000       |        -201.43   |       -217.928   |        16.4979   |   00:09:16   |   04:52:54   |
47000       |       -209.699   |       -224.733   |        15.0344   |   00:09:28   |   04:52:39   |
48000       |       -213.417   |       -225.128   |        11.7106   |   00:09:40   |   04:52:25   |
49000       |       -206.662   |       -220.488   |         13.826   |   00:09:52   |   04:52:10   |
50000       |       -209.957   |       -226.909   |        16.9514   |   00:10:04   |   04:51:56   |
51000       |        -204.56   |       -221.671   |        17.1106   |   00:10:16   |   04:51:41   |
52000       |       -208.086   |       -222.676   |        14.5901   |   00:10:28   |   04:51:27   |
53000       |       -207.659   |       -223.107   |        15.4486   |   00:10:40   |   04:51:13   |
54000       |       -201.518   |       -219.896   |        18.3777   |   00:10:53   |   04:51:25   |
55000       |       -208.516   |       -224.461   |        15.9448   |   00:11:05   |   04:51:11   |
56000       |       -203.972   |       -221.355   |        17.3836   |   00:11:17   |   04:50:56   |
57000       |       -209.623   |       -223.993   |        14.3706   |   00:11:29   |   04:50:42   |
58000       |       -205.958   |       -223.831   |        17.8728   |   00:11:41   |   04:50:28   |
59000       |       -203.942   |       -219.604   |        15.6624   |   00:11:53   |   04:50:14   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
60000       |       -207.495   |       -224.812   |        17.3164   |   00:12:05   |   04:50:00   |
61000       |       -210.346   |       -226.073   |        15.7272   |   00:12:17   |   04:49:45   |
62000       |       -204.372   |         -221.5   |        17.1279   |   00:12:29   |   04:49:31   |
63000       |       -210.424   |       -226.625   |        16.2002   |   00:12:41   |   04:49:18   |
64000       |       -204.483   |       -219.979   |        15.4961   |   00:12:53   |   04:49:04   |
65000       |       -209.119   |       -224.812   |        15.6936   |   00:13:06   |   04:49:12   |
66000       |       -211.224   |       -222.747   |        11.5228   |   00:13:18   |   04:48:58   |
67000       |       -204.963   |       -220.344   |        15.3816   |   00:13:30   |   04:48:44   |
68000       |       -203.025   |       -218.356   |         15.331   |   00:13:42   |   04:48:30   |
69000       |       -207.601   |       -221.103   |        13.5019   |   00:13:54   |   04:48:16   |
70000       |       -206.495   |       -225.483   |        18.9878   |   00:14:06   |   04:48:02   |
71000       |       -205.706   |       -220.603   |        14.8971   |   00:14:18   |   04:47:48   |
72000       |       -210.301   |       -226.666   |         16.365   |   00:14:30   |   04:47:35   |
73000       |       -210.791   |       -225.223   |        14.4324   |   00:14:42   |   04:47:21   |
74000       |       -213.232   |       -226.782   |        13.5503   |   00:14:54   |   04:47:07   |
75000       |       -203.822   |       -221.412   |        17.5907   |   00:15:06   |   04:46:54   |
76000       |       -208.853   |       -225.598   |        16.7453   |   00:15:18   |   04:46:40   |
77000       |       -209.064   |       -223.445   |        14.3811   |   00:15:31   |   04:46:45   |
78000       |       -208.543   |       -224.754   |        16.2111   |   00:15:43   |   04:46:31   |
79000       |       -207.154   |       -225.078   |         17.924   |   00:15:55   |   04:46:17   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
80000       |       -200.596   |       -217.341   |        16.7446   |   00:16:07   |   04:46:04   |
81000       |       -204.769   |       -220.134   |        15.3647   |   00:16:19   |   04:45:50   |
82000       |       -206.833   |       -223.139   |        16.3057   |   00:16:31   |   04:45:37   |
