Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	pi_scale
0	-369.0699	-379.8972	10.82732	0.138783	0.169497	0.012087	0.00472905	0.0724286	0.0168253	0.0842812	0.0633427	0.0745374	0.154894	0.00296569	0.119294	0.146736	0.120206	0.213532	0.195816	0.0187691	0.3278132
100	-211.8708	-227.6928	15.822	0.178037	0.0440994	0.0143741	0.197932	0.0433566	0.0680016	0.0155035	0.0374472	0.0812696	0.00140499	0.00394834	0.104652	0.0508048	0.0990041	0.104513	0.00306679	0.0336752	0.6315771
200	-201.5568	-218.8481	17.29127	0.20307	0.0166937	0.0068035	0.144115	0.0195467	0.0123171	0.000257912	0.00277532	0.0301402	0.00234425	0.0150346	0.19501	0.0202004	0.00447813	0.0963653	0.0484744	0.0193177	1.64703
300	-212.6204	-226.6502	14.02983	0.16784	0.0257595	0.0273492	0.129619	0.0126388	0.0404533	0.0615927	0.00770433	0.0969722	0.0228724	0.025598	0.15055	0.0459476	0.0717142	0.100825	0.211924	0.023076	0.9956861
400	-204.7133	-220.1788	15.46553	0.167022	0.0161897	0.0100206	0.120027	0.00986204	0.0428529	0.0507902	0.05004	0.0619524	0.00478498	0.0121736	0.223058	0.0959068	0.0886597	0.00610247	0.103531	0.00757962	1.079708
500	-206.6559	-221.9708	15.31498	0.178802	0.0125392	0.000867222	0.136303	0.0205569	0.0786822	0.0172664	0.00329688	0.0955032	0.0115422	0.048401	0.185353	0.0398228	0.0809502	0.0303496	0.105596	0.0149238	1.34401
600	-203.1354	-219.9805	16.84505	0.229042	0.0177114	0.0105124	0.120441	0.00964649	0.0132935	0.024012	0.0133954	0.0329236	0.0135686	0.0646242	0.121636	0.0199746	0.0834164	0.071377	0.0606114	0.0605038	0.7458524
700	-206.6306	-220.687	14.05633	0.193439	0.0457031	0.00367222	0.22534	0.0248724	0.0152668	0.0196226	0.020025	0.0845489	0.0123999	0.0400194	0.221337	0.029082	0.101331	0.144527	0.00497938	0.000396672	1.344658
800	-208.1428	-224.7253	16.5825	0.184389	0.00990638	0.000690039	0.257622	0.00246747	0.0333508	0.0245232	0.0248108	0.0117912	0.0143014	0.0760775	0.0501292	0.00330582	0.0655357	0.0936413	0.0444551	0.0295964	1.427069
900	-206.4249	-222.1715	15.74666	0.206747	0.0183957	0.0104159	0.1262	0.0171961	0.000321586	0.0448934	0.0489366	0.0393488	0.0277459	0.000158043	0.115853	0.106174	0.0855124	0.0433241	0.123469	0.0260299	1.097321
1000	-205.0529	-219.4578	14.40489	0.220507	0.00891926	0.00145349	0.163608	0.0237814	0.0132873	0.00790382	0.0193621	0.0508162	0.0224995	0.0162053	0.241042	0.111522	0.0683553	0.0487379	0.116726	0.0580109	0.9185029
1100	-209.1568	-225.2337	16.07687	0.278177	0.00713916	0.00866413	0.0672112	0.000903682	0.0170862	0.0274902	0.0704066	0.00701058	0.0132229	0.00848145	0.0801557	0.0639022	0.183062	0.0311639	0.132792	0.0182928	1.021456
1200	-203.5283	-219.3206	15.79224	0.190406	0.0202565	0.0225857	0.172619	0.00457876	0.0330631	0.0372959	0.0256202	0.0752112	0.000342148	0.0142153	0.123255	0.0443582	0.117443	0.0290984	0.0929681	0.00368502	1.411414
1300	-204.9994	-220.804	15.80467	0.235654	0.025417	0.00696083	0.1217	0.0258949	0.0841529	0.0343593	0.0204034	0.0244783	0.0105728	0.000173206	0.1841	0.0448025	0.083097	0.0170092	0.0688458	0.0348253	1.228069
1400	-200.9383	-218.4847	17.54643	0.234512	0.0160577	0.0197295	0.144677	0.000560142	0.0130331	0.0224045	0.0250245	0.0466776	0.0183856	0.00197812	0.11266	0.0262893	0.0585641	0.0354524	0.0692917	0.0475232	0.7812682
1500	-206.5458	-221.4026	14.85685	0.205313	0.0758085	0.0280376	0.193729	0.0080903	0.0270748	0.0152573	0.0145677	0.041192	0.00368522	0.00932829	0.121088	0.0394188	0.11806	0.130399	0.0208924	0.0598785	1.286394
1600	-202.4548	-218.1408	15.68599	0.224754	0.0345115	0.0118581	0.155296	0.00727081	0.0030326	0.00398672	0.00408585	0.0362715	0.0196787	0.0180407	0.20472	0.00609826	0.146501	0.00285709	0.0527217	0.0604874	1.711714
1700	-203.1307	-219.6038	16.47315	0.179317	0.015656	0.00202114	0.123771	0.00397127	0.0168259	0.103395	0.0258575	0.0443757	0.000259183	0.00859931	0.116397	0.0539836	0.00849962	0.102666	0.134576	0.0185836	1.19451
1800	-207.6951	-223.5261	15.83102	0.231631	0.0272193	0.00200598	0.0748911	0.015128	0.0255019	0.0676981	0.0333448	0.087242	0.00224239	0.0279573	0.150142	0.0133075	0.0138635	0.149176	0.0376205	0.0256222	1.62743
1900	-208.6567	-225.1027	16.446	0.214867	0.00136524	0.0439346	0.0470163	0.0270081	0.00345018	0.0617292	0.0260242	0.0562285	0.00451771	0.096303	0.154697	0.00532326	0.011219	0.0582561	0.152791	0.028579	0.8729133
