Iteration	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er_cats[1]	er_cats[2]	er_cats[3]	er_cats[4]	er_indicator	er_scale	m_er	m_er_dist	m_pi	m_pi_dist	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	pi_cats[1]	pi_cats[2]	pi_cats[3]	pi_cats[4]	pi_indicator	pi_scale	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
0	-366.009	-317.1267	-48.88231	1	1	0.12405	0.135652	0.00733672	0.152687	0.0232326	0.0157821	0.0731928	0.0713449	0.0421055	0.249499	0.0153454	0.0158274	0.000785957	0.25105	0.0157825	0.0271508	0.005748	0.125	0.375	0.625	0.875	1	1	1	36414.68	1	14920.54	0.317963	0.0686161	0.0850741	0.528347	0.125	0.375	0.625	0.875	1	1	1	0.136954	0.476752	1	2.38629	1.226572
10	-277.331	-248.9611	-28.3699	1e+08	0	0.105327	0.0702105	0.00997324	0.275922	0.0228678	0.0263406	0.0701249	0.0195764	0.0891693	0.0644699	0.0237503	0.00876841	0.00440775	0.140597	0.0338885	0.0415323	0.0104743	0.497811	0.499533	0.500524	0.502132	1	43273.33	1	33550.99	1	2592.942	0.0187258	0.541567	0.294259	0.145448	0.49812	0.499543	0.500393	0.501943	1	55261.24	3	0.999873	0.999968	1.00003	1.00013	1.0174
20	-269.6013	-239.8238	-29.77755	1e+08	0	0.244582	0.0416073	0.0303973	0.253246	0.0399257	0.0268637	0.0303731	0.0105074	0.0414566	0.0240494	0.0462965	0.0190183	0.0441596	0.186862	0.0248468	0.0503719	0.0436	0.497892	0.4995	0.50047	0.502138	1	44816.7	1	7249.375	1	27777.32	0.0294001	0.67671	0.110744	0.183146	0.497912	0.499565	0.500498	0.502025	1	47751.77	2	0.999873	0.999968	1.00003	1.00013	1.158165
30	-254.9301	-236.0504	-18.87971	1e+08	0	0.10272	0.0228177	0.03967	0.316063	0.0181213	0.00858751	0.062608	0.023415	0.0388888	0.0215596	0.148815	0.0219812	0.0243865	0.156398	0.0159819	0.0991724	0.0506826	0.498242	0.49956	0.500347	0.501851	0	62000	50327.67	50327.67	1	18662.39	0.13612	0.551524	0.0250532	0.287303	0.496971	0.499268	0.500735	0.503026	1	22038.85	2	0.999873	0.999968	1.00003	1.00013	1.171869
40	-269.0807	-233.7635	-35.31725	6.53379e+07	1	0.112342	0.0356417	0.0767827	0.137554	0.02879	0.0201574	0.064139	0.0437315	0.0316102	0.0310325	0.0850313	0.0448659	0.0309986	0.178316	0.00982333	0.0261094	0.0166297	0.498242	0.49956	0.500347	0.501851	0	62000	21675.57	21675.57	1	49892.95	0.535341	0.0674664	0.309137	0.0880552	0.498165	0.499534	0.500368	0.501933	1	56903.23	2	0.999843	0.99996	1.00004	1.00016	0.9735547
50	-276.7853	-228.8219	-47.96343	5.206495e+07	1	0.211971	0.0228579	0.0584819	0.136739	0.0234235	0.0259235	0.0369564	0.0501387	0.0326515	0.0163274	0.162368	0.0180123	0.0786107	0.218707	0.00615577	0.0261094	0.00925152	0.497988	0.49959	0.500478	0.501944	1	51623.98	1	44721.11	1	20738.72	0.298642	0.167742	0.150967	0.382649	0.497641	0.499456	0.500556	0.502347	1	36470.87	2	0.999824	0.999955	1.00004	1.00018	1.134685
60	-242.3137	-224.2787	-18.03502	1e+08	0	0.269633	0.0230907	0.0178651	0.190086	0.0287622	0.0395735	0.0616211	0.0223797	0.0328408	0.0115359	0.0833491	0.020131	0.0990271	0.122137	0.00483161	0.0456953	0.0148413	0.498242	0.49956	0.500347	0.501851	0	62000	36997.97	36997.97	1	36247.28	0.377655	0.0237764	0.481203	0.117366	0.497361	0.499378	0.500632	0.502629	1	29109.01	2	0.999873	0.999968	1.00003	1.00013	1.0874
70	-249.113	-230.7865	-18.32658	1e+08	0	0.331648	0.0162997	0.00365681	0.117626	0.0300424	0.103257	0.0804745	0.0225648	0.0131897	0.00589862	0.0550886	0.0109007	0.0581579	0.222018	0.0059294	0.032219	0.00758401	0.498242	0.49956	0.500347	0.501851	0	62000	55223.46	55223.46	1	27702.43	0.604619	0.174857	0.0653743	0.155149	0.496749	0.499194	0.500786	0.503271	1	18992.82	3	0.999873	0.999968	1.00003	1.00013	1.116555
80	-256.7088	-229.6804	-27.02839	1e+08	0	0.11784	0.0118935	0.0037398	0.10939	0.0226146	0.0981702	0.0836837	0.00993639	0.0588595	0.0225106	0.0590656	0.0115903	0.0693441	0.173471	0.0091903	0.0190489	0.0029012	0.496997	0.499303	0.500744	0.502955	1	22751.39	1	21428.07	1	43293.68	0.553774	0.0964699	0.313703	0.0360534	0.498147	0.499594	0.500409	0.50185	1	58922.96	3	0.999873	0.999968	1.00003	1.00013	0.8832491
90	-241.3035	-226.514	-14.78947	1e+08	0	0.133653	0.0128481	0.0038111	0.0807431	0.0247641	0.052411	0.0237519	0.00466228	0.0248816	0.0394786	0.0743498	0.0441772	0.0302118	0.165909	0.028417	0.0166087	0.00216624	0.498242	0.49956	0.500347	0.501851	0	62000	49743.63	49743.63	1	34487.79	0.165781	0.33231	0.0830211	0.418887	0.498073	0.499607	0.50045	0.501871	1	56011.49	2	0.999873	0.999968	1.00003	1.00013	0.7628444
