Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	pi_scale
0	-361.7569	-364.8121	3.055214	0.00813011	0.015176	0.0507976	0.0437698	0.185797	0.167416	0.658116	0.116415	0.0120341	0.296675	0.0612366	0.201989	0.0402027	0.0700693	0.110223	0.154268	0.190689	0.3709847
100	-204.4716	-221.6557	17.18409	0.202854	0.00790707	0.0120759	0.118294	0.0229313	0.00544431	0.0136536	0.0194358	0.0397904	0.0125951	0.00151421	0.022412	0.151987	0.0718356	0.0660157	0.118678	0.0330229	0.8637595
200	-207.1192	-220.7995	13.68027	0.241825	0.029483	0.0249882	0.0958368	0.00153576	0.0255105	0.104794	0.00108131	0.0135351	0.00156362	0.0299232	0.135841	0.355594	0.0278819	0.0153522	0.12426	0.00796177	1.205902
300	-209.0949	-222.7452	13.6503	0.327297	0.0281119	0.00811598	0.203261	0.00709374	0.0402311	0.0643712	0.0390468	0.0412865	0.00659195	0.067792	0.186399	0.104607	0.030281	0.000473905	0.0479847	0.00926017	1.514528
400	-213.491	-227.8856	14.3946	0.128248	0.00718985	0.0129235	0.317448	0.0532746	0.0057824	0.102403	0.0239414	0.0137293	0.0482649	0.0206278	0.132481	0.107064	0.0479713	0.107995	0.0208614	0.00459935	1.321837
500	-209.3196	-222.5378	13.2182	0.239869	0.0300691	0.0133849	0.124792	0.0306472	0.0174635	0.0278029	0.0165458	0.0339997	0.00186077	0.012023	0.164874	0.207425	0.0461661	0.0425946	0.23276	0.0607624	1.001268
600	-218.006	-229.1822	11.17622	0.217442	0.0360149	0.00226933	0.105859	0.00906056	0.0118296	0.057939	0.0843119	0.0512101	0.00501011	0.0451754	0.000279822	0.193957	0.157285	0.0226566	0.190712	0.0219851	5.971028
700	-216.9495	-231.5695	14.61995	0.225314	0.00957933	0.00799778	0.0725169	0.0117621	0.0642512	0.0602626	0.0844194	0.00889421	0.0173369	0.190076	0.0585552	0.0972496	0.0930169	0.0106103	0.00388831	0.0196666	2.584165
800	-205.7669	-223.7996	18.03269	0.133673	0.01801	0.00512582	0.085711	0.000366388	0.00852971	0.0208769	0.0273333	0.0275755	0.000735927	0.0641354	0.149859	0.137348	0.0303681	0.132574	0.0103879	2.47397e-05	0.7013468
900	-207.8614	-224.7464	16.88493	0.134197	0.011645	5.94374e-05	0.133902	0.00054914	0.0144303	0.10099	0.00353332	0.020904	0.00647606	0.0185926	0.133188	0.255238	0.00462289	0.00431311	0.0324145	0.0622812	0.9915952
1000	-206.8169	-222.4584	15.64148	0.208502	0.0446995	0.0111668	0.136932	0.0170476	0.00666399	0.00943742	0.0113231	0.00993752	0.00861179	0.0636448	0.00325562	0.112779	0.0461719	0.0193187	0.197001	0.0905638	1.706382
1100	-210.4628	-224.2859	13.82312	0.218156	0.0146239	0.0114831	0.19084	0.0316893	0.00940766	0.016677	0.0333762	0.0155019	0.0417294	0.0402548	0.163909	0.294582	0.0293705	0.0165682	0.0140763	0.0180766	1.942305
