
RevBayes version (1.1.1)
Build from development (rapture-649-g20534c) on Sun Apr 11 23:30:45 CDT 2021

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/morpho_MCMC.Rev")
   Processing file "scripts/morpho_MCMC.Rev"
   Successfully read one character matrix from file 'data/extant_morpho.nex'
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 56 different moves in a random move schedule with 72 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
0           |        -329.34   |       -336.369   |        7.02838   |   00:00:00   |   --:--:--   |
1000        |        -209.31   |       -223.635   |        14.3244   |   00:00:05   |   --:--:--   |
2000        |       -202.626   |       -218.435   |        15.8091   |   00:00:09   |   00:07:21   |
3000        |       -203.017   |       -220.822   |        17.8045   |   00:00:13   |   00:07:00   |
4000        |       -207.141   |       -221.941   |        14.7999   |   00:00:18   |   00:07:12   |
5000        |       -202.414   |       -218.686   |        16.2712   |   00:00:22   |   00:06:58   |
6000        |       -203.278   |       -219.883   |        16.6046   |   00:00:27   |   00:07:03   |
7000        |       -204.256   |       -221.372   |        17.1163   |   00:00:31   |   00:06:51   |
8000        |       -205.709   |       -223.346   |        17.6368   |   00:00:35   |   00:06:42   |
9000        |       -207.951   |       -226.385   |        18.4335   |   00:00:40   |   00:06:44   |
10000       |       -211.942   |       -226.336   |        14.3938   |   00:00:44   |   00:06:36   |
11000       |       -206.617   |       -222.392   |        15.7743   |   00:00:48   |   00:06:28   |
12000       |       -205.369   |       -222.371   |        17.0017   |   00:00:53   |   00:06:28   |
13000       |       -207.057   |       -223.735   |        16.6777   |   00:00:57   |   00:06:21   |
14000       |        -206.32   |       -223.992   |        17.6721   |   00:01:02   |   00:06:20   |
15000       |       -204.696   |       -220.446   |        15.7504   |   00:01:06   |   00:06:14   |
16000       |       -208.164   |       -225.261   |        17.0974   |   00:01:10   |   00:06:07   |
17000       |        -207.72   |       -222.645   |        14.9244   |   00:01:15   |   00:06:06   |
18000       |        -205.41   |       -221.585   |        16.1754   |   00:01:19   |   00:05:59   |
19000       |       -209.405   |       -225.129   |         15.724   |   00:01:23   |   00:05:53   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
20000       |       -211.589   |       -223.798   |        12.2086   |   00:01:28   |   00:05:52   |
21000       |       -212.166   |       -227.317   |        15.1512   |   00:01:32   |   00:05:46   |
22000       |       -209.069   |       -222.397   |        13.3285   |   00:01:37   |   00:05:43   |
23000       |       -208.864   |       -225.696   |        16.8316   |   00:01:41   |   00:05:38   |
24000       |       -210.602   |       -223.344   |        12.7421   |   00:01:45   |   00:05:32   |
25000       |       -208.853   |       -224.531   |        15.6784   |   00:01:50   |   00:05:30   |
26000       |        -205.24   |        -221.98   |        16.7405   |   00:01:54   |   00:05:24   |
27000       |       -202.884   |       -218.427   |        15.5425   |   00:01:58   |   00:05:19   |
28000       |       -208.116   |       -222.944   |        14.8279   |   00:02:03   |   00:05:16   |
29000       |        -212.27   |       -228.878   |        16.6077   |   00:02:07   |   00:05:10   |
30000       |       -211.666   |       -224.228   |        12.5618   |   00:02:12   |   00:05:08   |
31000       |       -203.332   |       -219.019   |        15.6876   |   00:02:16   |   00:05:02   |
32000       |       -210.341   |       -225.276   |        14.9347   |   00:02:20   |   00:04:57   |
33000       |       -205.759   |       -223.078   |        17.3198   |   00:02:25   |   00:04:54   |
34000       |       -210.413   |       -223.826   |        13.4126   |   00:02:29   |   00:04:49   |
35000       |       -205.597   |       -221.719   |         16.122   |   00:02:33   |   00:04:44   |
36000       |       -209.053   |        -223.73   |        14.6774   |   00:02:38   |   00:04:40   |
37000       |       -205.258   |       -222.634   |        17.3758   |   00:02:42   |   00:04:35   |
38000       |       -213.764   |       -226.349   |        12.5849   |   00:02:46   |   00:04:30   |
39000       |       -209.978   |        -224.86   |        14.8823   |   00:02:51   |   00:04:27   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
40000       |        -204.63   |       -221.248   |        16.6177   |   00:02:55   |   00:04:22   |
41000       |       -202.865   |       -220.811   |        17.9459   |   00:02:59   |   00:04:17   |
42000       |       -209.941   |       -224.168   |         14.227   |   00:03:04   |   00:04:14   |
43000       |       -206.239   |       -221.148   |         14.909   |   00:03:08   |   00:04:09   |
44000       |       -206.063   |       -223.337   |         17.274   |   00:03:12   |   00:04:04   |
45000       |       -210.591   |       -224.117   |        13.5259   |   00:03:17   |   00:04:00   |
46000       |       -205.466   |       -221.268   |         15.802   |   00:03:21   |   00:03:55   |
47000       |       -203.652   |       -220.913   |        17.2609   |   00:03:26   |   00:03:52   |
48000       |       -204.589   |       -221.157   |        16.5673   |   00:03:30   |   00:03:47   |
49000       |       -207.165   |       -223.906   |         16.741   |   00:03:34   |   00:03:42   |
50000       |       -208.145   |        -224.65   |        16.5048   |   00:03:39   |   00:03:39   |
