Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	pi_scale
250	-207.3496	-222.4495	15.09991	0.195401	0.0274708	0.00215428	0.135528	0.0109444	0.025006	0.11012	0.00790953	0.0584462	0.0158523	0.0152637	0.1947	0.184232	0.0761725	0.0343778	0.016222	0.00505604	1.001397
260	-205.4872	-220.4463	14.95912	0.238319	0.011179	0.00717877	0.222688	0.0121912	0.00725013	0.0661179	0.020987	0.0180899	0.0161702	0.00193622	0.0979597	0.165867	0.150837	0.0272481	0.0349487	0.00713987	1.237646
270	-207.0576	-224.4884	17.43089	0.186698	0.00320859	0.0502658	0.0923745	0.0025021	0.0031907	0.0604969	0.00779011	0.00998743	0.0304578	0.0225774	0.0773973	0.223399	0.0483963	0.0296467	0.000629063	0.0334041	0.9947771
280	-209.5866	-229.1488	19.56225	0.0795491	0.00340526	0.0542335	0.0656396	0.00185616	0.014688	0.0274594	0.0171135	0.0251713	0.00554151	0.040687	0.0450112	0.180376	0.0887328	0.00254574	0.00279213	0.0433402	0.7158495
290	-207.9747	-222.955	14.9803	0.179415	0.00111171	0.0114632	0.159116	0.016378	0.0238466	0.0493237	0.0837375	0.034079	0.0107935	0.146406	0.0654503	0.174896	0.13603	0.00134305	0.0199038	0.0155617	0.9810793
300	-206.5846	-224.5312	17.94661	0.159841	0.00206809	0.0628511	0.10159	0.0124301	0.00386447	0.0442008	0.041281	0.0261428	0.00822157	0.0483661	0.0533554	0.0953763	0.116412	0.00388956	0.0971693	0.00270501	0.5245617
310	-207.3938	-222.2395	14.84568	0.162241	0.00524543	0.0138014	0.21605	0.00830834	0.00433039	0.06139	0.0569276	0.0226686	0.0394733	0.0280922	0.065124	0.210771	0.131183	0.000847831	0.0805285	0.0114537	1.227098
320	-216.7892	-227.6721	10.88282	0.318018	0.00472326	0.0292698	0.220364	0.0232769	0.00595548	0.058353	0.0265824	0.11444	0.023075	0.134646	0.0939603	0.113154	0.204368	5.74136e-05	0.0585527	0.0204809	2.009432
330	-207.5588	-222.722	15.16319	0.155631	0.00587637	0.0053358	0.198191	0.0447257	0.0104089	0.0399157	0.014676	0.130107	0.000388355	0.0954131	0.0412356	0.218742	0.0748384	0.00106467	0.0683039	0.0247565	0.7958789
340	-204.053	-221.1216	17.06851	0.151494	0.00441379	0.00304314	0.0984108	0.0370061	0.0179852	0.00289818	0.00168378	0.0599542	0.00226459	0.102239	0.0177585	0.178093	0.0933091	0.00524931	0.0781942	0.0110471	1.577259
350	-204.8947	-221.0772	16.18248	0.255935	0.00366175	0.0147125	0.0898798	0.0394179	0.0120568	0.00269442	0.0390758	0.0774512	0.0148549	0.0941846	0.0462652	0.131989	0.0870885	0.00241084	0.0469253	0.0106156	1.397437
360	-207.7475	-221.6407	13.89328	0.299184	0.00839185	0.0526706	0.103478	0.00926286	0.0521857	0.000212193	0.0179485	0.0466805	0.00517212	0.149729	0.0115067	0.22801	0.117984	0.00518682	0.0673495	0.0112031	1.53497
370	-212.4717	-226.2637	13.79195	0.230266	0.00964889	0.0516116	0.117938	0.00878773	0.0324905	0.00520479	0.0548073	0.133523	0.00127916	0.0271301	0.0256934	0.246573	0.0447621	0.0185513	0.0689556	0.0719453	2.134124
380	-207.2793	-222.7369	15.45755	0.217886	0.00269297	0.0200617	0.246129	0.0053397	0.0199815	0.0164531	0.0140651	0.0173863	0.0238517	0.0654265	0.0162746	0.201375	0.0347023	0.0159278	0.0949278	0.0156956	1.553207
390	-210.169	-226.6445	16.47552	0.128407	0.0239793	0.0823459	0.0727945	0.0140843	0.0255071	0.0370123	0.00901048	0.063586	0.010378	0.190225	0.0107925	0.133303	0.0772478	0.00138153	0.0598904	0.0263752	1.112933
400	-210.095	-224.7272	14.6322	0.311341	0.0428969	0.0203059	0.105254	0.0160993	0.0542084	0.0137598	0.00774986	0.0581183	0.0448382	0.105282	0.0478686	0.106858	0.059425	0.00210863	0.0660069	0.0262194	1.827006
410	-214.7715	-229.4141	14.64266	0.290587	0.00221812	0.00648202	0.217248	0.0277778	0.0305186	0.0357908	0.0693056	0.0789709	0.0433715	0.0669212	0.0107626	0.0908308	0.0653422	0.00138281	0.0414387	0.0292184	1.570898
420	-207.4949	-222.9817	15.48679	0.224972	0.0302784	0.0103401	0.130993	0.0282926	0.00441039	0.0352305	0.0203864	0.0479639	0.0418763	0.203802	0.0162102	0.177391	0.0719959	0.00380392	0.0542916	0.00639314	0.6880652
430	-209.2999	-223.1876	13.88767	0.292296	0.0420948	0.00162115	0.257961	0.0167549	0.0156564	0.0299464	0.0201566	0.076616	0.00240896	0.120657	0.0150879	0.162496	0.0887095	0.0110142	0.0195523	0.0332393	1.313377
440	-211.1576	-227.7586	16.60096	0.0933803	0.0255221	0.0304633	0.0749868	0.0182651	0.0081942	0.110106	0.00839092	0.0696827	0.00383527	0.0670023	0.0791559	0.249784	0.0692208	0.0114404	0.010908	0.0344563	1.000964
450	-208.3591	-225.2531	16.89401	0.20379	0.0396867	0.00391412	0.0677445	0.0320701	0.0181939	0.028778	0.0096638	0.0632144	0.00627325	0.143912	0.0921241	0.121562	0.0524291	0.00904998	0.026252	0.0444951	0.7329905
460	-205.5942	-220.7325	15.13826	0.220363	0.0672912	0.00213435	0.147185	0.0189833	0.0399876	0.039393	0.00938855	0.0318567	0.0112449	0.0584133	0.0452439	0.223971	0.0237317	0.0286649	0.00419082	0.111387	1.289104
470	-210.7431	-225.9933	15.25018	0.136272	0.0661866	0.00623103	0.165745	0.0343841	0.0113929	0.0427787	0.0382078	0.00514623	0.00637449	0.196691	0.0137124	0.243325	0.0385895	0.0495263	0.000688564	0.0627699	0.8235038
